,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chronic myeloid leukemia,0.5056939525899014,1.7210726386660353,0.0,0.07821111333127465,0.075,49/71,31.99%,MDM2;AKT1;RELA;NFKBIA;SMAD3;HRAS;KRAS;IKBKG;HDAC1;NFKB1;CDKN1A;PTPN11;SMAD4;CBL;CDKN1B;TP53;BCR;CRKL;TGFBR2;HDAC2;RAF1;MAPK3;PIK3CA;GADD45B;SHC4;RB1;STAT5A;BCL2L1;MAP2K2;CDK4;STAT5B;GAB2;CHUK;BAX;CDK6;TGFBR1;CTBP1;E2F3;RUNX1;AKT3;SHC1;BAD;MYC;ABL1;BAK1;BRAF;PIK3R3;GRB2;CDKN2A
1,prerank,Circadian rhythm,0.5565077651332884,1.6796800670836778,0.002012072434607646,0.06367186790430691,0.117,12/24,18.14%,PRKAB2;SKP1;FBXW11;CSNK1E;ARNTL;PRKAA2;PRKAG1;CREB1;CSNK1D;PRKAA1;PRKAG2;RORC
2,prerank,ErbB signaling pathway,0.4782179440833742,1.6398835099722258,0.0,0.07520299358776407,0.203,52/79,36.09%,AKT1;HRAS;GSK3B;KRAS;EGFR;EIF4EBP1;PAK3;CDKN1A;PLCG1;CBL;CBLB;CDKN1B;MAPK8;CAMK2G;CRKL;RPS6KB1;PRKCG;HBEGF;RAF1;PAK1;EREG;MAPK3;PIK3CA;SHC4;STAT5A;MAP2K2;STAT5B;PAK5;ERBB2;PRKCA;PTK2;ELK1;PAK4;ABL2;SRC;AKT3;ERBB3;SHC1;EGF;BAD;MYC;ABL1;CAMK2A;MAP2K4;BRAF;PIK3R3;GRB2;PRKCB;ARAF;NRG1;JUN;PLCG2
3,prerank,Prostate cancer,0.4700517880713876,1.6275456723254857,0.0,0.06868540081015785,0.242,65/89,40.31%,MDM2;AKT1;GSTP1;RELA;NFKBIA;HRAS;GSK3B;KRAS;ETV5;EGFR;PDPK1;CASP9;FOXO1;ATF4;IKBKG;EP300;CREB3L1;NFKB1;ZEB1;CDKN1A;CCNE1;TCF7L2;PDGFRA;CDKN1B;HSP90B1;TP53;CREB1;BCL2;AR;RAF1;MAPK3;PIK3CA;RB1;MAP2K2;PTEN;CDK2;CHUK;ERBB2;E2F3;AKT3;EGF;BAD;CTNNB1;IGF1R;CREB3L4;BRAF;PIK3R3;HSP90AB1;GRB2;FGFR2;ERG;ARAF;CREBBP;PDGFC;PLAU;CREB5;INS;HSP90AA1;LEF1;FGFR1;PDGFD;MMP9;TCF7;MAP2K1;TGFA
4,prerank,Longevity regulating pathway,0.4700795859564332,1.6252558117549214,0.0,0.05595102722929647,0.246,56/85,36.59%,FOXO3;AKT1;PRKAB2;RELA;HRAS;KRAS;SIRT1;EIF4E;EIF4EBP1;FOXO1;ATF4;RHEB;HDAC1;CREB3L1;PRKAA2;NFKB1;ATF2;PRKAG1;CAMKK2;TSC2;ADCY3;TP53;CREB1;CLPB;RPS6KB1;ADCY7;HDAC2;PRKAA1;PIK3CA;PPARG;CAT;PRKAG2;IRS1;ADCY9;TSC1;ADCY5;STK11;BAX;PPARGC1A;EHMT2;PRKACG;SOD1;AKT3;CAMK4;PRKAB1;SOD2;EHMT1;IGF1R;CREB3L4;ATG5;PIK3R3;ULK1;PRKACA;CREB5;INS;SESN1
5,prerank,Hepatitis B,0.4505960710127088,1.6188901802584783,0.0,0.050803800112622845,0.265,115/153,43.50%,AKT1;STAT3;RELA;TLR2;NFKBIA;MYD88;SMAD3;HRAS;CCNA2;TBK1;KRAS;FAS;SLC10A1;IFNAR1;CASP9;ATF4;IKBKG;FOS;EP300;CREB3L1;EGR3;NFKB1;ATF2;JAK2;CDKN1A;CCNE1;CASP8;BID;SMAD4;IFNA5;MAPK14;MAPK8;TP53;EGR2;CREB1;JAK1;BCL2;IFNA10;PRKCG;TGFBR2;TAB2;TRAF6;JAK3;RAF1;IFIH1;NFATC3;MAPK3;PIK3CA;RB1;STAT5A;IFNA1;MAP2K2;CDK2;STAT5B;MAP2K3;CCNA1;CHUK;DDX58;TICAM1;TLR4;SMAD2;PRKCA;MAP3K1;BAX;IRF3;IFNB1;TGFBR1;ELK1;E2F3;MAPK12;SRC;AKT3;IKBKE;CYCS;CASP10;BAD;ATP6AP1;MYC;CXCL8;BIRC5;TRAF3;MAP2K4;CREB3L4;IRAK4;BRAF;PIK3R3;STAT6;GRB2;PRKCB;IFNA8;IFNA4;TLR3;ARAF;CREBBP;JUN;CREB5;PCNA;FADD;CASP3;TGFB3;TGFB2;MMP9;DDB2;TNF;IFNA7;TIRAP;MAP2K1;MAP2K6;APAF1;IFNA14;MAP3K7;IRAK1;MAPK9;IFNA2;MAPK1
6,prerank,Human T-cell leukemia virus 1 infection,0.43381110110848115,1.5791113370735834,0.0,0.07821111333127463,0.41,117/189,38.02%,AKT1;ATR;RELB;SLC25A6;RELA;IL15;SLC2A1;NFKBIA;CCND3;LCK;SMAD3;HRAS;CCNA2;KRAS;HLA-DPB1;HLA-DMB;ANAPC5;ICAM1;CRTC3;HLA-DRB4;ATF4;IKBKG;FOS;EP300;CREB3L1;NFYB;VDAC1;HLA-DRA;NFKB1;ATF2;CDKN1A;CCNE1;HLA-DPA1;LTBR;SMAD4;IL1R1;TBP;ADCY3;MAPK8;TP53;EGR2;CREB1;JAK1;VDAC2;TGFBR2;KAT5;JAK3;ADCY7;IL2RB;EGR1;NFATC3;MAPK3;PIK3CA;RB1;SPI1;STAT5A;BCL2L1;MAP2K2;HLA-A;CDK4;PTEN;CDK2;STAT5B;CCNA1;CDKN2C;HLA-B;CHUK;ITGB2;HLA-DQB1;ADCY9;ATM;SRF;ADCY5;POLB;NRP1;SMAD2;MAP3K1;BAX;HLA-DRB5;B2M;HLA-DQA1;MAP3K14;PRKACG;TGFBR1;ELK1;TNFRSF13C;FDPS;E2F3;SLC25A5;XPO1;BUB3;AKT3;DLG1;CALR;CSF2;MYC;CHEK1;MAP2K4;CREB3L4;CDKN2B;TRRAP;PIK3R3;CDKN2A;ETS2;PRKACA;CREBBP;BUB1B;HLA-DRB3;JUN;CANX;SLC25A4;ETS1;CREB5;IL2RA;TGFB3;XIAP;TGFB2
7,prerank,Pancreatic cancer,0.462726174472389,1.5782999455536126,0.0,0.06943743074603549,0.413,51/71,40.31%,AKT1;RALBP1;STAT3;RELA;SMAD3;KRAS;EGFR;CASP9;RAC1;IKBKG;NFKB1;CDC42;CDKN1A;RAC3;SMAD4;MAPK8;TP53;JAK1;RPS6KB1;TGFBR2;RAF1;MAPK3;PIK3CA;GADD45B;BRCA2;RB1;BCL2L1;CDK4;CHUK;ERBB2;SMAD2;BAX;CDK6;TGFBR1;E2F3;AKT3;EGF;BAD;BAK1;RALGDS;BRAF;PIK3R3;CDKN2A;ARAF;VEGFA;PLD1;TGFB3;TGFB2;DDB2;MAP2K1;TGFA
8,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.4793350604974085,1.5754909561767447,0.0,0.06305910277136959,0.422,43/52,45.73%,RELA;NFKBIA;MET;CXCL1;EGFR;RAC1;IKBKG;CXCR2;NFKB1;CDC42;PLCG1;PTPN11;ATP6V0C;F11R;MAPK14;MAPK8;HBEGF;PAK1;CSK;ATP6V1D;CHUK;NOD1;MAP3K14;TJP1;MAPK12;SRC;LYN;ATP6AP1;CXCL8;ADAM10;JAM3;MAP2K4;ATP6V0A1;JUN;ATP6V1F;PLCG2;CASP3;JAM2;ATP6V0B;MAPK9;TCIRG1;IKBKB;ADAM17
9,prerank,Hepatitis C,0.441021051862792,1.5725138270638346,0.0,0.059059417630924045,0.435,73/124,33.65%,EIF2AK2;AKT1;STAT3;RELA;NFKBIA;PPARA;HRAS;TBK1;GSK3B;KRAS;FAS;OAS2;EGFR;NR1H3;IFNAR1;CASP9;IKBKG;PPP2R1A;CLDN1;NFKB1;CDKN1A;CD81;CASP8;BID;CFLAR;IFNA5;TP53;JAK1;RXRA;EIF2S1;IFNA10;TRAF6;IFNG;RAF1;MAPK3;PIK3CA;RB1;IFNA1;MAP2K2;CDK4;CLDN2;CDK2;OAS1;CHUK;DDX58;TICAM1;BAX;IRF3;IFNB1;CDK6;RNASEL;E2F3;EIF2AK3;AKT3;IKBKE;EGF;CYCS;BAD;MYC;IFNAR2;CTNNB1;BAK1;TRAF3;EIF2AK1;BRAF;PPP2CA;PIK3R3;GRB2;PPP2R2C;IFNA8;IFNA4;TLR3;ARAF
