,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.5060911614701759,2.170971806000964,0.0,0.0030357025011548866,0.003,37/53,28.46%,AKT2;EGFR;CTNNB1;AKT1;TCF7L2;BAX;BRAF;GSK3B;ERBB2;PIK3CB;BAD;CCND1;AXIN2;GADD45B;RAF1;KRAS;MAP2K1;FOXO3;AKT3;AXIN1;MYC;PTEN;PDPK1;HRAS;PIK3CA;NRAS;ILK;LEF1;BAK1;DDB2;ARAF;GRB2;APC;CASP9;PIK3CD;TP53;MLH1
1,prerank,Breast cancer,0.4575484219797294,2.1673004460442424,0.0,0.0015178512505774433,0.003,77/112,35.98%,AKT2;EGFR;CTNNB1;WNT9A;AKT1;TCF7L2;NCOA3;IGF1R;HEY1;DVL2;HES1;BAX;JAG1;BRAF;BRCA1;CSNK1A1;KIT;GSK3B;FZD3;ERBB2;JUN;PIK3CB;FGF2;RPS6KB1;MTOR;CCND1;AXIN2;GADD45B;FOS;RAF1;KRAS;MAP2K1;SHC1;AKT3;AXIN1;MYC;PTEN;FZD7;HRAS;WNT3;PIK3CA;ESR2;RB1;FZD4;BRCA2;NRAS;LEF1;WNT11;BAK1;DDB2;FZD8;CSNK1A1L;HES5;WNT9B;NOTCH2;NOTCH1;SHC4;ARAF;WNT1;FZD1;GRB2;APC;PIK3CD;TP53;FZD9;DVL1;ESR1;FGF9;CDK4;FZD5;PIK3R1;CDKN1A;WNT7B;FGFR1;LRP6;NFKB2;PIK3R2
2,prerank,Chronic myeloid leukemia,0.47716646546890135,2.1507421284015047,0.0,0.0010119008337182956,0.003,46/71,27.57%,AKT2;ABL1;SMAD4;AKT1;IKBKB;BAX;BRAF;CTBP1;PIK3CB;CRKL;BAD;CDKN1B;HDAC1;CCND1;GADD45B;IKBKG;RAF1;NFKBIA;KRAS;MAP2K1;SHC1;CBL;AKT3;MYC;RELA;MECOM;HRAS;PIK3CA;RB1;BCL2L1;NRAS;BAK1;HDAC2;DDB2;TGFB1;TGFBR1;SHC4;SMAD3;ARAF;NFKB1;STAT5A;GRB2;RUNX1;PIK3CD;MDM2;TP53
3,prerank,mTOR signaling pathway,0.4496075706786452,2.131422754242251,0.0,0.0012648760421478695,0.005,78/112,36.23%,SKP2;AKT2;PRKCA;WNT9A;AKT1;IKBKB;IGF1R;DVL2;SLC7A5;BRAF;ATP6V1D;NPRL2;RHOA;GSK3B;FZD3;PIK3CB;RPS6KB1;GRB10;MTOR;TSC2;DDIT4;RAF1;KRAS;TNF;LAMTOR3;MAP2K1;PRKAA1;AKT3;SLC3A2;ATP6V1F;PTEN;PDPK1;FZD7;HRAS;WNT3;PIK3CA;RPS6KA3;EIF4EBP1;FZD4;NRAS;RRAGA;WNT11;SGK1;FZD8;WNT9B;PRKCB;EIF4E;RRAGC;INS;DEPTOR;RPS6KA1;WNT1;TTI1;FZD1;GRB2;RICTOR;TNFRSF1A;CAB39;PIK3CD;RHEB;MAPKAP1;IRS1;FZD9;STK11;DVL1;ATP6V1C1;RPS6;ULK1;PRKAA2;MLST8;FZD5;PIK3R1;WNT7B;LRP6;RPS6KA2;STRADB;PIK3R2;ATP6V1A
4,prerank,Colorectal cancer,0.46188324188398033,2.1025817098771484,0.0,0.0010119008337182956,0.005,55/79,33.61%,AKT2;EGFR;CTNNB1;SMAD4;AKT1;TCF7L2;BAX;BRAF;RHOA;GSK3B;JUN;PIK3CB;RPS6KB1;BAD;PMAIP1;MTOR;CCND1;AXIN2;GADD45B;FOS;RAF1;KRAS;MAP2K1;AKT3;AXIN1;MYC;HRAS;RALA;PIK3CA;BCL2;NRAS;LEF1;CASP3;RAC3;BAK1;DDB2;MAPK8;RAC1;TGFB1;TGFBR1;SMAD3;ARAF;RALGDS;MSH6;GRB2;APC;CASP9;PIK3CD;TP53;MLH1;MSH2;PIK3R1;MAPK9;BIRC5;CDKN1A
5,prerank,Histidine metabolism,0.5865979417182914,2.089608909422404,0.0,0.0008432506947652463,0.005,12/18,18.77%,CNDP2;ALDH3B1;MAOA;FTCD;MAOB;HAL;ALDH3A2;ALDH3A1;ALDH3B2;ASPA;ALDH1B1;ALDH1A3
6,prerank,Nucleotide excision repair,0.5094551333552834,2.0713742670847095,0.0,0.001156458095678052,0.008,23/35,31.22%,POLE2;RFC2;ERCC5;GTF2H2;GTF2H1;ERCC1;MNAT1;RFC5;ERCC3;RBX1;RPA1;CDK7;DDB2;POLE4;CCNH;PCNA;RFC1;LIG1;CETN2;ERCC2;RPA2;POLE3;POLD4
7,prerank,Pancreatic cancer,0.45903689192089897,2.066785367793994,0.0,0.0010119008337182956,0.008,45/71,27.57%,AKT2;EGFR;SMAD4;AKT1;IKBKB;BAX;BRAF;ERBB2;STAT3;PIK3CB;RPS6KB1;BAD;MTOR;CCND1;GADD45B;IKBKG;RAF1;KRAS;MAP2K1;AKT3;RELA;RALA;PIK3CA;RB1;BRCA2;BCL2L1;RAC3;BAK1;DDB2;MAPK8;RAC1;TGFB1;JAK1;RALBP1;TGFBR1;STAT1;SMAD3;ARAF;RALGDS;VEGFA;CDC42;NFKB1;CASP9;PIK3CD;TP53
8,prerank,Autophagy,0.43216386142178587,2.047885839846449,0.0,0.0012367676856556947,0.011,76/100,42.67%,AKT2;AKT1;HIF1A;IGF1R;BNIP3;BECN1;IGBP1;PIK3CB;PRKCQ;RPS6KB1;BAD;ATG16L2;MTOR;TSC2;DDIT4;NRBF2;RAF1;ATG3;KRAS;MAP2K1;CTSD;PRKAA1;AKT3;PPP2CB;CAMKK2;RAB7A;PTEN;PDPK1;HRAS;PIK3CA;BCL2;PRKACB;BCL2L1;NRAS;RRAGA;CTSB;MAPK8;ATG4D;RRAGC;INS;DEPTOR;CFLAR;PRKACG;ATG4A;PRKACA;MAP3K7;PIK3CD;RHEB;ATG4B;IRS1;PIK3C3;STK11;LAMP2;EIF2S1;LAMP1;PRKCD;ULK1;PRKAA2;EIF2AK3;MLST8;PIK3R1;MAPK9;ITPR1;ATG7;PIK3R2;UVRAG;VMP1;RPTOR;PIK3R4;PIK3R3;DAPK3;MAPK3;ULK2;ATG5;MAPK1;TRAF6
9,prerank,Thyroid cancer,0.5095802803649719,2.028319520615092,0.0,0.0019226115840647617,0.018,20/34,19.80%,RXRG;PPARG;CTNNB1;TCF7L2;BAX;BRAF;PAX8;CCND1;GADD45B;TFG;KRAS;MAP2K1;MYC;NCOA4;HRAS;NRAS;LEF1;TPM3;BAK1;DDB2
10,prerank,Prostate cancer,0.4373102924611186,2.011037436237948,0.0,0.002115792652320073,0.022,53/89,27.57%,AKT2;EGFR;CTNNB1;AKT1;IKBKB;TCF7L2;IGF1R;BRAF;GSK3B;ERBB2;CDK2;PIK3CB;FOXO1;BAD;CDKN1B;MTOR;CCND1;IKBKG;RAF1;CREB3L4;NFKBIA;CREB1;KRAS;MAP2K1;AKT3;RELA;ATF4;PTEN;PDPK1;HRAS;PIK3CA;RB1;BCL2;NRAS;IL1R2;LEF1;CREB3L2;ZEB1;GSTP1;CREB3L1;INS;ARAF;HSP90AA1;NFKB1;HSP90AB1;GRB2;ERG;FGFR2;CASP9;ETV5;PIK3CD;MDM2;TP53
