,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.400721922106554,2.4280819312700404,0.0,0.002050996949799408,0.002,53/79,33.91%,RAC1;MAP2K1;ARAF;MTOR;AKT1;NRAS;BAD;TP53;CTNNB1;KRAS;MSH6;RPS6KB1;AREG;GRB2;MAPK1;PMAIP1;MAP2K2;GADD45A;BRAF;RALA;AXIN2;EGFR;TGFB1;RAF1;MAPK8;BIRC5;MAPK9;SMAD3;MYC;SMAD4;TCF7;CCND1;GADD45B;BCL2L11;BAX;MLH1;TGFBR1;JUN;HRAS;RHOA;BBC3;MAPK3;CASP3;LEF1;GSK3B;RAC3;AKT3;TGFBR2;PIK3CA;TGFB2;TCF7L2;CASP9;AXIN1
1,prerank,Tyrosine metabolism,0.5147237521455641,2.398352850433904,0.0,0.001538247712349556,0.003,21/26,34.60%,ADH1B;ADH1C;ALDH1A3;COMT;GSTZ1;ADH5;IL4I1;DDC;HPD;DBH;ALDH3A1;AOC3;ADH7;ADH1A;MIF;MAOA;AOX1;GOT1;ALDH3B1;ALDH3B2;TPO
2,prerank,Chronic myeloid leukemia,0.3937977194314618,2.3358732838863014,0.0,0.0020509969497994078,0.005,45/71,32.26%,CDK4;CDK6;MAP2K1;ARAF;AKT1;NRAS;BAD;TP53;KRAS;HDAC2;GRB2;MAPK1;MAP2K2;GADD45A;CDKN1B;BRAF;CRKL;TGFB1;RAF1;SHC1;STAT5A;SMAD3;RB1;MYC;SMAD4;SHC4;IKBKG;NFKBIA;CCND1;GADD45B;BCL2L1;BAX;ABL1;TGFBR1;RELA;HRAS;MDM2;MAPK3;CTBP1;AKT3;TGFBR2;CBL;PIK3CA;TGFB2;HDAC1
3,prerank,Endometrial cancer,0.4127155360583809,2.323068827779462,0.0,0.001794622331074482,0.006,36/53,33.91%,MAP2K1;ARAF;AKT1;NRAS;BAD;TP53;CTNNB1;KRAS;GRB2;MAPK1;MAP2K2;GADD45A;BRAF;AXIN2;EGFR;ERBB2;RAF1;MYC;TCF7;CCND1;ILK;GADD45B;BAX;MLH1;HRAS;ELK1;MAPK3;FOXO3;LEF1;GSK3B;PTEN;AKT3;PIK3CA;TCF7L2;CASP9;AXIN1
4,prerank,Th17 cell differentiation,0.3605160632400318,2.2887010283672486,0.0,0.002256096644779349,0.01,83/107,46.40%,HSP90AB1;MTOR;LCK;RXRG;MAPK1;TYK2;HLA-DRA;PPP3CA;CD4;MAPK12;HLA-DRB1;HIF1A;CD3G;IL6;IL4R;IL21;TGFB1;STAT5A;MAPK8;IL1RAP;MAPK9;IL23A;SMAD3;IFNGR1;NFATC3;SMAD4;IKBKG;NFKBIA;NFATC1;IL6ST;TBX21;NFKBIE;RARA;IL23R;HLA-DOA;IL2;HLA-DMA;FOXP3;IL1R1;TGFBR1;STAT6;PPP3R1;JUN;RELA;GATA3;HLA-DRB4;MAPK3;MAPK14;HLA-DPB1;IL2RG;PRKCQ;HSP90AA1;HLA-DOB;HLA-DRB5;TGFBR2;JAK1;CD247;HLA-DMB;IL2RB;IL21R;IL12RB1;RXRA;IL2RA;STAT1;ZAP70;NFATC2;IL17D;LAT;IL17F;MAPK11;HLA-DQA2;NFKB1;IL22;PLCG1;FOS;HLA-DQB1;RUNX1;IRF4;STAT3;AHR;IKBKB;PPP3R2;IL6R
5,prerank,Human T-cell leukemia virus 1 infection,0.3300475935963992,2.2610330819158637,0.0,0.001880080537316124,0.01,138/189,47.26%,SLC25A4;CDK4;MAP2K1;EGR1;AKT1;NRAS;SPI1;TP53;KRAS;LCK;MAPK1;HLA-DRA;PPP3CA;CD4;CREBBP;NFYB;MAP2K2;CDKN2C;ATF2;HLA-DRB1;MAP3K1;EP300;CD3G;IL6;ITGB2;CCND2;CANX;TGFB1;CREB3;IL15RA;MSX1;STAT5A;MAPK8;MAPK9;SMAD3;POLB;RB1;NFATC3;PRKACG;VDAC1;CHEK1;MYC;CD40;SMAD4;IKBKG;RELB;NFKBIA;ATR;CCND1;BUB1B;NFATC1;MAP3K14;NRP1;CCNA2;BCL2L1;CDK2;BAX;HLA-DOA;SLC2A1;IL2;HLA-DMA;TNF;IL1R1;KAT2B;TGFBR1;KAT5;CREB3L2;CREB3L4;PPP3R1;JUN;RELA;TNFRSF13C;FOSL1;HRAS;ADCY1;FDPS;LTA;HLA-DRB4;ELK1;MAPK3;CSF2;TNFRSF1A;HLA-DPB1;CREB1;IL2RG;B2M;PTEN;NFATC4;HLA-DOB;IL1R2;AKT3;HLA-DRB5;EGR2;TGFBR2;JAK1;PIK3CA;CALR;TSPO;TGFB2;SLC25A5;VDAC2;HLA-DMB;IL2RB;ADCY2;ELK4;ADCY7;KAT2A;XPO1;CRTC3;CHEK2;ETS2;IL2RA;NFATC2;CCND3;LTBR;TRRAP;CCNA1;PIK3CD;PRKACA;HLA-DQA2;NFKB1;CDKN1A;HLA-A;ATF4;FOS;HLA-DQB1;ADCY9;MAP2K4;TBP;CCNE1;TBPL1;SRF;PTTG1;PRKACB;IKBKB;PPP3R2;ICAM1;ADCY3
6,prerank,Prostate cancer,0.3644752461418909,2.250262469364039,0.0,0.0017579973855423499,0.011,63/89,40.87%,MAP2K1;HSP90AB1;ARAF;MTOR;AKT1;NRAS;FGFR1;BAD;PLAT;TP53;CTNNB1;KRAS;GRB2;MAPK1;CREBBP;MAP2K2;GSTP1;EP300;INS;INSRR;CDKN1B;BRAF;EGFR;ERBB2;RAF1;CREB3;RB1;IKBKG;ERG;TCF7;NFKBIA;CCND1;PLAU;CDK2;CREB3L2;CREB3L4;RELA;HRAS;ZEB1;MDM2;MAPK3;ETV5;LEF1;GSK3B;PDGFC;CREB1;PTEN;PDGFRA;HSP90AA1;IL1R2;AKT3;PIK3CA;TCF7L2;CASP9;PDGFRB;PIK3CD;PDPK1;NKX3-1;NFKB1;CDKN1A;PDGFD;ATF4;FGFR2
7,prerank,Adherens junction,0.3990083550749774,2.2476523461181985,0.0,0.001538247712349556,0.011,37/58,32.85%,RAC1;FGFR1;CTNNB1;MAPK1;CREBBP;YES1;EP300;FYN;EGFR;CSNK2B;ERBB2;ACTB;PTPRJ;SMAD3;MAP3K7;NECTIN1;ACP1;CSNK2A1;SMAD4;TCF7;SNAI1;SRC;TGFBR1;PTPRF;WAS;CDC42;RHOA;PTPRM;MAPK3;PTPN1;NLK;LEF1;RAC3;CSNK2A2;TGFBR2;TCF7L2;WASL
8,prerank,T cell receptor signaling pathway,0.3513140254866719,2.2183521279956144,0.0,0.001823108399821696,0.015,68/98,40.62%,CDK4;MAP2K1;AKT1;NRAS;KRAS;LCK;PAK3;GRB2;MAPK1;PPP3CA;CD28;CD4;MAPK12;MAP2K2;FYN;CD3G;ICOS;RAF1;IL10;MAPK9;MAP3K7;NFATC3;IKBKG;NFKBIA;NFATC1;MAP3K14;CTLA4;CBLB;NFKBIE;TEC;IL2;TNF;PTPRC;CDC42;PPP3R1;JUN;RELA;IL5;HRAS;VAV3;CD8A;RHOA;PDCD1;MAPK3;MAPK14;CSF2;GSK3B;GRAP2;PAK4;RASGRP1;CARD11;PRKCQ;AKT3;CD8B;PIK3CA;CD247;BCL10;LCP2;ZAP70;NFATC2;MAP2K7;PIK3CD;PDPK1;LAT;MAPK11;NFKB1;PLCG1;FOS
9,prerank,ErbB signaling pathway,0.363845555486285,2.183461320497612,0.0,0.002871395729719171,0.025,46/79,31.15%,MAP2K1;ARAF;MTOR;AKT1;NRAS;BAD;KRAS;RPS6KB1;PAK3;AREG;GRB2;MAPK1;MAP2K2;ERBB3;CDKN1B;BRAF;EGFR;CRKL;ERBB2;RAF1;SHC1;STAT5A;MAPK8;ERBB4;NRG4;MAPK9;PTK2;MYC;SHC4;CAMK2A;CBLB;SRC;ABL1;JUN;HRAS;ABL2;ELK1;MAPK3;GSK3B;PRKCB;PAK4;HBEGF;PRKCG;AKT3;CBL;PIK3CA
