,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,HIF-1 signaling pathway,0.43678625188210385,3.207663065027877,0.0,0.0,0.0,62/89,32.34%,EGFR;EGLN3;PIK3CA;TFRC;PFKFB3;EGLN1;PDHA1;MKNK1;IGF1;AKT1;HMOX1;ERBB2;RPS6;LTBR;TF;CDKN1A;EDN1;IFNGR2;STAT3;TLR4;HIF1A;IFNGR1;MKNK2;AKT2;CREBBP;PDHB;PIK3R3;IFNG;PIK3CB;PLCG1;HK3;HK1;FLT1;PIK3CD;EIF4E;EGF;PRKCA;PDK1;CDKN1B;SERPINE1;AKT3;MAP2K2;EIF4EBP1;HK2;CAMK2G;VHL;RPS6KB1;PGK1;MAPK3;GAPDH;TIMP1;PRKCG;RPS6KB2;CAMK2D;BCL2;IL6;VEGFA;EP300;LDHA;TEK;CUL2;HKDC1
1,prerank,ErbB signaling pathway,0.413930172368477,2.958335740757476,0.0,0.0,0.0,51/79,30.17%,EGFR;PIK3CA;HRAS;AKT1;RAF1;ERBB2;NRG1;KRAS;CDKN1A;PTK2;CBLB;JUN;CBL;MYC;PAK1;GSK3B;SRC;AKT2;MAP2K4;STAT5B;MAP2K7;PIK3R3;PIK3CB;NRAS;PLCG1;PAK3;PIK3CD;EGF;BRAF;PRKCA;SHC1;MAPK9;ERBB3;CDKN1B;AKT3;ABL1;MAP2K2;EIF4EBP1;CAMK2G;ERBB4;RPS6KB1;MAPK3;ELK1;PRKCG;RPS6KB2;CAMK2D;HBEGF;BAD;PAK4;STAT5A;ARAF
2,prerank,Endometrial cancer,0.4482121753762914,2.840530118398857,0.0,0.0,0.0,32/53,21.35%,EGFR;PIK3CA;AXIN1;GADD45B;TCF7;HRAS;AKT1;RAF1;ERBB2;KRAS;TCF7L2;CDKN1A;AXIN2;PDPK1;ILK;MYC;GSK3B;AKT2;PIK3R3;CDH1;CCND1;PIK3CB;NRAS;PIK3CD;EGF;BRAF;FOXO3;TCF7L1;TP53;CTNNB1;AKT3;MAP2K2
3,prerank,Melanoma,0.4499682986342154,2.8123936553043025,0.0,0.0,0.0,37/51,32.69%,EGFR;PIK3CA;GADD45B;FGF2;HRAS;IGF1;AKT1;RAF1;MDM2;KRAS;CDKN1A;CDKN2A;AKT2;MITF;PDGFD;PIK3R3;CDH1;CCND1;PIK3CB;NRAS;PIK3CD;CDK6;EGF;BRAF;PDGFRA;TP53;MET;AKT3;MAP2K2;MAPK3;CDK4;BAD;FGF1;ARAF;E2F3;BAK1;RB1
4,prerank,Prostate cancer,0.3850632857682028,2.8006625338980795,0.0,0.0,0.0,73/88,48.32%,EGFR;PIK3CA;TCF7;ATF4;HRAS;IGF1;AKT1;NFKBIA;RAF1;ERBB2;MDM2;KRAS;TCF7L2;CDKN1A;PDPK1;CDK2;ERG;GSK3B;AKT2;PDGFD;CREBBP;PLAT;CCNE1;PIK3R3;CCND1;PIK3CB;NRAS;CREB3L2;PIK3CD;EGF;FGFR2;BRAF;IKBKB;TCF7L1;PDGFRA;CDKN1B;TP53;CTNNB1;GSTP1;AKT3;MAP2K2;ETV5;IKBKG;IL1R2;MAPK3;FOXO1;HSP90AB1;BCL2;CHUK;INSRR;BAD;EP300;HSP90B1;CREB3L1;ARAF;LEF1;E2F3;RB1;INS;E2F1;CASP9;HSP90AA1;NKX3-1;CREB3L4;PDGFRB;KLK3;TGFA;PLAU;FGFR1;PTEN;SOS1;RELA;AR
5,prerank,Bladder cancer,0.4765979253467303,2.772158372518276,0.0,0.0,0.0,30/39,32.69%,EGFR;HRAS;RAF1;ERBB2;MDM2;KRAS;CDKN1A;RASSF1;CDKN2A;MYC;SRC;CDH1;RPS6KA5;CCND1;NRAS;EGF;BRAF;DAPK2;TP53;MAP2K2;MMP2;MAPK3;THBS1;CDK4;CXCL8;HBEGF;VEGFA;ARAF;E2F3;RB1
6,prerank,Thyroid hormone signaling pathway,0.37702876360621895,2.764320713885086,0.0,0.0,0.0,58/95,29.60%,PIK3CA;HDAC3;HRAS;PFKFB2;HDAC2;RXRG;AKT1;RAF1;NCOA3;PLCB1;ATP1B2;MDM2;KRAS;ATP1A1;PDPK1;HDAC1;ITGAV;THRA;HIF1A;MYC;ESR1;GSK3B;SRC;AKT2;RHEB;CREBBP;PRKACA;PIK3R3;PFKP;ATP1A3;CCND1;PIK3CB;NRAS;ATP1B1;PLCG1;ACTB;PIK3CD;ATP2A2;PRKCA;SLC16A10;PLCE1;SIN3A;ATP1A4;TP53;CTNNB1;AKT3;MED12;MAP2K2;PRKACB;MAPK3;SLCO1C1;FOXO1;PRKCG;RXRB;BAD;PLCB3;EP300;NOTCH1
7,prerank,Small cell lung cancer,0.390799755465484,2.762944361649967,0.0,0.0,0.0,56/79,38.22%,COL4A4;PIK3CA;GADD45B;TRAF3;RXRG;AKT1;NFKBIA;BCL2L1;ITGA2;CDKN1A;CASP3;MAX;PTK2;CDK2;ITGAV;MYC;AKT2;BIRC2;CYCS;COL4A5;CCNE1;PIK3R3;CCND1;PIK3CB;ITGA3;CKS1B;PIK3CD;CDK6;LAMB3;LAMB2;IKBKB;CDKN1B;TP53;AKT3;IKBKG;CDKN2B;CKS2;TRAF1;TRAF2;RXRB;CDK4;BCL2;CHUK;LAMA3;TRAF4;COL4A2;FN1;E2F3;BAK1;RB1;ITGB1;RXRA;TRAF5;E2F1;CASP9;NOS2
8,prerank,Non-small cell lung cancer,0.3993611448986041,2.699741231816542,0.0,0.0,0.0,46/63,37.64%,EGFR;PIK3CA;GADD45B;HRAS;RXRG;AKT1;RAF1;ERBB2;KRAS;CDKN1A;RASSF1;CDKN2A;PDPK1;STAT3;AKT2;STAT5B;PIK3R3;CCND1;PIK3CB;NRAS;PLCG1;PIK3CD;CDK6;EGF;BRAF;PRKCA;RASSF5;FOXO3;TP53;AKT3;MAP2K2;MAPK3;STK4;PRKCG;RXRB;CDK4;BAD;STAT5A;ARAF;E2F3;BAK1;RB1;RXRA;JAK3;E2F1;CASP9
9,prerank,Influenza A,0.33356090038339065,2.6824248886603352,0.0,0.0,0.0,96/145,38.70%,HLA-DOA;PIK3CA;HSPA8;VDAC1;TNFRSF10B;HSPA2;EIF2S1;AKT1;NFKBIA;RAF1;HLA-DMB;IL18;PABPN1;PLG;FAS;HLA-DRB5;FDPS;MYD88;RSAD2;IFNGR2;IFNA10;TBK1;JUN;TLR4;ADAR;IFNGR1;HLA-DRB4;IFNA7;EIF2AK1;GSK3B;TICAM1;AKT2;NXF1;IRF3;MAP2K4;CYCS;DDX39B;CREBBP;TNFRSF1A;TNFRSF10A;MAP2K7;PRSS3;PIK3R3;IFNG;HLA-DQA1;TYK2;JAK1;PIK3CB;IFNA4;IFNB1;ACTB;PIK3CD;PRKCA;TNFSF10;MAPK9;IKBKB;IFNA21;NLRP3;AKT3;IL1B;MAP2K2;JAK2;HLA-DOB;IRAK4;EIF2AK4;HSPA1A;HLA-DRB1;MAPK3;IFNA2;RNASEL;PRSS2;IFNAR1;IFNA5;IFIH1;IL6;CXCL8;TLR7;IFNA1;HLA-DPB1;MAPK13;EP300;HSPA1B;HLA-DRA;IL12B;NFKBIB;MAPK12;IL33;EIF2AK3;HLA-DQB1;OAS3;FASLG;TNF;CASP9;MAPK14;FURIN;HLA-DPA1
10,prerank,Kaposi sarcoma-associated herpesvirus infection,0.32400405952097905,2.664142532245633,0.0,0.0,0.0,89/159,29.83%,PIK3CA;CASP8;ZFP36;TRAF3;FGF2;GNG11;HRAS;GNB5;FOS;AKT1;NFKBIA;RAF1;NFATC3;KRAS;FAS;CDKN1A;CASP3;PPP3CA;ATG3;IFNA10;TBK1;JUN;STAT3;HIF1A;CSF2;CALM1;IFNGR1;BECN1;MYC;IFNA7;GSK3B;TICAM1;SRC;AKT2;IRF3;MAP2K4;CYCS;LYN;CREBBP;TNFRSF1A;ITPR1;MAP2K7;PIK3R3;TYK2;MAPKAPK2;JAK1;CCND1;PIK3CB;IFNA4;NRAS;PLCG1;IFNB1;PIK3C3;PIK3CD;CDK6;CXCL1;GNGT2;C3;MAPK9;IKBKB;IFNA21;NFATC1;PPP3R2;TP53;CTNNB1;AKT3;MAP2K2;GABARAPL1;JAK2;IKBKG;GNG7;UBB;MAPK3;IFNA2;TRAF2;BID;IFNAR1;CDK4;IFNA5;HCK;IL6;CXCL8;VEGFA;IFNA1;CHUK;CXCL2;MAPK13;EP300;RAC1
11,prerank,Hepatitis B,0.32278987979556256,2.6617016899447004,0.0,0.0,0.0,86/153,30.60%,PIK3CA;CASP8;CCNA1;TRAF3;SMAD4;ATF4;HRAS;FOS;SLC10A1;AKT1;NFKBIA;RAF1;EGR2;NFATC3;KRAS;FAS;CDKN1A;CASP3;MYD88;IFNA10;EGR3;TBK1;CDK2;JUN;STAT3;TLR4;MYC;IFNA7;TICAM1;SRC;AKT2;IRF3;MAP2K4;CYCS;CREBBP;STAT5B;CCNE1;MAP2K7;PIK3R3;TYK2;JAK1;PIK3CB;IFNA4;NRAS;CREB3L2;CCNA2;IFNB1;PIK3CD;BRAF;PRKCA;MAPK9;IKBKB;IFNA21;NFATC1;TP53;AKT3;MAP2K2;TAB2;JAK2;IRAK4;IKBKG;HSPG2;MAP3K1;MAPK3;IFNA2;BID;ELK1;PRKCG;CASP10;IFNAR1;SMAD3;IFNA5;BCL2;IFIH1;IL6;CXCL8;IFNA1;CHUK;BAD;STAT5A;MAPK13;EP300;BIRC5;CREB3L1;ARAF;TGFB1
12,prerank,Focal adhesion,0.32652096073604125,2.6109404609963316,0.0,0.0,0.0,75/127,33.31%,COL4A4;EGFR;PIK3CA;HRAS;FYN;IGF1;AKT1;PXN;RAF1;ITGA2;ERBB2;PTK2;PDPK1;JUN;ITGAV;ILK;PAK1;PIP5K1C;CAV1;GSK3B;SRC;AKT2;BIRC2;MYLK2;COL4A5;PDGFD;ROCK1;PIK3R3;CCND1;PIK3CB;ITGA3;ITGB5;PAK3;FLT1;VEGFC;ACTB;PIK3CD;EGF;LAMB3;BRAF;PRKCA;PGF;CCND3;SHC1;ROCK2;LAMB2;MAPK9;KDR;SPP1;PDGFRA;CTNNB1;MET;AKT3;PPP1CA;MYL9;ITGB4;VEGFB;MAPK3;RHOA;VAV3;THBS1;ITGA1;ELK1;PRKCG;BCL2;VEGFA;LAMA3;BAD;PAK4;RAC1;RAP1A;COL4A2;FN1;ITGA11;ITGB1
