,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Mitophagy,0.5652151169976323,1.8430006593278785,0.0,0.013118638118638117,0.013,26/43,25.93%,ATF4;HRAS;ATG5;HIF1A;TBK1;FOXO3;CSNK2B;PINK1;SQSTM1;RELA;JUN;BNIP3L;BECN1;CSNK2A1;MAPK8;TBC1D15;OPTN;FIS1;ULK1;TP53;UBB;E2F1;MAPK9;KRAS;BCL2L1;CSNK2A2
1,prerank,Pentose phosphate pathway,0.6150194424096328,1.7572451948193666,0.0,0.020687083187083188,0.04,13/20,27.55%,RBKS;PFKP;PFKL;PGD;RPIA;ALDOA;GLYCTK;ALDOC;H6PD;FBP1;IDNK;TKT;PRPS1L1
2,prerank,FoxO signaling pathway,0.4912013853259354,1.7519551441954129,0.0,0.015136890136890136,0.044,72/119,31.68%,SMAD2;CAT;RAF1;HRAS;AKT1;PRKAG1;CDKN2B;SGK3;ATG12;STAT3;RAG2;BRAF;CSNK1E;TGFBR1;FOXO3;SMAD4;CDKN1A;CCND2;MAPK1;IGF1R;MAPK14;PRKAB2;SKP2;PIK3R3;CCNB2;GADD45B;STK11;PDPK1;FOXO1;PTEN;EGFR;SMAD3;FOXO4;PRKAG2;MAPK8;PCK2;EP300;STK4;ATM;BCL6;USP7;PLK3;IRS1;AKT3;SIRT1;RAG1;PIK3CD;MAPK9;PLK1;PCK1;KRAS;FBXO32;PIK3CB;G6PC2;SETD7;PRKAB1;CCND1;BCL2L11;MDM2;GRB2;PLK2;SOS1;CDKN1B;PRKAA1;MAP2K1;IRS2;PRKAA2;FASLG;TGFBR2;SGK2;PRMT1;PIK3CA
3,prerank,Adherens junction,0.516402252229779,1.7319410220011848,0.0,0.016146016146016146,0.063,25/58,17.23%,SMAD2;PTPRJ;SNAI2;PTPN6;ACTB;MET;RAC1;RHOA;SNAI1;TGFBR1;SMAD4;CSNK2B;MAPK1;IGF1R;FYN;FER;ACTG1;EGFR;SMAD3;ERBB2;TCF7L2;CSNK2A1;CTNND1;EP300;CTNNB1
4,prerank,Longevity regulating pathway,0.49554921517912653,1.7076750665250275,0.0,0.02098982098982099,0.097,53/85,31.98%,HDAC1;PRKACG;EIF4E;CAT;ATF4;HRAS;MTOR;AKT1;PRKAG1;ATG5;CREB3L2;CREB1;ADCY9;FOXO3;EIF4EBP1;IGF1R;PPARG;PRKAB2;PIK3R3;STK11;FOXO1;RELA;RPS6KB1;CAMKK2;NFKB1;SOD1;PRKAG2;SESN1;RHEB;ATF2;ULK1;TP53;IRS1;AKT3;ADCY3;SIRT1;PIK3CD;KRAS;PIK3CB;PRKAB1;CREB3L1;CREB3L4;ADCY2;RPTOR;EIF4EBP2;TSC2;PRKAA1;IRS2;PRKAA2;CAMK4;PRKACA;PIK3CA;ADCY6
5,prerank,Thyroid hormone signaling pathway,0.4784134309305549,1.6726498057401304,0.0,0.029432841932841933,0.159,53/95,30.14%,KAT2A;HDAC1;PRKACG;PRKCA;RAF1;HRAS;MTOR;AKT1;ACTB;ATP1A1;HIF1A;PFKP;SLC2A1;ESR1;NCOA1;PRKCG;MED12L;MAPK1;CASP9;PIK3R3;PDPK1;FOXO1;ATP1A3;ACTG1;FXYD2;RXRA;STAT1;PLCB1;NOTCH1;PLCG2;NCOA3;EP300;TBC1D4;CTNNB1;MED13;GSK3B;RHEB;GATA4;TP53;AKT3;PIK3CD;KRAS;ITGB3;PIK3CB;NOTCH2;CCND1;MDM2;ATP1B1;PLCB3;TSC2;KAT2B;MAP2K1;PRKACA
6,prerank,Sphingolipid signaling pathway,0.47632802110411027,1.6702950719800054,0.0,0.025804793661936515,0.163,68/101,40.86%,PRKCA;GNAI2;RAF1;HRAS;FCER1A;PPP2R2C;ASAH1;AKT1;PRKCE;CERS2;GNA13;RAC1;CTSD;RHOA;KNG1;PPP2R1A;GNAI3;PRKCG;MAPK1;ROCK1;FYN;MAPK14;PIK3R3;PDPK1;PTEN;RELA;PPP2R5B;NFKB1;PLCB1;MAPK8;MAP3K5;PPP2R5E;SPTLC3;TP53;CERS6;AKT3;ADORA1;PIK3CD;MAPK9;BCL2;SPTLC2;KRAS;ROCK2;PIK3CB;CERS3;SPTLC1;PLCB3;MAP2K1;PLD1;PIK3CA;BID;MAPK13;SGPL1;FCER1G;GNAI1;PRKCB;PPP2R3C;BDKRB2;S1PR2;RAC3;MAPK12;PRKCZ;PLD2;PPP2R5A;PIK3R1;ABCC1;MAP2K2;S1PR3
7,prerank,AMPK signaling pathway,0.46565311907596396,1.6456673132836601,0.0,0.02976921726921727,0.211,54/100,30.34%,MTOR;PPP2R2C;AKT1;PRKAG1;CREB3L2;PFKP;PFKL;CREB1;PPP2R1A;EEF2K;FOXO3;EIF4EBP1;PFKFB3;IGF1R;PPARG;PRKAB2;PIK3R3;STK11;PDPK1;FOXO1;STRADB;PPP2R5B;RPS6KB1;FASN;PFKFB1;CAMKK2;ADRA1A;PRKAG2;PCK2;EEF2;PPP2R5E;RHEB;ULK1;IRS1;AKT3;SIRT1;FBP1;PIK3CD;PCK1;MAP3K7;PIK3CB;G6PC2;PRKAB1;CCND1;CREB3L1;CREB3L4;CPT1A;ACACB;RPTOR;TSC2;PRKAA1;IRS2;PRKAA2;HMGCR
8,prerank,Pancreatic cancer,0.4825647048021594,1.6416598312128958,0.0,0.028031278031278032,0.224,42/71,31.68%,SMAD2;RAF1;MTOR;AKT1;STAT3;RAC1;BRAF;TGFBR1;SMAD4;CDKN1A;MAPK1;BRCA2;CASP9;PIK3R3;GADD45B;RELA;RPS6KB1;EGFR;SMAD3;ERBB2;NFKB1;STAT1;MAPK8;TP53;CDK6;RALBP1;E2F1;AKT3;CDK4;PIK3CD;MAPK9;KRAS;PIK3CB;CCND1;BCL2L1;RB1;MAP2K1;PLD1;DDB2;TGFBR2;JAK1;PIK3CA
9,prerank,Prostate cancer,0.4672614130363575,1.634401557017106,0.0,0.028255528255528253,0.245,51/89,30.16%,ATF4;RAF1;HRAS;MTOR;AKT1;GSTP1;CREB3L2;ETV5;CREB1;ZEB1;BRAF;CDKN1A;MAPK1;IGF1R;HSP90AB1;CASP9;PIK3R3;PDGFRA;PDPK1;FOXO1;PTEN;RELA;EGFR;ERBB2;NFKB1;TCF7L2;NFKBIA;FGFR2;EP300;CTNNB1;GSK3B;TP53;CCNE1;E2F1;AKT3;PIK3CD;BCL2;KRAS;PIK3CB;CCND1;ERG;CREB3L1;MDM2;GRB2;CREB3L4;AR;SOS1;RB1;CDKN1B;MAP2K1;HSP90AA1
