,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Apelin signaling pathway,0.33574016050371525,2.73582792561607,0.0,0.0,0.0,73/104,41.71%,PRKACG;MAP2K2;ITPR3;HRAS;MAPK3;PIK3R4;PRKAA1;GNG5;PRKACB;SPHK1;SPP1;RPS6KB1;NOS2;PLAT;HDAC4;AKT1;SLC8A1;PRKACA;ADCY9;PIK3C3;SMAD4;PRKAB1;PRKAG1;MYLK3;MAP2K1;PLCB3;GNA13;GNB4;EGR1;GNGT2;RYR2;MEF2D;PRKCE;TGFBR1;MEF2A;KRAS;HDAC5;ITPR1;PLCB1;PIK3R5;PRKAG3;GNAI2;AGTR1;GNB2;GNG12;PDE3B;SMAD2;ADCY5;GNAI1;RRAS2;GNAI3;AKT3;GNG4;MEF2C;CDH1;SPHK2;PRKAG2;SMAD3;CAMK4;CALM2;RPS6KB2;NRAS;PRKAB2;ACTA2;JAG1;MAPK1;PRKAA2;ADCY1;BECN1;APLNR;GNG7;MEF2B;MYLK2
1,prerank,Epstein-Barr virus infection,0.2823382269553649,2.5159470369174524,0.0,0.0016170311308437708,0.003,146/174,59.82%,CCND2;HLA-DRB5;MAPK9;HLA-DMA;APAF1;JAK1;ICAM1;IRAK1;IFNA21;MAP2K7;HLA-DOA;CHUK;CCNE1;CCND3;IFNA10;OAS3;CDK4;IFNA4;TP53;RB1;TRAF6;HLA-DPA1;IFNA1;RAC1;AKT1;MAP2K3;HES1;IRF7;CCNA1;TAP1;SNW1;CYCS;CALR;CDK6;DDB2;PIK3CA;CD58;CDK2;BAX;IFNA2;CXCL10;NFKBIB;PIK3CD;MAP2K4;USP7;SKP2;HLA-DRA;CASP3;CD3E;PLCG2;TLR2;RUNX3;BID;FAS;HLA-DPB1;MYC;IFNA7;HDAC1;STAT3;HLA-A;RELA;NFKBIE;IFNAR1;CD3D;IKBKG;JUN;BCL2;IKBKE;LYN;HLA-DQA2;EIF2AK2;NFKBIA;IFNA8;TNFAIP3;NFKB2;AKT3;HDAC2;HLA-DQA1;B2M;MYD88;GADD45B;TYK2;TRADD;MAP3K14;MDM2;MAPK8;MAP3K7;HLA-DOB;IFNB1;BTK;RIPK1;PSMD4;CCNE2;ENTPD1;E2F1;BAK1;CDKN1A;HLA-DMB;IFNA17;MAPK11;FADD;TBK1;IRAK4;HLA-DRB1;IFNA14;SAP30;STAT2;IL6;GADD45A;TAP2;PIK3R1;CCNA2;IRF9;CDKN1B;CD44;CR2;TRAF2;IFNA16;PIK3CB;DDX58;TRAF3;ISG15;CD40;BLNK;CASP8;VIM;ITGAL;SYK;OAS2;JAK3;SIN3A;TRAF5;PSMD1;TAPBP;OAS1;CCND1;HLA-DQB1;IKBKB;TAB2;FCER2;AKT2;MAPK14;PSMD2;PIK3R3;IRF3;CD19
2,prerank,Relaxin signaling pathway,0.3109076279193941,2.5129468034196036,0.0,0.0010780207538958473,0.003,69/102,42.14%,SOS2;PRKACG;MAP2K2;HRAS;MAPK9;MAPK3;FOS;EDN1;COL4A5;EGFR;MAP2K7;GNG5;PRKACB;GRB2;RXFP4;NOS2;AKT1;PRKACA;ADCY9;ATF4;GNAS;MAP2K1;PLCB3;PIK3CA;GNB4;PIK3CD;ARRB1;MAP2K4;GNGT2;ATF2;VEGFA;GNA15;TGFB1;MMP9;TGFBR1;KRAS;PLCB1;RELA;GNAI2;TGFBR2;GNB2;JUN;PRKCA;SHC1;GNG12;EDNRB;SMAD2;CREB3L4;ADCY5;GNAI1;NFKBIA;GNAI3;AKT3;GNG4;CREB3L2;SMAD3;MAPK8;NRAS;ACTA2;MMP13;MAPK1;COL1A2;MAPK11;SOS1;VEGFB;ADCY1;GNG7;CREB1;CREB3
3,prerank,Measles,0.3022036671250496,2.4954612670107146,0.0,0.0010780207538958473,0.004,108/125,59.64%,TLR9;CCND2;CSNK2A2;IL2RB;CSNK2B;MAPK9;APAF1;JAK1;FOS;IRAK1;IFNA21;CHUK;CCNE1;CCND3;EIF2AK4;IFNA10;BAD;STAT5A;IL12B;OAS3;CDK4;IFNA4;TP53;TRAF6;CD28;IFNA1;ADAR;AKT1;HSPA1B;IRF7;MX1;CYCS;CDK6;PIK3CA;CDK2;BAX;IFNA2;EIF2AK3;NFKBIB;PIK3CD;CASP3;CD3E;TLR2;TLR7;CBLB;BID;FAS;IFNA7;STAT3;RELA;IFNAR1;CD3D;IKBKG;JUN;BCL2;IKBKE;EIF2AK2;NFKBIA;IFNA8;TNFAIP3;AKT3;MYD88;TYK2;TRADD;MAPK8;MAP3K7;IL2;IFNB1;FCGR2B;CD209;CCNE2;CD46;BAK1;IFNA17;RCHY1;FADD;HSPA1A;IL1B;TBK1;IRAK4;IFNA14;STAT2;IL6;IL12A;TLR4;IFIH1;PIK3R1;BCL2L1;IRF9;CDKN1B;IL2RG;IFNA16;PIK3CB;DDX58;TRAF3;HSPA2;CASP8;OAS2;JAK3;CLEC4M;OAS1;HSPA8;CCND1;IKBKB;TAB2;AKT2;PIK3R3;IRF3
4,prerank,Th17 cell differentiation,0.3039836139397303,2.4758252403382564,0.0,0.0019404373570125252,0.007,72/107,41.93%,IL2RB;HLA-DRB5;NFATC3;MAPK9;IL1RAP;HLA-DMA;JAK1;MAPK3;PPP3CA;HSP90AB1;FOS;NFATC2;HLA-DOA;CHUK;IL17F;RARA;STAT5A;STAT6;HIF1A;RXRA;HLA-DPA1;SMAD4;IL21R;IL21;HSP90AA1;IFNG;JAK2;NFKBIB;HLA-DRA;PPP3R2;IFNGR1;IL4R;CD3E;IFNGR2;TGFB1;IL17D;TGFBR1;HLA-DPB1;IL23R;STAT3;IL6ST;RELA;NFKBIE;NFATC1;RORC;IL1R1;CD3D;IL27RA;RORA;TGFBR2;IKBKG;JUN;SMAD2;HLA-DQA2;NFKBIA;HLA-DQA1;FOXP3;SMAD3;TYK2;MAPK8;HLA-DOB;IL2;ZAP70;TBX21;HLA-DMB;IL6R;LCK;MAPK1;MAPK11;IL1B;IRF4;HLA-DRB1
5,prerank,Human T-cell leukemia virus 1 infection,0.27038606627822476,2.452910876132587,0.0,0.0016170311308437708,0.007,101/188,33.00%,PRKACG;MAP2K2;CCND2;IL2RB;HLA-DRB5;NFATC3;TNFRSF13C;SLC25A5;HRAS;NRP1;MAPK9;HLA-DMA;JAK1;MAPK3;SLC25A4;PPP3CA;KAT2B;FOS;TNFRSF1A;ICAM1;NFATC2;HLA-DOA;CHUK;CCNE1;SLC2A1;CCND3;STAT5A;PRKACB;FDPS;CDK4;TP53;RB1;HLA-DPA1;CDKN2A;AKT1;PRKACA;ADCY9;SMAD4;TSPO;CCNA1;ATF4;ETS2;CHEK1;CALR;IL15RA;MAP2K1;PIK3CA;CDK2;BAX;NFATC4;PIK3CD;MAP2K4;EGR1;HLA-DRA;MSX2;ATF2;CDKN2C;MAP3K1;PPP3R2;POLB;BUB1B;CD3E;SLC25A6;TGFB1;TGFBR1;HLA-DPB1;MYC;KRAS;DLG1;HLA-A;RELA;NFATC1;TGFB2;IL1R1;CD3D;LTBR;TGFBR2;IKBKG;NFYB;JUN;SMAD2;CREB3L4;TGFB3;ADCY5;CHEK2;HLA-DQA2;NFKBIA;NFKB2;FOSL1;AKT3;KAT2A;HLA-DQA1;ETS1;B2M;IL15;CREB3L2;SMAD3;MAP3K14;MAPK8;HLA-DOB;IL2
6,prerank,Adipocytokine signaling pathway,0.3491036997697445,2.452271439476617,0.0,0.001386026683580375,0.007,38/61,32.88%,G6PC3;MAPK9;IRS2;TNFRSF1A;PRKAA1;CHUK;SLC2A1;RXRA;ACSL4;CPT1A;AKT1;IRS1;PRKAB1;PRKAG1;G6PC;LEPR;ACSL1;JAK2;NFKBIB;PPARA;SLC2A4;ACSL6;ADIPOR2;STAT3;RELA;NFKBIE;PRKAG3;CD36;IKBKG;STK11;NFKBIA;CAMKK2;AKT3;PRKAG2;TRADD;PCK2;MAPK8;G6PC2
7,prerank,Hepatitis B,0.2783056782205939,2.4424846031245675,0.0,0.0016170311308437708,0.01,99/153,42.16%,SOS2;MAP2K2;NFATC3;HRAS;MAPK9;APAF1;JAK1;MAPK3;FOS;IRAK1;IFNA21;NFATC2;MAP2K7;CHUK;CCNE1;IFNA10;BAD;STAT5A;STAT6;GRB2;IFNA4;TP53;RB1;TRAF6;IFNA1;AKT1;MAP2K3;SMAD4;IRF7;CCNA1;ATF4;CYCS;DDB2;MAP2K1;PIK3CA;CDK2;BAX;IFNA2;NFATC4;JAK2;PIK3CD;MAP2K4;TICAM2;ATF2;BRAF;CASP3;MAP3K1;TLR2;PCNA;TGFB1;BID;MMP9;FAS;TGFBR1;MYC;IFNA7;KRAS;STAT3;RELA;NFATC1;IFNAR1;TGFB2;HSPG2;TGFBR2;IKBKG;JUN;PRKCA;SMAD2;BCL2;CREB3L4;IKBKE;TGFB3;BIRC5;NFKBIA;TLR3;IFNA8;AKT3;CREB3L2;MYD88;SMAD3;TYK2;MAPK8;MAP3K7;IFNB1;NRAS;EGR3;CCNE2;E2F1;CDKN1A;MAPK1;IFNA17;MAPK11;SOS1;FADD;TBK1;IRAK4;CREB1;CREB3;IFNA14
8,prerank,Colorectal cancer,0.3281064289246134,2.4420246740400633,0.0,0.001437361005194463,0.01,60/79,47.91%,SOS2;MAP2K2;HRAS;MAPK9;MAPK3;FOS;TCF7L2;EGFR;BAD;GRB2;LEF1;TP53;RPS6KB1;RAC1;AKT1;SMAD4;RALGDS;CYCS;DDB2;MAP2K1;PIK3CA;BAX;EREG;MLH1;PIK3CD;BRAF;CASP3;RHOA;TGFB1;MSH2;TGFBR1;MYC;KRAS;TGFB2;TGFBR2;JUN;SMAD2;BCL2;TGFB3;BIRC5;AKT3;RALA;AXIN1;GADD45B;SMAD3;MAPK8;RPS6KB2;NRAS;BAK1;CDKN1A;MAPK1;RALB;SOS1;AXIN2;CTNNB1;MTOR;TGFA;GADD45A;PIK3R1;TCF7
9,prerank,Osteoclast differentiation,0.288558684499107,2.4174160962029934,0.0,0.0015092290554541861,0.012,81/121,43.31%,MAPK9;TREM2;JAK1;MAPK3;PPP3CA;FOS;TNFRSF1A;SIRPG;NFATC2;SIRPA;MAP2K7;FHL2;CHUK;GRB2;ACP5;TRAF6;PPARG;CSF1R;RAC1;AKT1;JUND;LILRA6;TNFRSF11A;MAP2K1;PIK3CA;TEC;IFNG;PIK3CD;PPP3R2;IFNGR1;PLCG2;IFNGR2;TGFB1;CTSK;TGFBR1;FCGR3B;RELA;NFATC1;IFNAR1;TGFB2;IL1R1;SQSTM1;TGFBR2;IKBKG;JUN;NOX1;FCGR2A;LCP2;LILRB3;FCGR1A;FOSB;NFKBIA;NFKB2;MITF;FOSL1;AKT3;CYLD;TYK2;MAP3K14;MAPK8;MAP3K7;IFNB1;CAMK4;FCGR2B;BTK;CALCR;FOSL2;NCF2;LCK;MAPK1;LILRA2;MAPK11;FCGR3A;JUNB;IL1B;NCF1;ITGB3;CREB1;SPI1;TNFRSF11B;SOCS1
