,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.4384923405723773,2.1039785369285218,0.0,0.00504405754994534,0.005,111/153,38.67%,FAS;HRAS;IRAK4;CREBBP;TNF;NFKBIA;TP53;CREB1;TLR2;CHUK;SMAD2;IFNAR1;MAPK9;TICAM2;BIRC5;IFNA5;TGFBR1;BID;IFNA10;AKT1;CCNA2;IFNA2;GRB2;CDKN1A;MAP2K4;MAPK14;SRC;IKBKE;JAK3;RELA;MMP9;E2F3;NRAS;STAT5B;TICAM1;CASP9;PTK2B;RAF1;IKBKG;APAF1;PIK3CD;IFNA8;ATP6AP1;IKBKB;BRAF;ELK1;NFKB1;CREB3L4;BAX;TBK1;CASP8;FASLG;STAT6;FADD;MAP3K1;IFNA17;RB1;EGR3;IFNA1;ATF2;MAPK3;PIK3R1;CYCS;PRKCG;FOS;MAP2K2;CCNA1;SMAD3;STAT1;PRKCB;STAT2;JAK2;IRF3;TGFB1;AKT3;BAD;NFATC3;CASP3;CASP10;MAP2K6;STAT5A;CCNE1;TGFB2;TRAF6;MYD88;MAPK8;TGFB3;MAPK12;ARAF;MAP3K7;TGFBR2;TLR3;KRAS;STAT3;BCL2;CREB3L1;CDK2;TYK2;CXCL8;SLC10A1;DDB2;PRKCA;IFNA7;MYC;IRAK1;IFNB1;JUN;PIK3CA;E2F1;IFIH1;MAPK13
1,prerank,Chronic myeloid leukemia,0.47245107586717683,2.0904226431359763,0.0,0.0030264345299672044,0.006,53/71,35.39%,HDAC2;HRAS;NFKBIA;TP53;CHUK;CRKL;BAK1;TGFBR1;BCR;ABL1;AKT1;GRB2;CDKN1A;SHC4;HDAC1;RELA;CTBP1;CBL;E2F3;NRAS;STAT5B;RAF1;IKBKG;RUNX1;GADD45B;PIK3CD;IKBKB;BRAF;NFKB1;BAX;BCL2L1;RB1;MAPK3;CDKN1B;PIK3R1;MAP2K2;SMAD3;PTPN11;TGFB1;AKT3;BAD;STAT5A;TGFB2;SHC1;TGFB3;ARAF;TGFBR2;KRAS;MDM2;CDK6;DDB2;CDK4;MYC
2,prerank,Prostate cancer,0.4423382506520017,2.0142304513883467,0.0,0.00571659855660472,0.017,58/89,31.38%,HRAS;CREBBP;GSK3B;NFKBIA;TP53;CREB1;ETV5;CHUK;GSTP1;IGF1R;PDPK1;LEF1;AKT1;GRB2;CDKN1A;PDGFRA;RELA;HSP90AA1;MMP9;E2F3;NRAS;TCF7L2;CASP9;RAF1;IKBKG;PIK3CD;PTEN;EGFR;IKBKB;BRAF;NFKB1;CREB3L4;ERBB2;INS;ZEB1;KLK3;RB1;CTNNB1;ERG;MAPK3;CDKN1B;PIK3R1;FGFR2;MAP2K2;FOXO1;PLAT;AR;AKT3;BAD;CCNE1;INSRR;ARAF;KRAS;MDM2;PLAU;BCL2;CREB3L1;CDK2
3,prerank,Influenza A,0.41302485478927575,1.9844813482839943,0.0,0.006052869059934409,0.023,106/145,41.79%,FAS;HLA-DMB;IRAK4;CREBBP;OAS1;HLA-DPA1;GSK3B;TNF;FURIN;NFKBIA;IL1B;IFNAR1;NXF1;NLRP3;TLR7;MAPK9;IL12A;IFNA5;IL18;TNFRSF10B;NFKBIB;HLA-DRB4;IFNGR1;IFNA10;CCL2;ADAR;OAS2;AKT1;SLC25A6;IFNA2;MAP2K4;MAPK14;IKBKE;VDAC1;IFNAR2;RELA;PABPN1;IFNGR2;HLA-DQA1;TNFRSF10A;EIF2AK3;TICAM1;CASP9;RAF1;PIK3CD;IFNA8;ICAM1;IKBKB;NFKB1;TBK1;IRF9;FASLG;RAE1;PRSS1;IFNA17;IFNA1;ATF2;MAPK3;PIK3R1;CYCS;MAP2K2;EIF2AK2;STAT1;PRKCB;STAT2;EIF2S1;JAK2;IRF3;AKT3;HLA-DQA2;MAP2K6;ACTB;IL12B;MYD88;ACTG1;MAPK8;MAPK12;TLR3;CIITA;HLA-DRB5;PML;PRSS3;TYK2;HLA-DPB1;CXCL8;PRKCA;FDPS;HLA-DRB3;IFNG;IFNA7;OAS3;IFNB1;JUN;PIK3CA;IFIH1;EIF2AK4;MAPK13;IFNA14;PYCARD;HLA-DRB1;CPSF4;MAP2K7;IL33;HLA-DMA;HLA-DQB1;HLA-DOB
4,prerank,Measles,0.4126054380214862,1.9693669983600415,0.0,0.005447582153940969,0.026,89/126,39.30%,FAS;IRAK4;OAS1;GSK3B;NFKBIA;TP53;TLR2;IL1B;CHUK;CSNK2B;IFNAR1;TLR7;MAPK9;IL12A;BAK1;CBLB;IFNA5;BID;NFKBIB;IFNA10;ADAR;OAS2;AKT1;IFNA2;IKBKE;IFNAR2;JAK3;RELA;EIF2AK3;STAT5B;CASP9;IKBKG;APAF1;PIK3CD;IFNA8;IKBKB;NFKB1;BAX;TBK1;IRF9;CASP8;FASLG;FADD;BCL2L1;IFNA17;CD3E;IFNA1;CDKN1B;PIK3R1;CYCS;IL2RA;FOS;EIF2AK2;STAT1;RCHY1;STAT2;EIF2S1;IL2RB;IRF3;CSNK2A1;AKT3;BAD;CASP3;STAT5A;CCNE1;TRAF6;IL12B;BBC3;MYD88;MAPK8;MAP3K7;STAT3;TLR9;BCL2;CDK2;CDK6;TYK2;CDK4;IFNA7;OAS3;CSNK2A2;IRAK1;IFNB1;JUN;PIK3CA;IFIH1;EIF2AK4;CLEC4M;IFNA14
5,prerank,Toll-like receptor signaling pathway,0.42246434093104956,1.9619252408980654,0.0,0.004875922298280495,0.028,61/98,31.41%,IRAK4;IRF5;TNF;NFKBIA;TLR2;IL1B;TLR5;CHUK;IFNAR1;TLR7;MAPK9;IL12A;TICAM2;CCL3L3;IFNA5;CD14;IFNA10;MAP3K8;AKT1;IFNA2;CCL3;MAP2K4;MAPK14;IKBKE;IFNAR2;RELA;TLR8;TICAM1;IKBKG;CCL4L2;RAC1;PIK3CD;CD40;SPP1;IFNA8;IKBKB;NFKB1;TBK1;CASP8;FADD;CTSK;IFNA17;IFNA1;MAPK3;PIK3R1;FOS;MAP2K2;STAT1;IRF3;AKT3;MAP2K6;TRAF6;IL12B;MYD88;MAPK8;MAPK12;LBP;MAP3K7;TLR3;TLR9;CCL4
6,prerank,Hepatitis C,0.4122998215293904,1.9495188952270919,0.0,0.0043234778999531485,0.029,84/124,38.47%,FAS;PPARA;HRAS;OAS1;PPP2R1A;GSK3B;NR1H3;TNF;NFKBIA;TP53;CHUK;IFNAR1;BAK1;CLDN1;IFNA5;BID;IFNA10;OAS2;AKT1;IFNA2;GRB2;CDKN1A;IKBKE;IFNAR2;RELA;E2F3;CD81;NRAS;EIF2AK3;TICAM1;CASP9;CLDN11;RAF1;IKBKG;APAF1;PIK3CD;IFNA8;EGFR;IKBKB;BRAF;NFKB1;BAX;TBK1;IRF9;CASP8;FASLG;FADD;RXRA;CFLAR;PPP2CA;IFNA17;RB1;CTNNB1;PPP2R2C;IFNA1;MAPK3;PIK3R1;CYCS;MAP2K2;EIF2AK2;STAT1;STAT2;EIF2S1;IRF3;AKT3;BAD;CASP3;TRAF6;ARAF;TLR3;KRAS;STAT3;CDK2;CDK6;TYK2;CDK4;IFNG;IFNA7;MYC;OAS3;IFNB1;PIK3CA;E2F1;EIF2AK4
7,prerank,Pancreatic cancer,0.43657483354776805,1.9377214120257604,0.0,0.004035246039956273,0.031,56/71,42.00%,PLD1;TP53;CHUK;SMAD2;MAPK9;BAK1;TGFBR1;AKT1;CDKN1A;RELA;E2F3;RPS6KB2;CDC42;CASP9;RALGDS;RAF1;IKBKG;GADD45B;RAC1;PIK3CD;EGFR;IKBKB;BRAF;NFKB1;VEGFA;BAX;ERBB2;RPS6KB1;BCL2L1;BRCA2;RB1;MAPK3;PIK3R1;SMAD3;STAT1;TGFB1;AKT3;BAD;TGFB2;MAPK8;TGFB3;ARAF;TGFBR2;KRAS;STAT3;CDK6;DDB2;CDK4;RAC3;PIK3CA;E2F1;TGFA;RAD51;SMAD4;RALBP1;RALA
8,prerank,Epstein-Barr virus infection,0.3958618949584273,1.9320862707105597,0.0,0.004035246039956273,0.035,124/174,42.83%,HDAC2;FAS;HLA-DMB;IRAK4;OAS1;HLA-DPA1;TNF;HLA-A;NFKBIA;TP53;TLR2;CHUK;IFNAR1;SYK;MAPK9;BAK1;IFNA5;BID;NFKBIB;HLA-DRB4;IFNA10;OAS2;RELB;AKT1;CCNA2;IFNA2;CDKN1A;MAP2K4;MAPK14;ENTPD3;IKBKE;IFNAR2;HES1;JAK3;HDAC1;RELA;E2F3;NCOR2;HLA-DQA1;CASP9;IKBKG;APAF1;GADD45B;RAC1;TAPBP;PIK3CD;CD40;IFNA8;ICAM1;MAP3K14;CD58;IKBKB;NFKB1;SKP2;BAX;TBK1;IRF9;CASP8;FADD;IFNA17;CD3E;RB1;IFNA1;CALR;CDKN1B;PIK3R1;CYCS;CR2;EIF2AK2;CCNA1;STAT1;STAT2;IRF3;AKT3;CASP3;HLA-DQA2;MAP2K6;CCNE1;PSMD4;TRAF6;MYD88;MAPK8;PSMD3;MAPK12;MAP3K7;STAT3;MDM2;BCL2;LYN;CDK2;CDK6;HLA-DRB5;PLCG2;TYK2;HLA-DPB1;DDB2;USP7;VIM;CDK4;TAP1;HLA-DRB3;IFNA7;MYC;OAS3;IRAK1;ENTPD1;B2M;BTK;IFNB1;JUN;PSMD2;PIK3CA;E2F1;MAPK13;IFNA14;HLA-DRB1;MAP2K7;HLA-DMA;HLA-DQB1;HLA-DOB;TNFAIP3;TRADD;SIN3A;CCND3
9,prerank,Colorectal cancer,0.42264096798761785,1.9137785057472723,0.0,0.0044387706439519,0.043,50/79,31.06%,HRAS;GSK3B;AXIN2;TP53;SMAD2;MAPK9;EREG;BAK1;BIRC5;LEF1;TGFBR1;PMAIP1;AKT1;GRB2;RHOA;CDKN1A;MSH2;NRAS;TCF7L2;RPS6KB2;CASP9;RALGDS;RAF1;GADD45B;AXIN1;RAC1;PIK3CD;EGFR;BRAF;BAX;RPS6KB1;CTNNB1;MAPK3;PIK3R1;CYCS;FOS;MAP2K2;SMAD3;TGFB1;AKT3;BAD;CASP3;TGFB2;BBC3;MAPK8;TGFB3;ARAF;TGFBR2;KRAS;BCL2
