,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Relaxin signaling pathway,0.41594936887311257,2.9096834355221803,0.0,0.0,0.0,77/103,39.19%,ADCY2;MMP2;SMAD3;GNGT2;JUN;PRKACB;GNG7;MAPK13;AKT3;PRKACA;MAPK3;CREB3;MAP2K4;ADCY3;EDN1;MAPK12;MAPK9;CREB5;NRAS;GNAI1;SHC1;GNAS;TGFBR1;GNAI2;EGFR;PIK3CA;GNAI3;PIK3R1;HRAS;KRAS;MMP13;TGFBR2;PIK3CB;EDNRB;VEGFB;RXFP1;CREB1;GNB2;GNB5;GNG4;MAPK8;ARRB1;AKT1;GNG12;GNA15;GRB2;PLCB1;MMP1;ACTA2;FOS;RXFP4;ADCY9;GNB4;RELA;COL1A2;VEGFA;TGFB1;ADCY6;MAPK11;SOS2;PRKACG;RAF1;ATF2;PRKCA;SMAD2;GNG5;CREB3L4;SOS1;ADCY5;MMP9;MAP2K1;NFKBIA;MAPK14;PIK3CD;NFKB1;PLCB3;NOS2
1,prerank,Measles,0.3758932957018584,2.6889726159531966,0.0,0.0,0.0,81/126,32.51%,CSNK2A2;TP53;HSPA2;IL1B;JUN;BCL2;FAS;AKT3;IFNA8;STAT3;IL2;IFIH1;MAPK9;IRF7;TLR2;NFKBIB;TYK2;CASP8;CD46;CCND3;TBK1;JAK1;PIK3CA;IKBKG;PIK3R1;CBLB;IFNA2;EIF2AK1;STAT2;FCGR2B;TNFAIP3;TAB2;PIK3CB;CD3D;TLR4;JAK3;CCND2;IFNA17;IKBKE;IRAK1;MAPK8;IFNA4;IFNB1;IRF9;CLEC4M;IRAK4;BID;AKT1;IFNA10;CD3G;BCL2L1;EIF2AK4;FADD;RCHY1;CDK6;OAS3;CASP3;EIF2AK2;BAX;OAS1;FOS;HSPA1B;RELA;TRAF6;HSPA1A;APAF1;CHUK;CDK4;IL12A;SLAMF1;GSK3B;IKBKB;CDK2;DDX58;EIF2AK3;IL2RB;TLR9;IRF3;ADAR;CSNK2B;CYCS
2,prerank,T cell receptor signaling pathway,0.38208023125331153,2.664473124683772,0.0,0.0,0.0,70/98,38.75%,PAK6;JUN;MAPK13;AKT3;MAPK3;IL2;MAPK12;MAPK9;NRAS;NFKBIB;FYN;MAP3K14;LAT;PPP3R2;ICOS;PAK2;PIK3CA;TEC;IKBKG;PIK3R1;HRAS;CBLB;KRAS;IFNG;PPP3CA;NFKBIE;PIK3CB;CD3D;MALT1;CDC42;AKT1;CD3G;GRB2;CD247;LCK;CD40LG;FOS;PDPK1;NCK1;PAK4;RELA;PPP3CB;MAPK11;CHUK;SOS2;CDK4;NFATC3;GSK3B;IKBKB;CD8A;RAF1;NFATC2;CARD11;SOS1;MAP3K7;NFATC1;DLG1;GRAP2;MAP2K1;PTPN6;PPP3CC;NFKBIA;MAP3K8;MAPK14;CTLA4;ZAP70;RHOA;PIK3CD;PAK1;NFKB1
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34431417669302417,2.588726802763306,0.0,0.00026216583424230243,0.001,111/159,41.69%,TP53;PLCG2;GNGT2;JUN;IFNGR1;GNG7;MAPK13;FAS;AKT3;IFNA8;HIF1A;STAT3;MAPK3;HLA-A;MAP2K4;ITPR1;MAPK12;MAPK9;NRAS;IRF7;E2F1;TYK2;PIK3R6;CASP8;PPP3R2;RAC1;TBK1;JAK1;PIK3CA;IKBKG;PIK3R1;HRAS;IFNA2;KRAS;STAT2;PPP3CA;CD86;CALM3;HCK;PIK3CB;IFNA17;CREB1;GNB2;IKBKE;GNB5;GNG4;MAPK8;IFNA4;IFNB1;PIK3CG;IRF9;BID;AKT1;IFNA10;MAPKAPK2;GNG12;FADD;PIK3R5;CDK6;C3;TLR3;LYN;NFATC4;CASP3;EIF2AK2;BAX;PIK3C3;FOS;GNB4;BECN1;RELA;VEGFA;CCR5;JAK2;PPP3CB;MAPK11;FGF2;CHUK;CDK4;NFATC3;TICAM1;GSK3B;IKBKB;RAF1;NFATC2;UBB;MTOR;IRF3;GNG5;CYCS;TNFRSF1A;ITPR3;NFATC1;MAP2K1;EP300;PPP3CC;NFKBIA;MAPK14;BAK1;CALM2;RB1;CTNNB1;PIK3CD;CASP9;ATG3;NFKB1;IFNA16;CXCL2;ICAM1;AKT2;SYK
4,prerank,Neurotrophin signaling pathway,0.36426462385689173,2.5670571047443067,0.0,0.00020973266739384198,0.001,71/103,39.06%,ZNF274;TP53;RPS6KA1;PLCG2;IRS1;CAMK2A;JUN;BCL2;MAPK13;AKT3;FRS2;MAPK3;CAMK2G;MAPK12;SH2B3;MAPK9;NRAS;NFKBIB;SHC1;IRAK2;CAMK2D;RAC1;PIK3CA;PIK3R1;HRAS;KRAS;NFKBIE;CALM3;PIK3CB;ABL1;CRKL;CDC42;IRAK1;MAPK8;IRAK4;MAP3K1;AKT1;MAPKAPK2;GRB2;RAP1A;BAX;SORT1;NTRK2;NGFR;PDPK1;RELA;TRAF6;MAPK11;PSEN2;SOS2;RPS6KA6;GSK3B;RPS6KA3;IKBKB;RAF1;SOS1;NTRK3;ARHGDIA;BRAF;FOXO3;MATK;MAP2K1;MAP3K5;NFKBIA;MAPK14;RHOA;MAGED1;CALM2;PIK3CD;NFKB1;MAPK7
5,prerank,Apelin signaling pathway,0.36155649938265616,2.5216937442560594,0.0,0.0005243316684846049,0.003,66/105,33.26%,ADCY2;SMAD3;GNGT2;PRKACB;GNG7;AKT3;RPS6KB1;PRKACA;MAPK3;ITPR1;ADCY3;SMAD4;SPHK1;PRKAG1;MYLK2;NRAS;GNAI1;PIK3R6;TGFBR1;PRKAA1;GNAI2;MEF2D;EGR1;MYLK3;GNAI3;HRAS;KRAS;RRAS2;JAG1;CALM3;SLC9A1;HDAC4;PIK3R4;GNB2;APLNR;GNB5;GNG4;PLAT;PIK3CG;CDH1;AKT1;GNG12;PIK3R5;PLCB1;GNA13;PIK3C3;MEF2A;ACTA2;ADCY9;GNB4;BECN1;ADCY6;PRKAB1;MEF2B;RPS6KB2;PRKACG;RAF1;PPARGC1A;SMAD2;MTOR;GNG5;PRKCE;PRKAB2;ADCY5;PRKAG2;ITPR3
6,prerank,Human immunodeficiency virus 1 infection,0.3285645368896194,2.5142182515002114,0.0,0.00044942714441537567,0.003,113/175,38.75%,PAK6;B2M;PLCG2;RNF7;GNGT2;JUN;GNG7;APOBEC3H;BCL2;MAPK13;FAS;AKT3;IFNA8;RPS6KB1;MAPK3;HLA-A;ITPR1;MAPK12;MAPK9;FBXW11;NRAS;TRAF5;TLR2;GNAI1;CDK1;CASP8;PPP3R2;RAC1;GNAI2;TBK1;PAK2;PIK3CA;GNAI3;CXCR4;IKBKG;PIK3R1;HRAS;CHEK1;IFNA2;KRAS;RAC3;PPP3CA;CALM3;TAB2;PIK3CB;CD3D;WEE1;CALR;TLR4;MAP2K3;IFNA17;CRKL;GNB2;GNB5;ATM;GNG4;IRAK1;MAPK8;IFNA4;IFNB1;IRAK4;BID;AKT1;IFNA10;GNG12;CD3G;BCL2L1;FADD;CD247;PTK2;BST2;CDC25C;NFATC4;CASP3;BAX;SKP1;FOS;AP1S2;GNB4;PAK4;GNA11;RELA;TRAF6;CCR5;PPP3CB;MAPK11;CHUK;RPS6KB2;NFATC3;IKBKB;RAF1;NFATC2;APOBEC3D;PRKCA;TAP1;MTOR;IRF3;GNG5;CYCS;TNFRSF1A;ITPR3;MAP3K7;NFATC1;MAP2K1;PPP3CC;NFKBIA;MAPK14;BAK1;CALM2;PIK3CD;PAK1;CASP9;NFKB1
7,prerank,Toxoplasmosis,0.3579668852270351,2.510694848201249,0.0,0.00039324875136345373,0.003,77/99,47.04%,HLA-DMB;HSPA2;IFNGR1;IL10RB;BCL2;MAPK13;AKT3;HLA-DRB5;STAT3;MAPK3;BIRC2;MAPK12;MAPK9;TLR2;NFKBIB;GNAI1;TYK2;PIK3R6;HLA-DPA1;CASP8;GNAI2;JAK1;ALOX5;HLA-DMA;GNAI3;CIITA;IKBKG;IFNG;TAB2;LAMA3;TLR4;MAP2K3;IRAK1;MAPK8;PIK3CG;IRAK4;AKT1;BCL2L1;PIK3R5;CD40LG;CASP3;HSPA1B;PDPK1;HLA-DPB1;RELA;TGFB1;LAMB3;TRAF6;CCR5;JAK2;HSPA1A;MAPK11;CHUK;IL12A;IKBKB;BIRC7;HLA-DQB1;CYCS;TNFRSF1A;MAP3K7;IL12B;NFKBIA;MAPK14;CD40;SOCS1;CASP9;NFKB1;NOS2;ITGA6;AKT2;IFNGR2;BAD;HLA-DOB;HLA-DOA;TGFB3;STAT1;BIRC3
8,prerank,Th1 and Th2 cell differentiation,0.36541204332542804,2.503207870677638,0.0,0.0003495544456564033,0.003,58/87,36.93%,HLA-DMB;JUN;IFNGR1;STAT4;MAPK13;HLA-DRB5;MAPK3;IL2;MAPK12;MAPK9;NFKBIB;TYK2;HLA-DPA1;LAT;PPP3R2;RBPJ;JAK1;HLA-DMA;IKBKG;MAML2;STAT6;IFNG;JAG1;PPP3CA;NFKBIE;CD3D;JAK3;MAF;NOTCH2;MAPK8;CD3G;CD247;LCK;GATA3;DLL4;FOS;HLA-DPB1;RELA;JAK2;IL4R;PPP3CB;MAPK11;CHUK;TBX21;IL12A;NFATC3;IKBKB;NFATC2;IL2RB;NOTCH1;HLA-DQB1;NFATC1;IL12B;PPP3CC;NFKBIA;MAPK14;IL13;ZAP70
9,prerank,Chagas disease (American trypanosomiasis),0.3611155484227498,2.5002049936075714,0.0,0.000314599001090763,0.003,67/97,39.19%,SMAD3;IL1B;JUN;IFNGR1;MAPK13;FAS;AKT3;MAPK3;MAP2K4;IL2;MAPK12;MAPK9;TLR2;GNAI1;GNAS;TGFBR1;CASP8;GNAI2;PIK3CA;KNG1;GNAI3;IKBKG;PIK3R1;IFNG;TGFBR2;PIK3CB;CD3D;CALR;TLR4;IRAK1;MAPK8;IFNB1;CCL3;IRAK4;AKT1;GNA15;CD3G;FADD;CD247;PLCB1;C3;FOS;GNA11;RELA;TGFB1;TRAF6;CCL2;MAPK11;CHUK;IL12A;TICAM1;IKBKB;ACE;SMAD2;BDKRB2;TLR9;TNFRSF1A;IL12B;CCL5;PPP2R2C;NFKBIA;MAPK14;PIK3CD;CFLAR;NFKB1;PLCB3;NOS2
