,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chronic myeloid leukemia,0.46258042575413766,2.899777772789396,0.0,0.0,0.0,61/71,44.40%,AKT2;TGFBR2;RELA;MYC;HRAS;GRB2;ARAF;NFKB1;PIK3R1;MAPK1;BRAF;MAP2K2;CDKN1A;TGFBR1;BCL2L1;E2F1;TGFB3;CDK4;CDKN1B;SMAD3;IKBKB;NRAS;RB1;ABL1;AKT1;TP53;HDAC1;MECOM;GADD45B;PIK3CD;MAP2K1;RAF1;CBL;PIK3CA;NFKBIA;MDM2;STAT5A;CTBP2;MAPK3;IKBKG;CRKL;RUNX1;PIK3R3;GADD45A;TGFB1;CRK;SHC4;DDB2;AKT3;CTBP1;BAD;CDK6;SOS1;SHC1;BCR;CDKN2A;BAX;BAK1;CHUK;HDAC2;STAT5B
1,prerank,Colorectal cancer,0.4331133736106798,2.8112085051679223,0.0,0.0,0.0,60/79,38.65%,AKT2;AXIN1;TGFBR2;MYC;HRAS;GRB2;ARAF;PIK3R1;CTNNB1;MAPK1;RPS6KB2;EGFR;BRAF;MAP2K2;CDKN1A;RALGDS;TGFBR1;GSK3B;TGFB3;SMAD3;MSH2;BCL2;RHOA;NRAS;SMAD2;AXIN2;BBC3;CYCS;AKT1;TP53;GADD45B;PIK3CD;MAP2K1;RAF1;BCL2L11;PIK3CA;TCF7L2;CASP3;TGFA;MAPK3;BIRC5;PIK3R3;GADD45A;TCF7;MSH6;LEF1;JUN;MAPK8;TGFB1;RAC1;MAPK9;FOS;RAC3;DDB2;AKT3;BAD;SOS1;EREG;MTOR;AREG
2,prerank,Hepatitis B,0.38271420692048025,2.7831486605896263,0.0,0.0,0.0,118/153,44.78%,STAT3;MAP3K7;AKT2;TGFBR2;RELA;MYC;HRAS;YWHAQ;TRAF6;GRB2;ARAF;PTK2B;CREB1;BID;CREB3L1;IFNA10;NFKB1;PIK3R1;CCNA2;TIRAP;MAPK11;MAPK1;TRAF3;TLR2;PRKCG;BRAF;MAP2K2;CDKN1A;TGFBR1;PRKCA;E2F1;TGFB3;SMAD3;IKBKB;CCNA1;BCL2;ATP6AP1;MAPK12;CASP8;NRAS;CREB3L4;SMAD2;RB1;TYK2;CYCS;AKT1;FAS;MYD88;TP53;PIK3CD;MAP2K1;RAF1;CXCL8;ATF2;FASLG;MAP3K1;TLR4;MAP2K4;PIK3CA;IFNA7;TAB2;MAP2K6;NFKBIA;CREB3L2;CASP3;JAK3;NFATC3;STAT6;CREB5;STAT5A;TICAM1;MAPK3;CDK2;IFNAR1;IKBKG;SRC;BIRC5;TBK1;PIK3R3;STAT2;EGR3;IFNA1;JUN;MAPK8;TGFB1;SLC10A1;CASP10;MAPK9;IRAK4;TLR3;TNF;FOS;JAK2;FADD;DDB2;ELK1;AKT3;CCNE1;IRAK1;BAD;STAT1;SOS1;JAK1;APAF1;ATF4;IFNA2;IFIH1;CASP9;PRKCB;IKBKE;BAX;MAPK14;CHUK;IFNA5;STAT4;STAT5B;IFNA17;MAP2K7
3,prerank,Pancreatic cancer,0.43817828647964574,2.760852083399868,0.0,0.0,0.0,58/71,43.03%,STAT3;AKT2;TGFBR2;RELA;BRCA2;ARAF;NFKB1;ERBB2;PIK3R1;RALBP1;MAPK1;RPS6KB2;EGFR;BRAF;CDC42;CDKN1A;RALGDS;TGFBR1;BCL2L1;E2F1;TGFB3;CDK4;SMAD3;IKBKB;SMAD2;RB1;AKT1;TP53;GADD45B;PIK3CD;MAP2K1;RAF1;RAD51;PIK3CA;TGFA;PLD1;MAPK3;IKBKG;PIK3R3;GADD45A;VEGFA;MAPK8;TGFB1;RAC1;MAPK9;RAC3;DDB2;AKT3;BAD;CDK6;STAT1;MTOR;JAK1;CASP9;CDKN2A;BAX;BAK1;CHUK
4,prerank,Relaxin signaling pathway,0.40933561259097206,2.754919710749154,0.0,0.0,0.0,69/103,32.63%,AKT2;TGFBR2;GNAI2;RELA;HRAS;GRB2;CREB1;ACTA2;CREB3L1;NFKB1;PIK3R1;GNAI3;MAPK11;RXFP4;MAPK1;GNB2;COL4A5;EGFR;MAP2K2;ADCY1;TGFBR1;PRKCA;GNAS;SMAD3;MAPK12;COL4A2;NRAS;CREB3L4;SMAD2;AKT1;GNB5;PIK3CD;MAP2K1;RAF1;GNG12;ATF2;MMP1;MAP2K4;PIK3CA;NFKBIA;CREB3L2;GNG7;GNA15;PLCB4;CREB5;VEGFB;PRKACG;MAPK3;SRC;PRKCZ;PIK3R3;MMP13;VEGFA;ARRB1;PLCB3;JUN;MAPK8;TGFB1;EDNRB;PRKACB;RXFP1;GNB1;MAPK9;SHC4;NOS3;ADCY9;FOS;GNGT2;GNAI1
5,prerank,Bladder cancer,0.4921785625741075,2.698546433843979,0.0,0.0,0.0,27/39,25.01%,MYC;HRAS;ARAF;RPS6KA5;ERBB2;MAPK1;EGFR;BRAF;MAP2K2;CDKN1A;E2F1;CDK4;THBS1;FGFR3;NRAS;RB1;CDH1;TP53;MAP2K1;RAF1;CXCL8;MMP1;MDM2;MAPK3;HBEGF;SRC;VEGFA
6,prerank,Endometrial cancer,0.45234485549306935,2.693714958817893,0.0,0.0,0.0,35/53,27.19%,AKT2;AXIN1;MYC;HRAS;GRB2;ARAF;ERBB2;PIK3R1;CTNNB1;MAPK1;FOXO3;EGFR;BRAF;MAP2K2;CDKN1A;GSK3B;NRAS;AXIN2;AKT1;CDH1;TP53;GADD45B;PIK3CD;MAP2K1;RAF1;PIK3CA;TCF7L2;CTNNA1;MAPK3;PTEN;PIK3R3;GADD45A;TCF7;LEF1;ILK
7,prerank,ErbB signaling pathway,0.4117812004660533,2.673616827629083,0.0,0.0,0.0,57/79,38.65%,AKT2;PAK3;NRG1;MYC;HRAS;GRB2;ARAF;ABL2;ERBB2;PIK3R1;MAPK1;RPS6KB2;PRKCG;EGFR;BRAF;MAP2K2;CDKN1A;PRKCA;GSK3B;CDKN1B;ERBB4;NRAS;ABL1;AKT1;PIK3CD;MAP2K1;RAF1;CBL;MAP2K4;PIK3CA;TGFA;STAT5A;PLCG1;MAPK3;HBEGF;SRC;CRKL;PIK3R3;CAMK2G;ERBB3;JUN;MAPK8;PTK2;CRK;CBLB;MAPK9;SHC4;PAK4;ELK1;AKT3;BAD;SOS1;EREG;PAK5;SHC1;MTOR;AREG
8,prerank,MAPK signaling pathway,0.3376243260682099,2.6119263498317684,0.0,0.0,0.0,169/233,45.66%,MAP3K7;AKT2;RPS6KA4;CACNA1C;TGFBR2;RELA;MYC;STK3;HRAS;TRAF6;GRB2;ARAF;DAXX;RPS6KA5;MAPKAPK2;CACNB4;JMJD7-PLA2G4B;DUSP16;CACNA1F;NFKB1;ERBB2;IL1R1;IGF1R;PPP3R2;FLT4;RPS6KA2;DUSP9;INS;MAPK11;MAPK1;MAP4K4;MAP3K8;PRKCG;EGFR;BRAF;MAP2K2;CDC42;IGF2;DUSP2;PPP3CB;TGFBR1;PRKCA;TGFB3;MAPK8IP1;NTRK2;IKBKB;TRADD;PPP3CA;PLA2G4A;FGFR3;ERBB4;MAPK12;NRAS;MAP3K2;MAP3K11;DUSP4;FGF1;ELK4;FGFR4;AKT1;FAS;MYD88;TP53;MECOM;CD14;GADD45B;MAP2K1;RAF1;GNG12;ATF2;MET;FASLG;MAP3K1;MAP2K4;KITLG;TAB2;MAP2K6;MAX;CASP3;RAP1A;DDIT3;TGFA;PGF;TEK;NFATC3;ANGPT1;VEGFB;PRKACG;MAPK3;HSPA1A;IKBKG;HSPA8;DUSP6;CRKL;RASGRP1;PDGFC;GADD45A;VEGFA;TRAF2;ERBB3;MAPKAPK5;NGF;RPS6KA1;CSF1R;ARRB1;JUN;MAPK8;TGFB1;NFKB2;ECSIT;PRKACB;CACNA1H;CRK;CACNA1S;MEF2C;RAC1;FGF9;DUSP1;MAPK9;PPP3CC;FGF2;IRAK4;FLT1;IL1B;DUSP5;MAPKAPK3;TNF;TAOK2;FOS;MAPK7;CACNB2;RAC3;ELK1;GNA12;HSPA2;AKT3;IRAK1;SOS1;EREG;NF1;SRF;AREG;PPP5C;ATF4;PDGFRB;PRKCB;PDGFD;EPHA2;CACNA1G;CDC25B;MAP3K20;TAOK3;EFNA4;TNFRSF1A;CACNA1A;CACNA2D2;MAPK14;JUND;CHUK;PRKACA;NGFR;EFNA1;DUSP3;MAP2K7;MAP4K3;MAP4K1;DUSP10;MAPK13;PDGFRA
9,prerank,Renal cell carcinoma,0.4225257351112107,2.5996555057414628,0.0,0.0,0.0,41/62,31.23%,AKT2;PAK3;HRAS;GRB2;ARAF;EGLN1;PIK3R1;MAPK1;CUL2;BRAF;MAP2K2;CDC42;CDKN1A;ARNT;TGFB3;RBX1;NRAS;AKT1;PIK3CD;MAP2K1;RAF1;MET;PRCC;PIK3CA;RAP1A;TGFA;VHL;MAPK3;ARNT2;CRKL;PIK3R3;VEGFA;EGLN3;JUN;TGFB1;SLC2A1;CRK;RAC1;PAK4;ETS1;HIF1A
