,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.5110131473814976,2.298502861070958,0.0,0.0,0.0,46/60,33.01%,PTEN;G6PD;SLC2A2;SIRT3;PIK3R3;EGFR;PIK3CD;ERBB2;TIGAR;TP53;PIK3R1;AKT1;GLS;PFKL;PDHA1;HRAS;FGFR2;FGFR3;HIF1A;SIRT6;MAP2K1;HK3;PDHB;MAPK3;PFKM;AKT2;SLC7A5;PIK3CA;PDGFRB;GCK;FGFR1;LDHA;NTRK3;IDH1;SLC1A5;SLC2A1;RAF1;KRAS;PDK1;PIK3CB;RET;FLT3;MET;HK1;KIT;NRAS
1,prerank,Pancreatic cancer,0.5007937344843543,2.2963275279770374,0.0,0.0,0.0,49/70,30.05%,SMAD4;STAT3;TGFA;NFKB1;STAT1;TGFBR1;IKBKG;JAK1;PIK3R3;EGFR;PIK3CD;ERBB2;PLD1;TP53;DDB2;PIK3R1;AKT1;CDKN2A;RB1;CDK6;BRAF;RPS6KB2;RELA;SMAD3;BAX;CHUK;TGFBR2;CASP9;BAD;MAP2K1;BRCA2;GADD45B;RAC1;RALB;MAPK3;SMAD2;CDC42;AKT2;PIK3CA;RPS6KB1;MAPK8;IKBKB;RAC3;ARAF;RAF1;KRAS;BCL2L1;PIK3CB;CDK4
2,prerank,Melanoma,0.4943423927747324,2.1795212738374694,0.0,0.0010082271334086142,0.003,38/52,33.01%,PTEN;MITF;PIK3R3;FGF9;EGFR;PIK3CD;CDH1;TP53;DDB2;PIK3R1;AKT1;FGF1;CDKN2A;RB1;CDK6;FGF2;BRAF;HRAS;BAX;BAD;MAP2K1;GADD45B;IGF1;MAPK3;AKT2;PIK3CA;PDGFRB;PDGFD;FGFR1;IGF1R;ARAF;RAF1;KRAS;PIK3CB;CDK4;MET;CDKN1A;NRAS
3,prerank,Endometrial cancer,0.4839579661917326,2.1464170570771355,0.0,0.0012602839167607678,0.005,45/53,42.29%,PTEN;LEF1;SOS2;TCF7;PIK3R3;EGFR;PIK3CD;ERBB2;CDH1;TP53;MLH1;DDB2;PIK3R1;AKT1;CTNNB1;TCF7L1;BRAF;HRAS;CTNNA1;AXIN1;BAX;CASP9;BAD;MAP2K1;GADD45B;MAPK3;FOXO3;AKT2;PIK3CA;TCF7L2;GSK3B;ARAF;RAF1;KRAS;GRB2;PIK3CB;CDKN1A;NRAS;ELK1;APC;AXIN2;PDPK1;SOS1;MAPK1;AKT3
4,prerank,Acute myeloid leukemia,0.46223140501761634,2.109606242157962,0.0,0.001613163413453783,0.008,44/65,33.01%,STAT3;NFKB1;LEF1;EIF4EBP1;IKBKG;RUNX1;SOS2;TCF7;PIK3R3;PIK3CD;PIM1;PIM2;PIK3R1;AKT1;CSF2;TCF7L1;CEBPA;BRAF;RPS6KB2;HRAS;RELA;CHUK;BAD;MAP2K1;PML;PPARD;BCL2A1;MAPK3;AKT2;PIK3CA;TCF7L2;RPS6KB1;RUNX1T1;IKBKB;ARAF;RAF1;KRAS;GRB2;RARA;PIK3CB;FLT3;CD14;KIT;NRAS
5,prerank,Prostate cancer,0.4438773535388768,2.109283537201866,0.0,0.001344302844544819,0.008,59/89,30.82%,PTEN;IL1R2;TGFA;NFKB1;CREB3L4;LEF1;IKBKG;CREBBP;SOS2;TCF7;PIK3R3;EGFR;PIK3CD;CREB3;ERBB2;TP53;PIK3R1;MMP9;AKT1;CTNNB1;PLAT;RB1;TCF7L1;BRAF;HRAS;FGFR2;RELA;CHUK;CASP9;BAD;MAP2K1;KLK3;IGF1;MAPK3;INSRR;ERG;AKT2;PIK3CA;PDGFRB;TCF7L2;HSP90AB1;PDGFD;PLAU;FGFR1;IKBKB;AR;GSK3B;ETV5;IGF1R;ARAF;CREB1;HSP90AA1;RAF1;KRAS;GRB2;EP300;PIK3CB;GSTP1;BCL2
6,prerank,VEGF signaling pathway,0.4755073693074406,2.1079860832618573,0.0,0.0011522595810384163,0.008,35/52,29.69%,PLCG2;PIK3R3;PIK3CD;PPP3CB;PIK3R1;PPP3CA;AKT1;PLA2G4A;HRAS;CASP9;PTGS2;BAD;MAP2K1;MAPK14;NOS3;RAC1;MAPK11;MAPKAPK2;MAPK3;PTK2;PPP3R1;CDC42;AKT2;PIK3CA;MAPKAPK3;PRKCB;PPP3CC;RAC3;JMJD7-PLA2G4B;RAF1;PRKCG;KRAS;MAPK13;HSPB1;PIK3CB
7,prerank,AGE-RAGE signaling pathway in diabetic complications,0.43594987534308194,2.0952503955531236,0.0,0.0010082271334086142,0.008,68/88,42.82%,SMAD4;STAT3;NFKB1;PLCG2;THBD;AGTR1;VEGFB;STAT1;TGFBR1;PIK3R3;PIK3CD;PIM1;MMP2;PIK3R1;AKT1;IL1B;TNF;HRAS;EDN1;JUN;RELA;SMAD3;BAX;TGFBR2;EGR1;NOX1;F3;MAPK14;NOS3;CASP3;RAC1;MAPK11;MAPK3;SMAD2;CXCL8;COL4A5;CDC42;AKT2;PIK3CA;PRKCZ;PRKCB;IL6;MAPK8;COL4A3;SERPINE1;PLCB1;PLCB3;CCL2;KRAS;MAPK13;FN1;PIK3CB;CDK4;BCL2;NRAS;ICAM1;JAK2;CDKN1B;PLCE1;TGFB1;PRKCD;VEGFA;VCAM1;MAPK1;NFATC1;STAT5A;AKT3;CYBB
8,prerank,Porphyrin and chlorophyll metabolism,0.5759154913633049,2.066096865621805,0.0,0.001120252370454016,0.01,17/20,34.41%,BLVRA;HMOX2;UGT1A3;ALAS1;FXN;HMOX1;UGT2B28;GUSB;PPOX;UGT1A9;UGT1A6;UROD;FECH;ALAD;UGT1A1;CPOX;ALAS2
9,prerank,Colorectal cancer,0.43733260057522094,2.045496402301245,0.0,0.0013106952734311986,0.013,52/78,33.01%,SMAD4;TGFA;LEF1;TGFBR1;SOS2;TCF7;PIK3R3;EGFR;PIK3CD;TP53;MLH1;DDB2;PIK3R1;AKT1;CTNNB1;BCL2L11;TCF7L1;BRAF;RPS6KB2;HRAS;AXIN1;JUN;SMAD3;BAX;TGFBR2;CASP9;BAD;MAP2K1;GADD45B;CASP3;RAC1;RALB;PMAIP1;MAPK3;SMAD2;AKT2;PIK3CA;TCF7L2;RPS6KB1;MAPK8;GSK3B;RAC3;ARAF;FOS;RAF1;KRAS;CYCS;GRB2;PIK3CB;BCL2;CDKN1A;NRAS
10,prerank,HIF-1 signaling pathway,0.4252074028658767,2.039378295550116,0.0,0.0012831981697927818,0.014,58/89,32.90%,GAPDH;STAT3;RPS6;NFKB1;PLCG2;IFNGR1;EIF4EBP1;CREBBP;EIF4E;PIK3R3;EGFR;PIK3CD;ERBB2;PIK3R1;EPO;AKT1;PFKL;PDHA1;HMOX1;RPS6KB2;EDN1;RELA;IL6R;HIF1A;MAP2K1;HK3;NOS3;IGF1;PDHB;MAPK3;ENO1;AKT2;PGK1;PIK3CA;VHL;RPS6KB1;LTBR;PRKCB;IL6;CAMK2A;IFNGR2;SERPINE1;FLT1;LDHA;CAMK2D;IGF1R;SLC2A1;CAMK2G;PRKCG;PDK1;EGLN1;EP300;PIK3CB;BCL2;HK1;INSR;CDKN1A;ANGPT1
11,prerank,Non-small cell lung cancer,0.4470481202911417,2.0359439421112353,0.0,0.0011762649889767165,0.014,42/63,33.01%,STAT3;TGFA;PLCG2;RASSF1;SOS2;PIK3R3;RXRG;EGFR;PIK3CD;ERBB2;TP53;DDB2;PIK3R1;AKT1;CDKN2A;RB1;CDK6;BRAF;HRAS;BAX;CASP9;BAD;MAP2K1;FHIT;ALK;GADD45B;JAK3;MAPK3;FOXO3;AKT2;PIK3CA;PRKCB;ARAF;RAF1;PRKCG;KRAS;GRB2;RARB;PIK3CB;CDK4;CDKN1A;NRAS
12,prerank,Breast cancer,0.41462099061272006,2.028269456282075,0.0,0.0011633390000868628,0.015,73/112,36.50%,PTEN;NCOA3;LEF1;SOS2;TCF7;PIK3R3;FGF9;EGFR;WNT11;ESR1;PIK3CD;ERBB2;TP53;DDB2;PIK3R1;NFKB2;SHC4;AKT1;CTNNB1;FZD4;FGF1;DVL1;RB1;TCF7L1;FZD2;CDK6;FGF2;BRAF;RPS6KB2;HRAS;WNT1;AXIN1;JUN;BAX;PGR;WNT7A;SHC1;DVL2;MAP2K1;BRCA2;GADD45B;IGF1;MAPK3;WNT9A;DVL3;AKT2;FLT4;PIK3CA;TCF7L2;WNT3;RPS6KB1;NOTCH1;JAG1;FGFR1;GSK3B;IGF1R;ARAF;WNT7B;FOS;NOTCH2;RAF1;KRAS;GRB2;PIK3CB;CDK4;CDKN1A;KIT;NRAS;CSNK1A1;LRP6;BRCA1;APC;HES5
13,prerank,Neurotrophin signaling pathway,0.41689508945573406,2.020019507239637,0.0,0.0012242758048533174,0.017,63/102,30.82%,NFKB1;PLCG2;SOS2;ARHGDIA;CALM2;PIK3R3;PIK3CD;ABL1;NGFR;MAP3K5;IRAK2;RPS6KA1;CRK;TP53;PIK3R1;SHC4;AKT1;NFKBIE;RPS6KA5;PRDM4;BRAF;HRAS;IRS1;ARHGDIB;JUN;RELA;BAX;RAP1A;RPS6KA3;SHC1;BAD;SH2B3;CALM3;MAP2K1;ZNF274;MAPK14;RAC1;MAPK11;MAPKAPK2;MAPK3;FOXO3;CDC42;AKT2;PIK3CA;SORT1;MAPK8;IKBKB;CAMK2A;GSK3B;CAMK2D;NTRK3;RPS6KA2;TRAF6;CRKL;RAF1;CAMK2G;KRAS;MAPK13;GRB2;MAPK7;PIK3CB;IRAK4;BCL2
14,prerank,Citrate cycle (TCA cycle),0.5128461582529704,1.9925100731055,0.0,0.002016454266817229,0.03,17/27,20.69%,ACLY;DLAT;DLD;SDHD;PDHA1;CS;SDHA;IDH3B;SDHC;IDH3G;MDH2;PDHB;IDH3A;PCK2;OGDH;MDH1;ACO1
15,prerank,Glioma,0.4327071503324581,1.9911507046556554,0.0,0.0019534400709791903,0.031,41/65,30.05%,PTEN;TGFA;PLCG2;SOS2;CALM2;PIK3R3;EGFR;PIK3CD;CAMK1;TP53;DDB2;PIK3R1;SHC4;AKT1;CDKN2A;RB1;CDK6;BRAF;HRAS;BAX;SHC1;CALM3;MAP2K1;GADD45B;IGF1;MAPK3;AKT2;PIK3CA;PDGFRB;PRKCB;CAMK2A;CAMK2D;IGF1R;ARAF;RAF1;CAMK2G;PRKCG;KRAS;GRB2;PIK3CB;CDK4
16,prerank,Hepatitis B,0.3961006623464298,1.9909235290274627,0.0,0.001838531831509826,0.031,88/152,29.89%,SMAD4;STAT3;BID;NFKB1;IRF3;DDB1;CREB3L4;IFNA14;STAT1;TGFBR1;PTK2B;IKBKG;CREBBP;SOS2;JAK1;PIK3R3;CASP10;PIK3CD;CREB3;ATF2;STAT4;TP53;DDB2;PIK3R1;MMP9;MAP2K3;AKT1;TBK1;IKBKE;RB1;YWHAQ;EGR3;HSPG2;BRAF;TNF;HRAS;PCNA;JUN;RELA;SMAD3;STAT2;BAX;CHUK;TGFBR2;CASP9;BAD;DDX58;MAP2K1;IFNA2;MAPK14;CASP3;STAT6;MAPK11;FADD;FAS;JAK3;MAPK3;SMAD2;IFNB1;CXCL8;AKT2;PIK3CA;MYD88;TLR2;PRKCB;IL6;MAPK8;TICAM2;CCNA2;IKBKB;CASP8;ARAF;FOS;CREB1;TRAF6;RAF1;PRKCG;IRF7;KRAS;MAPK13;CYCS;NFATC3;IFNA7;IFIH1;GRB2;EP300;PIK3CB;IRAK4
17,prerank,Human immunodeficiency virus 1 infection,0.38556848667824917,1.9621076886235749,0.0,0.002464555214998835,0.042,98/174,29.89%,BID;NFKB1;PLCG2;IRF3;DDB1;AP1S2;ITPR3;IFNA14;HLA-A;PTK2B;IKBKG;GNG12;CALM2;PIK3R3;PIK3CD;CRK;PPP3CB;PIK3R1;GNB2;PAK1;PPP3CA;MAP2K3;AKT1;TBK1;APOBEC3H;GNGT2;RPS6KB2;TNF;HRAS;TAP2;CDC25C;JUN;RELA;BAX;GNA11;CHUK;SAMHD1;ATR;CASP9;FBXW11;BAD;CALM3;APOBEC3B;MAP2K1;TAP1;CHEK1;IFNA2;MAPK14;TAPBP;CASP3;RAC1;GNG8;MAPK11;FADD;FAS;MAPK3;IFNB1;GNB5;BTRC;CDK1;PTK2;PPP3R1;LIMK1;AKT2;PIK3CA;RPS6KB1;RNF7;MYD88;TRAF5;TLR2;CFL1;PRKCB;CALR;MAPK8;PPP3CC;ATM;IKBKB;CXCR4;RAC3;CASP8;GNAI2;FOS;CUL5;SKP1;TRAF6;TRADD;CRKL;RAF1;PRKCG;KRAS;MAPK13;CYCS;BCL2L1;NFATC3;IFNA7;GNG4;PIK3CB;IRAK4
