,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,RNA polymerase,0.5662048759671185,1.9998494171520924,0.0,0.020116750303580053,0.02,13/19,25.73%,POLR3E;POLR2D;POLR2E;POLR2H;POLR2F;POLR2K;POLR1C;POLR2I;POLR3K;POLR2A;POLR1E;POLR3D;POLR2C
1,prerank,Pentose phosphate pathway,0.5457874551281026,1.9231067584438168,0.0,0.027660531667422567,0.054,11/20,12.71%,PGD;TKT;RBKS;ALDOA;PRPS1L1;FBP1;H6PD;PFKL;GLYCTK;IDNK;RPIA
2,prerank,Mitophagy,0.44734437958165024,1.864811540040209,0.0,0.03520431303126508,0.093,25/43,27.15%,HIF1A;ATF4;CSNK2A2;BECN1;MAPK9;RELA;E2F1;BCL2L1;ATG5;HRAS;NRAS;CSNK2B;MAPK8;BCL2L13;PINK1;TBK1;TBC1D15;TP53;BNIP3L;PRKN;MITF;USP15;OPTN;FIS1;SQSTM1
3,prerank,NOD-like receptor signaling pathway,0.37609900568476795,1.7982176103353111,0.0,0.05582398209243464,0.187,87/142,36.28%,RHOA;NAMPT;PLCB1;NOD1;MAPK1;TXN;NFKBIB;STAT2;MAPK13;IKBKE;HSP90AA1;TLR4;IRAK4;MAPK9;TRAF5;RELA;STAT1;BCL2L1;ATG5;GBP7;VDAC1;RIPK1;IRF9;BIRC2;TRPM2;CASP4;CXCL2;BIRC3;PRKCD;FADD;NLRC4;IFNA21;ITPR1;TP53BP1;TNF;CAMP;GBP3;TNFAIP3;IFNA2;MAPK3;CARD9;MAPK8;IFNB1;HSP90AB1;ITPR3;IL1B;TBK1;TAB2;IL18;IFI16;CCL2;NLRP3;MAPK12;CARD8;OAS1;GBP2;PLCB3;IFNA10;RIPK2;ATG12;XIAP;IFNA16;TANK;ATG16L1;TICAM1;GBP1;IFNA14;CXCL3;IL6;SHARPIN;IRF7;DNM1L;ANTXR2;CXCL1;PANX1;CCL5;IFNAR2;NFKBIA;IFNA1;NAIP;ERBIN;TMEM173;BCL2;IFNA5;TRPM7;MAPK11;NOD2
4,prerank,Necroptosis,0.37927323233781984,1.7940292302068885,0.0,0.046872028207341515,0.196,74/121,37.57%,STAT3;STAT6;HMGB1;STAT2;STAT4;CFLAR;HSP90AA1;AIFM1;TLR4;MAPK9;TRAF5;CHMP6;FTH1;IFNG;FASLG;SLC25A6;PYGL;BID;STAT1;CAPN1;EIF2AK2;VDAC1;RIPK1;IRF9;JAK2;SLC25A4;PARP2;BIRC2;BIRC3;FADD;IFNA21;TNF;TNFAIP3;IFNA2;TNFRSF10A;TNFRSF10B;MAPK8;IFNB1;HSP90AB1;PLA2G4A;JAK3;IL1B;IL33;CAMK2A;NLRP3;VPS4A;PARP1;IFNA10;CAMK2G;XIAP;IFNA16;FAS;TICAM2;PPIA;SQSTM1;ZBP1;TICAM1;GLUL;CAMK2D;IFNA14;IFNGR1;HIST1H2AG;SHARPIN;DNM1L;IFNAR2;IFNA1;GLUD2;BCL2;IFNA5;TLR3;TRPM7;SLC25A5;PARP4;IFNA8
5,prerank,Prolactin signaling pathway,0.40313822746709205,1.7891342250209032,0.002004008016032064,0.0417422568799286,0.209,53/64,50.24%,STAT3;CCND2;GALT;SOCS4;PRLR;SOCS2;MAPK1;MAPK13;SHC4;AKT1;MAPK9;RELA;TH;STAT1;AKT3;JAK2;HRAS;NRAS;MAP2K1;IRF1;MAPK3;ESR2;MAPK8;CCND1;TNFRSF11A;SLC2A2;SHC1;RAF1;MAPK12;ESR1;GSK3B;PIK3R3;CISH;SOCS5;SOCS1;GCK;PIK3CA;FOS;CYP17A1;GRB2;MAPK11;PRL;KRAS;NFKB1;PIK3CB;PIK3CD;MAPK14;CGA;AKT2;STAT5A;SOS1;FOXO3;TNFSF11
6,prerank,Cytosolic DNA-sensing pathway,0.4136853867423433,1.780930095062178,0.001002004008016032,0.03937135416557809,0.225,43/53,48.58%,POLR3E;NFKBIB;POLR2E;IKBKE;POLR2H;POLR2F;POLR2K;RELA;POLR1C;RIPK1;IFNA21;IFNA2;IFNB1;POLR3K;IL1B;TBK1;IL33;DDX58;IL18;CCL4L2;POLR3D;IFNA10;IFNA16;ZBP1;IFNA14;IL6;IRF7;CCL5;NFKBIA;IFNA1;TMEM173;IFNA5;IFNA8;CCL4;IKBKG;NFKB1;CHUK;IFNA4;POLR3C;IKBKB;AIM2;CXCL10;ADAR
7,prerank,Pertussis,0.39615405469160364,1.7530802664898448,0.0,0.04752582259220787,0.292,46/66,40.57%,RHOA;NOD1;GNAI3;ITGB2;CXCL5;MAPK1;C4BPB;CFL1;CASP7;MAPK13;CALM1;TIRAP;TLR4;IRAK4;C2;MAPK9;IRF8;IL12A;RELA;GNAI2;IL10;C1S;CALM3;TNF;IRF1;MAPK3;MAPK8;GNAI1;IL1B;NLRP3;MAPK12;C1QB;C1QC;TICAM2;C4B;TICAM1;CASP3;IL6;C4A;FOS;CD14;MAPK11;IL12B;ITGB1;NFKB1;C5
8,prerank,Neurotrophin signaling pathway,0.3715884494245912,1.7452741455746457,0.0,0.045821486802598996,0.311,91/103,57.31%,RHOA;RAC1;PDPK1;RPS6KA5;PRDM4;MAGED1;NGF;RAP1A;ATF4;MAPK1;NFKBIB;MAPK13;CALM1;SHC4;IRAK4;AKT1;MAPK9;SORT1;IRS1;RELA;FASLG;MAPK7;AKT3;CALM3;ARHGDIA;HRAS;NTRK3;NRAS;PRKCD;IRAK2;NTRK1;PLCG1;MAP2K1;PLCG2;MAPK3;ABL1;NFKBIE;CDC42;MAPK8;SHC1;RAF1;TP53;MAPKAPK2;CAMK2A;MAPK12;CAMK2G;RIPK2;GSK3B;CAMK2D;PIK3R3;PIK3CA;NFKBIA;MAP3K5;RPS6KA2;BCL2;GRB2;MAPK11;KRAS;NTRK2;PSEN1;BRAF;NFKB1;PIK3CB;JUN;MAP2K5;PIK3CD;CRK;MAPK14;IKBKB;AKT2;RPS6KA3;PSEN2;SOS1;FOXO3;IRAK1;PTPN11;RPS6KA6;CAMK4;ARHGDIB;ZNF274;NGFR;BAD;MAP3K1;TRAF6;PIK3R1;RPS6KA1;MAP2K7;CALML6;CRKL;MATK;MAP2K2
9,prerank,Melanogenesis,0.38178149592033583,1.7315911214869848,0.001,0.04807903322555632,0.35,41/79,26.31%,PLCB1;CREB1;ADCY9;GNAI3;DVL3;MAPK1;CALM1;CTNNB1;EDN1;CREB3L4;PRKACB;PRKACG;POMC;GNAI2;EP300;FZD10;CALM3;EDNRB;HRAS;WNT1;NRAS;ADCY3;WNT9B;PRKCG;PRKACA;MAP2K1;PRKCA;MAPK3;WNT11;GNAI1;FZD4;RAF1;DVL1;CAMK2A;FZD5;ADCY2;MITF;PLCB3;ADCY6;CAMK2G;GSK3B
