,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Proteasome,0.7080174239131675,2.5467611499803278,0.0,0.0,0.0,16/23,12.97%,PSMA3;PSMA1;PSMA5;PSMD1;PSMB1;PSMA7;PSMB2;PSMB8;PSMB5;PSMD2;PSMD4;IFNG;PSMB7;PSMD3;PSMF1;PSMB9
1,prerank,Spliceosome,0.5664753919516055,2.3582950588576437,0.0,0.0,0.0,33/53,21.65%,DDX42;PPIE;SF3A2;SF3B1;PHF5A;BUD31;SNRPA1;PUF60;SRSF3;CHERP;LSM6;PRPF6;SNU13;SNRNP70;DDX5;RBM8A;HSPA2;SNW1;DHX16;LSM7;HSPA1B;SRSF2;PPIH;NCBP1;PPIL1;DHX8;SNRPD1;HSPA8;SMNDC1;SNRPA;TCERG1;LSM2;LSM5
2,prerank,Chronic myeloid leukemia,0.5226257069189256,2.281191081753344,0.0,0.0,0.0,46/71,25.27%,KRAS;SOS2;MAP2K2;RAF1;AKT1;GRB2;PIK3R3;HRAS;MAPK1;MDM2;BAD;CDKN1A;STAT5B;DDB2;CTBP2;MYC;TGFBR2;TGFB1;SHC4;BCL2L1;AKT3;SHC1;GADD45A;CDKN1B;BRAF;TP53;RB1;PIK3CA;HDAC1;NRAS;GADD45B;CRKL;IKBKB;ARAF;SMAD3;RELA;SMAD4;CCND1;MAPK3;PIK3CB;CDK6;NFKBIA;IKBKG;CBL;CTBP1;MAP2K1
3,prerank,Cell cycle,0.5071343423469689,2.265845000806645,0.0,0.0,0.0,68/94,34.08%,MCM3;TTK;BUB3;CHEK1;CREBBP;CDC45;CDKN1C;CCNA2;BUB1B;MDM2;PLK1;CDKN1A;PRKDC;TFDP1;EP300;MYC;CDC25B;TGFB1;ORC1;CDK1;SKP1;CDC7;RBX1;CCNE1;WEE1;ESPL1;GADD45A;CDK2;CDKN1B;TP53;RB1;E2F5;HDAC1;GADD45B;CDK7;CCNA1;ATR;SMAD3;RBL2;BUB1;SMAD4;CDC25A;SMC1A;CCND1;SMAD2;YWHAH;PTTG1;CCNB1;MCM7;MCM2;MCM5;CDK6;PKMYT1;CCNH;PCNA;MCM6;CDKN2B;CDK4;STAG2;CDC25C;CDKN2C;CCNB2;TFDP2;CCND3;WEE2;HDAC2;GSK3B;SMC3
4,prerank,Viral carcinogenesis,0.4839795221872469,2.254458709631758,0.0,0.0,0.0,88/141,27.39%,CREB3L2;KRAS;ATF4;POLB;CHEK1;STAT3;HIST1H2BJ;CREBBP;GTF2E2;HDAC10;HDAC3;TRAF1;CCNA2;CASP8;GRB2;RHOA;HDAC4;PIK3R3;JUN;HRAS;MAPK1;LYN;MDM2;BAD;CDKN1A;STAT5B;EP300;DNAJA3;SNW1;CDK1;CREB3;DLG1;CCNE1;RAC1;SRC;CDK2;CDKN1B;TP53;RB1;PIK3CA;HDAC6;HDAC1;NRAS;GTF2H1;HLA-B;SRF;CCNA1;TRAF3;REL;IRF3;HDAC9;RBL2;LTBR;PRKACG;HIST1H2BK;RELA;HIST1H4I;HPN;JAK1;GTF2H2;CCND1;MAPK3;TRAF2;GTF2H3;YWHAH;PIK3CB;IL6ST;CDC42;CDK6;CCR3;NFKBIA;CREB3L4;HDAC8;IKBKG;PRKACA;CASP3;RBPJ;PKM;EGR2;ACTN4;PXN;PMAIP1;KAT2A;CDKN2B;USP7;EGR3;HDAC5;CDK4
5,prerank,Central carbon metabolism in cancer,0.516654043190502,2.189479374927089,0.0,0.000337172951399451,0.002,49/60,39.11%,KRAS;PFKL;MAP2K2;RAF1;AKT1;PIK3R3;HRAS;MAPK1;PDHB;EGFR;SLC7A5;MYC;GCK;SLC2A1;AKT3;RET;TP53;FGFR2;PIK3CA;NRAS;PDHA1;HK1;NTRK3;KIT;SLC1A5;PFKM;MAPK3;SIRT3;FGFR1;PIK3CB;LDHA;PKM;ERBB2;MAP2K1;PTEN;FGFR3;NTRK1;IDH1;GLS;G6PD;PDGFRB;MET;FLT3;PIK3CD;HK2;PIK3R1;HKDC1;MTOR;PDGFRA
6,prerank,Endometrial cancer,0.5153788944736004,2.180884788340516,0.0,0.0002890053869138151,0.002,35/53,25.33%,KRAS;SOS2;MAP2K2;RAF1;ELK1;AKT1;GRB2;PIK3R3;HRAS;MAPK1;APC;BAD;CDKN1A;DDB2;EGFR;MYC;AKT3;LEF1;CTNNB1;GADD45A;BRAF;TP53;PIK3CA;NRAS;GADD45B;ARAF;AXIN2;CCND1;MAPK3;AXIN1;PIK3CB;PDPK1;ERBB2;MAP2K1;PTEN
7,prerank,"Valine, leucine and isoleucine degradation",0.5435715963698019,2.1705731724368778,0.0,0.00025287971354958825,0.002,25/39,24.19%,ALDH1B1;HMGCS1;IL4I1;BCKDHA;HADH;ACADS;BCAT2;ACAD8;ACAA1;PCCB;ACAT2;DLD;ALDH6A1;HSD17B10;ACADM;BCAT1;OXCT1;ACADSB;ALDH3A2;HIBCH;ABAT;ALDH7A1;IVD;EHHADH;AOX1
8,prerank,Colorectal cancer,0.4928998811685547,2.16427476906991,0.0,0.000224781967599634,0.002,45/79,20.66%,KRAS;BCL2;SOS2;MAP2K2;RAF1;AKT1;GRB2;RHOA;PIK3R3;JUN;HRAS;MAPK1;APC;BAD;CDKN1A;DDB2;EGFR;MYC;TGFBR2;TGFB1;BIRC5;AKT3;LEF1;CTNNB1;RAC1;GADD45A;BRAF;TP53;PIK3CA;NRAS;GADD45B;BBC3;RPS6KB1;FOS;ARAF;CYCS;SMAD3;SMAD4;MSH6;AXIN2;CCND1;MAPK3;SMAD2;AXIN1;PIK3CB
9,prerank,Prostate cancer,0.47756215076747555,2.138508633085092,0.0,0.00020230377083967058,0.002,54/89,25.38%,CREB3L2;KRAS;BCL2;ATF4;SOS2;CREBBP;MAP2K2;RAF1;AKT1;GRB2;HSP90AB1;PIK3R3;HRAS;MAPK1;MDM2;BAD;CDKN1A;EGFR;EP300;ERG;CREB3;AKT3;LEF1;CCNE1;CTNNB1;ZEB1;CDK2;CDKN1B;BRAF;TP53;RB1;FGFR2;PIK3CA;NRAS;PLAT;IKBKB;PLAU;HSP90AA1;ARAF;RELA;KLK3;CCND1;MAPK3;FGFR1;PIK3CB;INS;NFKBIA;CREB3L4;IKBKG;PDPK1;ERBB2;MAP2K1;PTEN;IGF1R
