,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34368366504844794,2.9850814774292034,0.0,0.0,0.0,103/159,35.60%,GNB4;AKT1;MAPK13;BID;PIK3R5;E2F1;JUN;NFKBIA;HIF1A;PLCG1;NFATC3;STAT3;BAK1;FAS;PPP3R2;TBK1;FADD;JAK2;MAPK14;RB1;CTNNB1;HLA-A;IKBKE;RAF1;TP53;CCND1;C3;SYK;IFNA14;CASP8;IFNB1;IFNA21;CREBBP;TRAF3;TYK2;MAP2K1;GSK3B;IFNA16;GNB1;LYN;GNG12;CASP3;PIK3CD;NFATC2;RAC1;PIK3C3;TNFRSF1A;MAPK9;PPP3CA;TLR3;CDK6;TRADD;TRAF2;IFNA2;MTOR;EIF2AK2;IKBKB;PIK3R3;STAT2;BECN1;CHUK;PIK3CB;GNGT2;ITPR1;PIK3R6;MAPKAPK2;GNG11;IFNGR1;CALM3;FGF2;GNB2;CREB1;FOS;PIK3CA;CXCL3;AKT3;IFNAR1;CCR5;NFKB1;STAT1;CCR4;IFNA17;MAP2K6;NFATC1;CDKN1A;CALM1;MAPK8;GNG7;NFATC4;PIK3CG;IRF7;BAX;NRAS;HRAS;MYC;ICAM1;PIK3R1;AKT2;PLCG2;RELA;TICAM1;ATG3;CD86
1,prerank,Endometrial cancer,0.44036460393376853,2.891017057065109,0.0,0.0,0.0,39/53,33.66%,DDB2;AKT1;TCF7L2;GADD45B;BAK1;CTNNB1;AXIN2;RAF1;TP53;EGFR;CCND1;ERBB2;GRB2;MAP2K1;GSK3B;PIK3CD;SOS1;PIK3R3;LEF1;PIK3CB;APC;PDPK1;CTNNA1;PIK3CA;AKT3;PTEN;GADD45A;CDKN1A;AXIN1;ILK;BRAF;TCF7L1;MLH1;BAX;NRAS;HRAS;MYC;PIK3R1;AKT2
2,prerank,Neurotrophin signaling pathway,0.3604475027799198,2.8596059261010303,0.0,0.0,0.0,81/103,47.35%,NTRK3;AKT1;MAPK13;JUN;NFKBIA;NTRK1;IRS1;PLCG1;NFKBIB;RHOA;MAPK14;RAF1;TP53;MAP3K5;RIPK2;ABL1;ARHGDIA;SHC1;GRB2;CRKL;RPS6KA5;RAP1A;ATF4;MAP2K1;GSK3B;NGF;IRAK1;RPS6KA1;PIK3CD;RAC1;MAPK9;SOS1;BCL2;MAGED1;IKBKB;PIK3R3;PIK3CB;PDPK1;MAPKAPK2;CALM3;PIK3CA;IRAK2;AKT3;NFKB1;ARHGDIB;FRS2;MAP3K3;CALM1;MAPK8;CRK;PRDM4;MAPK7;BRAF;CAMK2G;CAMK2A;BAX;NRAS;IRAK4;HRAS;SORT1;PTPN11;PIK3R1;AKT2;PLCG2;RPS6KA6;MAP2K5;RELA;FOXO3;FASLG;CAMK4;BAD;MAPK3;RPS6KA3;PRKCD;CDC42;MAP2K7;SH2B3;MAP3K1;PSEN1;SOS2;CALML6
3,prerank,Colorectal cancer,0.38938164456473,2.8515270833395987,0.0,0.0,0.0,54/79,34.39%,DDB2;AKT1;TCF7L2;JUN;RALA;GADD45B;RHOA;BAK1;SMAD4;RPS6KB1;PMAIP1;CTNNB1;AXIN2;RAF1;TP53;EGFR;CCND1;RAC3;RPS6KB2;GRB2;TGFB3;MAP2K1;GSK3B;CASP3;PIK3CD;RAC1;MAPK9;SOS1;BCL2;MTOR;SMAD3;PIK3R3;LEF1;PIK3CB;APC;FOS;PIK3CA;AKT3;GADD45A;BCL2L11;CDKN1A;AREG;AXIN1;MAPK8;BRAF;TCF7L1;MLH1;BAX;NRAS;HRAS;MYC;PIK3R1;AKT2;TGFBR2
4,prerank,Apoptosis,0.3419561552237595,2.846882220860603,0.0,0.0,0.0,81/123,37.12%,MCL1;AKT1;BID;JUN;NFKBIA;NTRK1;GADD45B;BAK1;MAP3K14;FAS;FADD;DAXX;PMAIP1;DDIT3;CTSB;RAF1;TP53;BCL2L1;SPTAN1;MAP3K5;CASP8;CFLAR;BCL2A1;ACTB;ATF4;MAP2K1;NGF;CASP3;PIK3CD;TNFRSF1A;MAPK9;CTSW;TRADD;TRAF2;IL3RA;TUBA4A;BCL2;PARP2;IKBKB;PIK3R3;PRF1;BECN1;EIF2AK3;CHUK;PIK3CB;ITPR1;ERN1;PDPK1;DFFA;ATM;FOS;PIK3CA;AKT3;BIRC7;TUBA8;NFKB1;LMNA;HRK;TUBA3C;GADD45A;BCL2L11;MAPK8;CTSC;APAF1;PARP4;BAX;PARP1;NRAS;CASP7;CTSK;TNFRSF10B;HRAS;PIK3R1;AKT2;SPTA1;RELA;BIRC3;AIFM1;TRAF1;FASLG;CASP10
5,prerank,Chronic myeloid leukemia,0.3885800365993083,2.7338660713760987,0.0,0.0,0.0,53/71,39.67%,DDB2;AKT1;E2F1;NFKBIA;GADD45B;BAK1;SMAD4;CDKN1B;RB1;RAF1;TP53;BCL2L1;CCND1;ABL1;SHC1;GRB2;TGFB3;CRKL;MAP2K1;PIK3CD;CDK6;HDAC1;SOS1;BCR;SMAD3;IKBKB;PIK3R3;CHUK;PIK3CB;PIK3CA;AKT3;CDKN2A;NFKB1;GADD45A;MECOM;CDKN1A;CRK;BRAF;CTBP2;BAX;NRAS;HRAS;MYC;PTPN11;PIK3R1;STAT5A;AKT2;TGFBR2;RELA;TGFBR1;BAD;MAPK3;CDK4
6,prerank,TNF signaling pathway,0.3414574521245178,2.7147201801439405,0.0,0.0,0.0,69/104,37.12%,CREB3L2;TRAF5;AKT1;MAPK13;JUN;NFKBIA;IL15;RPS6KA4;MAP3K14;FAS;FADD;MAPK14;TAB2;CX3CL1;CCL2;MAP3K5;JAG1;CSF1;CASP8;IFNB1;CFLAR;EDN1;TRAF3;RPS6KA5;ATF4;MAP2K1;CXCL10;VCAM1;CASP3;PIK3CD;ATF2;TNFRSF1A;LTA;MAPK9;TRADD;TRAF2;VEGFC;IKBKB;PIK3R3;CXCL5;CHUK;PIK3CB;TNFAIP3;CREB1;FOS;PIK3CA;CXCL3;AKT3;BCL3;NFKB1;JUNB;MAP2K6;MLKL;CREB3L4;MAPK8;CCL20;CCL5;IL18R1;MAP3K8;CEBPB;CASP7;ICAM1;PIK3R1;AKT2;RELA;BIRC3;DNM1L;TRAF1;CASP10
7,prerank,Pancreatic cancer,0.3832497922075619,2.709697646762061,0.0,0.0,0.0,58/71,47.56%,DDB2;AKT1;E2F1;RALA;GADD45B;STAT3;BAK1;SMAD4;RPS6KB1;RB1;RAF1;TP53;BCL2L1;EGFR;CCND1;RAC3;ERBB2;RPS6KB2;TGFB3;MAP2K1;PIK3CD;RAC1;MAPK9;CDK6;MTOR;SMAD3;IKBKB;PIK3R3;CHUK;PIK3CB;PIK3CA;RAD51;AKT3;RALBP1;CDKN2A;NFKB1;STAT1;PLD1;GADD45A;CDKN1A;MAPK8;BRAF;BAX;PIK3R1;AKT2;TGFBR2;RELA;VEGFA;TGFBR1;BAD;MAPK3;CDK4;CDC42;TGFB2;IKBKG;TGFB1;BRCA2;JAK1
8,prerank,Measles,0.32500981513624627,2.661185027850473,0.0,0.00011927459917572889,0.001,85/126,39.67%,AKT1;BID;JUN;CSNK2A1;NFKBIA;NFKBIB;STAT3;BAK1;FAS;TBK1;FADD;CD46;CDKN1B;TAB2;OAS1;IKBKE;TLR9;TP53;BCL2L1;CCND1;IFIH1;IFNA14;CASP8;IFNB1;IFNA21;CDK2;JAK3;TRAF3;TYK2;GSK3B;IFNA16;CCND3;IRAK1;CASP3;PIK3CD;MAPK9;TLR7;CDK6;TRADD;TLR2;IFNA2;CD3D;BCL2;EIF2AK2;IKBKB;PIK3R3;ADAR;STAT2;EIF2AK3;CHUK;PIK3CB;TNFAIP3;EIF2AK1;IL12A;FOS;PIK3CA;CSNK2A2;AKT3;IFNAR1;NFKB1;STAT1;IFNA17;MAPK8;APAF1;CD209;CBLB;IRF7;HSPA1A;BAX;MX1;IRAK4;PIK3R1;OAS3;STAT5A;AKT2;RELA;CCNE1;EIF2AK4;HSPA1B;FASLG;IL2RB;IL2RA;TLR4;BAD;CDK4
9,prerank,Adipocytokine signaling pathway,0.3791134285560147,2.5980731214405415,0.0,0.000107347139258156,0.001,37/61,28.23%,ACSL4;PRKAG3;SLC2A1;AKT1;NFKBIA;G6PC2;IRS1;PRKAG2;NFKBIB;CPT1A;STAT3;JAK2;STK11;PRKAG1;PCK1;LEP;PPARGC1A;TNFRSF1A;ACSL3;MAPK9;TRADD;TRAF2;PRKAA1;G6PC;POMC;MTOR;IKBKB;PPARA;CHUK;AKT3;ADIPOR1;RXRA;NFKB1;PRKAB2;CPT1B;ACSL6;MAPK8
