,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.4854648186219996,2.604565011776531,0.0,0.0,0.0,33/53,22.24%,APC;PTEN;PIK3R2;MAPK3;TP53;ARAF;PIK3R3;MYC;MAPK1;PIK3CA;GSK3B;CTNNB1;BRAF;PIK3CD;PIK3R1;KRAS;CCND1;PDPK1;AKT1;FOXO3;RAF1;EGFR;LEF1;NRAS;AXIN2;TCF7L2;TCF7L1;AXIN1;CASP9;HRAS;ERBB2;AKT3;BAX
1,prerank,Central carbon metabolism in cancer,0.46004760071121176,2.5152146511306728,0.0,0.0,0.0,36/60,21.80%,HK1;PTEN;PIK3R2;SIRT3;FGFR3;MTOR;MAPK3;TP53;PIK3R3;MYC;MAPK1;PIK3CA;PDGFRA;MET;PFKM;PIK3CD;PIK3R1;KRAS;AKT1;RAF1;EGFR;HIF1A;NRAS;SLC7A5;FGFR2;PDK1;PDHB;NTRK1;PGAM1;G6PD;SLC1A5;SLC2A1;NTRK3;HRAS;ERBB2;AKT3
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.417320815473529,2.472915882218279,0.0,0.0,0.0,57/89,31.12%,BCL2;PIM1;JUN;VEGFA;PIK3R2;NFATC1;MAPK3;PIK3R3;RAC1;MAPK1;PIK3CA;SMAD4;TGFBR2;AGTR1;PRKCD;VEGFC;PIK3CD;SERPINE1;PIK3R1;KRAS;STAT5A;CCND1;AKT1;FOXO1;F3;TGFB2;SMAD3;PLCG2;STAT3;TGFB1;PLCG1;NRAS;RELA;CDC42;JAK2;CASP3;PLCE1;MAPK13;HRAS;AKT3;BAX;EGR1;MAPK14;CYBB;ICAM1;EDN1;TGFBR1;STAT1;FN1;MAPK9;NOX1;MAPK12;PRKCZ;NFKB1;AGER;MMP2;VEGFB
3,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3758922470596612,2.4094795049981985,0.0,0.0,0.0,113/159,41.24%,CASP8;IFNA2;BECN1;JUN;IKBKG;VEGFA;TICAM1;CXCL1;PIK3R2;PIK3CG;GNG12;NFATC1;CCR5;MTOR;MAPK3;GNB2;STAT2;TP53;PIK3R3;RAC1;CALM1;MYC;MAPK1;IFNA4;PIK3R6;PIK3CA;GSK3B;SYK;BID;CTNNB1;IFNA1;NFKBIA;IFNAR2;PIK3CD;PIK3R1;KRAS;CCND1;PIK3C3;AKT1;IL6ST;RAF1;HLA-A;PLCG2;HIF1A;STAT3;PLCG1;NRAS;IFNA8;IFNA7;RELA;GNG11;JAK2;GNG4;CDK6;TLR3;CASP3;CREB1;CASP9;FAS;MAPK13;HRAS;AKT3;TRAF3;BAX;MAPK14;MAPKAPK2;RCAN1;ICAM1;CD200R1;TBK1;STAT1;EIF2AK2;MAPK9;TRADD;TYK2;NFATC2;MAPK12;MAP2K1;NFKB1;CSF2;UBB;EP300;FOS;CREBBP;GNGT2;CXCL3;IFNAR1;FGF2;CYCS;GNB4;IFNA21;MICB;CDK4;TNFRSF1A;PPP3CA;IKBKB;CDKN1A;MAP2K6;HCK;LYN;GNG7;IFNA5;ATG3;CD86;GNG8;MAPK8;PPP3R2;ZFP36;JAK1;ITPR1;TRAF2;CALM3;IFNA14
4,prerank,Colorectal cancer,0.4084850550214257,2.3902933283966314,0.0,0.0,0.0,56/79,38.47%,BCL2;JUN;APC;PIK3R2;PMAIP1;MTOR;MAPK3;TP53;ARAF;PIK3R3;RAC1;MYC;MAPK1;PIK3CA;GSK3B;SMAD4;TGFBR2;CTNNB1;BRAF;PIK3CD;PIK3R1;KRAS;CCND1;AKT1;RAF1;EGFR;TGFB2;LEF1;SMAD3;TGFB1;NRAS;AXIN2;TCF7L2;TCF7L1;RPS6KB2;AXIN1;CASP3;CASP9;HRAS;AKT3;BAX;BCL2L11;TGFBR1;MAPK9;MAP2K1;RAC3;FOS;GADD45B;MLH1;CYCS;AREG;RHOA;CDKN1A;GRB2;MAPK8;EREG
5,prerank,Toxoplasmosis,0.37834864060575985,2.3065593919789085,0.0,0.0006844218128964979,0.004,71/99,40.23%,CASP8;BCL2;TLR4;IKBKG;PIK3CG;HLA-DRB5;CCR5;MAP2K3;SOCS1;MAPK3;MAPK1;PIK3R6;MYD88;HLA-DMB;IL12B;HLA-DQA1;HLA-DOB;NFKBIA;PDPK1;AKT1;TGFB2;IRAK1;STAT3;TGFB1;ITGA6;NFKBIB;RELA;HLA-DRA;JAK2;CIITA;CASP3;CD40;CASP9;MAPK13;AKT3;MAPK14;BIRC2;HLA-DMA;IRAK4;HSPA1B;LAMB2;GNAI1;IL10;GNAI2;IL12A;TAB2;STAT1;MAPK9;TYK2;PPIF;MAPK12;NFKB1;LDLR;ALOX5;HLA-DQB1;IRGM;LAMB3;BIRC7;IFNG;CYCS;ITGB1;TNFRSF1A;HLA-DPA1;IKBKB;BCL2L1;MAP2K6;MAPK8;TLR2;XIAP;TRAF6;JAK1
6,prerank,Acute myeloid leukemia,0.4068080567709577,2.2891582881249537,0.0,0.0005866472681969983,0.004,32/65,18.08%,PIM1;CSF1R;IKBKG;PIK3R2;MTOR;FCGR1A;MAPK3;ARAF;PIK3R3;MYC;MAPK1;PIK3CA;BCL2A1;BRAF;RARA;PIK3CD;PIK3R1;KRAS;STAT5A;CCND1;AKT1;RAF1;PPARD;LEF1;STAT3;PML;NRAS;RUNX1;RELA;TCF7L2;TCF7L1;RPS6KB2
7,prerank,Pancreatic cancer,0.3920694984951654,2.2624659186871026,0.0,0.0012832908991809336,0.01,47/71,37.07%,BRCA2;IKBKG;VEGFA;PIK3R2;MTOR;MAPK3;TP53;ARAF;PIK3R3;RAC1;RALBP1;MAPK1;PIK3CA;SMAD4;TGFBR2;BRAF;RAD51;PIK3CD;PIK3R1;KRAS;CCND1;AKT1;RAF1;EGFR;TGFB2;SMAD3;STAT3;TGFB1;RELA;CDC42;RPS6KB2;CDK6;CASP9;ERBB2;AKT3;BAX;TGFBR1;STAT1;MAPK9;MAP2K1;NFKB1;RAC3;GADD45B;CDK4;IKBKB;BCL2L1;CDKN1A
8,prerank,Prostate cancer,0.37909752950655445,2.254993013557198,0.0,0.001140703021494163,0.01,60/89,37.68%,BCL2;IKBKG;PTEN;PIK3R2;MTOR;MAPK3;TP53;ARAF;PIK3R3;MAPK1;PIK3CA;GSK3B;PDGFRA;CTNNB1;NFKBIA;BRAF;PIK3CD;PIK3R1;KRAS;CCND1;PDPK1;AKT1;FOXO1;RAF1;ATF4;EGFR;LEF1;ETV5;NRAS;FGFR2;INS;RELA;TCF7L2;TCF7L1;CREB3L4;GSTP1;CREB1;PLAT;CASP9;CCNE1;IL1R2;HRAS;ERBB2;AKT3;PLAU;ERG;AR;INSRR;HSP90B1;MAP2K1;NFKB1;EP300;CDK2;CREBBP;HSP90AB1;CREB3L2;IKBKB;CDKN1A;GRB2;MDM2
9,prerank,Prolactin signaling pathway,0.4024582862502423,2.2545427395988757,0.0,0.001026632719344747,0.01,47/64,40.46%,CYP17A1;PIK3R2;LHCGR;SOCS1;MAPK3;PIK3R3;MAPK1;PIK3CA;GSK3B;PIK3CD;PIK3R1;KRAS;STAT5A;CCND1;AKT1;FOXO3;RAF1;TNFSF11;SHC1;PRLR;STAT3;NRAS;INS;RELA;SOCS2;CGA;JAK2;CISH;SHC4;MAPK13;HRAS;AKT3;MAPK14;STAT1;MAPK9;IRF1;MAPK12;MAP2K1;NFKB1;CCND2;FOS;PRL;GRB2;MAPK8;ESR2;SOCS4;SOS2
10,prerank,Hepatitis C,0.3596015427572943,2.244085584975273,0.0,0.001119962966557906,0.012,97/124,48.59%,CASP8;IFNA2;IKBKG;TICAM1;CD81;PIK3R2;PPP2R2C;APAF1;EIF2S1;MAPK3;PPARA;STAT2;TP53;ARAF;PIK3R3;MYC;MAPK1;IFNA4;OAS1;PIK3CA;GSK3B;IFIT1;BID;CTNNB1;IFNA1;NFKBIA;IFNAR2;BRAF;PIK3CD;PIK3R1;KRAS;CCND1;AKT1;RAF1;EGFR;STAT3;NRAS;IFNA8;IFNA7;RELA;EIF2AK1;SCARB1;CDK6;DDX58;RXRA;CFLAR;PPP2R2D;TLR3;CASP3;CASP9;FAS;HRAS;AKT3;TRAF3;BAX;TBK1;STAT1;EIF2AK2;PPP2R1A;TRADD;TYK2;YWHAH;MAP2K1;NFKB1;LDLR;CDK2;IFNAR1;IFNG;CYCS;IFNA21;CDK4;RNASEL;TNFRSF1A;IKBKB;CDKN1A;GRB2;IFNA5;PPP2CB;NR1H3;TRAF6;JAK1;SOS2;TRAF2;IFNA14;RIPK1;EIF2AK4;PPP2CA;E2F1;YWHAZ;CHUK;BAK1;CXCL10;IFNA16;PIAS1;OAS3;MX1;SOCS3
11,prerank,T cell receptor signaling pathway,0.36595945489345166,2.203746982105738,0.0,0.0011977381725688714,0.014,69/98,40.46%,JUN;IKBKG;PIK3R2;RASGRP1;FYN;NFATC1;GRAP2;PAK4;MAPK3;LCK;PIK3R3;MAPK1;PIK3CA;GSK3B;MALT1;NFKBIA;PIK3CD;PIK3R1;KRAS;PDPK1;AKT1;RAF1;CD8A;PLCG1;IL5;NRAS;NFKBIB;NCK1;RELA;CDC42;CD247;NFKBIE;MAPK13;ICOS;PAK1;HRAS;BCL10;AKT3;PRKCQ;MAPK14;CD3D;IL10;CD8B;ZAP70;MAPK9;PAK2;VAV1;NFATC2;MAPK12;MAP2K1;NFKB1;CD3G;CSF2;FOS;PTPN6;CARD11;MAP3K8;IFNG;RHOA;CDK4;PPP3CA;IKBKB;GRB2;PPP3R2;CD28;CTLA4;IL2;CBLB;SOS2
