,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Adherens junction,0.40520124895762993,2.404964005096526,0.0,0.004185813731288957,0.004,37/58,29.15%,SMAD3;LEF1;CREBBP;ERBB2;WASL;PTPRM;ACTN1;CTNNB1;EGFR;FER;TCF7L2;ACTN4;ACTB;MAPK1;FGFR1;MET;TCF7L1;CSNK2B;TGFBR2;NECTIN2;SMAD4;CSNK2A1;NLK;YES1;FYN;PTPN1;PTPN6;RAC1;SMAD2;TJP1;MAPK3;CSNK2A2;EP300;INSR;PTPRF;WASF3;RAC3
1,prerank,Adipocytokine signaling pathway,0.3981193314896752,2.3879296996602286,0.0,0.0020929068656444787,0.004,50/61,48.47%,CHUK;JAK2;G6PC;ACSL6;G6PC3;TRAF2;STK11;PRKAG1;TNFRSF1B;PRKAA1;LEPR;LEP;G6PC2;AKT1;CPT1A;MTOR;CAMKK2;ACSL4;PRKAB2;NFKB1;IKBKG;RXRA;IRS1;MAPK9;PRKAG3;PRKAG2;SLC2A1;PCK2;PPARA;TNFRSF1A;PRKAA2;STAT3;POMC;RELA;ACSL3;NFKBIB;ADIPOR1;NFKBIA;AKT3;ACACB;PPARGC1A;NFKBIE;AKT2;PCK1;IKBKB;SLC2A4;CD36;MAPK8;SOCS3;TRADD
2,prerank,Pancreatic cancer,0.38342650662701133,2.3507184004992836,0.0,0.0024417246765852255,0.007,56/71,46.38%,CHUK;ARHGEF6;SMAD3;BCL2L1;TP53;PIK3CD;ERBB2;PIK3R1;CDK4;MAP2K1;AKT1;PIK3CA;GADD45B;MTOR;EGFR;GADD45A;CCND1;PLD1;MAPK1;NFKB1;IKBKG;TGFBR2;TGFB3;SMAD4;MAPK9;BAX;RAC1;BRCA2;PIK3R3;VEGFA;SMAD2;RPS6KB2;MAPK3;ARAF;RPS6KB1;STAT3;CASP9;STAT1;RAC3;RELA;CDKN1A;CDKN2A;CDK6;CDC42;RAD51;DDB2;AKT3;RB1;BAD;TGFB2;E2F1;AKT2;IKBKB;KRAS;BRAF;MAPK8
3,prerank,Fluid shear stress and atherosclerosis,0.343622773646097,2.3360682307588023,0.0,0.0020929068656444787,0.008,91/122,46.38%,CHUK;DUSP1;MEF2A;SDC2;KEAP1;TP53;CALML6;MAPK14;PTK2;PIK3CD;PRKAA1;MAP2K4;PIK3R1;IL1R2;MEF2C;MAPK13;GSTP1;ICAM1;MAP3K5;AKT1;PIK3CA;SDC4;ACVR1;BMPR1A;MAP2K6;CALM3;HMOX1;CTNNB1;PLAT;SQSTM1;PECAM1;GPC1;GSTM3;ACTB;PRKCZ;NFKB1;IKBKG;GSTM1;GSTO1;CDH5;NFE2L2;MAPK9;JUN;CAV3;THBD;GSTA5;RAC1;PIK3R3;BMPR2;VEGFA;ARHGEF2;ACVR2B;GSTM4;TXN;TNFRSF1A;BCL2;PRKAA2;MAPK7;ACVR2A;CAV1;SELE;RAC3;RELA;HSP90AB1;FOS;GSTA2;ASS1;TRPV4;MGST1;MAPK12;MAP2K7;AKT3;GSTM5;GSTT1;GSTA4;CCL2;KDR;NQO1;MAP2K5;CTSL;ITGB3;HSP90AA1;AKT2;RHOA;NCF1;SRC;IKBKB;NOX1;BMPR1B;EDN1;MAPK8
4,prerank,Insulin signaling pathway,0.34405404951739177,2.3089347528950674,0.0,0.0025114882387733744,0.012,87/110,49.90%,G6PC;PPP1CA;SOS2;G6PC3;CALML6;PRKAG1;PHKG2;PIK3CD;PRKAA1;CBLB;PRKAR2B;PIK3R1;PRKAR1B;PHKB;MAP2K1;RPTOR;G6PC2;AKT1;PIK3CA;PRKAR1A;PRKACG;CALM3;MTOR;PDPK1;EIF4E;PYGL;RHEB;PRKAB2;PRKCI;PRKCZ;MAPK1;MAP2K2;FOXO1;IRS1;MKNK1;MAPK9;PRKAG3;PRKAG2;PTPN1;SOCS2;GCK;PYGB;PIK3R3;INS;PCK2;RPS6KB2;MAPK3;PRKACB;ARAF;PRKAR2A;INSR;PRKAA2;PHKG1;RPS6KB1;PTPRF;HK1;RPS6;FBP1;SOCS1;HK2;MKNK2;SHC1;AKT3;ACACB;PKLR;HK3;PPARGC1A;BAD;PRKACA;TSC2;HKDC1;AKT2;PCK1;IKBKB;NRAS;SLC2A4;PPP1CC;KRAS;BRAF;MAPK8;SOCS3;CBL;HRAS;SHC4;RAF1;PHKA1;INPPL1
5,prerank,TNF signaling pathway,0.35001891678152897,2.308554973824422,0.0,0.0020929068656444787,0.012,84/104,51.38%,CHUK;JAG1;FAS;CXCL3;TRAF2;VEGFC;MAPK14;PIK3CD;TNFRSF1B;MAP2K4;PIK3R1;MAP2K1;MAPK13;ICAM1;MAP3K5;AKT1;CFLAR;PIK3CA;TAB3;IL6;RIPK1;MAP3K14;CEBPB;MAP2K6;CREB3L2;CASP3;MAPK1;NFKB1;IKBKG;CCL5;JUNB;FADD;TRAF3;NOD2;MAPK9;JUN;CASP8;CXCL1;PTGS2;MAP3K8;PIK3R3;TNFAIP3;CASP10;MAPK3;ATF2;CASP7;TNFRSF1A;CXCL10;SELE;RELA;TAB2;FOS;MLKL;CCL20;CXCL5;NFKBIA;LTA;DNM1L;IFNB1;TRAF5;MAPK12;MAP2K7;BCL3;AKT3;BIRC3;CCL2;ATF4;IL18R1;CX3CL1;RIPK3;AKT2;MAP2K3;IKBKB;EDN1;MAPK8;MAPK11;SOCS3;TRADD;CREB1;CXCL2;IRF1;MMP14;VCAM1;CSF1
6,prerank,Neurotrophin signaling pathway,0.34664665236041425,2.274739317516672,0.0,0.0020929068656444787,0.014,79/103,48.04%,SOS2;TP53;NGF;GAB1;CALML6;MAPK14;PIK3CD;FOXO3;RPS6KA6;PIK3R1;MAP2K1;MAPK13;MAP3K5;AKT1;PIK3CA;FRS2;RPS6KA3;CAMK2G;CALM3;CAMK4;PDPK1;PRKCD;SORT1;MAPK1;NFKB1;MAP2K2;IRS1;NTRK1;IRAK1;MAPK9;JUN;MAPKAPK2;BAX;RAC1;ABL1;IRAK3;PIK3R3;MAP3K3;NTRK3;MAPK3;BCL2;ARHGDIB;MAPK7;RELA;PLCG2;PLCG1;NFKBIB;CDC42;TRAF6;MAGED1;NFKBIA;MAPK12;MAP2K7;SHC1;AKT3;ARHGDIA;RPS6KA1;IRAK2;PRDM4;BAD;ATF4;RIPK2;NFKBIE;MAP2K5;SH2B3;AKT2;IRAK4;RHOA;IKBKB;NTRK2;NRAS;MAP3K1;KRAS;BRAF;MAPK8;PSEN1;MAPK11;HRAS;SHC4
7,prerank,Measles,0.32656859397247767,2.226341075500803,0.0,0.0035317803357750584,0.026,95/126,48.64%,CHUK;BCL2L1;FAS;TP53;PIK3CD;EIF2S1;TLR4;CBLB;PIK3R1;CDK4;AKT1;PIK3CA;HSPA2;IL6;CCND3;OAS3;CASP3;CCND1;TLR9;CD28;NFKB1;IKBKG;IL12B;CSNK2B;FADD;TLR7;TRAF3;IL12A;TBK1;CSNK2A1;IRAK1;IFNAR1;MAPK9;JUN;CASP8;BAX;BID;PIK3R3;IFNA21;EIF2AK3;TNFAIP3;CDK2;CCNE2;IRF3;CCND2;IFNAR2;CSNK2A2;IFNA1;BCL2;EIF2AK2;OAS1;STAT3;CASP9;EIF2AK1;STAT1;RELA;IRF7;TAB2;CDK6;FOS;STAT5A;NFKBIB;TRAF6;HSPA1A;NFKBIA;IL2RA;IL2RB;CCNE1;IFNB1;IL2RG;CD46;AKT3;RCHY1;IFIH1;MX1;FCGR2B;CD3E;BAD;HSPA1B;IL2;TLR2;AKT2;IRAK4;IFNA16;CD3D;STAT2;IKBKB;IKBKE;TYK2;MAPK8;CDKN1B;CD209;CYCS;TRADD;IFNA2
8,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3139058103731864,2.2154028715735534,0.0,0.0033719055057605495,0.028,118/159,49.19%,CHUK;JAK2;FAS;HIF1A;CREBBP;TP53;CXCL3;TRAF2;CALML6;ATG3;PIK3R5;NFATC1;MAPK14;PIK3CD;MAP2K4;GNG7;PIK3R1;CDK4;MAP2K1;MAPK13;ITPR1;ICAM1;AKT1;PIK3CA;IL6;FGF2;MAP2K6;CALM3;MTOR;CTNNB1;GNGT2;CASP3;CCND1;PPP3R2;PPP3CC;MAPK1;GNB1;NFKB1;MAP2K2;IKBKG;PIK3C3;FADD;TRAF3;TBK1;NFATC2;PPP3CA;IFNAR1;GNG11;MAPK9;JUN;CASP8;MAPKAPK2;BAX;GNG4;CXCL1;BID;PTGS2;RAC1;BECN1;PIK3R3;CD86;VEGFA;IFNA21;C3;NFATC3;HLA-A;MAPK3;TICAM1;IRF3;GNB4;IFNAR2;MYC;IFNA1;TNFRSF1A;EP300;EIF2AK2;STAT3;IFNGR1;CASP9;STAT1;RELA;CDKN1A;PLCG2;IRF7;CDK6;FOS;PLCG1;PIK3CG;NFKBIA;IFNB1;MAPK12;MAP2K7;GNB5;AKT3;UBB;RB1;TLR3;GNG5;E2F1;CCR4;NFATC4;AKT2;IFNA16;SRC;STAT2;IKBKB;NRAS;IKBKE;TYK2;KRAS;MAPK8;CYCS;MAPK11;GNG12;HRAS;TRADD;IFNA2;RAF1
9,prerank,Cellular senescence,0.3201227588101581,2.210991819210156,0.0,0.0030347149551844944,0.028,108/135,52.96%,CHEK2;SMAD3;PPP1CA;TP53;CALML6;RAD9A;NBN;NFATC1;MAPK14;PIK3CD;FOXO3;CHEK1;PIK3R1;CDK4;MAP2K1;MAPK13;ITPR1;AKT1;PIK3CA;E2F5;IL6;CDC25A;HUS1;CCNA2;TRAF3IP2;CCND3;KIR2DL4;MAP2K6;GADD45B;CALM3;TRPM7;CCNA1;MTOR;GADD45A;KIR2DL1;SQSTM1;CCND1;RHEB;PPP3R2;PPP3CC;MAPK1;NFKB1;MAP2K2;FOXO1;TGFBR2;TGFB3;NFATC2;PPP3CA;BTRC;MAPKAPK2;PIK3R3;NFATC3;SMAD2;HLA-A;MAPK3;CDK2;CCNE2;PTEN;ZFP36L1;CCND2;MYC;SLC25A4;PPID;ETS1;RELA;CDKN1A;CDKN2A;CDK6;TRPV4;FBXW11;CCNE1;MAPK12;HIPK3;AKT3;VDAC1;ATR;RBBP4;SIRT1;CDKN2B;RB1;RAD1;E2F4;TGFB2;RAD50;TSC2;RRAS2;E2F1;NFATC4;ATM;GATA4;AKT2;MAP2K3;NRAS;PPP1CC;ZFP36L2;KRAS;FOXM1;MAPK11;HRAS;SERPINE1;RAF1;HIPK1;SLC25A5;MDM2;TGFBR1;PIK3CB;RBL2;HIPK2
