,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.4332504327373026,2.6671480188930987,0.0,0.0,0.0,54/79,31.67%,KRAS;SMAD3;CASP3;SMAD4;CDKN1A;RALGDS;APC;JUN;GADD45B;MYC;RAF1;AKT1;CTNNB1;BRAF;TCF7L1;AXIN1;RHOA;CCND1;ARAF;PIK3CA;MAPK8;GSK3B;RPS6KB2;TP53;AXIN2;TGFBR1;MSH6;EGFR;TGFB3;BAD;EREG;BAX;RAC1;CYCS;RALA;BIRC5;SMAD2;FOS;MTOR;TGFB2;MAP2K2;MSH2;MAPK1;TCF7L2;TCF7;NRAS;TGFB1;LEF1;AKT2;PIK3CD;GRB2;SOS1;BCL2L11;AKT3
1,prerank,Central carbon metabolism in cancer,0.4510056513783268,2.6149172984177436,0.0,0.0,0.0,53/60,46.38%,KRAS;PFKL;GLS;MYC;RAF1;AKT1;SIRT3;SLC16A3;IDH1;ERBB2;PDHA1;PIK3CA;PFKP;PGAM1;NTRK3;HK1;FLT3;TP53;NTRK1;FGFR2;PTEN;EGFR;MET;SIRT6;LDHA;FGFR1;HIF1A;HK2;PDK1;GCK;MTOR;MAP2K2;MAPK1;PDHB;NRAS;HKDC1;RET;AKT2;PIK3CD;SLC7A5;AKT3;FGFR3;SLC2A1;G6PD;KIT;PIK3R3;PDGFRB;HK3;PIK3R1;MAPK3;HRAS;SLC2A2;MAP2K1
2,prerank,Pancreatic cancer,0.4190506075979823,2.5147483127079755,0.0,0.0006890065732232934,0.002,57/71,44.73%,KRAS;SMAD3;SMAD4;RAD51;CDKN1A;RALBP1;RALGDS;VEGFA;GADD45B;RAF1;AKT1;BRAF;RELA;ERBB2;STAT1;CCND1;ARAF;PIK3CA;MAPK8;E2F1;RPS6KB2;TP53;TGFBR1;RB1;EGFR;TGFB3;BAD;BAX;RAC1;RALA;CDC42;SMAD2;MTOR;TGFB2;MAPK1;TGFB1;AKT2;PLD1;PIK3CD;ARHGEF6;AKT3;CDK4;BCL2L1;IKBKB;RPS6KB1;STAT3;TGFBR2;JAK1;CHUK;BRCA2;PIK3R3;RAC3;NFKB1;CDK6;PIK3R1;MAPK3;MAPK9
3,prerank,Prostate cancer,0.3975708226848928,2.471290859468471,0.0,0.0005167549299174701,0.002,57/89,31.67%,PLAU;KRAS;CREB1;CDKN1A;CREB3L2;CREBBP;CDKN1B;PDPK1;HSP90AA1;RAF1;AKT1;MDM2;CTNNB1;BRAF;NFKBIA;RELA;TCF7L1;ATF4;ZEB1;ERBB2;HSP90AB1;CCND1;ARAF;PIK3CA;GSK3B;E2F1;EP300;INS;TP53;FGFR2;PLAT;GSTP1;PTEN;RB1;EGFR;CREB3L4;BAD;FGFR1;CCNE1;CDK2;NKX3-1;IL1R2;MTOR;FOXO1;MAP2K2;AR;IGF1;MAPK1;TCF7L2;TCF7;NRAS;LEF1;AKT2;PIK3CD;GRB2;SOS1;AKT3
4,prerank,Cell cycle,0.3904759859264101,2.46738014785712,0.0,0.0004134039439339761,0.002,57/94,31.75%,CCNA2;SMC1A;SMAD3;CDKN2C;SMAD4;CDK7;CDKN1A;CREBBP;CCNB2;CDKN1B;GADD45B;MYC;MDM2;YWHAQ;PRKDC;TFDP2;SKP2;ATM;CDC6;CHEK2;CCND1;BUB1;ESPL1;MCM6;CDC25B;CCNH;CCNA1;GSK3B;E2F1;HDAC2;EP300;TP53;HDAC1;CDC7;WEE1;RB1;TGFB3;CHEK1;CCNB1;MCM5;ABL1;CCNE1;CDK2;CCND3;PKMYT1;CDC25A;SMAD2;TGFB2;PTTG1;TTK;WEE2;SFN;TGFB1;SMC3;E2F5;CDK4;ATR
5,prerank,Thyroid hormone signaling pathway,0.37974949708779643,2.4372998359975813,0.0,0.0003445032866116467,0.002,60/95,32.19%,KRAS;SIN3A;CREBBP;PDPK1;MYC;RAF1;HDAC3;AKT1;MDM2;CTNNB1;MED1;NOTCH1;NOTCH2;ATP1B3;ATP1A3;KAT2B;RXRA;STAT1;CCND1;PIK3CA;PFKP;ATP1B4;PRKCB;GSK3B;ESR1;HDAC2;EP300;SRC;RXRG;ATP1B1;TP53;HDAC1;RHEB;ATP1A1;THRA;BAD;PRKACB;PFKFB2;HIF1A;PLCE1;MTOR;PLCG2;FOXO1;PLCG1;MAP2K2;ATP1B2;PRKACG;MED12;ITGAV;ACTB;MAPK1;ATP2A2;NRAS;SLC9A1;AKT2;PIK3CD;AKT3;MED14;RCAN1;NCOA3
6,prerank,HIF-1 signaling pathway,0.3773766434495092,2.3860527638604516,0.0,0.00044293279707211723,0.003,69/89,46.77%,EDN1;RPS6;CDKN1A;PFKL;VEGFA;CREBBP;CDKN1B;AKT1;RELA;CAMK2G;ERBB2;EGLN3;PDHA1;PIK3CA;EGLN1;HK1;PRKCB;IFNGR1;EP300;GAPDH;RPS6KB2;INS;EIF4EBP1;FLT1;HMOX1;IL6R;EGFR;ENO1;LDHA;HIF1A;HK2;IFNGR2;TIMP1;PDK1;CAMK2D;VHL;TLR4;INSR;MTOR;PLCG2;PLCG1;MAP2K2;IGF1;MAPK1;PDHB;HKDC1;AKT2;PIK3CD;ARNT;AKT3;TFRC;SLC2A1;RPS6KB1;STAT3;TEK;CYBB;BCL2;CUL2;SERPINE1;PIK3R3;NFKB1;HK3;PIK3R1;MAPK3;MKNK1;EPO;LTBR;MAP2K1;EIF4E
7,prerank,Hepatitis B,0.347662448236554,2.380430428354761,0.0,0.0003875661974381026,0.003,112/153,46.38%,CCNA2;KRAS;SMAD3;CASP3;CREB1;SMAD4;CASP8;CDKN1A;IKBKE;STAT6;CREB3L2;JUN;CREBBP;MAPK14;MYC;RAF1;AKT1;FAS;YWHAQ;BRAF;SLC10A1;NFKBIA;RELA;ATF4;MAP3K1;CASP10;IFNA1;IFNAR1;STAT1;ARAF;PIK3CA;TLR2;TICAM2;MAP2K6;MAPK8;PRKCB;CCNA1;E2F1;EP300;TBK1;SRC;TP53;TGFBR1;RB1;TICAM1;EGR3;CREB3L4;TGFB3;BAD;BAX;IFNB1;JAK3;CYCS;IFNA21;DDX58;CCNE1;CDK2;BID;NFATC1;BIRC5;ATF2;HSPG2;TLR4;IRAK1;SMAD2;FOS;TGFB2;MAP2K2;TAB2;TLR3;MAPK1;MAP2K3;NRAS;TGFB1;NFATC2;AKT2;MAPK12;PIK3CD;GRB2;IFNA16;SOS1;MAPK11;AKT3;IKBKB;NFATC3;APAF1;TRAF3;STAT3;MAP2K4;JAK2;IRAK4;FADD;TGFBR2;JAK1;STAT2;IRF3;BCL2;CHUK;PIK3R3;STAT5B;MAP3K7;IFIH1;TYK2;NFKB1;STAT4;PIK3R1;MAPK3;HRAS;MAPK9;IFNA14;MAP2K7;MAP2K1
8,prerank,Chronic myeloid leukemia,0.3907929795680951,2.355212557803283,0.0,0.0005741721443527446,0.005,55/71,44.77%,KRAS;SMAD3;SMAD4;CDKN1A;CDKN1B;GADD45B;MYC;RAF1;AKT1;MDM2;BRAF;NFKBIA;RELA;CRK;BCR;CCND1;ARAF;PIK3CA;E2F1;HDAC2;TP53;HDAC1;TGFBR1;RB1;TGFB3;BAD;BAX;ABL1;SHC1;TGFB2;MAP2K2;CRKL;MAPK1;NRAS;RUNX1;TGFB1;AKT2;PIK3CD;GRB2;SOS1;AKT3;CDK4;BCL2L1;IKBKB;SHC4;TGFBR2;CHUK;PIK3R3;STAT5B;NFKB1;CDK6;PIK3R1;MAPK3;HRAS;MECOM
9,prerank,Endometrial cancer,0.41315900090922375,2.354092720504082,0.0,0.0005167549299174702,0.005,36/53,32.89%,KRAS;CDKN1A;APC;PDPK1;GADD45B;MYC;RAF1;AKT1;CTNNB1;BRAF;TCF7L1;AXIN1;ERBB2;CCND1;ARAF;PIK3CA;GSK3B;TP53;AXIN2;PTEN;EGFR;BAD;BAX;CDH1;MAP2K2;MAPK1;TCF7L2;TCF7;NRAS;LEF1;AKT2;PIK3CD;GRB2;SOS1;AKT3;FOXO3
