,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Endometrial cancer,0.47381470061767306,2.7193489467581156,0.0,0.0,0.0,38/53,30.25%,MAP2K1;CASP9;MLH1;EGFR;TP53;PIK3CA;AKT1;APC;PIK3R3;KRAS;MYC;MAPK3;ARAF;PIK3R1;AXIN1;TCF7L2;BAX;ERBB2;BAK1;GRB2;CCND1;CTNNB1;MAPK1;PDPK1;RAF1;NRAS;FOXO3;AKT2;AXIN2;PIK3CD;BRAF;PTEN;PIK3CB;ILK;GADD45B;LEF1;PIK3R2;DDB2
1,prerank,Gastric cancer,0.4086807207462429,2.7161624993208284,0.0,0.0,0.0,75/114,32.79%,MAP2K1;SHC4;RXRA;MLH1;EGFR;TP53;PIK3CA;SHC1;AKT1;APC;PIK3R3;KRAS;RXRG;CDKN2B;MYC;FZD4;FRAT1;RPS6KB1;FGF9;MAPK3;DVL3;WNT1;DVL2;ARAF;PIK3R1;AXIN1;FZD5;CSNK1A1;TCF7L2;CDK2;BAX;ERBB2;BCL2;BAK1;GRB2;FZD7;CCND1;FGF2;GAB1;RB1;CTNNB1;MAPK1;SMAD4;RXRB;CDX2;RAF1;NRAS;LRP6;MTOR;SMAD3;FZD6;TGFBR2;AKT2;TGFBR1;FZD8;AXIN2;TGFB3;PIK3CD;WNT3;SHH;BRAF;PIK3CB;FZD1;GADD45B;FGFR2;SMAD2;WNT5A;LEF1;PIK3R2;FZD9;DDB2;FZD2;E2F1;CDKN1B;AKT3
2,prerank,Breast cancer,0.4065159932012952,2.6725040694203384,0.0,0.0,0.0,71/112,30.48%,MAP2K1;SHC4;KIT;EGFR;TP53;PIK3CA;SHC1;AKT1;NFKB2;APC;PIK3R3;KRAS;MYC;FZD4;FRAT1;RPS6KB1;HES1;FGF9;MAPK3;DVL3;WNT1;DVL2;JUN;ESR1;ARAF;PIK3R1;AXIN1;FZD5;CSNK1A1;TCF7L2;BAX;ERBB2;HEY1;BAK1;GRB2;NCOA3;FZD7;CCND1;FGF2;RB1;CTNNB1;MAPK1;RAF1;NRAS;LRP6;MTOR;NOTCH1;IGF1R;BRCA1;FZD6;AKT2;FZD8;AXIN2;PIK3CD;WNT3;BRAF;PTEN;PIK3CB;CDK6;FZD1;GADD45B;NCOA1;PGR;WNT5A;LEF1;NOTCH2;PIK3R2;FZD9;FOS;DDB2;FZD2
3,prerank,Th17 cell differentiation,0.40216732428463564,2.653756631042822,0.0,0.0,0.0,82/107,41.47%,MAPK12;IL21R;RXRA;HLA-DRB4;IL6ST;NFATC2;FOXP3;RORC;RELA;PPP3CA;MAPK13;RXRG;JAK2;MAPK3;MAPK14;STAT3;IL22;IL2RB;HIF1A;JUN;HSP90AB1;HLA-DMB;STAT1;NFKBIB;GATA3;IL6R;NFATC3;TYK2;IKBKG;STAT5A;HSP90AA1;IL23R;LCK;IL1RAP;MAPK1;SMAD4;TBX21;RXRB;IRF4;HLA-DRB5;HLA-DRA;NFKBIE;IL2;MTOR;SMAD3;HLA-DQA1;CD4;CD3G;PLCG1;HLA-DPB1;TGFBR2;IFNGR1;TGFBR1;IL2RA;IL17D;MAPK8;HLA-DMA;HLA-DQA2;NFATC1;ZAP70;SMAD2;NFKBIA;IL2RG;FOS;RARA;AHR;HLA-DQB1;PRKCQ;IFNGR2;PPP3R1;STAT6;IL21;MAPK9;IL17A;JAK3;CD247;STAT5B;IL4R;RUNX1;MAPK11;NFKB1;IL4
4,prerank,Colorectal cancer,0.42409058912049663,2.6534098527068806,0.0,0.0,0.0,52/79,30.25%,MAP2K1;CASP9;MLH1;EGFR;TP53;PIK3CA;AKT1;APC;RAC1;PIK3R3;KRAS;MYC;RPS6KB1;MAPK3;RHOA;RALA;JUN;ARAF;PIK3R1;AXIN1;TCF7L2;BAX;BCL2;BAK1;GRB2;CCND1;CTNNB1;MAPK1;SMAD4;BCL2L11;RAF1;NRAS;MTOR;SMAD3;TGFBR2;AKT2;TGFBR1;AXIN2;BIRC5;TGFB3;PIK3CD;MAPK8;BRAF;PIK3CB;CYCS;GADD45B;MSH6;SMAD2;LEF1;PIK3R2;FOS;DDB2
5,prerank,Prolactin signaling pathway,0.4468671809411997,2.6149919431892967,0.0,0.0,0.0,43/64,29.66%,MAP2K1;MAPK12;SHC4;SOCS3;PIK3CA;SHC1;AKT1;RELA;MAPK13;PIK3R3;KRAS;JAK2;MAPK3;MAPK14;STAT3;IRF1;ESR1;STAT1;PIK3R1;INS;GRB2;STAT5A;CCND1;MAPK1;PRLR;SOCS2;RAF1;NRAS;FOXO3;AKT2;CYP17A1;PIK3CD;SRC;MAPK8;SOCS5;PIK3CB;CCND2;TNFRSF11A;CISH;SOCS1;SLC2A2;PIK3R2;FOS
6,prerank,Non-small cell lung cancer,0.43482239868965655,2.5709399529997,0.0,0.0,0.0,48/63,39.19%,MAP2K1;RXRA;CASP9;EML4;EGFR;TP53;PIK3CA;AKT1;PRKCA;PIK3R3;KRAS;RXRG;MAPK3;STAT3;ARAF;PIK3R1;BAX;ERBB2;BAK1;GRB2;STAT5A;CCND1;RB1;MAPK1;RXRB;PDPK1;PLCG2;RAF1;NRAS;FOXO3;PLCG1;ALK;AKT2;PIK3CD;BRAF;PIK3CB;CDK6;GADD45B;PIK3R2;DDB2;E2F1;AKT3;FHIT;CDKN1A;CDK4;STK4;JAK3;STAT5B
7,prerank,FoxO signaling pathway,0.38185950726071105,2.568768124621783,0.0,0.0,0.0,87/119,41.38%,MAP2K1;MAPK12;EGFR;PIK3CA;AKT1;SKP2;MAPK13;PIK3R3;KRAS;CDKN2B;BCL6;CREBBP;MAPK3;MAPK14;STAT3;G6PC3;PCK1;IL10;S1PR1;HOMER2;ARAF;PRKAB1;MDM2;PIK3R1;INS;SLC2A4;CDK2;CAT;EP300;USP7;GRB2;FASLG;CCND1;MAPK1;SMAD4;BCL2L11;PRKAG1;PRKAG3;G6PC;PDPK1;CSNK1E;PRMT1;RAF1;NRAS;SMAD3;IGF1R;FOXO3;TGFBR2;TNFSF10;AKT2;TGFBR1;SGK1;TGFB3;PIK3CD;KLF2;BNIP3;PRKAA1;MAPK8;BRAF;PTEN;SIRT1;PIK3CB;CCND2;GADD45B;SMAD2;G6PC2;PIK3R2;PRKAG2;STK11;PCK2;FOXO4;CDKN1B;AKT3;CDKN1A;FOXO1;IL7R;CCNG2;MAPK9;GRM1;STK4;PLK4;PRKAB2;PLK2;MAPK11;TGFB2;CCNB1;GABARAPL1
8,prerank,Viral myocarditis,0.4630777588533669,2.5482462092048803,0.0,0.0,0.0,32/45,30.67%,ABL1;HLA-DRB4;CASP9;RAC1;SGCB;ITGAL;DAG1;ICAM1;HLA-DMB;CD55;HLA-A;BID;CCND1;FYN;HLA-DRB5;HLA-DRA;CD40;HLA-DQA1;DMD;HLA-DPB1;CXADR;CD80;HLA-B;CAV1;ITGB2;ACTB;HLA-DMA;HLA-DQA2;CD28;CYCS;CASP8;HLA-DQB1
9,prerank,Small cell lung cancer,0.4079710297371231,2.5432521895681566,0.0,0.0,0.0,56/78,36.79%,RXRA;CASP9;TP53;PTK2;PIK3CA;AKT1;SKP2;RELA;PIK3R3;NOS2;RXRG;CDKN2B;MAX;MYC;XIAP;LAMB1;TRAF3;LAMB2;PIK3R1;ITGAV;CDK2;BAX;TRAF1;BCL2;BAK1;IKBKG;CCND1;RB1;CKS2;RXRB;ITGA3;BIRC3;CKS1B;TRAF2;AKT2;FN1;PIK3CD;PTEN;PIK3CB;CDK6;CYCS;GADD45B;NFKBIA;TRAF6;COL4A2;PIK3R2;DDB2;E2F1;CDKN1B;AKT3;LAMB3;FHIT;CDKN1A;CDK4;COL4A5;BCL2L1
