,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4163650855264394,2.2101726120692806,0.0,0.004053614226114744,0.004,50/89,25.04%,FOXO1;JUN;PRKCA;PRKCE;AKT1;ICAM1;F3;VEGFA;COL4A4;EDN1;COL4A2;FN1;KRAS;SMAD4;HRAS;SMAD2;BCL2;TGFBR1;BAX;SMAD3;STAT3;MAPK13;AKT3;CDKN1B;RELA;NRAS;PLCB3;CXCL8;NOX1;COL1A2;AGTR1;MAPK3;AGT;IL1B;EGR1;PRKCD;STAT1;MAPK14;MMP2;PIK3CB;AGER;MAPK9;RAC1;PLCE1;PLCB1;CCL2;CDC42;CCND1;PRKCB;JAK2
1,prerank,Longevity regulating pathway,0.40115333272060566,2.1346010510713125,0.0,0.005573719560907774,0.011,42/85,21.09%,IGF1R;FOXO1;AKT1;EIF4E;CAT;HDAC1;TP53;PRKACG;KRAS;SOD1;PRKAG1;PRKAB1;PPARG;HRAS;ADCY9;RPS6KB1;ATF4;PRKAA2;CREB3L2;ADCY2;CREB3L4;CREB1;BAX;PRKAB2;RPTOR;CREB3L1;IRS2;TSC2;ADCY5;AKT3;RELA;ADCY3;IRS1;NRAS;PRKAA1;EIF4EBP1;STK11;PRKAG2;CAMKK2;CLPB;PIK3CB;ATG5
2,prerank,Pancreatic cancer,0.4148994532912505,2.132953782352067,0.0,0.003715813040605182,0.011,41/71,28.37%,GADD45B;BRAF;BRCA2;AKT1;EGFR;VEGFA;JAK1;RB1;RAF1;TP53;KRAS;SMAD4;IKBKG;RPS6KB1;SMAD2;TGFBR1;CDKN1A;IKBKB;BAX;SMAD3;DDB2;STAT3;AKT3;RELA;BAD;RALGDS;CASP9;ERBB2;MAPK3;RAC3;STAT1;PIK3CB;RALA;MAPK9;RAC1;RALBP1;CDC42;CCND1;E2F1;MAP2K1;MAPK1
3,prerank,Chronic myeloid leukemia,0.41370547653276396,2.1190437206784583,0.0,0.0032935615587182296,0.013,31/71,14.70%,CRKL;MECOM;GADD45B;CTBP1;ABL1;BRAF;AKT1;RB1;HDAC1;RAF1;TP53;KRAS;SMAD4;HRAS;IKBKG;TGFBR1;CDKN1A;IKBKB;BAX;SMAD3;DDB2;SHC1;NFKBIA;CTBP2;BCR;AKT3;CDKN1B;RELA;BAD;NRAS;MYC
4,prerank,Apelin signaling pathway,0.38446278166798775,2.0943313739982243,0.0,0.004256294937420481,0.021,59/105,29.88%,GNAI2;BECN1;PRKCE;AKT1;RAF1;ITPR3;PRKACG;KRAS;SMAD4;PRKAG1;PRKAB1;GNG12;HRAS;MEF2C;ADCY9;RPS6KB1;PIK3R6;SMAD2;TGFBR1;PRKAA2;ADCY2;RPS6;SMAD3;PIK3C3;PRKAB2;KLF2;ADCY5;AKT3;HDAC4;ADCY3;NRAS;PLCB3;PRKAA1;CALM3;MYLK2;AGTR1;GNAI3;MAPK3;PRKAG2;HDAC5;GNA13;EGR1;SPHK1;SPP1;PIK3R4;PLCB1;JAG1;GNB2;PRKACB;CCND1;GNAI1;GNB5;PLAT;MAP2K1;MAPK1;ITPR1;PRKACA;ADCY7;PRKAG3
5,prerank,Thyroid cancer,0.4632397564934881,2.0918549969712736,0.0,0.003715813040605182,0.022,22/34,28.37%,PAX8;GADD45B;BRAF;TP53;KRAS;PPARG;HRAS;CDKN1A;BAX;TPR;DDB2;TFG;NRAS;MYC;TPM3;MAPK3;CCND1;TCF7;TCF7L2;MAP2K1;RXRA;MAPK1
6,prerank,Viral carcinogenesis,0.36929795443020347,2.0830602703303187,0.0,0.0034745264795269233,0.024,92/141,39.36%,POLB;SKP2;HIST1H2BK;HIST1H2BD;PMAIP1;JAK3;JUN;HIST2H2BE;JAK1;RB1;HDAC1;TP53;USP7;LYN;PRKACG;KRAS;HRAS;IKBKG;ATF4;CDKN1A;CCND2;HIST1H4E;HDAC8;HDAC6;CREB3L2;CCNA2;TRAF3;KAT2A;CREB3L4;DNAJA3;CREB1;SRF;BAX;C3;STAT3;CCR4;NFKBIA;CREB3L1;HDAC4;CDKN1B;GTF2E2;RELA;BAD;NRAS;RHOA;CDKN2B;MAPK3;SYK;CCNA1;CCR5;HDAC5;TRAF5;TRADD;HPN;GTF2A2;PIK3CB;CCNE1;RAC1;CDC20;TRAF1;CDK2;CDC42;PRKACB;HDAC7;CCND1;HDAC9;CHD4;MAPKAPK2;MAPK1;PRKACA;YWHAH;NFKB1;HLA-A;CREBBP;SP100;CREB3;MDM2;ACTN4;HDAC10;CHEK1;EGR3;KAT2B;IL6ST;EIF2AK2;GTF2A1;CASP3;CCND3;EP300;GTF2B;PIK3CD;LTBR;IRF9
7,prerank,Shigellosis,0.4306564228224321,2.073904423403667,0.0,0.0034202370032843155,0.027,35/48,38.69%,CRKL;ABL1;CTTN;IKBKG;ACTG1;ARPC5;IKBKB;ROCK1;PFN2;MAPK13;NFKBIA;RELA;CXCL8;MAPK3;BTRC;ELMO1;MAPK14;ATG5;MAPK9;RAC1;CDC42;ACTB;NOD1;ARPC1A;WAS;MAPK1;HCLS1;ARPC4;NFKB1;MAPK12;CD44;ROCK2;FBXW11;NFKBIB;RIPK2
8,prerank,Colorectal cancer,0.3930496364521818,2.0675207081690505,0.0,0.00337801185509562,0.03,42/79,25.90%,FOS;GADD45B;GSK3B;BRAF;PMAIP1;JUN;AKT1;EGFR;RAF1;TP53;KRAS;SMAD4;HRAS;RPS6KB1;SMAD2;BCL2;AXIN2;TGFBR1;CDKN1A;BAX;SMAD3;DDB2;AKT3;BIRC5;BAD;RALGDS;NRAS;CASP9;MYC;RHOA;CYCS;MAPK3;MSH2;RAC3;PIK3CB;RALA;MAPK9;RAC1;CCND1;TCF7;MSH6;TCF7L2
9,prerank,"Parathyroid hormone synthesis, secretion and action",0.3947079717971989,2.0607526119216772,0.0,0.0032428913808917955,0.032,52/85,32.68%,GNAI2;FOS;BRAF;PRKCA;EGFR;RAF1;MMP17;ITPR3;PRKACG;MEF2C;ADCY9;BCL2;ATF4;CDKN1A;CREB3L2;ADCY2;JUND;CREB3L4;CREB1;AKAP13;GNAS;CREB3L1;ADCY5;PDE4B;ADCY3;PLCB3;RHOA;PDE4A;GNAI3;MAPK3;PLD2;GNA11;VDR;GNA13;PDE4C;EGR1;PLCB1;MMP14;PRKACB;PRKCB;GNAI1;MAP2K1;RXRA;MAPK1;ITPR1;PRKACA;ADCY7;NR4A2;TRPV5;CASR;CREB3;PDE4D
