,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral myocarditis,0.44117389501651905,2.4794477280672904,0.0,0.0010371205898717982,0.001,31/45,31.32%,HLA-A;HLA-DMB;CYCS;SGCB;EIF4G1;HLA-DRB5;BID;CD86;DAG1;ITGAL;HLA-DPB1;HLA-DPA1;CASP3;FYN;ITGB2;CD40LG;CXADR;HLA-DRB3;HLA-DQB1;ABL1;RAC3;RAC1;HLA-DRA;ACTG1;ACTB;CD40;HLA-DOB;DMD;CD55;HLA-DMA;PRF1
1,prerank,Shigellosis,0.4300375462731456,2.409038456789542,0.0,0.0015556808848076974,0.003,44/48,51.51%,MAPK13;NFKBIB;MAPK14;MAPK3;MAPK9;ELMO1;CHUK;ARPC5;IKBKB;CDC42;NOD1;ARPC4;FBXW11;ARPC2;ARPC1A;CTTN;RELA;ABL1;RAC1;MAPK11;ITGB1;ACTG1;ACTB;MAPK1;RIPK2;ROCK1;MAPK12;WAS;ARPC1B;WASL;ATG5;IKBKG;NFKBIA;BTRC;U2AF1;CRKL;MAPK8;NOD2;PFN2;HCLS1;NFKB1;CD44;CRK;ARPC3
2,prerank,Measles,0.3435145276785584,2.3850487694658637,0.0,0.001728534316452997,0.005,96/126,47.12%,CYCS;EIF2AK1;CD46;TNFAIP3;TP53;NFKBIB;IRAK4;JAK1;APAF1;BID;JUN;IFNA16;TBK1;CSNK2A2;STAT2;IFNA17;TLR4;IRF7;MAPK9;CLEC4M;FAS;PIK3CB;CHUK;CCNE1;IL1B;IFIH1;IKBKB;CCND2;CASP3;IL2RB;BCL2;IFNA8;HSPA2;FCGR2B;STAT3;CBLB;PIK3CA;BCL2L1;TRADD;STAT1;FOS;CDK2;TAB2;IKBKE;HSPA1B;JAK3;RELA;BAX;TLR9;OAS1;AKT3;TLR2;IRF9;IFNA2;MYD88;AKT1;CSNK2A1;IFNB1;IRAK1;PIK3R1;CDKN1B;CDK4;IRF3;IL12A;HSPA1A;DDX58;RCHY1;IFNA21;CDK6;CD3D;CSNK2B;TRAF6;IFNA14;CCND3;FADD;IKBKG;EIF2AK4;TYK2;IL2;AKT2;NFKBIA;IFNA4;IFNAR2;PIK3R3;MX1;OAS3;MAPK8;IL2RA;CD3G;IL2RG;TRAF3;IFNAR1;ADAR;CD28;NFKB1;EIF2AK2
3,prerank,Toxoplasmosis,0.3577381187031732,2.374106554578394,0.0,0.001296400737339748,0.005,60/99,31.22%,HLA-DMB;IL10RB;CYCS;MAPK13;NFKBIB;IRAK4;JAK1;HLA-DRB5;PDPK1;CCR5;JAK2;MAPK14;GNAI1;MAPK3;TLR4;MAPK9;IFNG;CHUK;HLA-DPB1;LAMB3;HLA-DPA1;IKBKB;CASP3;BCL2;HSPA2;MAP2K3;STAT3;PIK3R6;LAMA3;BCL2L1;STAT1;CD40LG;IFNGR1;TGFB3;HLA-DRB3;TAB2;GNAI3;HSPA1B;RELA;HLA-DQB1;AKT3;TLR2;MYD88;AKT1;MAPK11;IRAK1;ALOX5;PPIF;HLA-DRA;ITGB1;IL12A;HSPA1A;CD40;HLA-DOB;MAPK1;MAPK12;GNAI2;TGFB1;BIRC2;HLA-DMA
4,prerank,Relaxin signaling pathway,0.3593761499318255,2.3684685043630997,0.0,0.0010371205898717984,0.005,68/103,37.24%,HRAS;SMAD3;EDN1;ADCY6;MAPK13;ADCY3;JUN;GNG7;MAPK14;GNAI1;MAPK3;MAP2K4;ADCY9;GRB2;PRKCA;PRKACA;GNG12;MAPK9;EGFR;PRKACB;PIK3CB;PRKACG;ATF2;ADCY2;RXFP1;PIK3CA;GNG4;RAF1;CREB3L2;TGFBR2;FOS;CREB3L4;CREB3;MMP2;GNAI3;GNB4;GNAS;RELA;VEGFB;AKT3;ATF4;AKT1;MAPK11;TGFBR1;PIK3R1;SOS1;GNGT2;MAPK1;SHC1;NRAS;CREB1;MAPK12;CREB5;GNA15;GNAI2;GNG11;TGFB1;SMAD2;MMP13;VEGFC;COL4A3;ACTA2;MMP1;EDNRB;PLCB1;COL1A2;AKT2;NFKBIA
5,prerank,Epstein-Barr virus infection,0.3264746217455318,2.352621587147888,0.0,0.0008642671582264985,0.005,120/174,43.13%,HLA-A;HES1;HLA-DMB;SKP2;CYCS;MAP3K14;TNFAIP3;TP53;MAPK13;PLCG2;NFKBIB;IRAK4;JAK1;HLA-DRB5;APAF1;BID;JUN;TRAF5;NFKB2;IFNA16;TBK1;E2F1;MAPK14;MAP2K4;STAT2;IFNA17;IRF7;MAPK9;FAS;B2M;PIK3CB;CHUK;CCNE1;ITGAL;HLA-DPB1;HLA-DPA1;IKBKB;CCND2;CASP3;SYK;PSMD1;BCL2;IFNA8;MAP2K3;MDM2;STAT3;PSMD4;NFKBIE;PIK3CA;TRADD;DDB2;STAT1;HLA-DRB3;CDK2;TAB2;IKBKE;USP7;JAK3;RELA;BAX;HLA-DQB1;OAS1;AKT3;TLR2;IRF9;IFNA2;MYD88;AKT1;RAC1;MAPK11;IFNB1;IRAK1;PIK3R1;CDKN1B;RB1;CDK4;HLA-DRA;IRF3;SNW1;TAP2;VIM;CD40;CCNA1;HLA-DOB;CD19;DDX58;CALR;MAPK12;IFNA21;CD58;CDK6;CD3D;PSMD2;TAPBP;FCER2;BTK;LYN;HLA-DMA;TRAF6;IFNA14;CCND3;FADD;ISG15;IKBKG;TYK2;HDAC1;AKT2;NFKBIA;RBPJ;IFNA4;IFNAR2;PIK3R3;CDKN1A;OAS3;HLA-DQA1;MAPK8;RELB;CXCL10;CR2;ENTPD3
6,prerank,Hepatitis B,0.32952007825103513,2.3144357443492027,0.0,0.0010371205898717982,0.007,85/153,29.90%,HRAS;SMAD3;TICAM1;STAT4;CYCS;TP53;MAPK13;IRAK4;EP300;JAK1;APAF1;BID;JUN;IFNA16;TBK1;E2F1;JAK2;MAPK14;MAPK3;MAP2K4;GRB2;PRKCA;STAT2;IFNA17;TLR4;IRF7;MAPK9;FAS;PRKCG;PIK3CB;CHUK;CCNE1;IFIH1;IKBKB;CASP3;NFATC4;ATF2;BCL2;IFNA8;NFATC1;MAP2K3;STAT6;PCNA;STAT3;PIK3CA;RAF1;DDB2;STAT1;CREB3L2;TGFBR2;FOS;TGFB3;CREB3L4;CREB3;CDK2;TAB2;IKBKE;JAK3;RELA;BAX;AKT3;TLR2;IFNA2;ATF4;MYD88;AKT1;MAPK11;IFNB1;IRAK1;TGFBR1;PIK3R1;RB1;IRF3;SOS1;CCNA1;MAPK1;DDX58;NRAS;TLR3;CREB1;MAPK12;IFNA21;CREB5;TGFB1;SMAD2
7,prerank,Chagas disease (American trypanosomiasis),0.3469975118864639,2.291927635498869,0.0,0.0010371205898717982,0.008,73/97,46.79%,SMAD3;TICAM1;MAPK13;IRAK4;CCL5;JUN;C3;KNG1;MAPK14;GNAI1;MAPK3;MAP2K4;TLR4;MAPK9;FAS;PIK3CB;IFNG;CHUK;IL1B;IKBKB;C1QC;PIK3CA;IFNGR1;TGFBR2;FOS;TGFB3;CCL3;GNAI3;GNAS;RELA;TLR9;CCL2;AKT3;TLR2;CFLAR;MYD88;AKT1;BDKRB2;MAPK11;IFNB1;IRAK1;TGFBR1;PIK3R1;PPP2R2D;IL12A;C1QB;MAPK1;CALR;MAPK12;GNA15;GNAI2;TGFB1;SMAD2;CD3D;TRAF6;PPP2R1A;PPP2R2A;FADD;IKBKG;PLCB1;IL2;AKT2;NFKBIA;PIK3R3;PPP2CB;TLR6;TNFRSF1A;MAPK8;GNA11;CD3G;PLCB3;CD247;NFKB1
8,prerank,Leishmaniasis,0.370544241503986,2.2890817822087244,0.0,0.0009218849687749318,0.008,43/69,32.56%,HLA-DMB;FCGR2A;MAPK13;NFKBIB;IRAK4;JAK1;HLA-DRB5;JUN;C3;JAK2;MAPK14;MAPK3;NCF2;TLR4;NCF4;IFNG;HLA-DPB1;CR1;IL1B;HLA-DPA1;PTPN6;ITGB2;STAT1;IFNGR1;FOS;TGFB3;HLA-DRB3;TAB2;RELA;HLA-DQB1;TLR2;MYD88;MAPK11;IRAK1;HLA-DRA;ITGB1;IL12A;HLA-DOB;MAPK1;MAPK12;TGFB1;HLA-DMA;TRAF6
9,prerank,Viral carcinogenesis,0.3243823229427579,2.2622189692947265,0.0,0.0009334085308846185,0.009,78/141,31.98%,HRAS;HIST1H4E;HLA-A;ACTN4;HDAC4;SKP2;TP53;EP300;JAK1;JUN;TRAF5;NFKB2;CCR5;C3;MAPKAPK2;MAPK3;GRB2;CDC20;PRKACA;IRF7;PRKACB;PIK3CB;PRKACG;CCNE1;SRF;POLB;CCND2;CASP3;SYK;CDC42;ATF2;GTF2A2;MDM2;CDKN2B;STAT3;PIK3CA;REL;RHOA;PMAIP1;TRADD;HPN;HDAC6;CREB3L2;GTF2H1;CREB3L4;CREB3;CDK2;USP7;JAK3;HDAC11;RELA;BAX;HDAC10;IRF9;ATF4;RAC1;PIK3R1;CDKN1B;RB1;CDK4;IRF3;HDAC8;SNW1;HDAC7;CCNA1;MAPK1;GTF2B;NRAS;CREB1;HIST1H2BD;CDK1;CREB5;CDK6;YWHAH;LYN;CCR4;GSN;KAT2B
