,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Prostate cancer,0.40361293429491824,3.006928053436241,0.0,0.0,0.0,69/89,41.60%,TP53;AKT3;PIK3R2;INS;IKBKB;BCL2;GSK3B;PLAT;CCND1;GSTP1;CCNE1;EP300;NKX3-1;ZEB1;CREB1;IL1R2;RELA;MAPK3;PIK3CD;EGFR;NFKB1;NFKBIA;LEF1;TCF7L2;PDPK1;CREB3L4;RAF1;IGF1R;CHUK;HSP90B1;CTNNB1;MTOR;PDGFRA;PLAU;ATF4;ERBB2;AR;CASP9;CDKN1A;AKT1;TCF7L1;MAPK1;PIK3R3;ARAF;PTEN;IKBKG;FOXO1;CDK2;PIK3CB;GRB2;BRAF;SOS1;CREB3L2;INSRR;E2F1;CDKN1B;FGFR2;PIK3CA;RB1;CREB3L1;MDM2;HRAS;PIK3R1;ERG;MMP9;HSP90AA1;AKT2;CREBBP;SOS2
1,prerank,Pancreatic cancer,0.4115721122847626,2.873749511452047,0.0,0.0,0.0,50/71,34.80%,TP53;AKT3;PIK3R2;IKBKB;RAC1;BRCA2;RPS6KB1;MAPK9;TGFB2;CCND1;TGFBR2;STAT1;SMAD4;GADD45B;RELA;BCL2L1;MAPK3;PIK3CD;EGFR;SMAD3;NFKB1;TGFB3;DDB2;RAF1;RPS6KB2;TGFBR1;CHUK;MTOR;RAC3;STAT3;RALA;ERBB2;BAX;CASP9;CDKN1A;AKT1;MAPK1;PLD1;PIK3R3;ARAF;IKBKG;CDC42;RALBP1;PIK3CB;BRAF;E2F1;PIK3CA;RB1;CDK4;RALGDS
2,prerank,Colorectal cancer,0.3856914010858925,2.7798717588070425,0.0,0.0,0.0,58/79,40.32%,TP53;AKT3;PIK3R2;JUN;RAC1;RPS6KB1;BCL2;MAPK9;TGFB2;GSK3B;CCND1;TGFBR2;AXIN2;SMAD4;RHOA;GADD45B;APC;FOS;MAPK3;PIK3CD;EGFR;SMAD3;LEF1;TCF7L2;TGFB3;DDB2;RAF1;RPS6KB2;TGFBR1;PMAIP1;CTNNB1;MTOR;RAC3;MLH1;RALA;BAX;CASP9;CDKN1A;AKT1;TCF7L1;MAPK1;CYCS;PIK3R3;ARAF;PIK3CB;GRB2;BRAF;SOS1;PIK3CA;RALGDS;HRAS;CASP3;BAK1;PIK3R1;MSH2;BCL2L11;AKT2;AXIN1
3,prerank,Hepatitis B,0.3221344435393821,2.7119131036072432,0.0,0.0,0.0,105/153,42.02%,TP53;IRAK4;AKT3;PIK3R2;JAK2;TICAM1;APAF1;IKBKB;JUN;CCNA2;BCL2;MAPK9;TGFB2;IFNA16;IFNAR1;BID;TGFBR2;MAPK14;IFNA21;CCNE1;STAT1;NFATC3;EP300;SMAD4;JAK3;CREB1;TBK1;NFATC1;IFIH1;DDX58;RELA;FOS;PRKCG;CASP10;MAPK3;NFATC4;PIK3CD;SMAD3;NFKB1;NFKBIA;TICAM2;CREB3L4;TGFB3;DDB2;RAF1;IFNB1;IFNA8;TGFBR1;ATF2;STAT6;CHUK;ATF4;TLR4;FAS;PRKCA;SLC10A1;STAT3;STAT4;TLR3;BAX;CASP9;CDKN1A;MAP3K1;IFNA2;AKT1;MAPK1;CYCS;PIK3R3;ARAF;IKBKG;TYK2;CDK2;PIK3CB;MAPK13;GRB2;BRAF;SOS1;CREB3L2;E2F1;CASP8;MAP2K6;MAP2K3;MYD88;PIK3CA;RB1;TLR2;CREB3L1;HRAS;TAB2;CASP3;IFNA10;TIRAP;IRF7;PIK3R1;IFNA7;MMP9;EGR3;IFNA17;IKBKE;SRC;AKT2;CREBBP;IRAK1;SOS2;STAT2
4,prerank,Hepatitis C,0.33596441052205434,2.6906011037756827,0.0,0.0,0.0,91/124,44.26%,TP53;TRADD;AKT3;PIK3R2;TICAM1;APAF1;RXRA;IKBKB;YWHAH;IFNA16;GSK3B;CCND1;IFNAR1;CXCL10;BID;IFNA21;STAT1;PPARA;IFIT1;TBK1;PPP2R1A;DDX58;RELA;MAPK3;PIK3CD;EGFR;NFKB1;NFKBIA;RAF1;EIF2AK3;EIF2AK1;IFNB1;IFNA8;PIAS1;OAS1;CFLAR;CHUK;CTNNB1;PPP2R2A;SCARB1;FAS;STAT3;TLR3;BAX;CASP9;CDKN1A;NR1H3;IFNA2;AKT1;MAPK1;CYCS;PPP2R2C;IFNG;CD81;PIK3R3;ARAF;PPP2R2D;IKBKG;EIF2AK4;TYK2;CDK2;PIK3CB;GRB2;BRAF;SOS1;E2F1;PPP2CA;CASP8;CLDN11;PIK3CA;RB1;CDK4;EIF2AK2;HRAS;RSAD2;CASP3;IFNA10;IRF7;BAK1;PIK3R1;IFNA7;IFNA17;IKBKE;AKT2;SOS2;STAT2;EIF2S1;LDLR;RIPK1;TNFRSF1A;JAK1
5,prerank,Measles,0.33317247836340813,2.674060079771088,0.0,0.0,0.0,89/126,42.25%,CSNK2A1;TP53;TRADD;CD46;IRAK4;AKT3;IL12A;PIK3R2;APAF1;IKBKB;JUN;BCL2;MAPK9;IFNA16;GSK3B;TNFAIP3;CCND1;IFNAR1;BID;IL2RA;CSNK2B;IFNA21;CCNE1;STAT1;IL1B;JAK3;TLR9;TBK1;IFIH1;DDX58;RELA;BCL2L1;FOS;PIK3CD;NFKB1;NFKBIA;CD3D;EIF2AK3;EIF2AK1;IFNB1;IFNA8;OAS1;HSPA1B;CHUK;TLR4;FAS;STAT3;SLAMF1;BAX;CASP9;IL2RB;NFKBIB;IFNA2;AKT1;CYCS;PIK3R3;IKBKG;EIF2AK4;TYK2;RCHY1;CDK2;HSPA1A;PIK3CB;CDKN1B;CASP8;MYD88;PIK3CA;CD3G;TLR2;CDK4;EIF2AK2;CCND2;CBLB;TAB2;CCND3;CASP3;IFNA10;IRF7;BAK1;PIK3R1;IFNA7;CSNK2A2;IFNA17;IKBKE;AKT2;CD209;IRAK1;STAT2;EIF2S1
6,prerank,Influenza A,0.3138334112551071,2.643367259479283,0.0,0.0,0.0,97/145,40.68%,IL18;PRSS3;HLA-DMB;IRAK4;VDAC1;AKT3;IL12A;HLA-DRB3;PML;PIK3R2;JAK2;TICAM1;IKBKB;JUN;PRSS2;MAPK9;IFNA16;GSK3B;ACTG1;IFNAR1;CXCL10;MAPK14;IFNA21;SLC25A6;STAT1;EP300;IL1B;CCL2;TBK1;IFIH1;DDX58;RELA;MAPK3;FURIN;PIK3CD;IFNGR1;NFKB1;NLRP3;NFKBIA;RAF1;EIF2AK3;EIF2AK1;IFNB1;IFNA8;OAS1;ICAM1;ATF2;HSPA1B;HLA-DPB1;PLG;TLR4;FAS;PRKCA;TLR3;HLA-DPA1;HLA-DQB1;CASP9;HLA-DRA;NFKBIB;IFNA2;AKT1;MAPK1;CYCS;IFNG;PIK3R3;EIF2AK4;ACTB;TYK2;HSPA1A;PIK3CB;MAPK13;XPO1;CPSF4;TNFRSF10A;HLA-DRB5;MAP2K6;NXF1;MAP2K3;MYD88;PIK3CA;EIF2AK2;IL33;FDPS;HLA-DRB1;RSAD2;IFNA10;IRF7;PIK3R1;IFNA7;RAE1;CIITA;HLA-DMA;IFNA17;IKBKE;AKT2;CCL5;CREBBP
7,prerank,Longevity regulating pathway,0.36159021528899477,2.6388150091725167,0.0,0.0,0.0,62/85,41.58%,CAT;TP53;AKT3;PPARG;PIK3R2;INS;RPTOR;EHMT1;RPS6KB1;SIRT1;ADCY7;RHEB;PRKAG2;CREB1;HDAC1;EIF4E;ADCY5;STK11;PRKAG3;PRKAA1;RELA;ADIPOR1;IRS1;PIK3CD;SOD1;NFKB1;ADCY9;PRKACA;ATG5;CREB3L4;EHMT2;RPS6KB2;IGF1R;ATF2;HSPA1B;MTOR;ATF4;ADCY3;PRKACB;PRKAG1;BAX;AKT1;PIK3R3;CAMKK2;FOXO1;HSPA1A;PIK3CB;CREB3L2;TSC1;PRKAB1;PIK3CA;TSC2;ULK1;CREB3L1;SOD2;HRAS;PPARGC1A;PIK3R1;AKT2;PRKACG;PRKAA2;HDAC2
8,prerank,Epstein-Barr virus infection,0.30332169312021406,2.6175511123067663,0.0,0.0,0.0,129/174,48.68%,TP53;TRADD;HLA-DMB;IRAK4;AKT3;HLA-DRB3;PIK3R2;VIM;APAF1;IKBKB;JUN;RAC1;CCNA2;HES1;BCL2;MAPK9;IFNA16;TNFAIP3;CCND1;IFNAR1;CXCL10;BID;MAPK14;ITGAL;ENTPD1;IFNA21;CCNE1;STAT1;JAK3;HDAC1;HLA-A;TBK1;GADD45B;DDX58;RELA;PIK3CD;NFKB1;NFKBIA;CD58;CD3D;DDB2;IFNB1;PLCG2;IFNA8;OAS1;ICAM1;CD19;MAP3K14;SYK;CHUK;HLA-DPB1;SKP2;FAS;SAP30;STAT3;TRAF5;LYN;HLA-DPA1;RUNX3;BAX;HLA-DQB1;CASP9;HLA-DRA;CDKN1A;NFKBIB;B2M;IFNA2;AKT1;CYCS;PIK3R3;IKBKG;PSMD2;TYK2;CDK2;PIK3CB;MAPK13;ENTPD3;E2F1;CDKN1B;CASP8;HLA-DRB5;SIN3A;MAP2K6;MAP2K3;MYD88;PIK3CA;CD3G;RB1;TLR2;CDK4;EIF2AK2;CCND2;CALR;MDM2;HLA-DRB1;TAB2;CCND3;CASP3;IFNA10;IRF7;BAK1;PIK3R1;IFNA7;BCL2L11;SNW1;HLA-DMA;IFNA17;BTK;IKBKE;AKT2;CD44;CD40;IRAK1;HDAC2;CR2;STAT2;USP7;RIPK1;MAPK12;JAK1;CDK6;IFNAR2;BLNK;MAP3K7;TRAF3;NFKBIE;IFNA1;CCNA1;HLA-DQA1
9,prerank,Toxoplasmosis,0.33513762239213496,2.590583155801412,0.0,0.0,0.0,72/99,44.26%,HLA-DMB;IRAK4;AKT3;IL12A;HLA-DRB3;JAK2;IKBKB;BCL2;MAPK9;TGFB2;PIK3CG;MAPK14;STAT1;ITGA6;CCR5;RELA;BCL2L1;PIK3R6;MAPK3;PIK3R5;IFNGR1;NFKB1;NFKBIA;PDPK1;TGFB3;BIRC2;HSPA1B;CHUK;HLA-DPB1;GNAI3;TLR4;STAT3;HLA-DPA1;HLA-DQB1;CASP9;HLA-DRA;NFKBIB;AKT1;MAPK1;CYCS;IFNG;LAMB3;SOCS1;IKBKG;TYK2;HSPA1A;MAPK13;ITGB1;CASP8;HLA-DRB5;MAP2K6;MAP2K3;MYD88;IRGM;GNAI2;TLR2;IL10RB;GNAI1;HLA-DRB1;TAB2;CASP3;CIITA;HLA-DMA;AKT2;LAMB2;CD40;IRAK1;BIRC3;LDLR;MAPK12;TNFRSF1A;JAK1
