,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Human T-cell leukemia virus 1 infection,0.3081099669660818,2.4084835679188754,0.0,0.005235963589914728,0.005,117/189,36.87%,AKT1;MAP2K1;NFYB;MAPK1;TP53;HLA-DRA;PPP3CA;KRAS;CD3G;LCK;TGFBR2;TGFB1;ATR;CCNA2;BCL2L1;POLB;MAP3K1;NFATC3;SMAD3;CDK4;CCND1;CCND2;LTBR;CDKN2C;RELB;ELK4;SLC25A4;NRAS;B2M;CDK2;MYC;ATF2;HLA-DOA;ETS2;SMAD4;VDAC1;PPP3R1;FOSL1;KAT2A;NFATC2;HLA-DRB1;TRRAP;CREBBP;NFKB1;CREB3;CANX;PRKACG;HLA-DRB4;TGFB2;CD4;CHEK1;MAPK9;ADCY1;SPI1;CREB3L2;EP300;ITGB2;IL2;FDPS;MAPK8;CALR;MAP2K4;HLA-DMB;PIK3CA;PRKACB;E2F1;HLA-DMA;EGR1;HLA-DPB1;CREB1;NFATC1;IL1R1;CD40;CCND3;ADCY5;IL15RA;IL2RG;IL1R2;RELA;BAX;LTA;BUB3;JAK1;NRP1;HLA-DQA2;CSF2;JUN;NFKBIA;ADCY9;HLA-DRB5;ELK1;NFATC4;TSPO;BUB1B;PIK3CD;TNFRSF13C;KAT5;HLA-DOB;HLA-A;MAPK3;MAP3K3;TNFRSF1A;CDKN1A;CDKN2B;IL6;MAP3K14;ETS1;PTEN;SLC25A5;PTTG1;RB1;IL15;SMAD2;ADCY7;TGFB3;SLC25A6;TGFBR1
1,prerank,Toxoplasmosis,0.3405875918234463,2.390728615914496,0.0,0.003141578153948837,0.006,66/99,37.18%,AKT1;TYK2;MAPK1;HLA-DRA;ITGA6;ITGB1;TGFB1;BCL2L1;PDPK1;SOCS1;MAPK12;MAPK14;BIRC3;HLA-DOA;HLA-DRB1;CD40LG;IRGM;GNAI3;TLR2;IL10;NFKB1;CASP3;HLA-DRB4;TGFB2;MAPK9;IL12A;MAP3K7;MAPK13;IL10RB;HSPA2;MAPK8;HSPA1A;HLA-DMB;CASP9;MAPK11;HLA-DMA;HLA-DPB1;CD40;HSPA1B;NFKBIB;LAMB2;MAP2K3;RELA;IL12B;JAK1;HLA-DQA2;BAD;NFKBIA;STAT3;BCL2;HLA-DRB5;CIITA;TLR4;MAP2K6;HLA-DOB;MAPK3;TAB2;IFNGR1;TNFRSF1A;BIRC2;CASP8;CCR5;IRAK1;ALOX5;TGFB3;PIK3R6
2,prerank,Amyotrophic lateral sclerosis (ALS),0.4178513881752229,2.3662270564380337,0.0,0.0020943854359658912,0.006,29/43,30.20%,TP53;PPP3CA;NEFM;BCL2L1;MAPK12;GRIN2A;MAPK14;GRIN2B;PPP3R1;RAC1;SOD1;BID;CASP3;RAB5A;MAPK13;CASP1;CAT;GPX1;CASP9;MAPK11;MAP3K5;GRIN2C;MAP2K3;BAX;BAD;DERL1;BCL2;GRIN1;MAP2K6
3,prerank,Intestinal immune network for IgA production,0.40798289074568117,2.3309650439118266,0.0,0.0018325872564701551,0.007,33/45,35.99%,HLA-DRA;ICOSLG;TGFB1;ICOS;LTBR;HLA-DOA;CD28;HLA-DRB1;CD40LG;CXCR4;IL10;TNFRSF17;HLA-DRB4;IL2;CXCL12;HLA-DMB;HLA-DMA;HLA-DPB1;CD40;TNFSF13;IL15RA;PIGR;HLA-DQA2;HLA-DRB5;TNFRSF13C;HLA-DOB;IL6;CD86;MAP3K14;IL5;IL4;AICDA;IL15
4,prerank,FoxO signaling pathway,0.31795684169785254,2.323079752565309,0.0,0.0020943854359658912,0.01,88/119,47.73%,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SIRT1;PDPK1;SMAD3;GADD45A;CCND1;CCND2;MAPK12;SOD2;MAPK14;NRAS;CDK2;CCNB1;SMAD4;BCL6;FOXO3;PRKAG3;CREBBP;CSNK1E;IL10;TGFB2;SGK1;MAPK9;EP300;USP7;PRKAB2;MAPK13;MAPK8;RAG1;CAT;IL7R;PIK3CA;S1PR1;MAPK11;BNIP3;STK11;PLK4;PRKAA2;C8ORF44-SGK3;INS;PLK2;PRMT1;STAT3;SGK2;PIK3CD;HOMER2;CCNG2;GABARAPL1;G6PC3;MAPK3;CDKN1A;SKP2;CDKN2B;S1PR4;IL6;SGK3;PTEN;FBXO32;GADD45B;SMAD2;IGF1;TGFB3;TGFBR1;PIK3R3;PLK3;PRKAB1;MAP2K2;IRS1;PRKAG1;CDKN1B;SLC2A4;FASLG;PCK2;PIK3R2;NLK;PCK1;STK4;PRKAG2
5,prerank,Endometrial cancer,0.3808920474660392,2.3060965312192487,0.0,0.001919853316302067,0.011,38/53,39.11%,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;EGFR;PDPK1;GADD45A;CCND1;NRAS;CTNNB1;MYC;FOXO3;ERBB2;TCF7;AXIN1;MLH1;PIK3CA;AXIN2;CASP9;CDH1;ILK;BAX;BAD;ELK1;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;PTEN;GADD45B;LEF1;PIK3R3
6,prerank,Cellular senescence,0.30785375165531775,2.3039017723862125,0.0,0.0017951875165421927,0.012,84/135,37.41%,AKT1;MAP2K1;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;HIPK1;RAF1;TGFBR2;HUS1;TGFB1;SIRT1;ATR;CCNA2;KIR2DL4;NFATC3;RHEB;RAD9A;SMAD3;GADD45A;CDK4;CDK6;CCND1;CCND2;ITPR1;MAPK12;CALM1;SLC25A4;MAPK14;E2F5;NRAS;CDK2;ZFP36L1;MYC;CCNB1;CDK1;VDAC1;PPP3R1;FOXO3;NFATC2;NFKB1;RRAS2;TGFB2;CHEK1;PPP1CA;MTOR;FBXW11;MAPK13;PIK3CA;MAPK11;SERPINE1;CDC25A;E2F1;TRAF3IP2;NFATC1;CCND3;MAP2K3;RELA;NFATC4;PIK3CD;MAP2K6;TSC2;SQSTM1;HLA-A;MAPK3;NBN;HIPK2;CDKN1A;CDKN2B;IL6;RAD1;ETS1;PTEN;SLC25A5;RB1;GADD45B;SMAD2;TGFB3;SLC25A6;TGFBR1;PPID;TRPV4
7,prerank,Pancreatic cancer,0.34979312878151997,2.293643536070091,0.0,0.0018325872564701551,0.014,49/71,39.22%,AKT1;MAP2K1;ARAF;BRAF;MAPK1;TP53;RAD51;KRAS;RAF1;TGFBR2;EGFR;TGFB1;BCL2L1;SMAD3;GADD45A;CDK4;CDK6;CCND1;RPS6KB2;SMAD4;RAC1;ERBB2;CDC42;NFKB1;TGFB2;MAPK9;RALBP1;MTOR;ARHGEF6;MAPK8;PIK3CA;CASP9;E2F1;RPS6KB1;RELA;BAX;JAK1;BAD;STAT3;PIK3CD;MAPK3;CDKN1A;RB1;GADD45B;SMAD2;TGFB3;TGFBR1;PIK3R3;IKBKG
8,prerank,Colorectal cancer,0.34188599010988024,2.2779333491089795,0.0,0.0020943854359658912,0.018,54/79,39.11%,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;TGFBR2;EGFR;TGFB1;SMAD3;GADD45A;CCND1;NRAS;CTNNB1;MYC;RPS6KB2;RHOA;SMAD4;RAC1;TCF7;CASP3;TGFB2;MAPK9;AXIN1;MLH1;MTOR;MAPK8;BIRC5;PIK3CA;AXIN2;CASP9;AREG;RPS6KB1;BAX;PMAIP1;JUN;BAD;BCL2;GSK3B;PIK3CD;MAPK3;CDKN1A;TCF7L2;BBC3;MSH6;GADD45B;SMAD2;TGFB3;TGFBR1;LEF1;PIK3R3
9,prerank,Kaposi sarcoma-associated herpesvirus infection,0.2917872194816724,2.23966613442746,0.0,0.002617981794957364,0.025,96/159,36.28%,AKT1;MAP2K1;TYK2;GNG4;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CALM2;RAF1;GNB4;HIF1A;IKBKE;NFATC3;CDK4;CDK6;ATG3;IL6ST;CCND1;ITPR1;UBB;SRC;MAPK12;CALM1;GNG5;MAPK14;NRAS;CTNNB1;MYC;HCK;TRAF3;CXCL1;PPP3R1;NFATC2;RAC1;CXCL3;CREBBP;NFKB1;BID;CASP3;MAPK9;GNG7;FAS;EP300;MTOR;FADD;MAPK13;MAPK8;IFNA1;MAP2K4;PIK3CA;CASP9;MAPK11;IFNA2;E2F1;RCAN1;BECN1;CREB1;NFATC1;GNB5;GNG12;RELA;BAX;JAK1;CSF2;JUN;IFNA21;NFKBIA;STAT3;NFATC4;GSK3B;SYK;PIK3CD;MAP2K6;LYN;GABARAPL1;HLA-A;GNG11;MAPK3;IFNGR1;TNFRSF1A;CDKN1A;IL6;IRF7;CD86;FGF2;PIK3C3;IFNA7;IFNAR1;EIF2AK2;RB1;CASP8;TICAM1;CCR5;CXCL2
