,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Kaposi sarcoma-associated herpesvirus infection,0.391372293695923,2.8610693207525055,0.0,0.0,0.0,118/159,41.21%,ATG3;PPP3CB;PPP3CA;NFKBIA;CCR3;FOS;FAS;IKBKB;IL6ST;HCK;ZFP36;BECN1;PIK3CA;IFNAR1;PIK3CD;TRAF2;CTNNB1;STAT3;MAPK12;PLCG2;NFKB1;TBK1;AKT2;RAC1;PIK3CG;CD200R1;TP53;IRF9;ITPR1;JAK2;AKT1;EIF2AK2;CDKN1A;IFNAR2;STAT1;MAPKAPK2;TICAM1;IKBKE;MAP2K1;IFNA2;BAX;TRAF3;JUN;RELA;CDK6;CASP9;GNB5;HLA-A;NFATC3;PIK3C3;PIK3CB;CCR4;ITPR2;MAPK8;NRAS;CASP3;CYCS;GNB4;CXCL2;PTGS2;TNFRSF1A;RB1;UBB;IFNGR1;PPP3R2;PIK3R1;RAF1;NFATC2;MAPK11;GNG11;C3;MAPK9;CCR5;IFNA5;CALM2;IFNA4;AKT3;IKBKG;KRAS;FADD;IRF3;E2F1;E2F3;GNG12;BID;GNG4;EP300;MAPK13;HLA-B;PPP3CC;GSK3B;GNB2;HIF1A;MAPK1;CALM1;CHUK;CALM3;VEGFA;MYC;NFATC1;SRC;IL6;CXCL8;CCR1;ICAM1;IFNA8;GNG7;CCND1;MAP2K7;BAK1;PLCG1;CDK4;PIK3R2;PIK3R3;CXCL1;JAK1;PPP3R1;MAP2K4
1,prerank,Pancreatic cancer,0.45603616516339607,2.848178630365774,0.0,0.0,0.0,61/71,44.00%,IKBKB;PIK3CA;PIK3CD;STAT3;SMAD4;NFKB1;CDKN2A;AKT2;RAC1;TP53;EGF;TGFBR2;AKT1;CDKN1A;STAT1;ERBB2;MAP2K1;BAX;BRAF;RAC3;RELA;CDK6;CASP9;PIK3CB;RALBP1;EGFR;MAPK8;RB1;PIK3R1;RAF1;MAPK9;RPS6KB1;AKT3;IKBKG;GADD45B;KRAS;TGFBR1;E2F1;E2F3;RAD51;BCL2L1;SMAD2;BRCA2;BAD;MAPK1;CHUK;VEGFA;RPS6KB2;CCND1;BAK1;CDK4;SMAD3;PIK3R2;PIK3R3;RALA;JAK1;DDB2;TGFB3;TGFB1;RALB;CDC42
2,prerank,Insulin resistance,0.4270438619513641,2.841650657272794,0.0,0.0,0.0,63/92,32.26%,PRKAB2;PDPK1;NFKBIA;PTPN1;PRKAG1;IKBKB;RPS6KA1;PCK2;CPT1A;AGT;PIK3CA;PIK3CD;STAT3;CREB3L1;NFKB1;AKT2;PRKAG3;PYGL;AKT1;PTPRF;PPP1CA;SLC27A3;PRKCZ;PRKAB1;SLC2A2;RELA;PRKAA1;PTPA;PIK3CB;MAPK8;PRKAG2;TNF;TBC1D4;TNFRSF1A;G6PC;CREB3L4;RPS6KA3;INS;PIK3R1;PCK1;MAPK9;RPS6KB1;PPARGC1B;PRKCE;G6PC3;TRIB3;NR1H3;SOCS3;CD36;PPARGC1A;NR1H2;AKT3;PRKCB;CREB5;IRS1;FOXO1;SREBF1;CPT1B;PRKCD;PYGB;SLC2A1;GYS1;GSK3B
3,prerank,Small cell lung cancer,0.4342346172058651,2.771319895552182,0.0,0.0,0.0,63/79,40.96%,NFKBIA;IKBKB;RXRB;CDK2;PIK3CA;PIK3CD;FN1;TRAF2;NFKB1;AKT2;TP53;CKS2;CDKN1B;AKT1;CDKN1A;SKP2;BAX;BCL2;TRAF3;LAMB1;ITGAV;RELA;CDK6;CASP9;BIRC2;ITGA2B;NOS2;PIK3CB;LAMB3;CASP3;CYCS;LAMA3;CKS1B;PTGS2;COL4A2;BIRC3;RB1;TRAF6;PIK3R1;PTK2;ITGA3;BIRC7;AKT3;IKBKG;GADD45B;CCNE1;RARB;XIAP;E2F1;E2F3;BCL2L1;MAX;CHUK;RXRA;MYC;RXRG;APAF1;CCND1;BAK1;CDK4;PIK3R2;PIK3R3;DDB2
4,prerank,Fluid shear stress and atherosclerosis,0.3896863572509854,2.7326222020540616,0.0,0.0,0.0,91/122,41.21%,HSP90AB1;NOX1;BMPR1A;BMP4;FOS;IKBKB;PIK3CA;PIK3CD;CTNNB1;MAPK12;NFE2L2;NFKB1;AKT2;RAC1;KLF2;ACVR1;TP53;MAP3K5;ARHGEF2;AKT1;GSTA4;VCAM1;BCL2;PRKCZ;RAC3;IL1R2;JUN;ITGAV;RELA;PRKAA1;TXN;ITGA2B;PIAS4;IL1B;GSTO1;SQSTM1;PIK3CB;ACTB;EDN1;PLAT;MAPK8;TNF;GSTM3;HSP90AA1;TNFRSF1A;GSTA5;PIK3R1;GSTA1;MEF2A;MAP3K7;MAPK11;MAPK9;GSTT1;PTK2;NCF2;MEF2C;CALM2;HMOX1;GSTO2;AKT3;IKBKG;ACVR2A;CAV2;TRPV4;MMP2;DUSP1;ASS1;ITGB3;GPC1;NQO1;SDC4;MAPK13;CAV1;CAV3;CALM1;CHUK;CALM3;GSTM2;VEGFA;MAPK7;SRC;KEAP1;BMPR2;ICAM1;GSTP1;BMPR1B;MAP2K7;MGST1;PIK3R2;PIK3R3;MAP2K4
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4109407171505615,2.7114954632488604,0.0,0.0,0.0,73/89,45.53%,NOX1;AGT;PIK3CA;PIK3CD;FN1;PLCB1;STAT3;MAPK12;PLCG2;SMAD4;NFKB1;STAT5A;AKT2;F3;RAC1;JAK2;CDKN1B;TGFBR2;AKT1;STAT1;VCAM1;BAX;BCL2;PRKCZ;JUN;RELA;PLCB3;IL1B;PIK3CB;EDN1;MAPK8;NRAS;CASP3;TNF;PRKCA;COL4A2;PLCB4;PIK3R1;MAPK11;MAPK9;PRKCE;AKT3;PRKCB;KRAS;EGR1;MMP2;TGFBR1;FOXO1;PRKCD;PIM1;SMAD2;MAPK13;MAPK1;VEGFA;NFATC1;IL6;CXCL8;ICAM1;CCND1;VEGFB;PLCG1;CDK4;SMAD3;PIK3R2;PIK3R3;TGFB3;AGTR1;TGFB1;CCL2;CDC42;MAPK14;HRAS;THBD
6,prerank,Hepatitis B,0.35728491499184883,2.6048498261907316,0.0,0.0,0.0,115/153,45.70%,IFIH1;NFKBIA;FOS;FAS;IKBKB;CDK2;IRAK4;PIK3CA;IFNAR1;PIK3CD;STAT3;CREB3L1;MAPK12;SMAD4;NFKB1;TBK1;STAT5A;AKT2;FASLG;TP53;STAT4;GRB2;JAK2;TAB2;DDX58;TGFBR2;AKT1;MAP2K3;CDKN1A;STAT1;STAT6;TICAM1;IKBKE;MAP2K1;IFNA2;BAX;BRAF;BCL2;TRAF3;JUN;RELA;CCNA1;CASP9;NFATC3;PIK3CB;PCNA;MAPK8;NRAS;CASP3;CYCS;TNF;PRKCA;HSPG2;ATF2;CREB3L4;RB1;TRAF6;PIK3R1;RAF1;NFATC2;MAP3K7;MAPK11;CASP10;MAPK9;YWHAZ;IFNA5;IFNA4;MYD88;AKT3;IKBKG;PRKCB;KRAS;CCNE1;FADD;CREB5;IRF3;TGFBR1;TIRAP;E2F1;E2F3;ATF4;BID;CCNA2;EP300;SMAD2;MAPK13;EGR2;BAD;MAPK1;CHUK;MYC;NFATC1;TLR4;SRC;IL6;CXCL8;APAF1;IFNA8;MAP2K7;SMAD3;PIK3R2;PIK3R3;JAK1;DDB2;MAP2K4;CREB3;MAP3K1;TGFB3;TGFB1;IFNB1;IRF7;MAPK14;HRAS;CREB1;IFNA16
7,prerank,Prolactin signaling pathway,0.42029414135542653,2.587485985243082,0.0,0.0,0.0,49/64,40.80%,FOS;PIK3CA;PIK3CD;STAT3;MAPK12;NFKB1;STAT5A;AKT2;SOCS2;CISH;GRB2;JAK2;AKT1;GCK;STAT1;MAP2K1;CYP17A1;SLC2A2;RELA;CGA;ESR2;SOCS4;PIK3CB;MAPK8;SHC1;NRAS;LHCGR;ESR1;INS;PIK3R1;RAF1;MAPK11;CCND2;MAPK9;SOCS3;TH;AKT3;KRAS;SHC4;SOCS5;MAPK13;GSK3B;MAPK1;FOXO3;SRC;CCND1;IRF1;PIK3R2;PIK3R3
8,prerank,Human cytomegalovirus infection,0.3418730687136158,2.5874744026323517,0.0,0.0,0.0,147/197,46.50%,IL10RB;PPP3CB;PRKACB;RHEB;PPP3CA;NFKBIA;CCR3;FAS;ROCK1;IKBKB;RIPK1;B2M;PIK3CA;PIK3CD;TRAF2;PLCB1;CTNNB1;STAT3;CREB3L1;MAPK12;NFKB1;CDKN2A;TBK1;AKT2;RAC1;FASLG;CALR;TP53;ITPR1;GRB2;AKT1;ADCY1;CDKN1A;CXCL12;TAP1;MAP2K1;IFNA2;BAX;RAC3;ITGAV;RELA;ADCY3;CDK6;CASP9;GNA11;PLCB3;GNB5;HLA-A;TSC1;IL1B;NFATC3;TSC2;PIK3CB;GNAQ;EGFR;ITPR2;GNA13;NRAS;PRKACA;CASP3;CYCS;TNF;PRKCA;GNB4;PTGS2;TNFRSF1A;PLCB4;ATF2;CREB3L4;RB1;PPP3R2;PIK3R1;RAF1;NFATC2;BCAR1;GNAI1;MAPK11;GNG11;PTGER4;RPS6KB1;PTK2;CCR5;CXCR4;IFNA5;CALM2;IFNA4;PDGFRA;AKT3;IKBKG;PRKCB;KRAS;FADD;ADCY2;CREB5;IRF3;ITGB3;PXN;E2F1;ADCY9;E2F3;CRKL;GNG12;ATF4;BID;GNG4;MAPK13;HLA-B;PPP3CC;GSK3B;GNB2;MAPK1;CALM1;CHUK;CALM3;VEGFA;MYC;NFATC1;IL6R;SRC;IL6;CXCL8;PRKACG;GNAI3;RPS6KB2;GNA12;CCR1;IFNA8;GNG7;CCND1;BAK1;CDK4;PIK3R2;PIK3R3;JAK1;PPP3R1;CREB3;GNG8;CCL2;IFNB1;MAPK14;HRAS;CREB1;GNAS;IFNA16;TAPBP;TAP2;SOS2
9,prerank,MicroRNAs in cancer,0.3623207545929798,2.583875216009741,0.0,0.0,0.0,93/129,41.52%,BRCA1;HOXD10;STMN1;ROCK1;BCL2L2;IKBKB;GLS;ERBB3;DICER1;PIK3CA;STAT3;PLCG2;NFKB1;CDKN2A;SERPINB5;SPRY2;TP53;ST14;GRB2;CCNG1;CDKN1B;CDC25B;NOTCH2;CDKN1A;ABL1;ERBB2;HDAC4;HDAC1;CDC25A;MAP2K1;DNMT1;BCL2;CDK6;EZH2;TIMP3;NOTCH1;ATM;EGFR;PDGFRB;SLC7A1;SHC1;NRAS;CASP3;PRKCA;PTGS2;ABCC1;RAF1;ZEB1;CCND2;PRKCE;MCL1;PAK4;HMOX1;PDGFRA;RDX;PRKCB;KRAS;CCNE1;DNMT3B;ZFPM2;RPTOR;PLAU;CYP1B1;BMI1;DNMT3A;CYP24A1;RPS6KA5;IRS1;ITGB3;E2F1;E2F3;CRKL;SHC4;PIM1;EP300;MAPK1;FGFR3;EFNA3;FZD3;VEGFA;RASSF1;MAPK7;MYC;VIM;ABCB1;BMPR2;CCND1;BAK1;WNT3;PLCG1;PIK3R2;APC;BCL2L11
