,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Mitophagy,0.5547210294468878,1.9248130479715369,0.0,0.007036815804426055,0.007,27/43,25.47%,BECN1;TFEB;EIF2AK3;JUN;ATF4;TBK1;CSNK2A1;KRAS;RAB7A;BNIP3;MITF;RELA;MAPK8;UBB;BCL2L13;HRAS;HIF1A;GABARAPL1;SRC;NRAS;FOXO3;CSNK2B;RRAS2;BCL2L1;TBC1D15;TP53;BNIP3L
1,prerank,B cell receptor signaling pathway,0.5020865192650588,1.821785844726741,0.0,0.02060781771296202,0.041,49/68,36.48%,AKT1;JUN;PTPN6;PIK3CD;MAPK1;CARD11;KRAS;PLCG2;NFKBIA;RELA;GSK3B;INPP5D;CD81;CD79B;PPP3R2;PIK3R3;CR2;HRAS;CD19;IKBKB;PIK3CA;BCL10;RAC3;VAV3;RAF1;RAC1;PRKCB;GRB2;NRAS;CHUK;PPP3CA;BTK;CD79A;NFKBIB;MAP2K1;CD22;AKT2;MAP2K2;IKBKG;NFATC3;FOS;NFATC1;INPPL1;LYN;DAPP1;IFITM1;NFATC2;PIK3R1;AKT3
2,prerank,Cell cycle,0.4767755089088051,1.7893685834593749,0.0,0.02010518801264587,0.059,53/94,28.38%,TTK;CCNA1;MCM7;CCND3;BUB1;BUB3;HDAC2;CCNA2;TGFB1;CDKN2A;CDK1;SKP1;ATR;EP300;PRKDC;BUB1B;MCM2;CDC25B;SMAD4;CDKN1B;CDC25A;CCNB1;E2F3;GSK3B;ABL1;WEE1;TFDP2;YWHAZ;MCM3;SMC3;ATM;CDK7;CDKN1C;RBL2;CDC14A;PLK1;ZBTB17;CDC7;CDC6;E2F4;CHEK1;GADD45B;SMAD3;CREBBP;TFDP1;TP53;CDKN1A;CDC25C;MDM2;CDK2;CCNE1;CCND1;CDC45
3,prerank,Measles,0.4649864499197486,1.7787204563569001,0.0,0.018094669211381285,0.07,90/126,40.53%,BCL2;FADD;ADAR;BID;AKT1;MYD88;CCND3;EIF2AK3;IRF3;JUN;CD209;IFIH1;IL2RB;BAD;PIK3CD;TBK1;EIF3H;CSNK2A1;HSPA1B;CLEC4M;NFKBIA;CDKN1B;FAS;RELA;IFNA8;GSK3B;CBLB;IFNB1;TAB2;MAPK8;PIK3R3;EIF2S1;IKBKB;PIK3CA;STAT5B;BBC3;HSPA8;TRAF6;TLR2;BAK1;CHUK;JAK3;NFKBIB;CSNK2B;TNFAIP3;TLR7;IRF9;STAT5A;BCL2L1;AKT2;IL6;TP53;IFNA21;IKBKG;SLAMF1;TRAF3;CDK2;IFNA10;CCNE1;CCND1;FOS;CD28;STAT3;MAP3K7;CYCS;HSPA2;CDK4;BAX;IRAK4;IFNA4;RCHY1;EIF2AK2;JAK1;STAT2;IFNAR1;IFNA7;OAS2;PIK3R1;AKT3;CD3D;EIF2AK1;CD3E;CASP8;IFNA5;IFNA2;CDK6;DDX58;CASP9;IRF7;NFKB1
4,prerank,Renal cell carcinoma,0.4940949220203237,1.7754147559969047,0.0,0.015883098529990237,0.077,34/62,24.36%,AKT1;CDC42;JUN;EGLN1;SLC2A1;TGFB1;BRAF;BAD;PIK3CD;MAPK1;EP300;KRAS;ARNT2;PAK2;PIK3R3;ETS1;EPAS1;HRAS;PIK3CA;HIF1A;RAF1;RAC1;GRB2;NRAS;FLCN;PAK1;CREBBP;MAP2K1;AKT2;PAK4;MAP2K2;PAK5;MET;CDKN1A
5,prerank,Endometrial cancer,0.4909803864494582,1.7307639927851475,0.0,0.021780620347033028,0.123,34/53,28.35%,AKT1;CTNNB1;BRAF;BAD;PIK3CD;MAPK1;EGFR;KRAS;AXIN2;GSK3B;ILK;PIK3R3;EGF;ELK1;HRAS;TCF7L2;PIK3CA;DDB2;RAF1;GRB2;NRAS;BAK1;GADD45B;TCF7;FOXO3;PDPK1;MAP2K1;AKT2;MAP2K2;TP53;CDKN1A;ERBB2;CCND1;MLH1
6,prerank,Chronic myeloid leukemia,0.4796167577821699,1.725260842170665,0.0,0.01967436255523203,0.129,45/71,28.16%,AKT1;SHC4;HDAC2;TGFB1;CDKN2A;BRAF;BAD;PIK3CD;MAPK1;KRAS;SMAD4;NFKBIA;CDKN1B;RELA;E2F3;ABL1;PIK3R3;CTBP2;HRAS;IKBKB;PIK3CA;STAT5B;DDB2;RAF1;GRB2;NRAS;BAK1;CHUK;GADD45B;SMAD3;MAP2K1;STAT5A;BCL2L1;TGFBR1;AKT2;MAP2K2;MECOM;TP53;CDKN1A;BCR;IKBKG;MDM2;PTPN11;CCND1;SHC1
7,prerank,Hepatitis B,0.4457851056998645,1.721909247103642,0.0,0.018094669211381285,0.134,107/153,40.53%,BCL2;FADD;BID;CCNA1;JAK2;AKT1;MYD88;IRF3;JUN;IFIH1;CCNA2;TGFB1;BRAF;ATF4;BAD;PIK3CD;MAPK1;EP300;TBK1;KRAS;SMAD4;NFKBIA;FAS;RELA;IFNA8;E2F3;IFNB1;TAB2;YWHAZ;EGR2;MAPK8;PIK3R3;MAP2K3;ELK1;HRAS;IKBKB;PIK3CA;STAT5B;DDB2;CASP10;RAF1;SRC;PRKCB;TRAF6;GRB2;TLR2;NRAS;CHUK;JAK3;SMAD3;CREBBP;MAP2K1;STAT5A;TGFBR1;AKT2;STAT6;IL6;MAPK14;TICAM1;MAP2K2;TNF;BIRC5;TP53;IFNA21;CDKN1A;IKBKG;NFATC3;TRAF3;CDK2;IFNA10;CCNE1;TIRAP;CREB3;FOS;ATP6AP1;STAT3;MAP2K4;MAP3K7;NFATC1;CYCS;BAX;IRAK4;IFNA4;EGR3;JAK1;STAT2;IFNAR1;NFATC2;IFNA7;MAPK12;PIK3R1;CREB1;HSPG2;AKT3;CASP8;TGFB3;CREB3L4;IFNA5;TGFBR2;TLR3;IFNA2;CREB3L1;DDX58;CREB3L2;CASP9;IRF7;NFKB1
8,prerank,Non-small cell lung cancer,0.4834269943470781,1.7214969532260598,0.0,0.016307541388034988,0.136,37/63,25.37%,AKT1;RXRA;CDKN2A;BRAF;BAD;PIK3CD;MAPK1;EGFR;KRAS;PLCG2;RARB;ALK;E2F3;PIK3R3;EGF;HRAS;PIK3CA;STAT5B;DDB2;RAF1;PRKCB;GRB2;NRAS;BAK1;PLCG1;GADD45B;FOXO3;PDPK1;JAK3;MAP2K1;STAT5A;AKT2;MAP2K2;STK4;TP53;CDKN1A;ERBB2
9,prerank,Melanoma,0.4901601898300057,1.715372000500099,0.0,0.01578257258992701,0.144,32/52,27.92%,AKT1;PDGFRA;CDKN2A;BRAF;BAD;PIK3CD;MAPK1;EGFR;KRAS;MITF;E2F3;PIK3R3;EGF;HRAS;PIK3CA;DDB2;RAF1;PDGFD;NRAS;BAK1;PDGFRB;GADD45B;FGFR1;MAP2K1;AKT2;MAP2K2;MET;TP53;CDKN1A;MDM2;IGF1R;CCND1
