,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.434385433705544,1.8783275733934417,0.0,0.14001384752338145,0.128,36/60,29.12%,HK1;SIRT3;PIK3CD;TP53;ERBB2;PFKP;SLC2A2;PFKL;KRAS;FLT3;SLC7A5;PDK1;HIF1A;GLS;NTRK3;HK3;G6PD;PFKM;MAP2K2;MAPK3;HKDC1;EGFR;TIGAR;PTEN;MET;MTOR;RET;PIK3CA;AKT1;SIRT6;NTRK1;LDHA;AKT2;PDHA1;RAF1;PDHB
1,prerank,Measles,0.38296815170036436,1.823651822041968,0.0,0.11501137475134904,0.197,70/126,29.79%,BAD;IKBKG;HSPA1A;IRAK4;CDK2;SLAMF1;IFNA21;PIK3CD;TP53;IFNA2;CASP3;RCHY1;IRF3;FOS;JAK1;CBLB;CYCS;BAK1;IL2;FCGR2B;FADD;TRAF3;BCL2L1;CASP9;IFNA16;CCND2;EIF2AK4;CCND3;FAS;TRADD;IFNA10;CSNK2A1;IL12B;TLR4;IL2RA;TLR7;CD3G;JAK3;CD46;ADAR;IFNA1;IFNA17;APAF1;NFKBIA;GSK3B;BBC3;IFNAR1;JUN;TAB2;STAT1;BCL2;PIK3CA;IL2RB;CSNK2B;RELA;AKT1;MAP3K7;IL6;OAS2;MYD88;IKBKB;AKT2;CD3E;CASP8;CCND1;BAX;TBK1;HSPA1B;STAT2;CDK4
2,prerank,Aldosterone-regulated sodium reabsorption,0.45769641077290446,1.79706152678637,0.003045685279187817,0.10301018782077347,0.25,17/32,24.51%,ATP1B2;INS;PIK3CD;ATP1B1;PRKCA;KRAS;PDPK1;ATP1A3;ATP1A1;MAPK3;SCNN1A;ATP1B3;NR3C2;ATP1A4;SGK1;SCNN1G;PIK3CA
3,prerank,Lysine degradation,0.41999808384111903,1.7931905605594836,0.0010050251256281408,0.08175808596454595,0.263,31/46,37.84%,AASS;DOT1L;KMT2D;SETD1B;AADAT;SUV39H1;ALDH1B1;ALDH7A1;ACAT2;TMLHE;HADH;PRDM2;PLOD3;EZH2;ASH1L;PHYKPL;SETDB1;EHHADH;ACAT1;ALDH3A2;BBOX1;EHMT1;DLD;SETD7;SETD1A;KMT2A;ECHS1;SETDB2;NSD1;EZH1;EHMT2
4,prerank,Arginine biosynthesis,0.5267488489476013,1.7666844810421012,0.00760043431053203,0.08600850633579145,0.325,12/16,32.60%,GPT;OTC;GLUD2;NOS2;GLS;ASS1;CPS1;ACY1;ARG2;ASL;GOT2;GLUD1
5,prerank,AMPK signaling pathway,0.377985735172448,1.76175451945237,0.0,0.07650756668241913,0.34,64/100,38.29%,G6PC3;PPP2CA;STK11;INS;PIK3CD;CCNA2;HNF4A;FASN;SLC2A4;PFKP;PFKL;CCNA1;PPP2R5A;PDPK1;PPP2R5C;G6PC2;PRKAG1;EEF2K;LEPR;CREB1;PFKM;PRKAB1;PPP2R1A;CPT1A;CAMKK2;ULK1;STRADA;PPP2R3A;PRKAG3;CD36;FBP1;PPARG;SCD;MTOR;EIF4EBP1;RPS6KB2;SIRT1;PIK3CA;AKT1;MAP3K7;PPP2R5B;CREB3L4;AKT2;EEF2;PPP2R2A;CCND1;PPP2R2D;RHEB;CPT1B;PPP2R5E;IGF1R;PRKAA2;G6PC;PPP2R2C;PFKFB1;TSC1;ADIPOR1;PCK1;TSC2;PFKFB3;GYS1;ADRA1A;LEP;RPS6KB1
6,prerank,Toxoplasmosis,0.3810789449526565,1.7519715241774159,0.0,0.07243573540240245,0.36,75/99,47.42%,BAD;IKBKG;HSPA1A;IRAK4;LAMB3;IFNGR1;HLA-DRB5;NOS2;CASP3;PIK3CG;TNFRSF1A;JAK1;CD40LG;PDPK1;CYCS;BCL2L1;HLA-DQA2;MAPK14;HLA-DQB1;CASP9;LDLR;PIK3R5;HLA-DPB1;ITGA6;MAPK3;TGFB1;IL12B;TLR4;IFNG;NFKBIA;PIK3R6;HLA-DMB;TAB2;JAK2;STAT1;BCL2;RELA;AKT1;MAP3K7;MYD88;IKBKB;AKT2;IL10;CASP8;HLA-DOB;HSPA1B;GNAI3;CIITA;MAP2K6;HLA-DMA;MAPK8;ALOX5;HLA-DRA;BIRC3;PPIF;HLA-DRB3;MAPK1;CCR5;MAP2K3;CD40;IRGM;GNAI2;IRAK1;IL10RB;HSPA8;ITGB1;IFNGR2;SOCS1;MAPK9;TGFB2;LAMB2;TYK2;IL12A;NFKB1;MAPK12
7,prerank,Tryptophan metabolism,0.43034305907094467,1.744876066165945,0.004056795131845842,0.07013193612555088,0.399,19/35,23.54%,AADAT;ALDH1B1;ALDH7A1;ACAT2;CYP1B1;HADH;KYNU;DDC;CYP1A1;MAOA;IL4I1;KYAT3;KYAT1;CAT;ACMSD;IDO2;EHHADH;ACAT1;ALDH3A2
8,prerank,NOD-like receptor signaling pathway,0.3574107517555989,1.7346838934776605,0.0,0.06822897014234619,0.427,95/142,43.25%,CXCL1;IKBKG;IRAK4;PRKCD;RIPK2;IFNA21;CARD8;RNASEL;TICAM1;RBCK1;IFNA2;NOD2;IRF3;ITPR1;JAK1;PANX1;FADD;TRAF3;TANK;CXCL8;HSP90AA1;BCL2L1;MAPK14;IFNA16;TRPM2;MAPK3;CASP4;PSTPIP1;ATG5;NLRC4;RHOA;IFNA10;TXNIP;TLR4;ERBIN;TRPM7;GBP1;GBP2;TXN;NLRP1;IFNA1;IFNA17;NFKBIA;GBP3;IFI16;IFNAR1;JUN;TAB2;CTSB;HSP90AB1;STAT1;BCL2;NAMPT;NAIP;RELA;MAP3K7;IL6;OAS2;MYD88;IKBKB;CASP8;TMEM173;CASR;TBK1;ATG16L1;SHARPIN;STAT2;TNFAIP3;ITPR3;CASP1;GBP4;MAPK8;BIRC3;ANTXR2;CARD6;IFNA7;CCL2;MAPK1;P2RX7;OAS1;NLRP3;CASP5;CAMP;IFNA8;RIPK3;CXCL3;PLCB3;SUGT1;IFNB1;NOD1;TP53BP1;IL18;GBP7;MAPK9;CXCL2
9,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3509016909476893,1.7147431921892318,0.0,0.07590750733589037,0.496,83/159,30.98%,CXCL1;IKBKG;MAP2K7;IFNGR1;IFNA21;PIK3CD;TP53;MAPKAPK2;TICAM1;PIK3C3;IFNA2;CASP3;IRF3;PIK3CG;FOS;ITPR1;TNFRSF1A;JAK1;HCK;FGF2;KRAS;CYCS;BAK1;FADD;TRAF3;CREBBP;CXCL8;MAP2K4;MAPK14;HIF1A;ZFP36;CASP9;ICAM1;IFNA16;CREB1;PIK3R5;MAP2K2;HLA-A;MAPK3;FAS;TRADD;GNG7;GNB5;IFNA10;EP300;CCR3;NFATC3;IFNA1;IFNA17;NFKBIA;RB1;GSK3B;PIK3R6;CCR4;IFNAR1;JUN;CTNNB1;MTOR;RAC1;CALM1;JAK2;STAT1;GNG12;PIK3CA;RELA;AKT1;CCR1;IL6;NFATC1;IKBKB;AKT2;CASP8;RAF1;CCND1;BAX;TBK1;STAT2;CDK4;UBB;ATG3;MAP2K6;ITPR3;PPP3R2
10,prerank,Viral myocarditis,0.4083901040968786,1.710669877048927,0.005035246727089627,0.07118885883818679,0.501,28/45,33.85%,HLA-DRB5;CASP3;ITGB2;CD40LG;ACTB;ABL1;CYCS;SGCB;HLA-DQA2;CD80;HLA-DQB1;CASP9;ICAM1;HLA-DPB1;EIF4G1;HLA-A;DAG1;HLA-DMB;RAC1;CAV1;FYN;CASP8;CCND1;HLA-DOB;CD55;HLA-DMA;HLA-DRA;HLA-DRB3
11,prerank,Breast cancer,0.36449933549269764,1.708193198182427,0.0,0.0674233349085807,0.512,67/112,38.69%,AXIN2;TCF7;PIK3CD;TNFSF11;TP53;FLT4;ERBB2;AXIN1;FOS;FGF2;KRAS;GADD45B;HEY1;BAK1;FZD10;LRP6;DVL3;NCOA3;WNT7A;CSNK1A1;WNT3;MAP2K2;BRCA2;MAPK3;LEF1;SHC1;EGF;WNT10B;SHC4;NOTCH1;EGFR;PTEN;SOS1;RB1;GSK3B;JUN;WNT9B;CTNNB1;MTOR;DLL4;RPS6KB2;PIK3CA;HES1;AKT1;AKT2;RAF1;CCND1;WNT7B;BAX;NCOA1;CDK4;ESR2;FZD9;IGF1R;WNT5A;BRAF;BRCA1;MYC;ESR1;MAPK1;NOTCH2;TCF7L2;CSNK1A1L;RPS6KB1;HEY2;CDKN1A;JAG1
12,prerank,Colorectal cancer,0.37352211642104577,1.6862213476218255,0.001,0.07693068545240739,0.589,50/79,38.64%,AXIN2;TCF7;BAD;PIK3CD;TP53;SMAD4;CASP3;AXIN1;FOS;KRAS;GADD45B;CYCS;BAK1;CASP9;MAP2K2;MSH2;MAPK3;TGFB1;LEF1;EGF;RHOA;MSH6;EGFR;SOS1;GSK3B;BBC3;JUN;SMAD3;CTNNB1;MTOR;RAC1;BCL2L11;BCL2;RPS6KB2;PIK3CA;AKT1;TGFBR1;AKT2;RAF1;CCND1;BAX;MAPK8;BRAF;MYC;MAPK1;TCF7L2;PMAIP1;EREG;RPS6KB1;CDKN1A
