,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Bladder cancer,0.476883102845343,2.478302726323389,0.0,0.0020626938480532387,0.001,28/39,31.46%,KRAS;MAPK3;TP53;CXCL8;RASSF1;HRAS;CDKN1A;MAPK1;HBEGF;ERBB2;CDKN2A;DAPK1;MDM2;EGFR;MMP1;CDK4;ARAF;RB1;RPS6KA5;MAP2K2;MAP2K1;NRAS;CDH1;FGFR3;DAPK3;VEGFA;DAPK2;CCND1
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.36313098258916365,2.2871712767945076,0.0,0.005672408082146406,0.009,52/89,29.65%,EGR1;RELA;KRAS;MAPK3;PLCB3;VEGFB;JAK2;CXCL8;BCL2;AKT1;HRAS;NFATC1;NOX1;MAPK8;MAPK1;AGER;PIM1;MAPK12;AKT3;PLCG1;PRKCZ;SMAD4;PLCG2;NFKB1;SMAD3;MAPK13;F3;SERPINE1;EDN1;CDKN1B;TGFB3;STAT1;BAX;IL6;STAT3;COL4A5;PRKCA;JUN;CASP3;SMAD2;MAPK14;PIK3R1;ICAM1;PIK3CA;TGFBR1;CCL2;CDK4;COL4A3;NRAS;SELE;RAC1;VEGFA
2,prerank,Pancreatic cancer,0.3795675389189171,2.274892896486755,0.0,0.003781605388097604,0.009,46/71,34.54%,RELA;KRAS;MAPK3;TP53;CASP9;PLD1;AKT1;RALB;MAPK8;CDKN1A;MAPK1;CDK6;CHUK;AKT3;RAD51;BCL2L1;SMAD4;NFKB1;SMAD3;TGFB3;STAT1;BRCA2;BAX;STAT3;ERBB2;CDKN2A;BAD;SMAD2;PIK3R1;PIK3CA;TGFBR1;RAC3;EGFR;CDK4;ARAF;RB1;MAP2K1;RALA;RAC1;VEGFA;TGFA;CCND1;CDC42;GADD45B;IKBKB;RPS6KB1
3,prerank,Prolactin signaling pathway,0.38743450290215903,2.246314970798891,0.0,0.0041253876961064775,0.012,38/64,27.81%,RELA;KRAS;MAPK3;FOS;JAK2;AKT1;HRAS;PRL;CYP17A1;MAPK8;MAPK1;IRF1;TH;INS;MAPK12;AKT3;GSK3B;PRLR;NFKB1;TNFSF11;MAPK13;STAT1;SOCS2;STAT3;MAPK14;CGA;SLC2A2;PIK3R1;PIK3CA;GRB2;ESR1;CCND2;MAP2K2;SOCS4;MAP2K1;ESR2;NRAS;CISH
4,prerank,Pertussis,0.37230813392585843,2.2019980384488207,0.0,0.004331657080911802,0.017,49/66,42.94%,RELA;MAPK3;FOS;CXCL8;IRAK4;RHOA;C3;CD14;C1QC;MAPK8;MAPK1;IRF1;IRF8;MAPK12;PYCARD;ITGB2;NFKB1;NOS2;CALM3;MAPK13;NOD1;IL12B;CFL1;IL6;CALM1;JUN;CASP3;C1QB;MAPK14;IL10;NLRP3;GNAI1;CASP7;C5;TLR4;C1S;C4BPB;TICAM1;MYD88;C4A;C2;IRF3;GNAI3;C4BPA;TRAF6;C1QA;GNAI2;CXCL6;MAPK9
5,prerank,Central carbon metabolism in cancer,0.37133410535689004,2.177871543902688,0.0010245901639344263,0.005156734620133096,0.024,36/60,30.14%,KRAS;MAPK3;TP53;SLC7A5;PFKM;PDGFRB;AKT1;SIRT6;HRAS;MAPK1;PTEN;AKT3;NTRK3;IDH1;TIGAR;HK1;PDHB;PDK1;HKDC1;MET;HIF1A;ERBB2;SLC2A2;LDHA;PIK3R1;PIK3CA;FGFR1;G6PD;EGFR;SLC2A1;MAP2K2;MAP2K1;NRAS;PFKL;FGFR3;SIRT3
6,prerank,Apoptosis,0.33040492327550525,2.1667347545350277,0.0,0.004862064070411206,0.027,75/123,35.76%,RELA;KRAS;TNFRSF10B;MAPK3;TP53;NGFR;FOS;PRF1;ATM;DFFA;ACTB;BCL2;CASP9;BCL2A1;AKT1;MCL1;HRAS;FAS;CFLAR;CASP10;MAPK8;PARP1;MAPK1;CTSB;ITPR3;CTSK;CHUK;CYCS;AKT3;BCL2L1;NFKB1;BECN1;BID;BCL2L11;TNFRSF10A;TRAF1;PARP2;TUBA8;IL3RA;DIABLO;BAX;SPTA1;BBC3;NFKBIA;CAPN1;BAD;JUN;CASP3;DFFB;BIRC7;PIK3R1;SPTAN1;PIK3CA;CASP7;MAP3K14;MAP3K5;TUBA1A;ERN1;APAF1;MAP2K2;LMNB2;MAP2K1;PARP4;NRAS;NGF;FADD;CTSL;XIAP;GADD45B;IKBKB;CTSS;DAXX;CTSH;CTSW;TRADD
7,prerank,Progesterone-mediated oocyte maturation,0.3641509448597641,2.1445486051929388,0.0,0.005801326447649734,0.039,59/65,59.08%,KRAS;AURKA;MAPK3;ADCY3;HSP90AB1;AKT1;PLK1;RPS6KA3;MAPK8;RPS6KA2;MOS;MAPK1;INS;MAPK12;AKT3;CCNB1;MAPK13;ADCY2;HSP90AA1;RPS6KA1;CDC25B;ADCY1;MAPK14;PIK3R1;PIK3CA;GNAI1;RPS6KA6;CPEB4;ARAF;ADCY7;MAP2K1;ADCY5;PRKACA;PRKACG;STK10;CCNA1;GNAI3;GNAI2;CDK1;MAPK9;PDE3B;BRAF;ADCY6;ANAPC5;MAPK11;PRKACB;RAF1;PKMYT1;ADCY9;CDK2;MAPK10;PIK3CB;CDC25C;PIK3R3;PIK3CD;PGR;CCNA2;CDC25A;IGF1R
8,prerank,HIF-1 signaling pathway,0.34141570426508694,2.1266843331371366,0.0,0.005958893338820467,0.046,51/89,32.35%,RELA;MAPK3;BCL2;IFNGR2;AKT1;CAMK2D;CDKN1A;MAPK1;FLT1;INS;AKT3;PRKCG;PLCG1;PLCG2;EGLN1;NFKB1;NOS2;CAMK2G;IFNG;SERPINE1;EDN1;HK1;CDKN1B;TEK;PDHB;HMOX1;PDK1;HKDC1;EIF4E;EP300;IL6;PGK1;HIF1A;STAT3;ERBB2;PRKCA;LDHA;PIK3R1;PIK3CA;GAPDH;EGFR;SLC2A1;TLR4;MAP2K2;MAP2K1;VHL;PFKL;VEGFA;RPS6;ALDOA;EPO
9,prerank,Prostate cancer,0.3359308132204544,2.103081402924152,0.0,0.006497485621367702,0.057,47/89,27.49%,RELA;KRAS;MAPK3;TP53;ZEB1;GSTP1;BCL2;CASP9;PDGFRB;HSP90AB1;AKT1;IL1R2;HRAS;CDKN1A;MAPK1;CTNNB1;KLK3;CHUK;INS;PTEN;AKT3;AR;PDGFC;GSK3B;NFKB1;CREB1;CDKN1B;HSP90AA1;EP300;NFKBIA;TCF7L2;NKX3-1;ERBB2;PLAT;BAD;PIK3R1;PIK3CA;GRB2;FGFR1;MDM2;EGFR;ARAF;RB1;ETV5;MAP2K2;MAP2K1;NRAS
10,prerank,Colorectal cancer,0.33587180680245077,2.089048733247354,0.0,0.00637559916671001,0.062,46/79,32.34%,KRAS;MAPK3;TP53;FOS;BCL2;CASP9;AKT1;RHOA;HRAS;RALB;AXIN1;MAPK8;CDKN1A;MAPK1;CTNNB1;CYCS;AKT3;GSK3B;SMAD4;SMAD3;BCL2L11;TGFB3;BAX;BBC3;TCF7L2;EREG;BAD;JUN;CASP3;SMAD2;MSH2;PIK3R1;PIK3CA;TGFBR1;GRB2;RAC3;EGFR;ARAF;MAP2K2;MAP2K1;NRAS;RALA;RAC1;TGFA;CCND1;GADD45B
11,prerank,Osteoclast differentiation,0.31530503709262453,2.0763235373719566,0.0,0.006445918275166371,0.069,63/122,27.68%,RELA;TAB2;MAPK3;LILRA1;FOS;FOSL2;IFNB1;CSF1R;LILRB4;IFNGR2;AKT1;NFATC1;FOSL1;NOX1;MAPK8;MAPK1;SPI1;CSF1;CTSK;CHUK;MAPK12;CALCR;AKT3;RELB;PLCG2;NFKB1;CREB1;MAP3K7;TNFSF11;FCGR3B;PPP3R2;LILRA2;MAPK13;IFNG;STAT2;JUNB;IL1R1;CAMK4;STAT1;FCGR2A;FHL2;SIRPG;NFKBIA;LILRB1;JUN;IFNAR1;MAPK14;FCGR3A;PIK3R1;PIK3CA;TGFBR1;GRB2;LCK;MAP3K14;PPARG;SIRPA;FYN;BLNK;MAP2K1;LILRA6;FOSB;CYBA;LILRB3
12,prerank,Human cytomegalovirus infection,0.29192364088394096,2.07427266771645,0.0,0.006108747165388438,0.071,107/197,33.66%,CCR3;RELA;KRAS;CCL4;MAPK3;TP53;PLCB3;ADCY3;IFNB1;CXCR2;B2M;CXCL12;CXCL8;CASP9;RHEB;TSC1;PTGER4;PTK2;AKT1;RHOA;GNG12;HRAS;NFATC1;FAS;GNA12;CDKN1A;PTGER1;MAPK1;ROCK2;CTNNB1;ITPR3;CDK6;CHUK;MAPK12;CYCS;AKT3;CCL3L3;CCL3;TBK1;PRKCG;GSK3B;NFKB1;CREB1;BID;CCR5;TAP1;CALM3;PPP3R2;MAPK13;ATF2;TMEM173;CALR;IL1R1;IFNA8;GNG8;IL10RB;BAX;TSC2;ADCY2;IL6;NFATC4;NFKBIA;TRAF5;STAT3;ADCY1;CALM1;CDKN2A;IFNA10;PRKCA;CX3CL1;CASP3;MAPK14;PIK3R1;PIK3CA;GRB2;RAC3;GNAI1;MDM2;EGFR;CCL2;IL10RA;CDK4;RB1;MAP2K2;ADCY7;MAP2K1;GNA13;NRAS;GNB2;GNB5;ADCY5;FADD;RAC1;PRKACA;IFNA5;VEGFA;AKAP13;CCND1;GNG11;IFNA7;NFATC3;CXCR4;PRKACG;GNB1;HLA-A;IKBKB;CCL4L2
13,prerank,Kaposi sarcoma-associated herpesvirus infection,0.30406136021302016,2.070267899846424,0.0,0.006188081544159716,0.078,89/159,33.63%,CCR3;RELA;KRAS;MAPK3;TP53;FOS;IFNB1;TLR3;JAK2;CXCL8;CASP9;AKT1;PIK3R6;C3;GNG12;HRAS;NFATC1;FAS;CD200R1;MAPK8;CDKN1A;MAPK1;CTNNB1;ITPR3;CDK6;CHUK;MAPK12;CYCS;UBB;AKT3;TBK1;PLCG1;CXCL3;GSK3B;PLCG2;NFKB1;CREB1;BECN1;BID;CCR5;CALM3;PPP3R2;MAPK13;EIF2AK2;STAT2;IFNA8;GNG8;STAT1;BAX;ATG3;EP300;IL6;NFATC4;NFKBIA;HIF1A;STAT3;CALM1;MAPKAPK2;IFNA10;JUN;CASP3;IFNAR1;MAPK14;PIK3R1;ICAM1;PIK3CA;CDK4;RB1;IRF7;MAP2K2;MAP2K1;CCR4;NRAS;GNB2;GNB5;FADD;RAC1;IFNA5;VEGFA;CCND1;SYK;HCK;GNG11;IFNA7;NFATC3;TICAM1;GNB1;HLA-A;IKBKB
14,prerank,Glioma,0.3509006595041023,2.066268421897286,0.0,0.006188081544159715,0.083,38/65,32.34%,KRAS;MAPK3;TP53;PDGFRB;AKT1;HRAS;CAMK2D;CDKN1A;MAPK1;CDK6;PTEN;AKT3;PRKCG;PLCG1;PLCG2;CAMK2G;CALM3;CAMK4;BAX;CALM1;CDKN2A;PRKCA;PIK3R1;PIK3CA;GRB2;CAMK1G;MDM2;EGFR;CDK4;ARAF;RB1;MAP2K2;MAP2K1;NRAS;SHC1;TGFA;CCND1;GADD45B
15,prerank,IL-17 signaling pathway,0.33377954529273013,2.065557242133623,0.0,0.005801326447649734,0.083,40/85,21.03%,RELA;TAB2;MAPK3;TNFAIP3;FOS;IL13;IL25;DEFB4A;MAPK15;CXCL8;IL17RA;CCL20;HSP90AB1;FOSL1;MAPK8;MAPK1;MAPK4;CHUK;S100A8;MAPK12;CSF3;TBK1;CXCL3;GSK3B;LCN2;NFKB1;MAP3K7;CCL17;MAPK13;IFNG;CCL11;HSP90AA1;IL6;CXCL10;NFKBIA;TRAF5;JUN;IL5;CASP3;MAPK14
16,prerank,MicroRNAs in cancer,0.31033180502885976,2.0613074389245085,0.0,0.005824076747444438,0.088,105/129,57.45%,KRAS;SOX4;TP53;ZEB1;ATM;STMN1;BCL2;PDGFRB;RASSF1;RHOA;MCL1;HRAS;MDM4;CDKN1A;MAPK1;CDK6;TIMP3;PIM1;PTEN;FOXP1;PRKCG;PLCG1;ABL1;PLCG2;DNMT1;CYP1B1;BCL2L2;WNT3;NFKB1;BCL2L11;SERPINB5;CDKN1B;MARCKS;HMOX1;MET;EP300;CDC25B;STAT3;ERBB2;CDKN2A;TPM1;PRKCA;ERBB3;CASP3;PIK3CA;GRB2;IRS2;MDM2;EGFR;BMF;CCND2;BRCA1;RPS6KA5;MAP2K2;IRS1;BMPR2;MAP2K1;SIRT1;NRAS;FGFR3;MIR34A;SHC1;VEGFA;ZEB2;CCNE1;CCND1;FSCN1;ABCB1;HDAC4;IKBKB;PRKCB;NOTCH1;SLC45A3;SOS1;ITGB3;CYP24A1;PDGFRA;MAPK7;RPTOR;PRKCE;DNMT3A;ROCK1;CD44;CCNG1;SHC4;NOTCH2;BAK1;PAK4;HDAC1;ABCC1;TP63;DICER1;SPRY2;SOCS1;SOS2;BMI1;SLC7A1;GLS;EZH2;RAF1;MMP9;TGFB2;CRK;APC;CDC25C
17,prerank,Non-small cell lung cancer,0.3479487075788339,2.052895525237932,0.0,0.006016190390155279,0.097,37/63,32.34%,KRAS;MAPK3;TP53;JAK3;CASP9;RASSF1;AKT1;EML4;HRAS;CDKN1A;MAPK1;CDK6;AKT3;PRKCG;PLCG1;PLCG2;RARB;BAX;STAT3;ERBB2;CDKN2A;PRKCA;BAD;PIK3R1;PIK3CA;GRB2;RXRA;EGFR;CDK4;ARAF;RB1;MAP2K2;MAP2K1;NRAS;TGFA;CCND1;GADD45B
18,prerank,Hepatitis C,0.309989547097542,2.0496909224122075,0.0,0.005753830207727455,0.098,85/124,45.30%,RELA;KRAS;MAPK3;TP53;IFNB1;OAS3;TLR3;CASP9;OAS2;AKT1;IFIT1;HRAS;FAS;CFLAR;CDKN1A;MAPK1;CTNNB1;CDK6;CHUK;PPP2R2C;CYCS;AKT3;CLDN1;TBK1;GSK3B;NFKB1;BID;CLDN11;IFNG;EIF2AK2;STAT2;IFNA8;STAT1;BAX;CXCL10;NFKBIA;CLDN2;STAT3;IFNA10;BAD;CASP3;IFNAR1;PIK3R1;PIK3CA;GRB2;RXRA;EGFR;CDK4;ARAF;RB1;IRF7;APAF1;MAP2K2;OAS1;MAP2K1;NRAS;FADD;IFNA5;CCND1;IFNA7;NR1H3;TICAM1;PPP2R2D;IKBKB;IFNAR2;PPARA;IFNA17;TRADD;IRF3;CD81;SOS1;IFNA16;TRAF6;MX1;IFNA14;IKBKG;EIF2AK4;PIAS1;RNASEL;DDX58;EIF2AK3;BRAF;SOCS3;PPP2CA;BAK1
19,prerank,NOD-like receptor signaling pathway,0.30622964936042774,2.048521608601762,0.0,0.005672408082146406,0.101,100/142,46.68%,P2RX7;RELA;TAB2;MEFV;MAPK3;TNFAIP3;PLCB3;IFNB1;OAS3;GBP7;DEFB4A;CXCL8;BCL2;NOD2;IRAK4;OAS2;HSP90AB1;RHOA;MAPK8;CAMP;MAPK1;CTSB;ITPR3;CHUK;VDAC1;MAPK12;PYCARD;ATG5;GBP3;TBK1;CXCL3;BCL2L1;NFKB1;MAP3K7;GBP1;MAPK13;TMEM173;STAT2;NOD1;IL18;IFNA8;STAT1;HSP90AA1;IL6;NFKBIA;TRAF5;TP53BP1;IFNA10;JUN;GPRC6A;IFNAR1;MAPK14;NLRP3;IFI16;PANX1;SHARPIN;CARD9;NLRC4;CCL2;IRF7;TLR4;NLRP7;OAS1;CYBA;TRPM2;FADD;IFNA5;XIAP;IFNA7;TICAM1;IKBKB;VDAC2;IFNAR2;MYD88;CASP5;IFNA17;NLRP1;IRF3;NAMPT;PSTPIP1;RIPK2;CARD8;IFNA16;TRAF6;PRKCD;IFNA14;IKBKG;ITPR1;NAIP;MAPK9;RNASEL;RIPK3;GBP2;BIRC2;RBCK1;CASP4;GBP4;MAPK11;GBP5;TXNIP
20,prerank,Melanoma,0.3642620199686909,2.0450344269106573,0.0,0.005451405169854987,0.102,29/52,27.91%,KRAS;MAPK3;TP53;PDGFRB;AKT1;HRAS;CDKN1A;MAPK1;CDK6;PTEN;AKT3;PDGFC;BAX;MET;CDKN2A;BAD;PIK3R1;PIK3CA;FGFR1;MDM2;EGFR;FGF1;CDK4;ARAF;RB1;MAP2K2;MAP2K1;NRAS;CDH1
21,prerank,Neurotrophin signaling pathway,0.31753276945128445,2.0201708317648808,0.0,0.00623496094979729,0.121,56/103,30.48%,RELA;KRAS;MAPK3;TP53;NGFR;PSEN2;ARHGDIA;BCL2;IRAK4;AKT1;RHOA;MAP3K1;HRAS;CAMK2D;RPS6KA3;MAPK8;RPS6KA2;MAPK1;MAPK12;AKT3;PLCG1;ABL1;GSK3B;PLCG2;NTRK3;NFKB1;CAMK2G;CALM3;MAPK13;CAMK4;IRAK2;BAX;NFKBIA;RPS6KA1;CALM1;MAP2K5;MAPKAPK2;BAD;JUN;MAPK14;PIK3R1;PIK3CA;GRB2;RPS6KA6;MAP3K5;RPS6KA5;MAP2K2;IRS1;MAP2K1;NRAS;ARHGDIB;NGF;RAC1;SHC1;IRAK3;NTRK2
22,prerank,B cell receptor signaling pathway,0.3373114836584953,2.0131311187196546,0.0,0.006188081544159716,0.126,46/68,41.69%,RELA;KRAS;MAPK3;FOS;CR2;INPPL1;AKT1;HRAS;NFATC1;MAPK1;CD19;PTPN6;CHUK;AKT3;GSK3B;PLCG2;CARD11;NFKB1;PPP3R2;CD79B;NFKBIA;JUN;CD79A;PIK3R1;PIK3CA;GRB2;RAC3;PIK3AP1;DAPP1;MAP2K2;BLNK;MAP2K1;NRAS;LILRB3;RAC1;SYK;NFATC3;IKBKB;CD22;PRKCB;CD81;SOS1;IFITM1;INPP5D;IKBKG;MALT1
23,prerank,p53 signaling pathway,0.35224976856682966,2.0108830432295233,0.0,0.006102135967157497,0.13,34/56,34.47%,TNFRSF10B;TP53;ATM;BCL2;CASP9;MDM4;FAS;CDKN1A;CDK6;PTEN;CYCS;BCL2L1;CCNB1;BID;SERPINB5;SERPINE1;CCND3;RRM2B;BAX;TSC2;BBC3;CDKN2A;CASP3;MDM2;SHISA5;CCND2;CDK4;APAF1;CCNE1;CHEK2;CCND1;GADD45B;CD82;CHEK1
24,prerank,Gastric acid secretion,0.34589590149242727,2.0087562081581622,0.0,0.005981812159354392,0.132,41/62,41.71%,KCNJ15;CCKBR;PLCB3;ADCY3;ACTB;KCNK10;CAMK2D;SLC9A4;ATP1A1;ITPR3;MYLK2;KCNQ1;PRKCG;SSTR2;CAMK2G;CALM3;SST;ATP1B1;ADCY2;ADCY1;MYLK3;CALM1;PRKCA;GNAI1;ADCY7;HRH2;ADCY5;PRKACA;ATP1A4;KCNK2;PRKACG;CFTR;GAST;PRKCB;KCNJ10;GNAI3;SLC9A1;ATP1A3;CAMK2A;ITPR1;GNAI2
