,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Adherens junction,0.5295517455649614,1.7425590177458148,0.0,0.04016093476030761,0.04,39/58,33.65%,PTPRJ;SNAI2;MET;SMAD2;CSNK2B;CTNNB1;CTNND1;SMAD4;TGFBR1;PTPN6;RAC1;EGFR;SMAD3;ACTG1;FYN;TCF7L2;RHOA;CDC42;ERBB2;ACTB;MAPK1;EP300;MAP3K7;IGF1R;SNAI1;CSNK2A1;AFDN;YES1;FER;RAC3;SRC;CREBBP;TGFBR2;CSNK2A2;MAPK3;WASF3;IQGAP1;NECTIN4;CTNNA1
1,prerank,Thyroid hormone signaling pathway,0.4980149276800915,1.7096928632387671,0.0,0.03514081791526916,0.066,59/95,31.51%,KAT2A;PRKACG;HDAC1;HIF1A;HRAS;MTOR;AKT1;CTNNB1;TSC2;PFKP;RAF1;ACTG1;NOTCH1;MDM2;PRKCG;GATA4;SLC2A1;MED12L;NCOA3;RXRA;CASP9;RHEB;ESR1;ACTB;MED13;ATP1A1;MED12;TP53;PRKCA;PLCB3;PDPK1;GSK3B;MAPK1;EP300;PLCG2;HDAC2;KAT2B;ATP1A3;PIK3CA;TBC1D4;FOXO1;FXYD2;PLCB1;AKT3;SRC;NCOA1;KRAS;CCND1;STAT1;SLC9A1;NOTCH2;CREBBP;ITGAV;PLCE1;MAP2K2;PFKFB2;ATP1B1;MAPK3;PLCD1
2,prerank,Prostate cancer,0.4870603039088698,1.6574145223736527,0.0,0.056894657577102443,0.151,56/89,32.00%,HRAS;GSTP1;ATF4;BRAF;MTOR;AKT1;CTNNB1;BCL2;RAF1;CREB1;EGFR;RELA;MDM2;CDK2;FGFR2;PDGFRA;HSP90B1;CREB3L1;TCF7L2;CASP9;ERBB2;ETV5;TP53;PDPK1;GSK3B;MAPK1;RB1;NFKBIA;HSP90AA1;EP300;PDGFC;PTEN;IGF1R;IKBKG;ZEB1;PIK3CA;CDKN1A;CREB3L2;CREB3L4;FOXO1;CHUK;IL1R2;HSP90AB1;NFKB1;AR;IKBKB;AKT3;KLK3;KRAS;CCND1;CREBBP;CCNE1;GRB2;MAP2K2;MAPK3;CDKN1B
3,prerank,Shigellosis,0.5060576199198316,1.6309359304023396,0.0,0.06300246640523256,0.219,36/48,39.17%,ROCK1;RAC1;RIPK2;ACTG1;RELA;ATG5;FBXW11;MAPK14;CDC42;ACTB;CXCL8;MAPK1;ARPC4;NFKBIA;IKBKG;MAPK9;CHUK;ARPC3;CRKL;NFKB1;ABL1;IKBKB;NOD1;ROCK2;SRC;NFKBIB;MAPK3;HCLS1;ELMO1;CD44;CTTN;ARPC5;ARPC2;MAPK13;ARPC1A;MAPK12
4,prerank,Viral myocarditis,0.5096565963912264,1.630858082043989,0.0,0.050401973124186046,0.219,28/45,26.53%,HLA-DRB3;CAV1;HLA-DQB1;HLA-DQA1;RAC1;ACTG1;CYCS;FYN;HLA-DMB;HLA-DRA;CASP9;CD55;ACTB;HLA-DRB4;HLA-A;DAG1;CASP8;DMD;HLA-DPA1;CXADR;ABL1;CD80;RAC3;ITGB2;EIF4G1;HLA-B;CCND1;PRF1
5,prerank,HIF-1 signaling pathway,0.4732337551982285,1.624309871724879,0.0,0.04534838883351401,0.23,51/89,32.33%,EIF4E;HIF1A;EDN1;ALDOA;MTOR;AKT1;BCL2;STAT3;EGFR;IFNGR1;RELA;PRKCG;SLC2A1;PFKFB3;GAPDH;PDHB;ERBB2;PRKCA;VHL;MAPK1;CAMK2G;PFKL;LDHA;EP300;HK1;RPS6KB1;PLCG2;IGF1R;EGLN1;HMOX1;PIK3CA;CDKN1A;MKNK2;IL6;NFKB1;EIF4EBP1;RPS6;EPO;AKT3;PDK1;SERPINE1;CREBBP;EGLN3;VEGFA;IFNGR2;MAP2K2;PGK1;MAPK3;CDKN1B;IFNG;HKDC1
6,prerank,Longevity regulating pathway,0.4714877307417021,1.603831203373944,0.0,0.05263951091797461,0.29,40/85,22.18%,EIF4E;PRKACG;CAT;HDAC1;FOXO3;HRAS;IRS1;ATF4;ATF2;MTOR;AKT1;PRKAG1;TSC2;PRKAA1;CREB1;RELA;ATG5;STK11;CREB3L1;PRKAB2;PPARG;RHEB;TP53;ADCY3;RPS6KB1;IGF1R;BAX;HDAC2;PIK3CA;ULK1;CREB3L2;CREB3L4;FOXO1;ADCY9;PRKAA2;SOD1;NFKB1;EIF4EBP1;RPTOR;SIRT1
7,prerank,MicroRNAs in cancer,0.45959770788440824,1.6026649879471107,0.0,0.046812589579983556,0.293,81/129,35.34%,HDAC1;ROCK1;MET;HRAS;IRS1;SHC1;MTOR;DNMT3A;BCL2;RAF1;STAT3;PAK4;ABCB1;EGFR;RPS6KA5;VIM;NOTCH1;MDM2;PRKCG;SOCS1;ST14;PDGFRA;SHC4;RHOA;ERBB2;TP53;BMI1;PRKCA;MAPK1;FOXP1;ATM;SLC7A1;BCL2L2;EP300;PLCG2;PTEN;HMOX1;ZEB1;HDAC4;TP63;DNMT1;BCL2L11;PIK3CA;CDC25B;CDKN1A;CDK6;MCL1;CRKL;NFKB1;PRKCE;DDIT4;ABL1;RPTOR;SIRT1;IKBKB;BRCA1;STMN1;KRAS;FGFR3;CCND1;NOTCH2;CCNG1;CREBBP;BMF;DNMT3B;RASSF1;VEGFA;CCNE1;GRB2;MAP2K2;TIMP3;CDKN1B;ERBB3;CD44;E2F1;CDC25C;CYP1B1;CCND2;CASP3;MDM4;RDX
8,prerank,Pertussis,0.47486083658284944,1.585881962222361,0.001001001001001001,0.052655447796847756,0.355,45/66,39.66%,GNAI2;C2;CFL1;IL1B;CALM3;TRAF6;RELA;CXCL5;IL12A;JUN;C1QB;IRAK4;CASP7;MAPK14;RHOA;NLRP3;CXCL8;TICAM1;MAPK1;CD14;C5;GNAI3;IRF8;PYCARD;C4A;MAPK9;FOS;IL6;NFKB1;NOD1;ITGB2;MYD88;MAPK3;C3;CALM1;CASP3;TLR4;C1QA;IRAK1;MAPK13;CALML6;GNAI1;ITGAM;MAPK12;TNF
9,prerank,Apoptosis,0.45646144275224015,1.5846603848101735,0.0,0.04789191470166682,0.358,74/123,33.81%,BIRC2;CTSW;HRAS;ATF4;SPTAN1;CTSD;AKT1;BCL2;RAF1;MAP3K14;ACTG1;RELA;FASLG;SPTA1;JUN;TNFRSF10A;BECN1;CYCS;CASP6;FAS;PARP2;CASP7;CASP9;PARP1;BBC3;CTSK;ACTB;TP53;PDPK1;MAPK1;NFKBIA;ATM;PMAIP1;NGFR;CFLAR;CASP8;DDIT3;TUBA1A;IKBKG;BAX;FADD;BCL2L11;GADD45B;PIK3CA;MAPK9;CHUK;BCL2L1;NGF;FOS;CSF2RB;MCL1;NFKB1;DFFA;IKBKB;CAPN1;BIRC3;MAP3K5;AIFM1;CASP10;AKT3;KRAS;PRF1;DAXX;APAF1;BCL2A1;ERN1;BIRC5;MAP2K2;ITPR3;MAPK3;BID;DIABLO;CTSB;TNFRSF10B
