,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chronic myeloid leukemia,0.5252406040617514,1.9819501928422312,0.0,0.006034611558321824,0.006,49/71,33.55%,HRAS;HDAC1;RAF1;SOS2;PIK3R3;NFKB1;TGFBR1;TGFB1;E2F1;TP53;PIK3CB;SMAD4;IKBKG;ABL1;PIK3CD;MYC;MAP2K1;SOS1;SMAD3;ARAF;AKT1;MAPK3;MAPK1;CRKL;TGFBR2;BRAF;CDK6;BAD;SHC4;CDK4;PIK3CA;RUNX1;CDKN1B;MDM2;BAX;RB1;IKBKB;SHC1;NFKBIA;MECOM;NRAS;RELA;KRAS;DDB2;CHUK;PIK3R1;AKT3;GRB2;BCL2L1
1,prerank,Relaxin signaling pathway,0.505977766190122,1.977814075822182,0.0,0.003017305779160912,0.006,75/103,35.25%,JUN;HRAS;SMAD2;EDN1;CREB3L2;RAF1;PRKACG;SOS2;PIK3R3;PRKACA;EGFR;ATF4;NFKB1;ADCY3;CREB3;TGFBR1;TGFB1;VEGFB;ADCY6;GNAI2;PIK3CB;MAPK9;ADCY9;PIK3CD;MAP2K1;CREB1;RXFP4;SOS1;MAPK13;GNGT2;SMAD3;AKT1;MAPK3;MAPK1;GNAI3;EDNRB;TGFBR2;ATF2;VEGFC;ADCY7;MAPK8;MMP13;GNG7;SHC4;RXFP1;PIK3CA;PRKCA;FOS;GNG12;GNAI1;MAPK11;GNAS;ACTA2;MAPK14;SHC1;VEGFA;NFKBIA;ADCY2;COL1A2;NRAS;RELA;MAPK12;KRAS;ARRB1;CREB3L4;PLCB1;GNG8;PIK3R1;MMP2;AKT3;GRB2;CREB5;COL4A3;GNA15;PRKACB
2,prerank,Non-small cell lung cancer,0.5164395659206367,1.919051051955386,0.0,0.005699355360637278,0.017,42/63,33.16%,HRAS;RAF1;SOS2;PIK3R3;STAT3;EGFR;PLCG2;ERBB2;E2F1;TP53;PIK3CB;JAK3;RASSF1;PIK3CD;MAP2K1;SOS1;ARAF;AKT1;RARB;MAPK3;MAPK1;FOXO3;BRAF;CDK6;PRKCG;BAD;PDPK1;CDK4;PIK3CA;PRKCA;BAX;RB1;NRAS;EML4;KRAS;DDB2;RXRG;PIK3R1;ALK;CASP9;AKT3;GRB2
3,prerank,Hepatitis B,0.473017567161954,1.9000464002794464,0.0,0.005783169410058415,0.023,116/153,40.90%,JUN;HRAS;SMAD2;CREB3L2;RAF1;NFATC3;SOS2;PIK3R3;STAT3;TICAM2;ATF4;NFKB1;STAT6;CREB3;TGFBR1;JAK2;CYCS;TGFB1;E2F1;TP53;MYD88;PIK3CB;IFNB1;SMAD4;MAPK9;CREBBP;JAK3;IFNA21;IKBKG;BCL2;PCNA;PIK3CD;MYC;IKBKE;STAT4;MAP2K1;TAB2;CREB1;TRAF3;STAT2;IRAK4;STAT1;SOS1;MAPK13;SMAD3;ARAF;FAS;AKT1;MAPK3;MAPK1;TGFBR2;BRAF;IRF7;TLR4;ATF2;PRKCG;MAPK8;BAD;NFATC4;IFNA16;PIK3CA;PRKCA;FOS;CCNA2;MAP2K3;MAPK11;IFNA8;TBK1;IFNAR1;BAX;RB1;MAPK14;IKBKB;FADD;CASP3;NFKBIA;TICAM1;IFNA17;IFNA2;PTK2B;NFATC1;BID;NRAS;RELA;MAP3K1;MAPK12;IFNA4;KRAS;DDB2;IL6;YWHAQ;CREB3L4;CHUK;TLR2;MAP3K7;PIK3R1;CASP9;AKT3;GRB2;CREB5;HSPG2;EP300;TYK2;CDKN1A;CASP8;APAF1;CCNE1;IFNA5;MMP9;IFNA10;BIRC5;IFIH1;MAP2K4;JAK1;CDK2;SLC10A1
4,prerank,Neurotrophin signaling pathway,0.4858477586311656,1.895563926175893,0.0,0.00482768924665746,0.024,64/103,29.84%,JUN;HRAS;NFKBIB;NGFR;RAF1;IRAK2;SOS2;PIK3R3;RPS6KA1;IRS1;ATF4;NFKB1;PLCG2;MAP3K5;TP53;MAPKAPK2;PIK3CB;MAPK9;CALM2;BCL2;ABL1;PIK3CD;PRKCD;MAP2K1;SH2B3;NTRK3;RAP1A;FRS2;IRAK4;SOS1;MAPK13;AKT1;MAPK3;MAPK1;MAGED1;RHOA;FOXO3;CRKL;BRAF;NFKBIE;MAPK8;CALM3;BAD;SHC4;PDPK1;CAMK2G;CAMK2A;PIK3CA;MAPK11;MAPK7;BAX;ZNF274;MAPK14;IKBKB;SHC1;NGF;NFKBIA;PRDM4;NRAS;RELA;RAC1;MAP3K1;MAPK12;KRAS
5,prerank,MicroRNAs in cancer,0.467662807093865,1.873175418049465,0.0,0.004525958668741369,0.027,72/129,27.11%,NOTCH2;HRAS;HDAC1;RAF1;MTOR;DDIT4;MET;ROCK1;SOS2;DNMT3A;STAT3;EGFR;IRS1;CCNG1;NFKB1;ITGB3;PLCG2;SLC7A1;CCND2;ERBB2;HDAC4;E2F1;BCL2L2;TP53;THBS1;CREBBP;BMI1;BCL2;SOCS1;RASSF1;ABL1;TPM1;FGFR3;WNT3;CDC25B;MYC;MAP2K1;CDC25A;EZH2;STMN1;SOS1;BRCA1;MAPK1;MCL1;RHOA;PAK4;CRKL;CDK6;RPTOR;PDGFRA;ZEB1;PRKCG;ERBB3;SHC4;HMOX1;PIK3CA;PRKCA;CDKN1B;MDM2;ATM;MAPK7;SOX4;IKBKB;SHC1;CASP3;NOTCH1;VEGFA;EFNA3;VIM;TIMP3;PTEN;RDX
6,prerank,Proteoglycans in cancer,0.45987130978243407,1.8711978848913096,0.0,0.004023074372214549,0.028,111/164,38.40%,HRAS;HIF1A;SMAD2;RAF1;MTOR;ESR1;RPS6KB1;PRKACG;MET;ROCK1;IHH;SOS2;PIK3R3;PRKACA;STAT3;EGFR;ITGB3;FN1;PLCG2;TIAM1;ERBB2;FZD9;TGFB1;PTPN6;TP53;CAV1;FZD4;THBS1;PIK3CB;DCN;CTTN;PIK3CD;WNT3;MYC;MAP2K1;WNT5A;FRS2;EIF4B;SOS1;MAPK13;ARAF;FAS;AKT1;MAPK3;MAPK1;RHOA;ACTG1;BRAF;TLR4;PRKCG;SLC9A1;ERBB3;IGF1R;IL12B;PDPK1;FZD2;CAMK2G;CAMK2A;PIK3CA;PLAUR;PRKCA;CAV3;ACTB;MAPK11;MDM2;GPC1;CTNNB1;ITGB1;MAPK14;ERBB4;CASP3;ITGB5;VEGFA;ITPR3;WNT7A;NANOG;TIMP3;WNT11;RDX;TFAP4;PPP1CA;FGF2;NRAS;RAC1;MAPK12;PAK1;PTK2;KRAS;WNT9A;TLR2;ITGA2;PIK3R1;RPS6;WNT7B;TWIST1;MMP2;AKT3;GRB2;RPS6KB2;HSPG2;PRKACB;CAMK2B;CDC42;CDKN1A;CAV2;FZD10;MMP9;CCND1;SDC2;CAMK2D;CD63
7,prerank,Th17 cell differentiation,0.4742351009869292,1.85905791007469,0.0,0.00402307437221455,0.032,64/107,31.24%,JUN;HSP90AB1;HIF1A;SMAD2;NFKBIB;MTOR;NFATC3;IFNGR1;STAT3;FOXP3;NFKB1;STAT6;IL4R;HLA-DMB;TGFBR1;JAK2;IL2;TGFB1;IRF4;HLA-DQB1;IL1RAP;SMAD4;MAPK9;JAK3;HLA-DRB3;GATA3;IKBKG;LAT;LCK;IFNG;HLA-DPA1;CD3G;STAT1;MAPK13;SMAD3;MAPK3;MAPK1;TGFBR2;IL1B;NFKBIE;HLA-DPB1;MAPK8;HSP90AA1;PPP3CC;FOS;RUNX1;MAPK11;MAPK14;IKBKB;IL6R;NFKBIA;HLA-DRA;ZAP70;NFATC1;IL1R1;HLA-DOB;RELA;MAPK12;RORC;IL6;PPP3CA;RORA;CHUK;RXRG
8,prerank,Prolactin signaling pathway,0.4958549500729056,1.8472996042759506,0.0,0.0043583305698990955,0.039,43/64,33.57%,HRAS;RAF1;ESR1;SOS2;PIK3R3;SOCS2;STAT3;SOCS4;NFKB1;GALT;CCND2;JAK2;PIK3CB;MAPK9;CYP17A1;SOCS1;PIK3CD;GCK;MAP2K1;STAT1;SOS1;MAPK13;AKT1;MAPK3;MAPK1;FOXO3;MAPK8;SHC4;PIK3CA;FOS;PRLR;MAPK11;MAPK14;SHC1;CISH;NRAS;RELA;MAPK12;KRAS;PIK3R1;AKT3;GRB2;IRF1
9,prerank,Prostate cancer,0.4780262855725339,1.8430815536150993,0.0,0.004123651231519913,0.041,65/89,38.64%,HSP90AB1;HRAS;CREB3L2;RAF1;MTOR;SOS2;PIK3R3;ETV5;EGFR;ATF4;NFKB1;CREB3;ERBB2;E2F1;TP53;PIK3CB;CREBBP;GSTP1;IKBKG;BCL2;PIK3CD;MAP2K1;CREB1;FOXO1;SOS1;ARAF;AKT1;MAPK3;MAPK1;IL1R2;BRAF;PDGFRA;ZEB1;BAD;IGF1R;HSP90AA1;PLAT;PDPK1;PIK3CA;CDKN1B;MDM2;CTNNB1;RB1;IKBKB;NFKBIA;PTEN;NKX3-1;NRAS;RELA;KRAS;CREB3L4;CHUK;PIK3R1;CASP9;AKT3;GRB2;CREB5;EP300;CDKN1A;ERG;FGFR2;CCNE1;MMP9;CCND1;HSP90B1
