,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Hepatitis B,0.37866810319676597,2.3797798154607843,0.0,0.0010209823042154646,0.001,112/152,44.33%,TGFBR1;SMAD3;CREB1;PRKCG;IRAK4;BCL2;FAS;MAPK9;ATF4;SMAD4;TLR2;TRAF3;AKT1;TP53;SLC10A1;STAT6;CASP9;JAK3;TRAF6;MAP2K6;IFIH1;CREB3L4;BAX;STAT4;MAPK1;ATF2;AKT3;STAT3;IFNA5;RAF1;BRAF;HRAS;TAB2;CYCS;IFNB1;RB1;MAPK14;DDX58;MAP2K2;MAP2K1;BIRC5;PRKCA;NFATC4;IRF7;TICAM1;RELA;JAK2;MAPK12;PIK3CA;APAF1;TBK1;NFKBIA;CHUK;SMAD2;STAT1;IFNAR1;GRB2;BID;FADD;EGR3;CCNE1;CASP10;CDKN1A;CASP3;NRAS;SRC;PIK3CB;EP300;IFNA8;MAPK13;NFKB1;IKBKE;TLR4;FASLG;IKBKB;JUN;FOS;TLR3;CDK2;PIK3R2;NFATC1;IFNA16;IRF3;E2F1;STAT2;IFNA1;CXCL8;PIK3R1;TYK2;TGFB3;TGFBR2;MAP2K4;EGR2;PIK3CD;IKBKG;IL6;NFATC3;PTK2B;HSPG2;CCNA2;ARAF;PIK3R3;MAP3K7;CREB3L2;CASP8;IFNA10;TICAM2;PRKCB;TIRAP;MAPK8;E2F3;PCNA
1,prerank,Toll-like receptor signaling pathway,0.38546756120007664,2.3054090482626433,0.0,0.0015314734563231969,0.003,74/98,43.53%,IL1B;IRAK4;IL12A;RAC1;MAPK9;TLR2;TRAF3;AKT1;TLR8;IRF5;CCL4L2;TRAF6;MAP2K6;MAPK1;AKT3;IFNA5;CD80;TAB2;IFNB1;CTSK;MAPK14;MAP2K2;MAP2K1;CD14;IRF7;TICAM1;RELA;MAPK12;PIK3CA;TBK1;TLR5;NFKBIA;MAP3K8;CD40;CHUK;STAT1;IFNAR1;SPP1;FADD;PIK3CB;IFNA8;MAPK13;NFKB1;IKBKE;TLR4;IKBKB;JUN;TOLLIP;FOS;TLR3;IFNAR2;CCL3;CCL3L3;PIK3R2;TLR7;CD86;IFNA16;IRF3;IFNA1;CXCL8;PIK3R1;MAP2K4;PIK3CD;IKBKG;IL6;PIK3R3;CCL5;MAP3K7;CASP8;CXCL9;IFNA10;TICAM2;TIRAP;MAPK8
2,prerank,FoxO signaling pathway,0.38175441783555397,2.304038918832252,0.0,0.0010209823042154644,0.003,85/119,40.92%,TGFBR1;SMAD3;PRKAG1;CSNK1E;PCK2;MAPK9;SMAD4;AKT1;ATM;SIRT1;STK11;IRS1;PDPK1;PRKAA1;PLK2;ATG12;MAPK1;AKT3;STAT3;RAF1;CAT;BRAF;HRAS;MAPK14;PTEN;FBXO32;BCL6;MAP2K2;MAP2K1;PLK1;SETD7;MAPK12;PCK1;PIK3CA;CCND2;CHUK;IGF1R;SMAD2;CDKN2B;GRB2;PLK4;RAG1;FOXO3;FOXO1;NLK;CDKN1A;MDM2;PRKAG2;NRAS;PRKAG3;TNFSF10;IL7R;PIK3CB;EGFR;EP300;MAPK13;IL10;CCND1;G6PC;C8ORF44-SGK3;FASLG;IKBKB;STK4;CDKN1B;SGK3;CDK2;HOMER2;PIK3R2;PRKAB2;FOXO4;PIK3R1;PRKAA2;TGFB3;GADD45B;TGFBR2;PLK3;GABARAPL1;PIK3CD;PRKAB1;IL6;G6PC2;ARAF;PIK3R3;PRMT1;BCL2L11
3,prerank,AGE-RAGE signaling pathway in diabetic complications,0.39313144823943774,2.2905470432765918,0.0,0.0012762278802693307,0.005,65/89,41.19%,IL1B;TGFBR1;SMAD3;RAC1;BCL2;F3;CCL2;MAPK9;SMAD4;AKT1;EGR1;PLCB1;FN1;BAX;MAPK1;EDN1;AKT3;STAT3;PRKCD;HRAS;PLCG2;MAPK14;AGT;CDK4;PRKCA;RELA;JAK2;MAPK12;PIK3CA;AGTR1;SMAD2;STAT1;VEGFA;FOXO1;MMP2;AGER;VEGFB;CASP3;COL4A5;NRAS;PIK3CB;MAPK13;NFKB1;CCND1;SERPINE1;PLCE1;NOX1;PRKCZ;JUN;CDC42;CDKN1B;PIK3R2;VCAM1;NFATC1;CXCL8;PIK3R1;TGFB3;TGFBR2;PIK3CD;IL6;COL4A4;ICAM1;PIK3R3;COL4A2;PLCD1
4,prerank,Prostate cancer,0.393821214608499,2.264167291460425,0.0,0.0014293752259016506,0.007,67/88,44.00%,GSTP1;PDGFRA;CREB1;BCL2;ATF4;AKT1;TP53;CASP9;IL1R2;PDPK1;ZEB1;CREB3L4;MAPK1;AKT3;TCF7L2;RAF1;GSK3B;BRAF;HRAS;ETV5;RB1;CTNNB1;PTEN;MAP2K2;MAP2K1;ERBB2;RELA;PIK3CA;NFKBIA;CHUK;IGF1R;GRB2;PDGFD;CCNE1;FOXO1;CDKN1A;MDM2;NRAS;AR;PIK3CB;EGFR;EP300;NFKB1;CCND1;HSP90B1;HSP90AB1;IKBKB;CDKN1B;CDK2;FGFR1;PIK3R2;LEF1;PLAT;E2F1;ERG;PIK3R1;HSP90AA1;PLAU;PIK3CD;IKBKG;FGFR2;ARAF;PIK3R3;CREB3L2;PDGFRB;TGFA;E2F3
5,prerank,Apoptosis,0.3737722605928647,2.259315852690266,0.0,0.0013613097389539527,0.008,95/123,47.35%,BIRC2;PARP2;BECN1;BCL2;FAS;BIRC3;MAPK9;ATF4;NGF;AKT1;CFLAR;TP53;MAP3K14;ATM;CASP9;ACTG1;TNFRSF10A;PDPK1;CTSD;DFFA;BAX;MCL1;MAPK1;AKT3;SPTA1;RAF1;CASP7;SPTAN1;HRAS;CAPN1;DAXX;CYCS;CTSK;AIFM1;BCL2A1;MAP2K2;BCL2L1;MAP2K1;BIRC5;RELA;PRF1;PIK3CA;APAF1;CTSW;PARP1;NFKBIA;PMAIP1;CTSH;CHUK;BID;FADD;CASP6;XIAP;CASP10;CASP3;TUBA1A;NRAS;TNFSF10;PIK3CB;TRAF2;ERN1;NFKB1;EIF2AK3;FASLG;ACTB;IKBKB;JUN;FOS;PIK3R2;DIABLO;CTSB;LMNB2;PIK3R1;CTSL;TUBA1B;DDIT3;MAP3K5;GADD45B;CSF2RB;PIK3CD;IKBKG;TRAF1;PIK3R3;ITPR3;BCL2L11;CASP8;MAPK8;NTRK1;PARP4;TUBA3C;HRK;TNFRSF1A;MAPK3;DFFB;EIF2S1
6,prerank,Non-alcoholic fatty liver disease (NAFLD),0.36044191772416895,2.211095931794148,0.0,0.002041964608430929,0.014,96/125,48.62%,IL1B;NDUFAB1;NDUFS8;PRKAG1;RAC1;NDUFB2;NDUFA4;NDUFS1;FAS;MAPK9;ATF4;NDUFC2;NDUFA9;AKT1;MAP3K11;COX5B;NDUFV1;NDUFB3;IRS1;NDUFA1;PRKAA1;NDUFS6;BAX;AKT3;COX6C;UQCRFS1;GSK3B;CASP7;NDUFB1;NDUFS5;SDHB;CYCS;NR1H3;RXRA;RELA;PIK3CA;NDUFB5;COX7B;BID;NDUFS7;CYP2E1;PPARA;UQCR11;CASP3;NDUFB4;PRKAG2;PRKAG3;NDUFB8;UQCRC1;PIK3CB;TRAF2;ERN1;NFKB1;EIF2AK3;FASLG;IKBKB;JUN;NDUFA5;CDC42;PIK3R2;COX6B2;PRKAB2;NDUFV2;COX7A1;NDUFS4;NDUFA12;CXCL8;PIK3R1;PRKAA2;DDIT3;MAP3K5;COX8A;NDUFB6;PIK3CD;PRKAB1;IL6;XBP1;PIK3R3;SDHC;BCL2L11;NDUFA2;PKLR;CASP8;NDUFA3;COX6B1;SDHA;MAPK8;INS;SDHD;TNFRSF1A;UQCRB;NDUFC1;COX6A2;EIF2S1;SOCS3;GSK3A
7,prerank,Prolactin signaling pathway,0.40576558618013575,2.205562221658899,0.0,0.002041964608430929,0.015,56/64,51.52%,TNFRSF11A;GALT;SHC4;MAPK9;AKT1;CISH;SOCS2;MAPK1;AKT3;STAT3;RAF1;GSK3B;HRAS;MAPK14;MAP2K2;MAP2K1;RELA;JAK2;MAPK12;PIK3CA;CCND2;SHC1;STAT1;GRB2;PRLR;FOXO3;NRAS;SRC;PIK3CB;MAPK13;SOCS5;NFKB1;CCND1;SOCS1;FOS;PIK3R2;SOCS4;PIK3R1;CGA;ESR1;ESR2;PIK3CD;PIK3R3;TH;PRL;MAPK8;CYP17A1;INS;TNFSF11;MAPK3;SOCS3;LHCGR;GCK;SLC2A2;IRF1;STAT5A
8,prerank,Longevity regulating pathway,0.3832721293063159,2.204899292275691,0.0,0.0018150796519386036,0.015,44/84,23.98%,CREB1;PPARG;RPS6KB1;TSC2;PRKAG1;EIF4E;ATF4;HDAC2;AKT1;TP53;EHMT1;SIRT1;STK11;IRS1;PRKAA1;ADCY3;CREB3L4;BAX;ATF2;AKT3;SOD1;CAT;HRAS;HSPA1A;HDAC1;PRKACG;PRKACA;RELA;PIK3CA;IGF1R;EIF4EBP1;ADCY9;FOXO3;RHEB;FOXO1;ULK1;PRKAG2;NRAS;PRKAG3;PIK3CB;RPTOR;ATG5;NFKB1;CAMKK2
9,prerank,HIF-1 signaling pathway,0.3719965389633651,2.1730218299310744,0.0,0.0022461610692740223,0.021,51/89,30.43%,PFKFB3;ALDOA;PRKCG;RPS6KB1;EIF4E;BCL2;HIF1A;PDHB;AKT1;PFKL;MAPK1;HK1;EDN1;AKT3;STAT3;IFNGR1;PGK1;FLT1;EGLN3;PLCG2;IFNG;MAP2K2;MAP2K1;ERBB2;PRKCA;SLC2A1;RELA;PIK3CA;IGF1R;EIF4EBP1;RPS6;VHL;VEGFA;HMOX1;CDKN1A;LTBR;PIK3CB;EGFR;EP300;EGLN1;MKNK1;NFKB1;SERPINE1;PDHA1;TFRC;TLR4;LDHA;CAMK2G;CDKN1B;PDK1;PIK3R2
