,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Central carbon metabolism in cancer,0.43853944414700063,2.287481642396911,0.0,0.005098597607552598,0.005,47/60,40.64%,PTEN;EGFR;TP53;KIT;HK1;PIK3CD;NTRK3;PDK1;AKT1;MAP2K1;PDGFRA;MAPK3;IDH1;AKT3;HIF1A;PDHA1;FGFR2;PDHB;FLT3;NRAS;PIK3R1;PFKM;ERBB2;AKT2;RET;HK3;MET;PIK3CA;PIK3R3;PFKP;G6PD;FGFR3;SIRT3;SIRT6;SLC1A5;TIGAR;FGFR1;HRAS;SLC7A5;SLC2A1;MTOR;NTRK1;PDGFRB;GLS;PIK3CB;MYC;LDHA
1,prerank,Chagas disease (American trypanosomiasis),0.40387387492924076,2.2798390533709965,0.0,0.002549298803776299,0.005,72/97,41.76%,CASP8;GNA11;GNA15;NFKB1;GNAI3;MAPK8;BDKRB2;MAPK12;IFNGR2;TRAF6;PIK3CD;IL2;MYD88;MAPK9;PPP2R1A;FASLG;AKT1;MAPK3;GNAS;PPP2CB;AKT3;CCL3;IL12B;CFLAR;TGFB2;TGFBR1;IL12A;MAPK14;CCL5;PIK3R1;CD247;MAPK13;TGFB1;IRAK1;C3;SMAD3;AKT2;IFNGR1;RELA;SERPINE1;TGFB3;CCL2;TNFRSF1A;IRAK4;PIK3CA;PIK3R3;FAS;JUN;TICAM1;PLCB3;PPP2R2C;SMAD2;TLR4;CXCL8;NFKBIA;IFNG;IL10;IL1B;MAPK11;MAP2K4;TLR6;PPP2R2D;TGFBR2;FADD;KNG1;GNAI1;FOS;IFNB1;PIK3CB;CHUK;PLCB1;TLR9
2,prerank,Toxoplasmosis,0.4010195628476616,2.271642575344842,0.0,0.0016995325358508662,0.005,82/99,48.17%,HLA-DPA1;CASP8;MAP2K3;NFKB1;GNAI3;MAPK8;MAPK12;IFNGR2;ALOX5;TRAF6;MYD88;MAPK9;HSPA1A;ITGA6;SOCS1;AKT1;LAMB3;STAT1;MAPK3;HLA-DMA;AKT3;CD40LG;BCL2;IL12B;NFKBIB;TGFB2;IL12A;IRGM;MAPK14;MAPK13;TGFB1;STAT3;IRAK1;CIITA;JAK2;AKT2;PIK3R6;IFNGR1;RELA;TGFB3;CASP9;TNFRSF1A;IRAK4;HLA-DQA2;BIRC3;LAMB1;TLR4;PIK3CG;MAP3K7;NFKBIA;LDLR;IFNG;IL10;HLA-DRA;HLA-DOB;MAPK11;HLA-DRB1;CASP3;CD40;JAK1;BCL2L1;HLA-DRB5;PIK3R5;ITGB1;GNAI1;HLA-DQA1;HLA-DPB1;HSPA1B;XIAP;CHUK;HLA-DMB;BAD;HSPA8;GNAI2;TYK2;TLR2;PDPK1;MAPK1;BIRC2;PPIF;LAMA3;IL10RB
3,prerank,Pathogenic Escherichia coli infection,0.43611136258152966,2.1653998051445966,0.0,0.0030591585645315593,0.01,30/44,33.33%,ARHGEF2;TUBA3C;TUBB2A;ABL1;CTTN;YWHAQ;FYN;TUBB1;TUBA8;ROCK1;CLDN1;ARPC3;CTNNB1;CDH1;TUBB3;PRKCA;CDC42;ARPC1A;ARPC5;ARPC4;TUBA4A;TUBB6;TLR4;ACTB;NCK1;ARPC2;ARPC1B;TLR5;TUBA1A;TUBB4B
4,prerank,Cellular senescence,0.3607096672491645,2.1486999891121052,0.0,0.0028552146602294558,0.012,118/135,58.12%,PTEN;MAP2K3;TP53;NFATC3;NFKB1;MAPK12;SLC25A6;FBXW11;PIK3CD;CCNB1;ETS1;AKT1;TRAF3IP2;MAP2K1;MAPK3;FOXO3;MDM2;NFATC4;CCND2;RRAS2;ITPR1;PPID;AKT3;PPP3CB;TGFB2;TGFBR1;MAPK14;PPP1CC;NRAS;PIK3R1;MAPK13;HLA-A;CHEK2;SLC25A4;CDKN2A;TGFB1;CDK6;TSC1;ZFP36L2;CCND3;SMAD3;CCNE1;AKT2;CDK1;PPP1CA;MAPKAPK2;HUS1;RELA;BTRC;PPP3CC;SERPINE1;TGFB3;RBBP4;PIK3CA;PIK3R3;RB1;EIF4EBP1;SLC25A5;CDC25A;CALM2;CHEK1;PPP3CA;TRPM7;SMAD2;ITPR3;CXCL8;ATM;CDK2;TRPV4;VDAC1;HIPK4;HIPK3;MAPK11;KIR2DL1;RAD50;HRAS;MTOR;GATA4;CDK4;TSC2;TGFBR2;ZFP36L1;CALM3;CCNA2;E2F4;NFATC2;PIK3CB;MYC;HLA-B;SQSTM1;CCNA1;NBN;RAD1;KRAS;PPP3R2;CAPN1;NFATC1;MAPK1;CDKN1A;CCNB2;CALM1;CCNE2;E2F1;PIK3R2;RAF1;HIPK2;RHEB;MAP2K6;CCND1;KIR2DL4;CDKN2B;CACNA1D;IL6;GADD45B;GADD45A;CALML6;RAD9A;KIR2DL3
5,prerank,Renal cell carcinoma,0.40119740756495115,2.1395060999525057,0.0,0.0028892053109464723,0.015,53/62,51.29%,EPAS1;TFE3;VHL;PIK3CD;ETS1;AKT1;MAP2K1;MAPK3;BRAF;CREBBP;CUL2;AKT3;HIF1A;RAP1A;TGFB2;NRAS;PIK3R1;TGFB1;ARNT2;ARAF;AKT2;CDC42;MET;TGFB3;RAC1;PIK3CA;PIK3R3;JUN;CRKL;EGLN3;EP300;EGLN1;PAK2;FH;SOS2;HRAS;SLC2A1;PAK1;GRB2;EGLN2;PRCC;TGFA;PIK3CB;PAK4;CRK;BAD;KRAS;MAPK1;CDKN1A;PAK6;RBX1;PIK3R2;RAF1
6,prerank,Leishmaniasis,0.3916369674946405,2.1049365695934914,0.0,0.0037875296513247875,0.023,52/69,42.83%,HLA-DPA1;NFKB1;MAPK12;IFNGR2;TRAF6;MYD88;PTGS2;STAT1;MAPK3;HLA-DMA;IL12B;NFKBIB;CR1;TGFB2;IL12A;MAPK14;PTPN6;MAPK13;TGFB1;IRAK1;NCF4;C3;JAK2;IFNGR1;RELA;FCGR3B;TGFB3;FCGR2A;IRAK4;HLA-DQA2;JUN;TLR4;MAP3K7;NFKBIA;IFNG;IL10;HLA-DRA;IL1B;HLA-DOB;MAPK11;HLA-DRB1;JAK1;ITGAM;HLA-DRB5;ITGB1;FOS;HLA-DQA1;HLA-DPB1;ITGB2;ITGA4;HLA-DMB;NCF2
7,prerank,Neurotrophin signaling pathway,0.3638216364059006,2.0761574484708167,0.0,0.004333807966419708,0.03,55/103,25.71%,SHC1;TP53;ZNF274;NFKB1;MAP3K5;NFKBIE;SH2B3;MAPK8;IRS1;MAPK12;RIPK2;RPS6KA3;TRAF6;PIK3CD;MAPK9;NTRK3;ABL1;FASLG;AKT1;FRS2;IRAK2;MAP2K1;MAPK3;BRAF;FOXO3;AKT3;BCL2;RAP1A;MAP3K3;NFKBIB;MAPK14;NRAS;NGFR;PLCG2;PIK3R1;MAPK13;IRAK1;SHC4;AKT2;MAPKAPK2;RELA;CDC42;RAC1;IRAK4;CAMK2G;RPS6KA1;PIK3CA;PIK3R3;CAMK2D;PSEN2;JUN;SORT1;CALM2;ATF4;CRKL
8,prerank,Proteoglycans in cancer,0.3398357309087057,2.0749899715541837,0.0,0.00385227374792863,0.03,97/164,35.18%,EGFR;FZD4;TP53;GPC1;PRKACG;MAPK12;PIK3CD;PRKACB;WNT5A;WNT10B;RPS6KB2;CTTN;NANOG;FASLG;AKT1;FRS2;MAP2K1;ERBB4;MAPK3;BRAF;WNT3;MDM2;RRAS2;PLAU;CTSL;ITPR1;THBS1;AKT3;HIF1A;PLAUR;WNT7A;RPS6KB1;ROCK1;IL12B;TGFB2;MAPK14;PTPN6;PPP1CC;NRAS;PLCG2;PIK3R1;MAPK13;SHH;RDX;CTNNB1;WNT7B;TGFB1;STAT3;ARAF;ERBB2;PRKCA;ARHGEF12;AKT2;PPP1CA;CDC42;MET;CD63;RAC1;SDC2;CAMK2G;PIK3CA;PIK3R3;ITGB5;CAMK2D;FAS;CAV3;PTCH1;FLNB;SMAD2;TLR4;MMP2;ITPR3;CAV1;RPS6;SLC9A1;PTK2;TWIST2;FZD2;ACTB;IGF1R;DROSHA;MMP9;MAPK11;CASP3;ESR1;SOS2;WNT1;CAMK2A;FGFR1;EIF4B;HSPG2;HRAS;MTOR;SDC1;TFAP4;DCN;PAK1
9,prerank,Shigellosis,0.4079870097153895,2.066331098227104,0.0010111223458038423,0.0037729622295889233,0.033,31/48,31.75%,NFKB1;MAPK8;MAPK12;RIPK2;FBXW11;MAPK9;ABL1;CTTN;MAPK3;ROCK1;NFKBIB;MAPK14;MAPK13;ARPC3;RELA;BTRC;CDC42;RAC1;ARPC1A;ARPC5;U2AF1;ARPC4;ELMO1;CRKL;CXCL8;NFKBIA;ACTB;ARPC2;ARPC1B;MAPK11;PFN2
