,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Measles,0.3583087903320267,2.4912639322679917,0.0,0.0010454783063251437,0.001,99/126,47.91%,STAT2;IRAK4;TLR4;FAS;TNFAIP3;TP53;FADD;IRF7;JAK3;CDK2;CSNK2A1;IKBKE;HSPA1A;NFKB1;CDK4;JUN;NFKBIB;AKT2;IL1B;PIK3CA;IFNA17;BCL2;CYCS;TRAF3;IL2;BAK1;EIF2AK4;CD46;AKT3;MAPK9;MYD88;TLR9;IFNA16;IFNA2;STAT3;IL12A;IFNB1;EIF2AK1;PIK3CB;TBK1;OAS1;TAB2;IL2RB;IFIH1;NFKBIA;APAF1;IFNA10;CSNK2B;EIF2AK2;CHUK;AKT1;CCND3;STAT1;HSPA1B;RCHY1;RELA;BAX;EIF2AK3;TLR2;IL2RA;GSK3B;CD28;BCL2L1;DDX58;CASP3;IL12B;IRF9;CASP8;BID;TRADD;CSNK2A2;PIK3R1;IFNA14;EIF3H;OAS3;FOS;IFNAR1;CDK6;CDKN1B;CCNE1;IFNA4;STAT5A;ADAR;PIK3CD;HSPA2;IFNAR2;IFNA1;MX1;BAD;TYK2;IKBKB;IFNA21;IL6;IRAK1;CBLB;CCND1;SLAMF1;CASP9;IFNA5
1,prerank,Prostate cancer,0.384553663182085,2.477305323666446,0.0,0.0005227391531625719,0.001,61/88,37.34%,TP53;ZEB1;EP300;HSP90AB1;CDK2;NFKB1;ATF4;LEF1;ETV5;PTEN;AKT2;PIK3CA;E2F1;BCL2;CREB1;SOS2;HRAS;KRAS;NRAS;AKT3;RAF1;PDPK1;TGFA;RB1;PDGFRB;PIK3CB;EGFR;PDGFRA;IL1R2;ERG;NFKBIA;INS;FGFR1;MAP2K1;CHUK;CDKN1A;AKT1;CREB3L2;PLAT;CREB3L4;RELA;MAPK1;NKX3-1;GSK3B;AR;GRB2;GSTP1;PLAU;FOXO1;IGF1R;PIK3R1;HSP90AA1;CREBBP;MDM2;ERBB2;BRAF;CTNNB1;CDKN1B;HSP90B1;CCNE1;MAPK3
2,prerank,Kaposi sarcoma-associated herpesvirus infection,0.34781359558832536,2.47709339792768,0.0,0.0003484927687750479,0.001,123/159,48.77%,JAK2;STAT2;NFATC4;CXCL2;FAS;TP53;FADD;IRF7;SYK;EP300;IKBKE;NFKB1;CDK4;JUN;AKT2;HIF1A;PIK3CA;E2F1;IFNA17;HLA-A;CYCS;IFNGR1;TRAF3;CREB1;HRAS;KRAS;PIK3R5;MAPKAPK2;BAK1;RAC1;NRAS;MAPK14;PTGS2;GNGT2;AKT3;PIK3CG;RAF1;GNG12;MAPK9;CALM3;IFNA16;IFNA2;STAT3;RB1;MAP2K7;IFNB1;NFATC3;PIK3CB;TBK1;NFKBIA;LYN;IFNA10;TRAF2;PPP3CA;CCR4;MAP2K4;EIF2AK2;MAP2K1;CHUK;CDKN1A;AKT1;TICAM1;STAT1;ICAM1;MAPK12;RELA;CXCL3;MAPK1;C3;BAX;GSK3B;BECN1;GNB4;CASP3;IRF9;CD86;CASP8;GNG4;BID;CCR5;PLCG2;TRADD;PIK3R1;CXCL1;MAPK13;CREBBP;IFNA14;PPP3R2;NFATC1;PLCG1;GNG8;CALM1;FOS;CTNNB1;IFNAR1;CDK6;MAPK3;GABARAPL1;PPP3CC;FGF2;IFNA4;PIK3CD;GNG7;IFNAR2;MYC;IFNA1;TYK2;ITPR3;IKBKB;ITPR1;SRC;IFNA21;IL6;TLR3;HLA-B;GNB2;MTOR;CCND1;CCR3;CASP9;IFNA5;CALM2;TNFRSF1A
3,prerank,Longevity regulating pathway,0.3799372741235892,2.458476234392915,0.0,0.0005227391531625719,0.002,47/85,25.85%,RPS6KB1;IRS1;PRKAG2;RHEB;CAT;TP53;STK11;PRKAG1;PPARG;HSPA1A;EHMT1;NFKB1;ATF4;AKT2;PIK3CA;CREB1;PRKACG;HRAS;KRAS;PPARGC1A;SOD1;ATF2;NRAS;ADCY7;AKT3;ADCY3;EIF4EBP1;RPTOR;TSC2;ATG5;PIK3CB;IRS2;INS;SESN1;AKT1;RPS6KB2;PRKAA1;HSPA1B;PRKACB;CREB3L2;EIF4E;ULK1;SIRT1;CREB3L4;RELA;BAX;ADCY6
4,prerank,Hepatitis B,0.3450004559973997,2.456938054784649,0.0,0.0004181913225300575,0.002,110/152,44.83%,STAT6;JAK2;PCNA;STAT2;IRAK4;NFATC4;TLR4;FAS;TP53;FADD;IRF7;EP300;JAK3;SMAD4;CDK2;PRKCG;IKBKE;NFKB1;SMAD3;ATF4;JUN;AKT2;PIK3CA;SMAD2;E2F1;IFNA17;BCL2;CYCS;TRAF3;CREB1;SOS2;HRAS;YWHAQ;KRAS;ATF2;NRAS;MAPK14;TICAM2;TGFBR1;AKT3;RAF1;MAPK9;MYD88;PRKCA;IFNA16;IFNA2;STAT3;RB1;MAP2K7;IFNB1;NFATC3;PIK3CB;TBK1;STAT4;TAB2;CCNA2;IFIH1;NFKBIA;APAF1;HSPG2;IFNA10;MAP2K4;MAP2K1;CHUK;CDKN1A;AKT1;TICAM1;TGFBR2;STAT1;CREB3L2;MAPK12;CREB3L4;TGFB1;RELA;MAPK1;BAX;TLR2;GRB2;DDX58;CASP3;CASP8;BID;PIK3R1;MAPK13;CREBBP;BIRC5;IFNA14;NFATC1;BRAF;TGFB3;SLC10A1;FOS;IFNAR1;CCNE1;MAPK3;PTK2B;DDB2;IFNA4;STAT5A;PIK3CD;MYC;IFNA1;BAD;TYK2;IKBKB;SRC;IFNA21;IL6;TLR3;IRAK1
5,prerank,AGE-RAGE signaling pathway in diabetic complications,0.37225107073887637,2.436637486241004,0.0,0.0006969855375500958,0.004,60/89,37.37%,JAK2;F3;NOX1;MMP2;SMAD4;EGR1;NFKB1;SMAD3;CDK4;JUN;AKT2;IL1B;PIK3CA;SMAD2;BCL2;PRKCE;HRAS;KRAS;PRKCD;RAC1;NRAS;MAPK14;TGFBR1;PLCB1;AKT3;MAPK9;CDC42;PRKCA;CCL2;STAT3;PIK3CB;PRKCZ;PLCB3;AKT1;TGFBR2;STAT1;EDN1;VEGFC;COL4A5;ICAM1;MAPK12;TGFB1;RELA;MAPK1;BAX;AGT;CASP3;VEGFB;FN1;FOXO1;PLCG2;PIK3R1;MAPK13;NFATC1;PLCG1;TGFB3;THBD;CDKN1B;MAPK3;VCAM1
6,prerank,Gastric cancer,0.36019802936421963,2.4149878660757986,0.0,0.0005974161750429393,0.004,76/113,39.77%,RPS6KB1;TP53;CSNK1A1L;SMAD4;CDK2;WNT5A;FZD10;SMAD3;LEF1;AKT2;PIK3CA;SMAD2;E2F1;BCL2;CTNNA1;SOS2;SHC1;HRAS;KRAS;BAK1;WNT7A;NRAS;TGFBR1;AKT3;RAF1;MET;ABCB1;CSNK1A1;WNT10B;GADD45B;SHC4;RB1;LRP6;CDKN2B;PIK3CB;EGFR;DVL1;MLH1;SHH;MAP2K1;RARB;CDKN1A;AKT1;RPS6KB2;TGFBR2;DVL3;DVL2;AXIN1;TGFB1;MAPK1;BAX;GSK3B;FZD4;GRB2;FZD2;WNT1;GAB1;CDX2;FGF1;PIK3R1;RXRG;WNT7B;ERBB2;RXRA;FGF9;BRAF;TGFB3;WNT9B;CTNNB1;CDKN1B;FZD7;CCNE1;MAPK3;FZD9;DDB2;FGF2
7,prerank,Non-small cell lung cancer,0.390045382302803,2.3687656947877307,0.0,0.0009147935180345008,0.007,46/62,41.88%,TP53;ALK;RASSF1;JAK3;PRKCG;CDK4;AKT2;PIK3CA;E2F1;SOS2;HRAS;KRAS;BAK1;NRAS;AKT3;RAF1;PDPK1;TGFA;PRKCA;STAT3;GADD45B;RB1;PIK3CB;EGFR;MAP2K1;RARB;CDKN1A;AKT1;MAPK1;BAX;GRB2;EML4;PLCG2;PIK3R1;RXRG;ERBB2;RXRA;PLCG1;BRAF;CDK6;MAPK3;STK4;DDB2;STAT5A;PIK3CD;BAD
8,prerank,Relaxin signaling pathway,0.3543782936301119,2.3599574518020394,0.0,0.0008131497938084452,0.007,71/102,41.45%,EDNRB;MMP2;NFKB1;SMAD3;ATF4;JUN;AKT2;PIK3CA;SMAD2;CREB1;PRKACG;SOS2;SHC1;HRAS;KRAS;ATF2;NRAS;MAPK14;ACTA2;TGFBR1;ADCY7;PLCB1;GNGT2;AKT3;RAF1;GNG12;MAPK9;ADCY3;PRKCA;SHC4;MAP2K7;PIK3CB;EGFR;GNA15;GNAI2;NFKBIA;MAP2K4;PRKCZ;MAP2K1;PLCB3;AKT1;TGFBR2;PRKACB;EDN1;VEGFC;COL4A5;CREB3L2;MAPK12;CREB3L4;TGFB1;RELA;MAPK1;ADCY6;GRB2;GNB4;VEGFB;GNAS;GNG4;PIK3R1;MAPK13;GNG8;RXFP1;FOS;GNAI3;MAPK3;PRKACA;MMP1;ARRB1;PIK3CD;GNG7;MMP13
9,prerank,TNF signaling pathway,0.3551405167490575,2.3562160068270033,0.0,0.0007318348144276007,0.007,63/104,32.36%,MAP3K5;TRAF5;CXCL2;FAS;TNFAIP3;FADD;CCL5;CASP7;NFKB1;ATF4;JUN;AKT2;IL1B;PIK3CA;TRAF3;CREB1;ATF2;MAPK14;IL15;IL18R1;PTGS2;CX3CL1;AKT3;MAPK9;BCL3;CFLAR;CCL2;MAP2K7;IFNB1;CCL20;PIK3CB;TAB2;LTA;NFKBIA;TRAF2;RPS6KA4;MMP14;CXCL5;MAP3K14;MAP2K4;MAP2K1;CSF1;CHUK;AKT1;EDN1;VEGFC;CREB3L2;ICAM1;MAPK12;CREB3L4;RELA;CXCL3;MAPK1;BIRC2;CASP3;BIRC3;CASP8;DNM1L;TRADD;PIK3R1;CXCL1;MAPK13;RPS6KA5
10,prerank,ErbB signaling pathway,0.3713181776589573,2.3341254855180322,0.0,0.0008553913415387541,0.009,58/78,45.92%,RPS6KB1;NRG1;PRKCG;PAK4;JUN;ERBB3;AKT2;PIK3CA;PAK2;SOS2;SHC1;HRAS;KRAS;NRAS;AKT3;RAF1;TGFA;MAPK9;PRKCA;EIF4EBP1;SHC4;MAP2K7;PIK3CB;EGFR;PAK3;MAP2K4;MAP2K1;CAMK2A;CDKN1A;AKT1;RPS6KB2;CAMK2G;MAPK1;GSK3B;ERBB4;GRB2;GAB1;PAK1;PLCG2;PIK3R1;ERBB2;PLCG1;BRAF;HBEGF;CDKN1B;MAPK3;STAT5A;NCK1;PIK3CD;MYC;BAD;SRC;PTK2;CRK;CAMK2D;ABL1;MTOR;CBLB
