,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.5114249798960434,2.0523036670169494,0.0,0.004023484906464909,0.004,43/71,25.81%,SMAD4;RALBP1;SMAD3;AKT1;CASP9;RB1;TP53;CDK6;RAC3;STAT3;PIK3CA;RAC1;VEGFA;TGFBR1;BCL2L1;ERBB2;RPS6KB1;RELA;GADD45B;MAPK3;ARAF;EGFR;CHUK;PIK3R3;CDK4;NFKB1;BAX;TGFBR2;MAPK9;CDC42;AKT3;CDKN1A;IKBKG;SMAD2;MAPK1;PIK3CD;MAPK8;PIK3R2;BRCA2;RPS6KB2;BRAF;CCND1;STAT1
1,prerank,Adipocytokine signaling pathway,0.5094156124891238,2.0103609714075636,0.0,0.0035205492931567957,0.007,35/61,21.14%,RXRA;AKT1;PRKAG1;STAT3;STK11;PRKAG2;PTPN11;RELA;ACSL3;TNFRSF1B;PRKAA2;NFKBIA;CHUK;PPARA;G6PC;RXRB;ADIPOR1;SLC2A1;IRS1;PCK2;NFKB1;CAMKK2;POMC;PRKCQ;PCK1;PRKAA1;MAPK9;AKT3;IKBKG;CPT1A;ACSL4;PRKAG3;MAPK8;JAK2;PRKAB2
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.48664722455731635,1.9863066988460867,0.0,0.003352904088720758,0.01,69/89,39.11%,SMAD4;HRAS;SMAD3;AKT1;CCL2;PLCG2;STAT3;PIK3CA;RAC1;VEGFA;PRKCD;TGFBR1;AGT;SERPINE1;PRKCZ;RELA;MAPK3;EDN1;EGR1;PIK3R3;CDK4;NFKB1;BAX;TGFBR2;F3;BCL2;MAPK9;AGTR1;CDC42;AGER;IL1B;AKT3;MAPK14;SMAD2;FOXO1;MAPK1;MMP2;MAPK11;VEGFB;STAT5A;PIK3CD;MAPK8;JAK2;PIK3R2;PLCB1;COL4A5;NOX1;JUN;MAPK13;CCND1;STAT1;VEGFC;PLCG1;PLCD1;PRKCA;PLCB3;CDKN1B;STAT5B;KRAS;MAPK12;CASP3;CXCL8;PRKCE;TGFB2;PIK3R1;CYBB;SELE;TNF;COL4A4
3,prerank,Longevity regulating pathway,0.4655558440655423,1.9018855602943718,0.0,0.008298437619583876,0.033,47/85,24.99%,HRAS;AKT1;ATF4;ADCY3;TP53;PRKAG1;CREB1;PIK3CA;STK11;PPARG;HDAC2;PRKAG2;TSC2;HDAC1;RPS6KB1;FOXO3;SIRT1;ATG5;CREB3L1;RELA;ADCY9;ATF2;PRKAA2;PIK3R3;EIF4EBP1;ADIPOR1;CAT;IRS1;NFKB1;EIF4E;BAX;CAMKK2;PRKAA1;AKT3;FOXO1;INS;PRKAG3;PIK3CD;CAMK4;ULK1;TSC1;PIK3R2;PRKAB2;RPS6KB2;RHEB;SOD1;SESN1
4,prerank,FoxO signaling pathway,0.45025162316958434,1.8930112498808975,0.0,0.007845795567606574,0.039,61/119,21.95%,SMAD4;HRAS;SMAD3;AKT1;PRKAG1;STAT3;BCL6;PIK3CA;STK11;TGFBR1;PDPK1;PRKAG2;MAP2K2;SGK2;ATM;MDM2;CSNK1E;FOXO3;SIRT1;ATG12;RAG1;GADD45B;MAPK3;ARAF;EGFR;SETD7;PRKAA2;GRB2;CHUK;G6PC;PIK3R3;PTEN;CAT;IRS1;CDK2;PCK2;S1PR1;TGFBR2;PCK1;CDKN2B;PLK1;FBXO32;PRKAA1;MAPK9;AKT3;RAG2;CDKN1A;MAPK14;SMAD2;FOXO1;MAPK1;INS;MAPK11;PRKAG3;PLK4;PIK3CD;MAPK8;PIK3R2;PRKAB2;PRMT1;CCNB1
5,prerank,Hepatitis B,0.4369947975068912,1.8839764663659997,0.0,0.0070410985863135905,0.042,104/153,38.34%,SMAD4;HRAS;SMAD3;AKT1;FAS;ATF4;CASP9;TLR2;RB1;TP53;PRKCG;CREB1;STAT3;PIK3CA;TGFBR1;IFIH1;TLR4;MAP2K2;SLC10A1;TRAF3;EGR3;DDX58;TRAF6;CREB3L1;RELA;SRC;MAPK3;ARAF;ATF2;IFNA10;NFKBIA;GRB2;IKBKE;CHUK;PIK3R3;NFATC3;EGR2;CDK2;NFKB1;BAX;TLR3;TGFBR2;CYCS;BCL2;MAPK9;TICAM1;IRAK4;CCNE1;STAT6;AKT3;CDKN1A;MAPK14;IKBKG;SMAD2;JAK3;MAPK1;MAPK11;STAT5A;PIK3CD;IFNA5;MAPK8;CASP8;TBK1;IFNA16;JAK2;PIK3R2;CCNA2;JUN;BIRC5;MAPK13;BID;BRAF;STAT1;NFATC4;MAP2K6;IFNA1;IFNAR1;CREB3L4;IFNA8;CASP10;PRKCA;MAP2K3;TAB2;APAF1;EP300;FASLG;TICAM2;STAT5B;JAK1;KRAS;STAT4;MAPK12;CASP3;CXCL8;PCNA;TGFB2;CREBBP;CREB3L2;PIK3R1;FOS;MAP2K4;HSPG2;IFNB1;TNF
6,prerank,Prostate cancer,0.4553086751197304,1.8749134402375276,0.0,0.006897402696796987,0.048,51/89,27.26%,HRAS;AKT1;GSK3B;PDGFRA;ATF4;CASP9;RB1;TP53;CREB1;ETV5;PIK3CA;PDPK1;MAP2K2;ERBB2;MDM2;CREB3L1;RELA;GSTP1;MAPK3;ARAF;EGFR;NFKBIA;GRB2;TCF7L2;CHUK;ZEB1;PIK3R3;PTEN;CDK2;NFKB1;AR;BCL2;CCNE1;AKT3;CDKN1A;IKBKG;HSP90B1;FOXO1;MAPK1;INS;PIK3CD;PIK3R2;CTNNB1;ERG;PLAU;HSP90AA1;LEF1;BRAF;CCND1;CREB3L4;PDGFRB
7,prerank,Colorectal cancer,0.4584161404958907,1.8600609476057142,0.0,0.0069153646829865625,0.054,44/79,25.74%,SMAD4;HRAS;SMAD3;AKT1;GSK3B;CASP9;TP53;RAC3;PIK3CA;RAC1;TGFBR1;MAP2K2;RPS6KB1;RHOA;GADD45B;AXIN1;MAPK3;ARAF;EGFR;GRB2;TCF7L2;PIK3R3;PMAIP1;BAX;TGFBR2;CYCS;AXIN2;BCL2;MAPK9;AKT3;CDKN1A;SMAD2;MAPK1;PIK3CD;MAPK8;PIK3R2;CTNNB1;RPS6KB2;JUN;BIRC5;LEF1;BCL2L11;BRAF;CCND1
8,prerank,Endometrial cancer,0.4774019975784478,1.8539189687234239,0.0,0.006482281238193465,0.057,31/53,25.74%,HRAS;AKT1;GSK3B;CASP9;TP53;PIK3CA;PDPK1;MAP2K2;ERBB2;FOXO3;GADD45B;AXIN1;MAPK3;ARAF;EGFR;GRB2;TCF7L2;PIK3R3;PTEN;BAX;AXIN2;AKT3;CDKN1A;MAPK1;PIK3CD;PIK3R2;CTNNB1;ILK;LEF1;BRAF;CCND1
9,prerank,Fluid shear stress and atherosclerosis,0.4324912860822525,1.837734165671268,0.0,0.007443447076960082,0.072,84/122,40.61%,MAP2K5;SQSTM1;AKT1;CCL2;CAV1;KEAP1;NCF2;TP53;RAC3;ARHGEF2;PIK3CA;GSTT1;RAC1;VEGFA;BMPR1B;IFNG;RHOA;ACVR2A;PRKCZ;BMPR1A;RELA;SRC;GSTP1;GSTO1;EDN1;SDC4;PRKAA2;CALM1;CHUK;PIK3R3;NFKB1;ACTB;DUSP1;CTSL;NQO1;BCL2;PRKAA1;MAPK9;ASS1;CYBA;IL1B;AKT3;MAPK14;IKBKG;HSP90B1;MMP2;MAPK11;PTK2;ACVR1;PIK3CD;MAPK8;PIK3R2;CTNNB1;NOX1;JUN;IL1R1;BMP4;HSP90AA1;MAPK13;NFE2L2;MAP2K6;CAV3;CALM3;HMOX1;TXN;GSTM4;IL1R2;PECAM1;MGST1;MAPK12;MGST2;PIK3R1;FOS;MAP2K4;ACTG1;SELE;GSTM5;MEF2A;MEF2C;TNF;MAP3K5;GSTM1;VCAM1;TRPV4
