,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.47685696062915245,1.9220205651853062,0.0,0.02116680361544782,0.019,40/52,38.65%,RELA;ATP6V1D;IKBKG;MAPK12;EGFR;NFKBIA;HBEGF;CXCL1;TCIRG1;NFKB1;F11R;MAPK14;CXCR2;PTPN11;ADAM10;RAC1;SRC;IKBKB;PAK1;ATP6V0B;PLCG2;CHUK;JAM2;MAPK9;MET;MAPK8;CSK;PLCG1;LYN;JAM3;CASP3;IGSF5;NOD1;ATP6V1F;CCL5;MAP2K4;MAP3K14;JUN;CXCL8;CDC42
1,prerank,AGE-RAGE signaling pathway in diabetic complications,0.4404463325217405,1.9062446435960838,0.0,0.015623116954259107,0.028,68/89,42.37%,PRKCE;HRAS;SMAD2;EDN1;FN1;AKT1;RELA;STAT3;CCL2;PLCE1;MAPK12;CDKN1B;NOX1;SMAD4;PRKCA;SMAD3;JAK2;TGFBR1;NFKB1;AGER;BCL2;MAPK14;EGR1;IL1B;F3;RAC1;KRAS;ICAM1;AGTR1;STAT5A;NFATC1;PIK3CD;PLCB4;PRKCZ;COL4A2;PLCG2;SERPINE1;COL4A5;PLCB3;MAPK9;PLCD1;PRKCB;MAPK8;VEGFA;PLCB1;PIK3R3;TNF;MAPK3;PLCG1;CASP3;SELE;PIM1;AGT;PIK3CB;JUN;CXCL8;COL1A2;TGFBR2;CDC42;FOXO1;STAT5B;CCND1;PIK3CA;PRKCD;CDK4;TGFB3;NRAS;VEGFB
2,prerank,Folate biosynthesis,0.5670864380243712,1.9004213327606863,0.0,0.010751392312608417,0.029,14/19,26.46%,TH;QDPR;AKR1B1;PCBD1;GPHN;DHFR;CBR1;SPR;GCH1;TPH1;AKR1C3;FPGS;GGH;AKR1B10
3,prerank,ErbB signaling pathway,0.43959345980606485,1.891091753106001,0.0,0.010835387565050671,0.037,58/79,43.15%,HRAS;RAF1;AKT1;BRAF;GSK3B;CDKN1A;ABL1;CDKN1B;EGFR;CRKL;PRKCA;HBEGF;PAK4;CAMK2G;CBL;ERBB2;TGFA;PTK2;SHC4;EIF4EBP1;SRC;KRAS;SHC1;ABL2;STAT5A;PIK3CD;PAK5;PAK1;ERBB4;PLCG2;EREG;NRG1;MAPK9;PRKCB;ELK1;MAPK8;MTOR;RPS6KB1;PRKCG;PIK3R3;CBLB;MAPK3;PLCG1;PAK2;MAP2K4;PIK3CB;JUN;ARAF;PAK3;ERBB3;MYC;STAT5B;MAP2K1;MAP2K2;PIK3CA;NRAS;GRB2;CAMK2A
4,prerank,Apoptosis,0.42342658343510314,1.8798263094071272,0.0,0.010885784716516023,0.048,96/123,46.35%,HRAS;BIRC2;CTSW;RAF1;ACTB;BID;AKT1;RELA;ATF4;NGFR;CASP7;IKBKG;GADD45B;PARP1;CSF2RB;CAPN1;CTSK;CTSH;CYCS;TNFRSF10A;TNFRSF10B;DIABLO;NFKBIA;CASP9;SPTA1;ITPR3;BIRC5;FAS;FOS;TP53;NFKB1;CTSD;EIF2AK3;BECN1;BCL2;CFLAR;ATM;BCL2L11;BCL2A1;KRAS;LMNB2;SPTAN1;FASLG;CTSB;CASP8;PDPK1;IKBKB;BCL2L1;DDIT3;MAP3K5;TRAF1;PIK3CD;PARP2;BBC3;CTSL;ACTG1;CHUK;BAK1;MAPK9;MAPK8;DFFB;ITPR1;PIK3R3;TNF;MAPK3;CASP3;NGF;PRF1;CASP10;GZMB;APAF1;MCL1;MAP3K14;PIK3CB;CTSF;JUN;AIFM1;CTSS;PMAIP1;ERN1;HTRA2;MAP2K1;MAP2K2;PIK3CA;CASP2;NRAS;CASP6;TUBA1B;XIAP;EIF2S1;DAXX;BAX;FADD;AKT3;RIPK1;MAPK1
5,prerank,Terpenoid backbone biosynthesis,0.5620331502019222,1.848622064300847,0.0010548523206751054,0.012767278371222495,0.069,12/17,31.28%,GGPS1;PDSS2;ACAT2;HMGCS1;IDI2;IDI1;FDPS;ICMT;DHDDS;HMGCS2;HMGCR;ACAT1
6,prerank,Hepatitis B,0.3917070326534032,1.7773548942224973,0.0,0.027214461791290057,0.163,107/153,42.30%,HRAS;SMAD2;RAF1;BID;AKT1;BRAF;RELA;ATF4;STAT3;CCNA2;IKBKG;CDKN1A;CREB3L1;MAP3K7;MAPK12;RB1;TBK1;CCNE1;IFNA5;CREB1;IKBKE;CYCS;IFNA10;SMAD4;NFKBIA;PRKCA;SMAD3;CASP9;BIRC5;FAS;JAK2;FOS;TGFBR1;JAK1;JAK3;TP53;NFKB1;MYD88;BCL2;TICAM1;MAPK14;MAP3K1;TLR2;IFNA1;NFATC3;CREB3L2;TRAF6;CDK2;ATF2;SRC;KRAS;FASLG;STAT2;CASP8;IFIH1;TRAF3;IKBKB;STAT5A;NFATC1;CCNA1;PIK3CD;CREB5;EP300;EGR3;CHUK;IFNAR1;CREB3L4;IFNA7;STAT4;MAPK9;IFNA4;PRKCB;SLC10A1;ELK1;MAPK8;PRKCG;PIK3R3;TLR4;TNF;MAPK3;IFNA8;PTK2B;CASP3;CASP10;APAF1;MAP2K4;TLR3;PIK3CB;JUN;ARAF;CXCL8;E2F1;IFNA2;TGFBR2;MYC;DDX58;STAT5B;MAP2K1;MAP2K2;PIK3CA;TAB2;TGFB3;TICAM2;ATP6AP1;NRAS;IFNA21;GRB2
7,prerank,Chronic myeloid leukemia,0.41963459477095544,1.7701633044691918,0.0,0.025954533004656256,0.178,57/71,46.89%,HDAC1;HRAS;RAF1;CTBP1;AKT1;BRAF;RELA;IKBKG;CDKN1A;GADD45B;ABL1;RB1;CDKN1B;CRKL;SMAD4;NFKBIA;SMAD3;MECOM;CBL;TGFBR1;TP53;NFKB1;BCR;PTPN11;MDM2;SHC4;CTBP2;KRAS;SHC1;IKBKB;BCL2L1;STAT5A;PIK3CD;CHUK;BAK1;PIK3R3;MAPK3;PIK3CB;ARAF;E2F1;TGFBR2;MYC;STAT5B;CCND1;MAP2K1;MAP2K2;PIK3CA;CDK4;TGFB3;HDAC2;NRAS;GRB2;CDK6;BAX;AKT3;MAPK1;DDB2
8,prerank,Non-alcoholic fatty liver disease (NAFLD),0.3966431284968769,1.7680725255945389,0.0,0.02374265802367692,0.182,93/125,46.37%,PRKAB2;NDUFA9;NDUFS1;BID;AKT1;RELA;ATF4;SDHC;NDUFB5;CASP7;GSK3B;COX5B;PRKAG1;RXRA;COX7A1;NR1H3;UQCRB;NDUFA7;CYCS;SDHA;NDUFAB1;NDUFS4;MAP3K11;FAS;GSK3A;NFKB1;EIF2AK3;SDHD;COX7B;CEBPA;COX6C;COX6B1;NDUFC2;NDUFB1;IL1B;BCL2L11;RAC1;NDUFA8;NDUFA13;FASLG;NDUFS8;CASP8;IKBKB;DDIT3;NDUFB3;MAP3K5;SDHB;PIK3CD;PRKAA2;IRS1;PRKAA1;IRS2;COX6A2;MLXIP;NDUFA4;PRKAB1;NDUFC1;CYP2E1;NDUFA5;PRKAG2;MAPK9;NDUFA12;COX6B2;MAPK8;PIK3R3;TNF;PPARA;CASP3;NDUFB8;UQCR11;PKLR;NDUFV2;PIK3CB;JUN;CXCL8;NDUFV1;CDC42;UQCRC1;NDUFA1;NDUFS6;ERN1;PIK3CA;NDUFB4;UQCRFS1;NDUFS7;COX7C;NDUFB6;EIF2S1;XBP1;BAX;PRKAG3;AKT3;COX4I1
9,prerank,Viral myocarditis,0.4433320150036167,1.7612649988393263,0.0,0.023283483976992606,0.195,36/45,45.07%,CD55;ACTB;HLA-DMB;BID;DMD;HLA-DPA1;ABL1;CYCS;HLA-DQB1;FYN;HLA-A;HLA-DRB3;CASP9;ITGB2;CAV1;CXADR;RAC1;ICAM1;CASP8;ABL2;HLA-DPB1;ACTG1;HLA-DRB4;EIF4G1;DAG1;HLA-DRA;CASP3;CD28;RAC3;PRF1;HLA-DRB5;CCND1;HLA-DQA1;HLA-DOA;HLA-DMA;SGCB
