,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.49677203392682506,3.233913032127553,0.0,0.0,0.0,50/71,26.92%,AKT1;CHUK;RPS6KB1;CDC42;BAD;PIK3CA;EGFR;TP53;BCL2L1;PIK3R1;TGFBR2;BRAF;RALA;CCND1;MAP2K1;ERBB2;RAF1;RAC1;RELA;SMAD4;KRAS;E2F1;CDKN2A;CDK4;PIK3CB;AKT3;RB1;IKBKB;TGFBR1;VEGFA;TGFA;BAK1;TGFB3;STAT3;GADD45A;GADD45B;CDK6;MAPK8;MAPK9;NFKB1;PIK3CD;PLD1;RALBP1;MAPK3;STAT1;SMAD3;IKBKG;TGFB1;JAK1;MTOR
1,prerank,Chronic myeloid leukemia,0.4926062953836204,3.1573893822303516,0.0,0.0,0.0,48/71,25.78%,AKT1;CHUK;HDAC2;CRKL;BAD;PIK3CA;TP53;BCL2L1;PIK3R1;TGFBR2;MYC;BRAF;NRAS;HRAS;NFKBIA;RUNX1;CCND1;MAP2K1;RAF1;RELA;SMAD4;KRAS;E2F1;CDKN2A;CDK4;PIK3CB;AKT3;RB1;IKBKB;TGFBR1;BCR;CDKN1B;ABL1;HDAC1;SHC1;BAK1;TGFB3;GADD45A;GADD45B;CDK6;NFKB1;PIK3CD;MAPK3;SMAD3;GRB2;PTPN11;IKBKG;TGFB1
2,prerank,Non-alcoholic fatty liver disease (NAFLD),0.38346751441145105,2.880838767531039,0.0,0.0,0.0,84/125,35.22%,NDUFA5;SDHB;NDUFA8;AKT1;SOCS3;CDC42;NDUFA2;PIK3CA;PIK3R1;IL6;RAC1;COX6A2;RELA;NDUFA1;NDUFAB1;ERN1;PIK3CB;CYCS;AKT3;IKBKB;CASP7;XBP1;NDUFB5;UQCRFS1;NDUFC1;COX5A;CYP2E1;NDUFA13;ATF4;BCL2L11;TNF;EIF2S1;MAPK8;NDUFS7;FAS;CASP8;NDUFB3;PRKAG1;SDHA;JUN;NDUFS2;MAPK9;NFKB1;NDUFB7;PIK3CD;UQCRC1;TNFRSF1A;IL6R;PRKAB1;COX5B;UQCR11;IRS1;NDUFC2;GSK3A;PRKAA2;SDHC;PRKAG2;IL1B;GSK3B;DDIT3;NDUFA9;NDUFS3;TGFB1;COX7A1;NDUFB8;NDUFV2;NDUFB1;NR1H3;SREBF1;INS;CXCL8;SDHD;NDUFV1;TRAF2;PKLR;NDUFS1;CASP3;BAX;MAP3K11;NDUFB6;NDUFA3;CYC1;NDUFS5;NDUFB2
3,prerank,Melanoma,0.4783410341424618,2.860188981578703,0.0,0.0,0.0,33/52,22.07%,AKT1;BAD;PIK3CA;EGFR;TP53;MET;PIK3R1;BRAF;NRAS;HRAS;CCND1;IGF1;MAP2K1;FGFR1;RAF1;MITF;KRAS;E2F1;CDKN2A;CDK4;PDGFC;PIK3CB;AKT3;RB1;FGF1;BAK1;GADD45A;GADD45B;CDK6;PIK3CD;MAPK3;PTEN;IGF1R
4,prerank,Neurotrophin signaling pathway,0.39337310745747334,2.844369761681491,0.0,0.0,0.0,60/103,27.30%,RPS6KA1;AKT1;CRKL;CDC42;RPS6KA3;BAD;PIK3CA;MAP2K7;MATK;TP53;MAP2K5;PIK3R1;BRAF;BCL2;NRAS;HRAS;RPS6KA6;NFKBIA;NFKBIB;MAPK14;MAP2K1;MAPK13;RAF1;MAPKAPK2;CAMK4;RAC1;MAPK12;RELA;KRAS;PIK3CB;AKT3;PSEN1;IKBKB;IRAK1;IRAK3;IRAK4;NFKBIE;RHOA;ABL1;SHC1;ATF4;RAP1A;FOXO3;CAMK2A;PDPK1;MAPK8;JUN;MAPK9;NFKB1;PIK3CD;MAPK3;PLCG1;GRB2;IRS1;PTPN11;GSK3B;MAPK7;MAP3K3;RPS6KA5;GAB1
5,prerank,Fc epsilon RI signaling pathway,0.45075982481622234,2.8430262859440263,0.0,0.0,0.0,36/59,24.24%,IL5;BTK;AKT1;FCER1A;PIK3CA;MAP2K7;PIK3R1;LYN;NRAS;FCER1G;HRAS;PRKCA;MAPK14;SYK;MAP2K1;MAPK13;RAF1;RAC1;MAPK12;KRAS;PIK3CB;AKT3;PLA2G4A;MAP2K4;VAV1;TNF;PDPK1;MAPK8;LCP2;MAPK9;PIK3CD;IL4;MAPK3;PLCG1;GRB2;MAP2K6
6,prerank,Colorectal cancer,0.4113140950935034,2.790835868972183,0.0,0.0,0.0,60/79,41.27%,CTNNB1;AKT1;BBC3;RPS6KB1;BAD;PIK3CA;EGFR;TP53;PIK3R1;TGFBR2;MYC;BRAF;RALA;BCL2;NRAS;HRAS;CCND1;MAP2K1;TCF7L2;RAF1;RAC1;SMAD4;KRAS;PIK3CB;CYCS;AKT3;TGFBR1;AXIN2;TGFA;RHOA;BAK1;TGFB3;BCL2L11;GADD45A;GADD45B;MAPK8;JUN;MAPK9;AREG;PIK3CD;MAPK3;SMAD3;GRB2;MSH2;FOS;GSK3B;TGFB1;MTOR;CASP3;EGF;BAX;RALB;BIRC5;DDB2;MAP2K2;MAPK1;LEF1;PIK3R3;PMAIP1;RALGDS
7,prerank,Hepatitis B,0.36287558855564805,2.7867460786455545,0.0,0.0,0.0,88/153,29.14%,CREB3L4;IFNA4;MYD88;AKT1;CHUK;SLC10A1;BAD;CDK2;PIK3CA;MAP2K7;TP53;IFNA7;PIK3R1;TGFBR2;MYC;BRAF;BCL2;NRAS;HRAS;PRKCA;NFKBIA;IFNB1;ATF2;MAPK14;IL6;TYK2;MAP2K1;MAPK13;IKBKE;RAF1;IFNA10;STAT2;MAPK12;CCNE1;RELA;SMAD4;KRAS;E2F1;PIK3CB;CYCS;AKT3;IFNA8;RB1;IKBKB;IRAK1;TGFBR1;IRAK4;MAP2K4;IFNAR1;CREB5;TGFB3;ATF4;STAT3;TNF;MAPK8;FAS;CASP8;FADD;JUN;MAPK9;CCNA2;CCNA1;NFKB1;PIK3CD;MAPK3;STAT6;IFNA17;STAT1;SMAD3;GRB2;SRC;FOS;MAP3K7;TICAM1;EGR2;MAP2K6;IKBKG;CREB3L1;TICAM2;HSPG2;TGFB1;PRKCB;JAK1;ELK1;TRAF3;CXCL8;STAT4;PRKCG
8,prerank,Fluid shear stress and atherosclerosis,0.3765316915185487,2.7655918921573917,0.0,0.0,0.0,69/122,26.04%,CTNNB1;AKT1;CHUK;GSTA4;KEAP1;PIK3CA;ACTB;MAP2K7;IFNG;TP53;ASS1;MAP2K5;PIK3R1;BCL2;MAPK14;GSTP1;NQO1;GSTO1;MAPK13;RAC1;MAPK12;RELA;GSTO2;PRKCZ;ITGA2B;PIK3CB;AKT3;NCF2;HSP90AA1;IKBKB;CAV3;MAP2K4;VEGFA;BMP4;RHOA;VCAM1;ITGAV;HSP90AB1;GSTA2;GSTM1;ARHGEF2;TNF;MAPK8;JUN;ACVR2A;MAPK9;NFKB1;SQSTM1;BMPR2;PIK3CD;BMPR1B;KDR;TNFRSF1A;ACTG1;ICAM1;CAV1;SRC;FOS;BMPR1A;MAP3K7;PRKAA2;PIAS4;MEF2C;MAP2K6;IL1B;IKBKG;MAPK7;PTK2;CCL2
9,prerank,Focal adhesion,0.3674939634426975,2.7488239752716273,0.0,0.0,0.0,72/128,28.07%,CTNNB1;PPP1CC;AKT1;CCND3;CRKL;CDC42;BAD;PIK3CA;ACTB;EGFR;MET;PIK3R1;BRAF;BCL2;THBS3;ITGA11;HRAS;FLT4;PRKCA;ILK;ITGB5;PIP5K1C;CCND1;MYLK2;IGF1;MAP2K1;ERBB2;RAF1;VEGFC;RAC1;ITGA2B;PDGFC;PIK3CB;AKT3;CAV3;VEGFA;RHOA;PAK2;PAK3;ITGAV;SHC1;LAMB3;VAV1;FN1;RAP1A;PAK5;PDPK1;MAPK8;BIRC3;JUN;MAPK9;PIK3CD;MAPK3;KDR;ITGB7;PTEN;ROCK1;ACTG1;ITGA3;IGF1R;GRB2;CAV1;SRC;XIAP;ITGA4;GSK3B;PTK2;PRKCB;FYN;ITGA2;ELK1;MYLK4
