,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pertussis,0.4298494571747565,1.727288176298223,0.002002002002002002,0.5084136196839227,0.382,44/66,36.78%,NOD1;TLR4;TICAM1;MAPK12;CALM1;ITGB2;JUN;C1QA;MYD88;RELA;IL10;RHOA;CASP3;C3;C4B;IRAK1;IL23A;NFKB1;MAPK9;GNAI3;MAPK3;C1S;ITGB1;FOS;MAPK1;C5;NOS2;IRF8;MAPK8;MAPK11;CASP7;C4BPB;SERPING1;C4BPA;NLRP3;CD14;C1QB;IL12B;CASP1;GNAI2;CXCL5;IRAK4;MAPK14;C4A
1,prerank,Lysine degradation,0.4385533078677409,1.7106075140833696,0.0010070493454179255,0.30615780471045745,0.435,21/46,21.50%,PLOD3;DOT1L;HADH;PRDM2;AADAT;SUV39H1;SETD1B;KMT2A;SETD7;EHMT1;ALDH3A2;ACAT2;DLD;EZH2;AASS;BBOX1;KMT2D;ACAT1;ALDH7A1;KMT2E;ECHS1
2,prerank,p53 signaling pathway,0.42244256936758157,1.6801954629390403,0.001,0.2827882633294835,0.543,35/56,35.44%,PMAIP1;CASP8;CHEK1;SERPINE1;CCND3;FAS;CCND2;BID;RRM2;CASP9;BCL2;CDK2;BCL2L1;CCNB1;ATM;CASP3;BBC3;ATR;PTEN;CD82;MDM4;CYCS;CCNE1;PPM1D;APAF1;ZMAT3;SIAH1;TP53;CDK6;CDK1;CDK4;CDKN1A;TNFRSF10B;MDM2;GADD45A
3,prerank,"Valine, leucine and isoleucine degradation",0.4378602446122854,1.6488096268011985,0.006054490413723511,0.3003574509144603,0.652,19/39,22.62%,OXCT1;PCCA;HADH;BCAT2;ACADSB;IL4I1;ALDH3A2;ACAT2;DLD;BCAT1;ALDH6A1;PCCB;ACAD8;ACAT1;IVD;ALDH7A1;ECHS1;ABAT;HSD17B10
4,prerank,Toxoplasmosis,0.3864884780851171,1.6480058733229157,0.0,0.24230347509539335,0.654,63/99,39.38%,HLA-DRB5;CASP8;AKT1;ALOX5;IKBKG;LAMB2;TLR4;BAD;MAPK12;LAMB3;PIK3R6;SOCS1;CASP9;TGFB3;BCL2;BCL2L1;HSPA1B;NFKBIA;TAB2;TGFB1;MYD88;RELA;JAK1;HSPA8;HLA-DOB;IL10;CASP3;IRAK1;MAP2K3;NFKB1;PDPK1;TYK2;MAPK9;GNAI3;CYCS;MAPK3;IFNGR2;IFNGR1;ITGB1;MAPK1;HLA-DRB1;NOS2;STAT1;CCR5;MAPK8;IL10RB;MAPK11;CIITA;HLA-DPB1;IL12B;STAT3;IL10RA;GNAI2;CD40LG;HLA-DRB3;IRAK4;TNFRSF1A;MAPK14;IRGM;IFNG;TLR2;PIK3R5;PIK3CG
5,prerank,Apoptosis,0.37936877725711743,1.6476857965177123,0.0,0.20276019356442157,0.656,64/123,32.38%,PMAIP1;ITPR1;PARP1;HRK;CASP8;PARP2;AKT1;IKBKG;PIK3CD;BAD;FAS;TNFRSF10A;KRAS;BID;NTRK1;BECN1;CTSF;TUBA8;RAF1;CASP9;JUN;BCL2;PARP4;BCL2L1;ITPR3;NGFR;CTSK;NFKBIA;RELA;ATM;DDIT3;CASP3;CASP10;CTSB;ACTB;NFKB1;BAK1;ATF4;BBC3;PDPK1;CTSD;NRAS;MAPK9;CYCS;MAPK3;MAP2K2;FADD;DFFA;FOS;SPTA1;TUBA1C;LMNB2;MAPK1;SPTAN1;CTSW;APAF1;MCL1;MAPK8;NGF;CTSL;TP53;CTSH;CASP7;CSF2RB
6,prerank,Prostate cancer,0.38888155973995014,1.6365027439359605,0.0,0.1967076504729463,0.701,40/89,22.28%,INS;AKT1;IKBKG;PIK3CD;BAD;TCF7L2;CREB3L2;KRAS;LEF1;PLAU;RAF1;PDGFRA;HSP90AA1;CASP9;ERG;SOS1;BCL2;CREB1;CDK2;EP300;NFKBIA;ERBB2;RELA;CTNNB1;BRAF;CDKN1B;CREB5;NFKB1;ETV5;CREBBP;AR;EGFR;ATF4;PDPK1;PTEN;NRAS;CREB3L4;IL1R2;GSTP1;MAPK3
7,prerank,Acute myeloid leukemia,0.39899080395829695,1.6361887054775208,0.001001001001001001,0.17237138345930617,0.702,28/65,23.55%,CSF1R;PIM1;AKT1;IKBKG;PPARD;PIK3CD;BAD;TCF7L2;RARA;KRAS;LEF1;RAF1;RPS6KB1;SOS1;FLT3;RELA;FCGR1A;PML;RPS6KB2;EIF4EBP1;CEBPA;BRAF;NFKB1;RUNX1;NRAS;MAPK3;SPI1;MAP2K2
8,prerank,Salmonella infection,0.3963090419308205,1.5999748691806532,0.002,0.21800363542443338,0.804,40/59,39.50%,CXCL1;TLR4;MAPK12;ARPC3;CCL4L2;JUN;ROCK2;RAB7A;FLNB;MYD88;RELA;ARPC5;NLRC4;PKN1;ACTB;NFKB1;MAPK9;MAPK3;IFNGR2;PKN2;IFNGR1;CDC42;FOS;MAPK1;ARPC4;NOS2;PKN3;MAPK8;MAPK11;WASL;ARPC1B;CD14;CASP1;CCL3L3;WAS;MAPK14;CXCL2;IFNG;PLEKHM2;RAC1
9,prerank,Taste transduction,0.41570325455118984,1.5983118856021248,0.01306532663316583,0.1998347977368752,0.809,20/42,26.67%,ENTPD2;GABBR2;SCNN1G;P2RY4;HTR1F;GRM4;PRKACG;SCNN1A;ITPR3;HTR1E;GABRA1;GABRA4;GABRA3;PRKACB;ASIC2;PKD2L1;TAS1R2;TAS2R60;PDE1A;TRPM5
