,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Chagas disease (American trypanosomiasis),0.40514466902020824,2.393032345887084,0.0,0.0010245558084863026,0.001,66/97,35.02%,GNAI2;MAPK14;CFLAR;MAPK9;TGFBR2;FAS;CHUK;PPP2CB;TNFRSF1A;PPP2R1A;KNG1;CD247;CCL5;CD3E;C3;IRAK1;IKBKB;MAPK13;IFNG;IL1B;SMAD3;IL12A;IL2;BDKRB2;FASLG;JUN;AKT3;CASP8;IFNGR1;GNA11;MAPK1;IL10;PIK3CD;CD3D;TGFB2;TLR4;IL12B;MAP2K4;MAPK3;IRAK4;AKT1;PLCB3;NFKB1;MAPK11;CALR;TLR9;TGFB3;GNAI1;TLR6;PIK3R1;GNAI3;NFKBIA;PLCB1;TGFB1;FOS;MAPK12;TICAM1;FADD;MYD88;AKT2;GNAS;RELA;TGFBR1;GNA15;TRAF6;IL6
1,prerank,Epstein-Barr virus infection,0.3699827154764776,2.3806968470797107,0.0,0.0005122779042431513,0.001,135/174,47.95%,TRADD;DDB2;MAPK14;IFNA16;LYN;TBK1;STAT1;RB1;MAPK9;CYCS;FAS;TNFAIP3;HES1;TP53;NFKB2;CHUK;BID;ICAM1;TRAF5;IKBKE;HLA-DPA1;CD247;CD3E;IRAK1;IKBKB;STAT2;MAPK13;SKP2;E2F1;RAC1;CDKN1B;TAP2;CD40;ITGAL;IFNA2;STAT3;OAS1;HLA-DQA2;PLCG2;CD19;VIM;RUNX3;CCND2;IFNA21;CASP3;APAF1;JUN;HLA-A;AKT3;CASP8;CDK4;IRF7;ISG15;NFKBIB;CASP9;IFNA17;PIK3CD;CD3D;MAP2K4;IRAK4;AKT1;NFKB1;PSMD1;OAS3;BCL2;MAPK11;HDAC1;CALR;SYK;PIK3R1;NFKBIA;HLA-DMB;MAP3K14;GADD45A;BAX;CDKN1A;MAPK12;HLA-DRA;FADD;FCER2;MYD88;USP7;IFNAR2;AKT2;CXCL10;JAK1;CCNE1;TRAF3;NFKBIE;RELA;RIPK1;MYC;CCND1;TRAF6;HLA-DQB1;TAB2;CD58;IL6;DDX58;CCNA2;CCND3;MAP2K3;MAP2K7;MAP3K7;BTK;HLA-DQA1;MAPK8;PSMD2;BCL2L11;TLR2;PIK3CA;PIK3CB;PSMC5;CDK2;B2M;CDK6;IFNA14;IFNA10;SIN3A;IFNA1;PSMD3;IRF9;IKBKG;IFNA8;HLA-DOB;RBPJ;HLA-DRB3;HLA-DPB1;MDM2;ENTPD3;MAP2K6;TYK2;IRF3;BLNK;PIK3R3
2,prerank,Toxoplasmosis,0.40007379832804024,2.376590261957778,0.0,0.0003415186028287675,0.001,85/99,50.97%,GNAI2;MAPK14;HSPA1A;STAT1;JAK2;MAPK9;CYCS;CHUK;LAMB3;TNFRSF1A;HSPA1B;HLA-DPA1;CCR5;IRAK1;IKBKB;MAPK13;ITGB1;IFNG;CD40;STAT3;IL12A;HLA-DQA2;IL10RB;CASP3;AKT3;BAD;PIK3CG;CASP8;IFNGR1;MAPK1;NFKBIB;CASP9;IL10;TGFB2;TLR4;IL12B;MAPK3;ALOX5;IRAK4;AKT1;NFKB1;BCL2;MAPK11;ITGA6;TGFB3;GNAI1;GNAI3;NFKBIA;HLA-DMB;TGFB1;PIK3R5;PDPK1;MAPK12;HLA-DRA;MYD88;AKT2;JAK1;RELA;TRAF6;HLA-DQB1;TAB2;MAP2K3;BCL2L1;MAP3K7;HLA-DQA1;LAMA3;CD40LG;MAPK8;BIRC7;PIK3R6;SOCS1;TLR2;IKBKG;HLA-DOB;CIITA;PPIF;HLA-DRB3;HLA-DPB1;MAP2K6;TYK2;HLA-DMA;HLA-DRB5;BIRC2;HSPA2;LAMB1
3,prerank,Pancreatic cancer,0.4167623818270089,2.338036889118423,0.0,0.0005122779042431513,0.002,60/71,48.26%,DDB2;STAT1;MAP2K1;RB1;MAPK9;TGFBR2;RPS6KB1;TP53;CHUK;IKBKB;E2F1;RAC1;SMAD3;STAT3;EGFR;CDC42;AKT3;BAD;CDK4;MAPK1;CASP9;PIK3CD;TGFB2;ERBB2;MAPK3;AKT1;NFKB1;TGFB3;RPS6KB2;PIK3R1;PLD1;GADD45A;BAX;TGFB1;CDKN1A;RALGDS;MTOR;AKT2;JAK1;RELA;TGFBR1;CCND1;KRAS;BRAF;BCL2L1;ARAF;MAPK8;RAD51;PIK3CA;PIK3CB;SMAD4;CDK6;RAC3;IKBKG;RALB;RAF1;SMAD2;BRCA2;PIK3R3;RALBP1
4,prerank,Hepatitis B,0.3668696358139985,2.33084519383433,0.0,0.0004098223233945211,0.002,118/153,47.95%,DDB2;MAPK14;IFNA16;TBK1;STAT1;MAP2K1;JAK2;RB1;MAPK9;CYCS;TGFBR2;FAS;ATF2;TP53;CHUK;BID;IKBKE;ATF4;CREB3L4;IRAK1;IKBKB;STAT2;MAPK13;E2F1;IFIH1;IFNA2;SMAD3;STAT3;PRKCA;STAT4;IFNA21;CASP3;APAF1;NFATC4;FASLG;GRB2;JUN;AKT3;BAD;CASP8;HRAS;PCNA;CREB3L2;IRF7;MAPK1;CASP9;PTK2B;CREB1;IFNA17;PIK3CD;TLR3;TGFB2;TLR4;CASP10;MAP2K4;MAPK3;IRAK4;AKT1;NFKB1;EGR2;BCL2;MAPK11;TGFB3;PIK3R1;NFKBIA;EP300;BAX;TGFB1;FOS;CDKN1A;MAPK12;TICAM1;FADD;MYD88;AKT2;JAK1;CCNE1;SOS2;TRAF3;YWHAQ;NRAS;NFATC3;RELA;TGFBR1;MYC;TRAF6;PRKCG;TAB2;KRAS;IL6;DDX58;CCNA2;BRAF;MAP2K3;CREB3;MAP2K7;MAP3K7;ARAF;MAPK8;NFATC1;TLR2;PIK3CA;PIK3CB;SMAD4;CDK2;IFNA14;IFNA10;IFNA1;IKBKG;IFNA8;STAT6;RAF1;SMAD2;CREB5;MAP2K6;TYK2;IRF3;PIK3R3
5,prerank,Toll-like receptor signaling pathway,0.38538634451181975,2.28516353933708,0.0,0.000683037205657535,0.004,85/98,53.33%,MAPK14;IFNA16;TBK1;STAT1;MAP2K1;MAPK9;CHUK;TOLLIP;IKBKE;CCL5;IRAK1;IKBKB;MAPK13;RAC1;CD40;IRF5;IL1B;TLR8;IFNA2;IL12A;IFNA21;JUN;AKT3;LBP;MAP3K8;CASP8;CD86;IRF7;MAPK1;IFNA17;PIK3CD;TLR3;TLR4;IL12B;MAP2K4;MAPK3;IRAK4;AKT1;NFKB1;MAPK11;TLR9;TLR6;PIK3R1;NFKBIA;FOS;MAPK12;CXCL11;TICAM1;CXCL9;FADD;MYD88;IFNAR2;AKT2;CXCL10;TRAF3;RELA;RIPK1;TRAF6;SPP1;TAB2;IL6;MAP2K3;MAP2K7;MAP3K7;TLR7;MAPK8;TLR2;PIK3CA;PIK3CB;IFNA14;IFNA10;IFNA1;IKBKG;IFNA8;CCL3;MAP2K6;IRF3;CTSK;PIK3R3;TIRAP;TLR5;IFNA4;IFNB1;CD14;PIK3R2
6,prerank,Measles,0.3737787788233139,2.2837974955147327,0.0,0.0005854604619921729,0.004,107/126,53.33%,TRADD;IFNA16;HSPA1A;TBK1;STAT1;MAPK9;CYCS;FAS;EIF2AK1;TNFAIP3;CD46;TP53;CHUK;HSPA1B;BID;IKBKE;CD3E;IRAK1;IKBKB;STAT2;CDKN1B;RCHY1;IFIH1;IL1B;IFNA2;STAT3;OAS1;IL12A;IL2;CCND2;IFNA21;CASP3;APAF1;FASLG;JUN;AKT3;BAD;CASP8;CDK4;IRF7;NFKBIB;CASP9;IFNA17;PIK3CD;CD3D;TLR4;IL12B;IRAK4;AKT1;NFKB1;OAS3;CSNK2A2;BCL2;TLR9;FCGR2B;CSNK2B;IL2RG;PIK3R1;NFKBIA;BAX;FOS;FADD;MYD88;IFNAR2;AKT2;JAK1;CCNE1;TRAF3;MX1;RELA;CCND1;TRAF6;TAB2;IL6;DDX58;CCND3;BCL2L1;CSNK2A1;MAP3K7;CBLB;TLR7;MAPK8;TLR2;PIK3CA;PIK3CB;CDK2;CDK6;IFNA14;IFNA10;IFNA1;IRF9;IKBKG;IFNA8;CLEC4M;TYK2;IRF3;PIK3R3;GSK3B;HSPA2;JAK3;ADAR;STAT5A;IFNA4;IFNB1;CD3G;IL2RB;PIK3R2
7,prerank,AGE-RAGE signaling pathway in diabetic complications,0.38813348118260715,2.2696248436391357,0.0,0.0006403473803039392,0.005,59/89,35.17%,MAPK14;STAT1;JAK2;MAPK9;TGFBR2;FOXO1;COL4A3;ICAM1;EGR1;THBD;EDN1;MAPK13;RAC1;CDKN1B;IL1B;SMAD3;STAT3;PRKCA;PRKCD;PLCG2;CASP3;CDC42;PRKCE;JUN;AKT3;CYBB;HRAS;MMP2;CDK4;MAPK1;PIK3CD;TGFB2;PLCG1;FN1;NOX1;MAPK3;AKT1;PLCB3;NFKB1;BCL2;MAPK11;TGFB3;PIK3R1;PLCB1;BAX;TGFB1;VEGFC;MAPK12;VCAM1;AKT2;NRAS;RELA;PRKCZ;TGFBR1;CCND1;F3;KRAS;IL6;AGT
8,prerank,Leishmaniasis,0.40535972378432467,2.256761524379238,0.0,0.0007968767399337909,0.007,49/69,37.38%,MAPK14;STAT1;JAK2;PTPN6;ITGB2;HLA-DPA1;C3;IRAK1;CR1;MAPK13;ITGB1;IFNG;IL1B;IL12A;HLA-DQA2;JUN;CYBB;IFNGR1;NCF4;MAPK1;NFKBIB;IL10;TGFB2;TLR4;IL12B;MAPK3;IRAK4;NFKB1;MAPK11;TGFB3;NCF2;NFKBIA;PTGS2;HLA-DMB;TGFB1;FOS;MAPK12;HLA-DRA;MYD88;JAK1;NCF1;RELA;TRAF6;HLA-DQB1;TAB2;ITGAM;FCGR2A;MAP3K7;HLA-DQA1
9,prerank,Shigellosis,0.4279921742803463,2.234491478802172,0.0,0.0008196446467890422,0.008,31/48,29.38%,CTTN;MAPK14;ABL1;ARPC1A;MAPK9;ACTB;CHUK;CRKL;ELMO1;IKBKB;MAPK13;ITGB1;RAC1;CDC42;BTRC;FBXW11;NOD1;ACTG1;MAPK1;NFKBIB;CRK;MAPK3;ARPC4;NFKB1;MAPK11;WAS;PFN2;NFKBIA;ROCK1;MAPK12;ARPC5
