,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Pancreatic cancer,0.3921668203095509,2.8166362042866147,0.0,0.0,0.0,52/71,38.10%,EGFR;BRCA2;ERBB2;TP53;MAPK1;AKT1;TGFBR2;BRAF;CASP9;MAP2K1;SMAD3;TGFB1;JAK1;RPS6KB2;IKBKG;ARAF;PIK3CA;BCL2L1;RAC1;ARHGEF6;E2F1;CDC42;RAC3;CDK6;CCND1;RELA;CDK4;KRAS;SMAD2;GADD45A;BAX;TGFB3;RB1;MTOR;VEGFA;RPS6KB1;NFKB1;TGFB2;MAPK3;CDKN1A;TGFBR1;MAPK9;STAT3;STAT1;MAPK8;GADD45B;SMAD4;PIK3CD;BAD;RALA;PIK3CB;RAF1
1,prerank,JAK-STAT signaling pathway,0.3197668766640924,2.6794319379692677,0.0,0.0,0.0,103/138,47.06%,EGFR;MPL;IL4R;TYK2;IL9;MYC;IL13RA2;SOCS1;LIF;IL3RA;STAM;AKT1;IL22;LEP;EPO;PRL;IL17D;CSF2;SOCS3;IL11;AOX1;PDGFRA;IL6ST;JAK1;IL13RA1;IL10;CCND2;PIK3CA;IL7R;EPOR;BCL2L1;IL10RB;SOCS2;IL23R;GRB2;CISH;IFNAR1;PIAS3;CCND1;IL2RG;CSF3R;IL6;CTF1;IFNGR1;IL27RA;IL15;CSF3;IFNL3;MCL1;CCND3;IL2;IFNAR2;CNTFR;MTOR;GHR;CRLF2;STAT6;IL12B;IL7;CDKN1A;STAM2;IFNA7;IL2RB;LEPR;IL21;IL6R;IFNA21;STAT3;HRAS;STAT1;IL15RA;IRF9;OSMR;TSLP;IFNGR2;CSF2RA;OSM;PDGFRB;PIK3CD;PIK3CB;CREBBP;IFNA5;RAF1;IFNA17;IFNA8;IL13;SOCS4;IFNB1;FHL1;PTPN2;IL21R;SOCS5;IL5;PIK3R1;IFNA10;IL2RA;IFNA2;STAT4;IL12A;JAK2;BCL2;IFNG;STAT2
2,prerank,Cytokine-cytokine receptor interaction,0.29298987065556314,2.6733025896115863,0.0,0.0,0.0,155/229,42.54%,TNFRSF25;MPL;IL4R;CD4;IL9;CXCL9;TNFRSF12A;TNFRSF18;IL13RA2;TNFSF14;CXCL2;LIF;IL1RL2;IL3RA;TGFBR2;IL33;TNFSF12;IL22;IL18RAP;LEP;EPO;IL17RA;IL1RAP;IL17F;AMHR2;CXCL6;PRL;CX3CL1;IL17D;CCR7;CSF2;IL11;CXCR1;CCL24;CD40LG;CCL23;TGFB1;CCL19;IL1R1;IL6ST;IL13RA1;IL10;CD40;CXCL11;IL7R;EPOR;TNFRSF1A;BMP2;IL10RB;IL27;INHBE;IL23R;IFNAR1;ACVR1;TNFRSF8;ACVRL1;FASLG;CXCL3;TNFRSF14;LTA;IL2RG;TNFSF18;CCL20;CSF3R;IL6;CTF1;IFNGR1;CXCR4;IL27RA;XCL2;IL15;CSF3;IL16;XCL1;IL18;IFNL3;TGFB3;IL2;ACVR1B;TNFSF8;IFNAR2;CNTFR;IL26;IL1R2;CXCL1;GHR;CCL5;CCL21;CRLF2;CCL1;IL17RC;CXCL5;CCL7;IL36RN;FAS;TGFB2;IL12B;CCL18;TNFSF9;IL7;IL18R1;CCL17;TGFBR1;NGF;CXCL10;IFNA7;IL2RB;CCR5;LEPR;CCR6;AMH;CCR2;IL21;IL36G;IL6R;IFNA21;TNFRSF11B;TNFSF13;CSF1;CCL22;PPBP;IL15RA;CCR4;OSMR;TNFRSF13C;TSLP;IFNGR2;CSF2RA;OSM;TNFRSF10C;LTB;CCR9;TNFRSF21;IFNA5;IFNA17;PF4;IFNA8;TNFRSF10B;IL13;CCL28;TNFRSF6B;IFNB1;EDAR;CXCR6;IL21R;LTBR;BMPR2;TNFRSF17;IL17RB;NGFR;IL5;IL17C;TNFRSF11A;IFNA10;CCL3
3,prerank,TNF signaling pathway,0.3455683258537636,2.665070329507104,0.0,0.0,0.0,75/104,42.23%,DNM1L;MAP3K7;JAG1;BIRC3;CXCL2;MAPK1;LIF;AKT1;JUN;MAP2K1;ATF2;CX3CL1;FADD;CSF2;SOCS3;MLKL;VCAM1;IKBKG;PIK3CA;TNFRSF1A;TRAF2;CXCL3;MAP3K5;RELA;LTA;CREB3;CCL20;BIRC2;VEGFC;IL6;MAP2K7;MAPK14;TAB2;IL15;TRAF3;CASP3;CFLAR;FOS;BCL3;JUNB;CXCL1;CCL5;ITCH;CXCL5;NFKBIA;FAS;NFKB1;MAPK3;MAP2K4;IL18R1;CEBPB;CXCL10;MAPK9;NOD2;MAPK12;CASP8;CSF1;CASP10;RPS6KA4;MAP3K14;MAPK8;IRF1;PIK3CD;MMP14;MAP2K6;PIK3CB;MAP2K3;CREB3L4;IFNB1;MAPK13;EDN1;TNFAIP3;TRADD;PIK3R1;MAP3K8
4,prerank,Th17 cell differentiation,0.3325847020395719,2.633640953994289,0.0,0.00021474446597171873,0.001,69/107,35.49%,NFATC3;IL4R;TYK2;CD4;HSP90AA1;HIF1A;HLA-DQB1;ZAP70;MAPK1;CD3G;TGFBR2;JUN;IL22;PPP3CA;NFKBIB;IL1RAP;IL17F;IL17D;SMAD3;TGFB1;IL1R1;IL6ST;JAK1;IKBKG;HLA-DRB1;HLA-DRA;IL23R;RELA;HLA-DOA;IL2RG;RXRG;IL6;IFNGR1;HSP90AB1;MAPK14;IL27RA;SMAD2;NFATC2;RXRB;HLA-DPB1;FOXP3;IL2;FOS;NFATC1;MTOR;NFKBIA;STAT6;NFKB1;PPP3CC;HLA-DMB;MAPK3;TGFBR1;GATA3;MAPK9;PLCG1;IL2RB;RORA;IL21;MAPK12;HLA-DQA1;IL6R;STAT3;IRF4;STAT1;LCK;MAPK8;IFNGR2;SMAD4;CD247
5,prerank,Measles,0.31552903741134947,2.610355287002662,0.0,0.00017895372164309893,0.001,96/126,48.49%,TYK2;MAP3K7;TP53;OAS1;IRF7;CD3G;AKT1;JUN;CASP9;NFKBIB;OAS3;FADD;HSPA2;IRAK1;CD46;JAK1;IKBKG;CCND2;PIK3CA;EIF2AK2;BCL2L1;CSNK2A1;IFNAR1;CBLB;CDK6;CCND1;FASLG;RELA;CDK2;IL2RG;CDK4;MX1;IL6;TAB2;TRAF3;BAX;CCND3;IL2;CSNK2A2;CASP3;HSPA1B;FOS;IFNAR2;TLR9;IRF3;NFKBIA;FAS;NFKB1;IL12B;CD209;CDKN1B;CSNK2B;MAPK9;IFNA7;IL2RB;IRAK4;IFNA21;STAT3;CASP8;STAT1;IRF9;MAPK8;HSPA1A;CLEC4M;BBC3;PIK3CD;BAD;PIK3CB;IFNA5;IFNA17;CD28;IFNA8;IFNB1;EIF2S1;MYD88;DDX58;TLR4;TNFAIP3;TRADD;TBK1;PIK3R1;IFNA10;EIF2AK3;ADAR;IL2RA;BAK1;HSPA8;IFNA2;IL12A;BCL2;EIF2AK4;STAT2;GSK3B;BID;EIF2AK1;IFIH1
6,prerank,Hepatitis C,0.30990961502717695,2.557524199977407,0.0,0.00015338890426551337,0.001,97/124,51.03%,EGFR;TYK2;TP53;OAS1;MYC;MAPK1;IRF7;AKT1;BRAF;CASP9;OAS3;MAP2K1;FADD;SOCS3;NRAS;JAK1;IKBKG;RSAD2;IFIT1;ARAF;PIK3CA;EIF2AK2;TNFRSF1A;E2F1;TRAF2;GRB2;IFNAR1;CDK6;CCND1;FASLG;YWHAZ;RELA;CDK2;CTNNB1;CDK4;MX1;CLDN1;KRAS;PPP2R2D;TRAF3;BAX;CASP3;RB1;CFLAR;IFNAR2;IRF3;NFKBIA;FAS;NFKB1;MAPK3;CDKN1A;CXCL10;IFNA7;PPP2CB;PPP2R1A;TICAM1;IFNA21;STAT3;HRAS;CASP8;STAT1;IRF9;SCARB1;PPP2R2C;PIK3CD;LDLR;BAD;PIK3CB;IFNA5;RAF1;IFNA17;IFNA8;PPP2R2A;IFNB1;EIF2S1;CLDN11;DDX58;RXRA;TRADD;TBK1;PIK3R1;IFNA10;EIF2AK3;E2F3;BAK1;IFNA2;IFNG;EIF2AK4;STAT2;GSK3B;BID;EIF2AK1;TLR3;CD81;IFNA1;CLDN2;IFNA16
7,prerank,Kaposi sarcoma-associated herpesvirus infection,0.2900587715697288,2.459236099887923,0.0,0.0005368611649292968,0.004,128/159,55.42%,NFATC3;TYK2;HIF1A;HCK;CALM2;TP53;MYC;CXCL2;MAPK1;IRF7;GNB4;SRC;AKT1;JUN;CASP9;ATG3;PPP3CA;MAP2K1;FADD;CSF2;CD86;NRAS;IL6ST;JAK1;BECN1;IKBKG;PIK3CA;ITPR2;EIF2AK2;TNFRSF1A;RAC1;E2F1;TRAF2;IFNAR1;CDK6;CCND1;GNG5;CXCL3;RELA;CTNNB1;MAPKAPK2;GABARAPL1;HLA-A;CDK4;IL6;MAP2K7;IFNGR1;MAPK14;KRAS;NFATC2;TRAF3;BAX;CASP3;RB1;FOS;IFNAR2;NFATC1;MTOR;CXCL1;PLCG2;SYK;VEGFA;IRF3;C3;NFKBIA;FAS;NFKB1;PPP3CC;MAPK3;MAP2K4;CDKN1A;MAPK9;PIK3C3;IFNA7;PLCG1;UBB;CCR5;MAPK12;TICAM1;IFNA21;STAT3;HRAS;CASP8;STAT1;FGF2;IRF9;CCR4;MAPK8;PIK3R6;PIK3CD;MAP2K6;PIK3CB;CREBBP;IFNA5;RAF1;IFNA17;IFNA8;IFNB1;MAPK13;TRADD;TBK1;PIK3R1;IFNA10;GNGT2;E2F3;BAK1;IFNA2;GNG12;JAK2;STAT2;GSK3B;BID;CALML6;TLR3;IFNA1;IFNA16;GNB5;MICB;CALM1;CHUK;EP300;PIK3CG;ITPR1;CD200R1;ICAM1;PIK3R5;GNG11;CCR3
8,prerank,Colorectal cancer,0.33228508131565015,2.45837269491963,0.0,0.0004772099243815971,0.004,61/79,48.37%,EGFR;TP53;MYC;MAPK1;AXIN1;AKT1;TGFBR2;MLH1;BRAF;JUN;CASP9;RHOA;TCF7L2;MAP2K1;SMAD3;TGFB1;NRAS;RPS6KB2;ARAF;PIK3CA;RAC1;GRB2;RAC3;CCND1;CTNNB1;KRAS;SMAD2;GADD45A;BAX;TGFB3;CASP3;FOS;MTOR;AXIN2;RPS6KB1;TGFB2;MAPK3;CDKN1A;TGFBR1;MAPK9;HRAS;MAPK8;GADD45B;SMAD4;BBC3;PIK3CD;BAD;RALA;PIK3CB;RAF1;PIK3R1;MSH6;DDB2;BAK1;LEF1;PMAIP1;TCF7;BCL2;GSK3B;AREG;TGFA
9,prerank,Hepatitis B,0.2866563846106447,2.4448291623184883,0.0,0.0006442333979151561,0.006,108/153,47.06%,MAP3K1;NFATC3;TYK2;MAP3K7;TP53;MYC;MAPK1;IRF7;SRC;AKT1;TGFBR2;BRAF;JUN;CASP9;MAP2K1;ATF2;FADD;ELK1;SMAD3;TGFB1;NRAS;IRAK1;JAK1;IKBKG;ARAF;PIK3CA;E2F1;GRB2;IFNAR1;FASLG;YWHAZ;RELA;CDK2;CREB3;IL6;MAP2K7;MAPK14;SLC10A1;TAB2;KRAS;SMAD2;NFATC2;TRAF3;BAX;TGFB3;CASP3;RB1;CCNA1;FOS;NFATC1;CCNA2;IRF3;NFKBIA;FAS;STAT6;NFKB1;TGFB2;MAPK3;MAP2K4;TIRAP;CDKN1A;TGFBR1;MAPK9;IFNA7;HSPG2;IRAK4;MAPK12;TICAM1;IFNA21;STAT3;HRAS;CASP8;STAT1;CASP10;EGR2;MAPK8;SMAD4;PIK3CD;MAP2K6;BAD;PIK3CB;CREBBP;IFNA5;TICAM2;MAP2K3;RAF1;IFNA17;IFNA8;CREB3L4;IFNB1;EGR3;MAPK13;MYD88;DDX58;TLR4;TBK1;PIK3R1;IFNA10;E2F3;DDB2;IFNA2;CREB3L1;PRKCA;PRKCB;STAT4;JAK2;BCL2;STAT2
