,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Progesterone-mediated oocyte maturation,0.4921244272248125,1.9230864052197407,0.0,0.0230721529145692,0.021,38/65,24.19%,RAF1;PRKACG;GNAI2;BRAF;PRKACA;CDK2;HSP90AB1;MAPK1;PKMYT1;AKT1;GNAI3;ADCY9;ADCY2;MAPK3;PIK3R3;MAPK12;PGR;PIK3CD;ADCY3;ARAF;ANAPC5;RPS6KA1;MAP2K1;IGF1R;PRKACB;HSP90AA1;CDC25B;PLK1;GNAI1;KRAS;ADCY5;CCNB1;MAPK11;MAPK13;RPS6KA6;PDE3B;CDK1;PIK3CB
1,prerank,Relaxin signaling pathway,0.4533808524704584,1.8689085693349938,0.0,0.0230721529145692,0.043,72/103,36.86%,SMAD2;RAF1;PRKACG;JUN;EDN1;GNAI2;HRAS;TGFBR2;PRKACA;CREB3L4;ATF4;TGFBR1;GNG12;MAPK1;RELA;AKT1;GNAI3;ADCY9;SHC4;NFKB1;ADCY2;GNGT2;MAPK3;PIK3R3;GNA15;MAPK12;EGFR;PIK3CD;ADCY3;VEGFB;COL1A2;GNB5;ACTA2;COL4A2;VEGFA;MAP2K1;PRKACB;PRKCA;MMP13;VEGFC;CREB3L2;CREB5;GNAI1;KRAS;GNAS;ADCY5;RXFP4;MAPK11;PLCB3;MAPK13;SHC1;SMAD3;PIK3CB;ARRB1;MMP1;GNG7;PIK3CA;MAPK9;COL4A3;SOS1;COL4A5;NFKBIA;PRKCZ;CREB1;MAPK8;GNB4;RXFP1;EDNRB;GNG4;GNG11;CREB3;MAPK14
2,prerank,AGE-RAGE signaling pathway in diabetic complications,0.45415168439280995,1.847650647579378,0.0,0.018725225553853263,0.053,58/89,33.16%,SMAD2;JUN;EDN1;SMAD4;AGT;HRAS;TGFBR2;PRKCB;PLCG2;TGFBR1;PRKCD;STAT3;MAPK1;RELA;AKT1;F3;PLCD1;NFKB1;MAPK3;CDC42;PIK3R3;MAPK12;PIK3CD;BCL2;FN1;CDK4;VEGFB;COL1A2;PRKCE;COL4A2;VEGFA;PRKCA;VEGFC;KRAS;NOX1;MAPK11;PLCB3;MAPK13;BAX;JAK2;CCL2;PIM1;RAC1;SMAD3;PIK3CB;CXCL8;TNF;EGR1;ICAM1;TGFB3;PIK3CA;MAPK9;PLCE1;COL4A3;COL4A5;THBD;PRKCZ;MAPK8
3,prerank,Pancreatic cancer,0.45800645022618097,1.8395248576324306,0.0,0.01680254614430583,0.063,45/71,33.16%,SMAD2;RAF1;BRAF;SMAD4;TGFBR2;MTOR;ERBB2;TGFBR1;STAT3;MAPK1;RELA;AKT1;NFKB1;MAPK3;CDC42;PIK3R3;TP53;EGFR;PIK3CD;ARAF;CDK4;VEGFA;MAP2K1;JAK1;CDKN1A;DDB2;RALA;KRAS;CASP9;RPS6KB1;BAX;IKBKG;RAC1;SMAD3;PIK3CB;RAC3;TGFB3;E2F1;PIK3CA;PLD1;MAPK9;BAD;TGFA;RPS6KB2;MAPK8
4,prerank,Thyroid cancer,0.503978426980396,1.8309672196374627,0.0,0.014445173998686804,0.067,18/34,21.16%,BRAF;HRAS;MAPK1;TFG;CTNNB1;TPR;MAPK3;TP53;PPARG;PAX8;TPM3;MAP2K1;CDKN1A;DDB2;KRAS;RXRG;RET;BAX
5,prerank,Apelin signaling pathway,0.4381440497541027,1.8233273693546188,0.0,0.014545487707011015,0.079,53/105,25.20%,SMAD2;RAF1;PRKACG;GNAI2;SMAD4;HRAS;SLC8A1;MTOR;PIK3CG;PIK3R4;MEF2C;PRKACA;HDAC4;TGFBR1;GNG12;PRKAB2;PIK3C3;MAPK1;PLAT;AKT1;GNAI3;ITPR3;ADCY9;ADCY2;GNGT2;MAPK3;RPS6;CALM3;ADCY3;GNB5;PRKCE;ACTA2;MEF2D;GABARAPL1;MAP2K1;PRKACB;SLC9A1;JAG1;PRKAA1;PIK3R6;GNAI1;KRAS;MYLK2;ADCY5;PRKAG1;PLCB3;RPS6KB1;RYR2;PDE3B;SMAD3;EGR1;APLNR;BECN1
6,prerank,Thyroid hormone signaling pathway,0.4390618617037111,1.8187639179803277,0.0,0.013040782082147808,0.082,44/95,21.14%,HDAC1;RAF1;HIF1A;KAT2A;PRKACG;ESR1;NOTCH2;HRAS;MTOR;PRKCB;ITGB3;PRKACA;PLCG2;NCOA1;CREBBP;MAPK1;KAT2B;AKT1;ATP1A1;PLCD1;CTNNB1;MAPK3;PIK3R3;TP53;THRA;PIK3CD;ATP1A3;GATA4;MAP2K1;PRKACB;SLC9A1;NCOA3;PRKCA;ACTB;KRAS;CASP9;TBC1D4;SLC2A1;RXRG;MED4;FXYD2;PLCB3;BMP4;MED13
7,prerank,Adherens junction,0.4672021825697294,1.8118704920092916,0.0,0.012037644998905668,0.087,24/58,14.89%,SMAD2;CSNK2B;SMAD4;PTPRJ;TGFBR2;SNAI2;CSNK2A2;ERBB2;CREBBP;TGFBR1;NLK;MAPK1;PTPN6;CTNNB1;SNAI1;ACTN4;PTPN1;MAPK3;CDC42;MAP3K7;MET;EGFR;FER;IGF1R
8,prerank,Oocyte meiosis,0.4414678220445059,1.7724038179991284,0.0,0.017833548146526917,0.139,37/78,23.15%,PRKACG;SKP1;PPP3CA;PRKACA;CDK2;CCNE1;CAMK2G;MAPK1;PKMYT1;SLK;ITPR3;ADCY9;FBXO5;ADCY2;PPP2R1A;MAPK3;CAMK2D;MAPK12;PGR;CALM3;ADCY3;CUL1;CDC20;ANAPC5;RPS6KA1;MAP2K1;IGF1R;PRKACB;PLK1;FBXW11;PTTG1;ADCY5;CCNB1;AR;PPP2R5C;RPS6KA6;CDK1
9,prerank,Gap junction,0.4377572607573345,1.7485005268391962,0.0,0.021366819873057562,0.175,43/75,31.39%,RAF1;PRKACG;GNAI2;HRAS;DRD1;PRKCB;PRKACA;MAPK1;CSNK1D;GNAI3;TUBB4A;ITPR3;ADCY9;ADCY2;TUBB2A;MAPK3;EGFR;TUBB6;ADCY3;TUBA1A;MAPK7;MAP2K1;DRD2;PRKACB;PRKCA;PDGFRA;GNAI1;KRAS;GNAS;ADCY5;TUBA4A;PRKG2;PLCB3;PDGFRB;CDK1;TUBB;TUBB3;TUBA3C;HTR2A;ITPR1;HTR2B;SOS1;GJD2
