,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Neurotrophin signaling pathway,0.44767922379676345,3.9384207803668367,0.0,0.0,0.0,73/103,31.90%,ABL1;PIK3R2;RHOA;IKBKB;PDPK1;CDC42;PIK3CD;FASLG;MAPK9;CAMK2G;KRAS;TP53;NFKBIE;PLCG1;RAC1;PIK3CA;MAP2K1;AKT1;MAPK11;BAX;PRKCD;RIPK2;NFKB1;ZNF274;FOXO3;MAP2K5;IRAK4;JUN;PIK3R1;RAF1;CAMK2A;BRAF;IRAK1;MAP3K1;AKT3;PRDM4;MAPK13;PIK3R3;NGFR;PIK3CB;CAMK4;CALM2;NFKBIB;GAB1;SHC1;MAPK3;PSEN1;CALM1;PSEN2;ARHGDIB;MAP2K7;GRB2;MAPKAPK2;RPS6KA1;AKT2;SORT1;RPS6KA3;GSK3B;HRAS;MAGED1;SOS2;NFKBIA;RELA;NTRK3;TRAF6;IRS1;CRK;BDNF;NTRK1;MAPK7;RAP1A;PLCG2;CAMK2D
1,prerank,Chronic myeloid leukemia,0.4818580190072532,3.773357191400246,0.0,0.0,0.0,49/71,26.26%,ABL1;PIK3R2;GADD45A;BAK1;IKBKB;HDAC2;PIK3CD;KRAS;CTBP2;TP53;CHUK;CCND1;CBL;GADD45B;PIK3CA;MDM2;MAP2K1;AKT1;BAX;RB1;TGFBR1;NFKB1;ARAF;STAT5A;PIK3R1;RAF1;BRAF;CDKN1B;SMAD4;AKT3;IKBKG;PIK3R3;PIK3CB;SHC1;MAPK3;TGFB3;BCR;MYC;CDK4;TGFB1;GRB2;CDK6;AKT2;HDAC1;HRAS;CDKN2A;SOS2;NFKBIA;RELA
2,prerank,Renal cell carcinoma,0.45351256926793704,3.40198337815194,0.0,0.0,0.0,44/62,30.20%,SLC2A1;PIK3R2;EGLN3;CDC42;PIK3CD;PAK2;KRAS;MET;RAC1;PIK3CA;MAP2K1;AKT1;PAK3;HIF1A;ARAF;PAK1;JUN;PIK3R1;RAF1;BRAF;EGLN2;PRCC;AKT3;PAK4;PIK3R3;PIK3CB;VEGFA;GAB1;EGLN1;MAPK3;TGFB3;ETS1;CUL2;TGFB1;GRB2;AKT2;VHL;HRAS;SOS2;FH;CREBBP;EP300;CRK;RAP1A
3,prerank,MicroRNAs in cancer,0.3632425289611276,3.3663421745746063,0.0,0.0,0.0,81/129,31.00%,ABL1;PIK3R2;RHOA;ERBB2;BAK1;IKBKB;EGFR;EZH2;FGFR3;PRKCE;KRAS;TP53;DDIT4;DNMT3A;MET;ROCK1;CCND1;RPTOR;PLCG1;PIK3CA;ITGB3;CDC25C;MDM2;MAP2K1;ST14;CCNE1;TPM1;NFKB1;SOX4;DNMT1;RAF1;NOTCH1;CDKN1B;HMOX1;PAK4;IGF2BP1;VEGFA;MDM4;SHC1;BCL2L11;PRKCA;ATM;MMP9;WNT3;MYC;PTGS2;SOCS1;FOXP1;MCL1;ZEB1;GRB2;DNMT3B;CYP24A1;PDGFRB;CDK6;ZEB2;HDAC1;HMGA2;HRAS;CDKN2A;STMN1;SOS2;BCL2L2;BMPR2;ERBB3;PIM1;CDC25B;CREBBP;BMF;CASP3;EP300;IRS1;CCNG1;CRK;DICER1;SERPINB5;MAPK7;NOTCH2;MTOR;PTEN;PLCG2
4,prerank,Thyroid hormone signaling pathway,0.3904156359487005,3.3387503829143106,0.0,0.0,0.0,69/95,37.55%,SLC2A1;PIK3R2;FXYD2;ACTB;PDPK1;HDAC2;TBC1D4;PIK3CD;KRAS;PRKACG;TP53;PLCB3;CCND1;MED13;PLCG1;PIK3CA;ITGB3;MDM2;MAP2K1;AKT1;HDAC3;HIF1A;SLC16A2;ESR1;NCOA1;ITGAV;PIK3R1;RHEB;RAF1;CTNNB1;ATP1A3;SRC;ATP1B1;NOTCH1;PRKACA;AKT3;PIK3R3;PIK3CB;RXRA;PRKACB;MAPK3;PRKCA;NCOA3;MYC;KAT2B;AKT2;HDAC1;GSK3B;HRAS;SIN3A;MED1;ATP2A2;CREBBP;BMP4;EP300;NOTCH2;MTOR;PLCG2;RXRG;TSC2;PLCE1;SLC16A10;BAD;RXRB;GATA4;ATP1A4;ATP1A1;PFKP;ATP1B2
5,prerank,Endometrial cancer,0.4638263643622058,3.322972872715843,0.0,0.0,0.0,36/53,25.31%,TCF7L1;PIK3R2;GADD45A;ERBB2;BAK1;EGFR;PDPK1;PIK3CD;ILK;KRAS;TP53;CCND1;GADD45B;PIK3CA;MAP2K1;AKT1;LEF1;BAX;ARAF;FOXO3;PIK3R1;RAF1;CTNNB1;BRAF;AXIN1;AKT3;PIK3R3;PIK3CB;MAPK3;MYC;GRB2;AKT2;GSK3B;HRAS;SOS2;AXIN2
6,prerank,Glioma,0.42558976152883216,3.251529584455311,0.0,0.0,0.0,45/65,31.90%,PIK3R2;GADD45A;BAK1;EGFR;PIK3CD;CAMK2G;KRAS;TP53;CCND1;GADD45B;PLCG1;PIK3CA;MDM2;MAP2K1;AKT1;BAX;RB1;ARAF;PIK3R1;RAF1;CAMK2A;IGF1R;BRAF;AKT3;PIK3R3;PIK3CB;CAMK4;CALM2;SHC1;MAPK3;CALM1;PRKCA;CDK4;GRB2;PDGFRB;CDK6;AKT2;HRAS;CDKN2A;SOS2;CAMK1;MTOR;PTEN;PLCG2;CAMK2D
7,prerank,T cell receptor signaling pathway,0.37524346405110587,3.25148237383912,0.0,0.0,0.0,58/98,26.26%,PIK3R2;RHOA;TNF;IKBKB;PDPK1;CDC42;PIK3CD;PAK2;MAP3K7;MAPK9;IL5;KRAS;IL4;CHUK;NFKBIE;PLCG1;LCK;PIK3CA;MAP2K1;AKT1;MAPK11;ITK;PAK3;DLG1;NFKB1;PAK1;PPP3R2;JUN;PIK3R1;PPP3CA;RAF1;BCL10;NFATC2;AKT3;VAV3;IKBKG;IL2;PAK4;MAP3K8;MAPK13;PIK3R3;PIK3CB;MALT1;NFKBIB;VAV1;MAPK3;ZAP70;CDK4;MAP2K7;GRB2;AKT2;GSK3B;HRAS;SOS2;NFKBIA;CARD11;CD3G;RELA
8,prerank,Proteoglycans in cancer,0.31958515779103996,3.2195897501885478,0.0,0.0,0.0,108/164,39.14%,PIK3R2;FZD5;RHOA;PTK2;ACTB;ERBB2;TNF;EGFR;PDPK1;CDC42;PIK3CD;FASLG;CAMK2G;KRAS;PRKACG;TP53;MET;ROCK1;CCND1;CBL;PLCG1;RAC1;WNT10B;PIK3CA;ITGB3;SMO;MDM2;MAP2K1;AKT1;RPS6KB1;MAPK11;PLAUR;HIF1A;ARAF;ESR1;PAK1;MMP2;ITGAV;PIK3R1;RAF1;CTNNB1;CAMK2A;IGF1R;BRAF;SRC;ITGB1;PRKACA;CAV1;HPSE;ITPR1;AKT3;WNT1;ERBB4;MAPK13;PIK3R3;PIK3CB;VEGFA;SDC4;GAB1;CAV3;PRKACB;FZD4;MAPK3;TWIST1;PRKCA;ITPR2;MMP9;WNT3;MYC;RPS6;FGFR1;TGFB1;GRB2;WNT7B;FZD9;AKT2;HRAS;SOS2;ERBB3;ITGB5;CASP3;PTCH1;SDC1;NANOG;FGF2;RRAS2;FN1;ROCK2;KDR;MTOR;PLCG2;SDC2;CAMK2D;FAS;DROSHA;PLCE1;TLR4;FZD10;PPP1CA;TWIST2;IHH;MAPK14;WNT7A;HSPG2;SLC9A1;IGF2;STAT3;FZD1
9,prerank,Pathways in cancer,0.26097424362913874,3.1514200841624587,0.0,0.0,0.0,297/446,45.87%,ABL1;TCF7L1;SLC2A1;PIK3R2;PLEKHG5;FZD5;GLI3;RHOA;PTK2;GADD45A;ERBB2;BAK1;KEAP1;IKBKB;LAMA3;EGFR;EGLN3;HDAC2;FGFR3;CDC42;PIK3CD;FASLG;MAPK9;LPAR1;ITGA3;CAMK2G;IL5;KRAS;BIRC5;CTBP2;IL4;PRKACG;IL23R;TP53;RASGRP4;PPARG;CHUK;MET;PLCB3;COL4A5;ROCK1;CCND1;CBL;GADD45B;PLCG1;RAC1;WNT10B;PIK3CA;PPARD;SMO;MDM2;AR;MAP2K1;CCND3;IL6R;AKT1;CCNE1;PIM2;RPS6KB1;LEF1;BAX;RB1;TGFBR1;GNA13;CCNA1;HIF1A;NFKB1;ARAF;ESR1;NCOA1;MMP2;ITGAV;IFNA1;STAT5A;ESR2;JUN;GNB1;IL12RB2;RAD51;DLL1;PIK3R1;KIT;RAF1;CTNNB1;GSTA5;MITF;CAMK2A;IGF1R;BRAF;NOTCH1;CDKN1B;SMAD4;EGLN2;AXIN1;ITGB1;PRKACA;CASP7;AKT3;JAG1;XIAP;HSP90B1;IKBKG;CYCS;SKP2;IL2;HMOX1;WNT1;PTGER1;LAMB3;PIK3R3;ADCY1;PIK3CB;GSTO2;VEGFA;CALM2;FRAT1;AGTR1;RXRA;EGLN1;RUNX1T1;PRKACB;BBC3;FZD4;MAPK3;IL2RG;CASP8;IL15RA;HSP90AB1;IFNA7;IFNA21;MSH2;TGFB3;CALM1;GNB4;BCL2L11;CXCL12;TPR;PRKCA;EDN1;GSTP1;MMP9;BCR;IFNGR1;WNT3;COL4A4;NCOA3;FADD;FLT3;TRAF3;MYC;STAT6;ETS1;LPAR3;CDK4;CUL2;PTGS2;TPM3;FGFR1;IL13RA1;CXCL8;CDK2;PAX8;TGFB1;LPAR5;GRB2;WNT7B;FZD9;PDGFRB;VEGFC;CDK6;MAX;AKT2;VHL;EML4;LPAR6;TXNRD1;RET;HDAC1;GSK3B;PTGER4;HRAS;IFNA2;ITGA2B;HES1;CDKN2A;SOS2;RARA;FH;GNA11;CXCR4;AXIN2;LPAR4;NFKBIA;DVL1;DVL3;RELA;PIM1;JAK1;IL23A;EDNRA;CREBBP;BMP4;CASP3;ADCY2;EP300;TRAF6;TRAF1;PTCH1;ADCY7;CRK;FGF2;FGF9;CDH1;TGFBR2;NTRK1;FN1;ROCK2;NOTCH2;MTOR;PTEN;GNAI3;IL6;PLCG2;IL13;CAMK2D;FAS;IL7;NOS2;ADCY9;RXRG;ZBTB16;CSF2RB;GNAS;JAK2;DAPK3;GNB5;GNA12;RAC3;FZD10;PLD1;TRAF4;BAD;APC;RXRB;GSTM3;RALGDS;CKS2;SMAD3;GSTA1;FOS;CDKN2B;NFE2L2;KITLG;GNGT2;RASGRP2;WNT7A;NFKB2;IGF2;STAT3;TCF7L2;FZD1;CUL1;MGST1;FLT4;ELK1;PDGFRA;APAF1;GLI1;IL4R;GNG12;BCL2;DAPK1;GSTM1;CCNE2;FGFR2;FZD7;COL4A2;STAT4;RPS6KB2;MAPK8;FZD6;GNG4;IFNG;CRKL;TXNRD2;IL2RA;STAT1;CKS1B;IL7R;GSTA2;RPS6KA5;GSTA3;RASGRP3;SHH;RASGRP1;CEBPA;SMAD2
