,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Viral myocarditis,0.44447045307610317,2.3394101325278114,0.0,0.001006864645950458,0.001,39/45,46.03%,ITGB2;HLA-DQB1;CYCS;RAC1;HLA-DRA;HLA-DRB3;HLA-DPB1;FYN;CASP9;HLA-DMB;PRF1;ACTB;CD80;CASP3;ABL1;DMD;CCND1;CAV1;BID;HLA-A;RAC3;HLA-DMA;CD40;EIF4G1;CD55;SGCB;HLA-DQA1;CD28;HLA-DRB5;ICAM1;HLA-DPA1;ABL2;HLA-B;CD86;HLA-DRB4;HLA-DOB;ITGAL;DAG1;ACTG1
1,prerank,Neurotrophin signaling pathway,0.35945589234050607,2.2045785689415447,0.0,0.003524026260826602,0.007,77/103,45.50%,MAPK1;PLCG2;SHC4;CALM3;RAC1;TP53;MAPK8;NGF;GRB2;RHOA;BAX;MAPK12;MAGED1;PSEN2;ARHGDIA;RPS6KA3;AKT1;NFKBIA;RELA;JUN;IRAK4;CAMK2D;IRAK2;NGFR;SOS1;HRAS;CDC42;PRKCD;RIPK2;MAP2K5;PIK3R1;ABL1;ATF4;CAMK4;KRAS;PIK3CA;AKT3;BRAF;PDPK1;RPS6KA5;MAPK14;BCL2;MAPKAPK2;MAPK9;MAPK3;NTRK2;RAF1;PLCG1;RPS6KA2;PTPN11;ZNF274;NFKB1;CALM1;CAMK2A;IKBKB;MAP3K1;RPS6KA1;NTRK3;MAPK13;MATK;CAMK2G;SHC1;PRDM4;FASLG;IRS1;BAD;NFKBIE;PIK3CD;MAP2K1;SH2B3;PIK3CB;MAP2K2;NRAS;FRS2;RPS6KA6;MAP3K5;IRAK1
2,prerank,Salmonella infection,0.39815841291614723,2.187195700825739,0.0,0.004027458583801831,0.011,39/59,33.91%,MAPK1;CD14;CXCL8;RAC1;MAPK8;CXCL3;NLRC4;MAPK12;CCL4;TLR4;ROCK2;ACTB;RELA;IFNGR1;JUN;CDC42;IL6;CCL4L2;ROCK1;TLR5;ARPC2;ARPC4;IFNG;CXCL2;ARPC1B;MAPK14;MAPK9;MAPK3;ARPC3;NFKB1;PKN3;CCL3;ARPC5;PKN2;CXCL1;IL18;MAPK13;PKN1;FOS
3,prerank,Pertussis,0.3790825719097311,2.1611672353662295,0.0,0.0050343232297522895,0.019,37/66,26.83%,MAPK1;CD14;ITGB2;CXCL8;CALM3;C1QC;MAPK8;RHOA;MAPK12;TLR4;C1QB;CFL1;IRF8;RELA;IL12A;JUN;IRAK4;NLRP3;TICAM1;IL6;CASP3;C4BPB;NOD1;C3;MAPK14;C5;MAPK9;MAPK3;IRF1;GNAI2;CXCL5;NFKB1;GNAI3;GNAI1;CASP7;CALM1;IRF3
4,prerank,Graft-versus-host disease,0.44136913563170854,2.1439285384675313,0.0010604453870625664,0.00523569615894238,0.024,28/34,44.58%,KLRC1;HLA-DQB1;HLA-DRA;KIR2DL3;HLA-DRB3;HLA-DPB1;HLA-DMB;PRF1;CD80;FAS;IL6;KIR3DL2;KLRD1;IFNG;HLA-A;HLA-DMA;IL2;GZMB;HLA-DQA1;KIR3DL1;CD28;HLA-DRB5;FASLG;HLA-DPA1;HLA-B;CD86;HLA-DRB4;HLA-DOB
5,prerank,IL-17 signaling pathway,0.36126011291903204,2.143848176660793,0.0,0.0043630801324519835,0.024,53/85,34.94%,MAPK1;CXCL8;MAPK8;TNFAIP3;CXCL3;FOSL1;IL4;MAPK12;TAB2;CSF3;TRAF4;IL13;MAPK15;HSP90AA1;NFKBIA;RELA;CCL2;JUN;S100A8;IKBKG;CHUK;ANAPC5;CCL20;IL6;CASP3;HSP90B1;IFNG;CXCL2;MAPK14;CCL11;MAPK6;IL17F;HSP90AB1;MAPK9;MAPK3;IL17RA;TRAF5;CXCL5;IKBKE;NFKB1;FADD;MAPK4;TBK1;TRAF3IP2;IKBKB;LCN2;CXCL1;MAPK13;IL25;FOS;MMP1;MMP13;DEFB4A
6,prerank,Prostate cancer,0.3555167466826055,2.1393760816242473,0.0,0.004171296390366182,0.027,65/89,44.37%,MAPK1;CDKN1A;TP53;CTNNB1;GRB2;ETV5;RB1;CREB1;CASP9;AKT1;ZEB1;HSP90AA1;NFKBIA;RELA;IL1R2;AR;ERBB2;PDGFRA;SOS1;IKBKG;CHUK;PTEN;HRAS;PLAT;EP300;GSTP1;PIK3R1;ATF4;NKX3-1;HSP90B1;KRAS;CCND1;PIK3CA;AKT3;BRAF;CREB3L4;PDPK1;TCF7L2;CDK2;BCL2;PDGFRB;HSP90AB1;MAPK3;RAF1;NFKB1;EGFR;IKBKB;KLK3;PDGFC;FGFR1;CCNE1;MDM2;INS;ARAF;LEF1;PLAU;BAD;IGF1R;PIK3CD;MAP2K1;PDGFD;PIK3CB;MAP2K2;CDKN1B;NRAS
7,prerank,Apoptosis,0.33849079593468034,2.1190386539537873,0.0,0.004405032826033253,0.033,89/123,46.03%,MAPK1;CYCS;DDIT3;TP53;PARP1;MAPK8;NGF;CFLAR;BECN1;MCL1;BAX;SPTA1;DFFB;CAPN1;CASP9;AKT1;PRF1;ACTB;NFKBIA;RELA;JUN;DAXX;NGFR;IKBKG;CHUK;HRAS;FAS;CTSW;ATM;TNFRSF10B;PIK3R1;CASP3;BCL2A1;CTSL;ATF4;TUBA1A;CTSD;XIAP;KRAS;PIK3CA;PARP2;BCL2L11;AKT3;DFFA;MAP3K14;BCL2L1;BID;ERN1;AIFM1;PDPK1;TUBA3C;CTSK;BCL2;TNFRSF10A;MAPK9;MAPK3;RAF1;NFKB1;FADD;CASP7;BIRC3;GZMB;BIRC2;IKBKB;APAF1;TUBA8;CSF2RB;CASP10;FOS;DIABLO;BIRC7;BBC3;FASLG;PMAIP1;ITPR3;BAD;PIK3CD;CTSH;LMNB2;SPTAN1;MAP2K1;TUBA4A;PIK3CB;MAP2K2;ITPR1;NRAS;MAP3K5;GADD45B;ACTG1
8,prerank,Pancreatic cancer,0.36647948978113953,2.1013464193193667,0.0,0.004586827831552086,0.039,61/71,55.10%,MAPK1;CDKN1A;SMAD4;RAC1;TP53;MAPK8;BAX;RB1;CASP9;AKT1;STAT3;SMAD3;RELA;CDK4;ERBB2;IKBKG;CHUK;CDC42;TGFBR1;PIK3R1;RALBP1;KRAS;CCND1;PIK3CA;AKT3;BRAF;BCL2L1;RPS6KB1;RAC3;PLD1;MAPK9;MAPK3;RAF1;STAT1;TGFB3;NFKB1;EGFR;IKBKB;BRCA2;RALB;SMAD2;RAD51;TGFBR2;ARAF;BAD;PIK3CD;RALA;MAP2K1;VEGFA;PIK3CB;JAK1;CDK6;GADD45B;BAK1;TGFA;E2F1;AKT2;TGFB1;DDB2;CDKN2A;RPS6KB2
9,prerank,FoxO signaling pathway,0.32805306336944096,2.0786279366616425,0.0,0.005739128481917609,0.053,84/119,45.44%,MAPK1;CAT;CDKN1A;SMAD4;MAPK8;SIRT1;RAG2;GRB2;STK11;MAPK12;PRKAG1;CDKN2B;CSNK1E;PCK1;PRKAG3;AKT1;STAT3;SMAD3;SETD7;PLK2;CCND2;RAG1;SOS1;CHUK;PTEN;HRAS;ATG12;TGFBR1;ATM;EP300;IL6;PIK3R1;G6PC;PLK1;KRAS;CCND1;PIK3CA;BCL2L11;AKT3;BRAF;FBXO32;BCL6;PRKAA1;PDPK1;MAPK14;CDK2;PCK2;MAPK9;MAPK3;RAF1;STK4;TGFB3;IRS2;SGK2;FOXO4;EGFR;IKBKB;SGK3;PRKAA2;MDM2;MAPK13;SMAD2;HOMER2;PLK4;INS;SKP2;TGFBR2;FASLG;IRS1;ARAF;IGF1R;PIK3CD;G6PC3;PRKAG2;MAP2K1;IL10;PIK3CB;USP7;MAP2K2;G6PC2;CDKN1B;NRAS;SGK1;GADD45B
