,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Thyroid cancer,0.5822598592977182,1.6299712392461931,0.0020100502512562816,0.18178113196562037,0.155,17/34,16.72%,PPARG;KRAS;GADD45B;HRAS;PAX8;BRAF;TCF7L2;TFG;TP53;DDB2;RXRG;NRAS;CTNNB1;BAX;NCOA4;TPR;CCND1
1,prerank,Nucleotide excision repair,0.5903660573946475,1.628175099833914,0.0010050251256281408,0.09239703945213854,0.158,17/35,21.74%,ERCC1;POLE2;ERCC5;RFC1;ERCC3;ERCC2;RPA1;RPA2;DDB2;RFC5;RFC2;POLE;GTF2H2;LIG1;GTF2H1;POLD4;CETN2
2,prerank,Butanoate metabolism,0.6401946701123844,1.626783328418654,0.00102880658436214,0.0636066575938635,0.162,10/19,15.64%,HMGCS1;HADH;OXCT1;ACSM5;GAD1;HMGCL;ACSM2A;BDH1;ACSM2B;ACAT2
3,prerank,MicroRNAs in cancer,0.5201095874744175,1.5901401198490357,0.0,0.08235388298994956,0.257,84/129,34.90%,EGFR;KRAS;STMN1;IKBKB;HRAS;PIK3CA;ROCK1;CRKL;THBS1;BCL2L2;BCL2;HDAC4;SERPINB5;PRKCE;VEGFA;MTOR;STAT3;PRKCA;SOX4;DNMT1;SLC7A1;ABL1;CCNE1;CDKN1B;CD44;HDAC1;RAF1;ST14;TP53;BRCA1;HMOX1;NRAS;SOCS1;PDGFRA;IRS2;NOTCH2;TPM1;ERBB2;MAPK7;CCND1;PRKCB;FSCN1;CCND2;MCL1;CDC25C;EZH2;RPTOR;BMF;NOTCH1;WNT3;SHC1;ERBB3;EP300;ITGB3;ABCB1;CASP3;CDC25B;PAK4;CYP24A1;MAP2K2;ATM;MDM2;MAPK1;CREBBP;DNMT3A;FZD3;CDC25A;TIMP3;RPS6KA5;IRS1;CYP1B1;VIM;FOXP1;CDKN2A;RHOA;PLCG1;MET;CDKN1A;NFKB1;DDIT4;BMI1;SHC4;E2F1;BAK1
4,prerank,Viral carcinogenesis,0.5104986963182931,1.584878974804133,0.0,0.07170813714002926,0.277,75/141,26.28%,HIST1H2BD;KRAS;JAK3;SKP2;SRF;HRAS;PIK3CA;HIST1H2BK;CCNA2;POLB;HDAC5;PMAIP1;KAT2A;CCND3;DNAJA3;GTF2A2;JUN;CCNA1;IKBKG;C3;HDAC4;GTF2E2;CDK2;TRAF3;STAT3;PRKACG;PRKACA;BAD;RELA;NFKBIA;CCNE1;CDKN1B;HDAC1;TP53;CREB3L2;HIST2H2BE;CHD4;CCR5;LYN;TRAF5;NRAS;BAX;RBL1;PXN;HLA-A;USP7;GTF2H2;ATF4;CCND1;HDAC2;REL;HDAC6;EIF2AK2;HIST1H4E;GTF2H1;CCND2;ACTN4;MAPKAPK2;RB1;EP300;IRF3;EGR3;CREB1;CREB3L4;CASP3;EGR2;HDAC3;CDC42;CREB5;HDAC8;MDM2;MAPK1;RAC1;CREBBP;KAT2B
5,prerank,Pyrimidine metabolism,0.5478451832608314,1.5597161395387886,0.001001001001001001,0.08586898775171571,0.389,17/40,18.60%,PNP;ENTPD3;DPYD;CANT1;NME3;NT5E;DHODH;CMPK1;UCKL1;RRM1;RRM2;UPB1;DTYMK;NT5C3A;UCK2;TYMS;CTPS1
6,prerank,Amyotrophic lateral sclerosis (ALS),0.542642802701919,1.5460104614612369,0.003003003003003003,0.09053188182344629,0.453,24/43,27.45%,BID;DERL1;BCL2;GPX1;SOD1;BAD;TP53;MAPK12;CAT;APAF1;MAPK13;BAX;CYCS;SLC1A2;MAP2K3;MAPK14;RAB5A;PPP3R2;CASP9;CASP3;TOMM40;RAC1;GRIN2D;PPP3CC
7,prerank,Human papillomavirus infection,0.4879367004242301,1.5345639380855243,0.0,0.09302473673102535,0.504,142/232,35.50%,EGFR;AKT1;ATP6V1D;TBK1;FADD;IKBKE;WNT9A;KRAS;ATP6V0B;IKBKB;HRAS;PIK3CA;CCNA2;FAS;PPP2R3C;CSNK1A1;THBS1;CCND3;FOXO1;PPP2R5B;MAML2;CCNA1;IKBKG;ITGA3;FZD7;PTK2;TCF7L2;CDK2;VEGFA;TRAF3;MTOR;PRKACG;TICAM1;PRKACA;BAD;RELA;CCNE1;CDKN1B;HDAC1;RAF1;TP53;CREB3L2;PSEN1;DVL2;LAMB3;AXIN2;ATR;CHD4;AKT2;PPP2CB;NRAS;CTNNB1;BAX;FN1;FZD9;RBL1;TYK2;RPS6KB1;IFNA10;PXN;LAMB1;RFNG;MX1;IFNA14;IFNA7;HLA-A;BCAP31;IFNA4;HES2;NOTCH2;CCND1;GNAS;HDAC2;WNT5A;IFNA1;TERT;EIF2AK2;PPP2R2C;CSNK1A1L;CCND2;ITGB4;ITGA2B;TSC2;PPP2R5A;NOTCH1;RB1;FZD6;ATP6V1F;ATP6V0C;WNT3;STAT1;EP300;IRF3;ITGB3;ITGA2;PRKCI;CREB1;COL4A5;CREB3L4;CASP3;HES1;COL4A2;CDC42;IFNAR2;CREB5;MAP2K2;ATM;GSK3B;MDM2;DVL1;MAPK1;ITGAV;CREBBP;IFNB1;FZD3;TBP;AXIN1;IFNA8;COL1A2;WNT1;PTGER4;ITGA8;JAG1;CREB3L1;TSC1;IFNAR1;DVL3;CDK4;ATP6V0A1;WNT7A;IFNA2;CDKN1A;NFKB1;ATP6V1C1;PPP2R3A;IFNA5;TCIRG1;FZD4;E2F1;BAK1;ITGA11;MAPK3
8,prerank,Adherens junction,0.5253161875056066,1.5284334483778184,0.0,0.08960727376819716,0.532,37/58,32.51%,EGFR;IGF1R;PTPN6;CSNK2B;CTNND1;WASF3;TCF7L2;SMAD2;SMAD4;IQGAP1;ACTG1;FYN;PTPRJ;MAP3K7;CTNNB1;ERBB2;CSNK2A1;SNAI1;ACTN4;SNAI2;TJP1;EP300;PTPN1;PTPRF;CDC42;MAPK1;RAC1;WAS;CREBBP;TGFBR1;NLK;LEF1;SRC;ACTB;CSNK2A2;RHOA;MET
9,prerank,Hepatitis C,0.4971380852591874,1.5272615842827224,0.0,0.08165086203759633,0.539,65/124,28.05%,EGFR;AKT1;TBK1;FADD;IKBKE;KRAS;IKBKB;HRAS;PIK3CA;BID;FAS;IKBKG;BRAF;CDK2;TRAF3;STAT3;TICAM1;RNASEL;BAD;RELA;NFKBIA;RAF1;TP53;AKT2;PPP2CB;APAF1;NR1H3;EIF2AK1;NRAS;CTNNB1;BAX;TYK2;IFNA10;CYCS;MX1;IFNA14;IFNA7;LDLR;IFNA4;EIF2S1;DDX58;CCND1;OAS2;CD81;IFNA1;EIF2AK2;PPP2R2C;PPARA;CLDN1;CFLAR;RB1;STAT1;IRF3;CASP9;CASP3;ARAF;IFNAR2;MAP2K2;GSK3B;MAPK1;RIPK1;IFNB1;EIF2AK3;CLDN11;IFNA8
