,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Thyroid cancer,0.5424818977036482,2.3381324325704718,0.0,0.0,0.0,27/34,31.48%,TFG;DDB2;PAX8;TP53;PPARG;NRAS;GADD45B;TCF7L2;BRAF;KRAS;TPR;RXRA;TCF7L1;NTRK1;LEF1;GADD45A;MAP2K1;CCND1;CDH1;CTNNB1;MAPK1;MYC;BAK1;BAX;CDKN1A;RXRB;MAP2K2
1,prerank,p53 signaling pathway,0.48522718376403556,2.2920571226018422,0.0,0.0,0.0,36/56,25.07%,PMAIP1;BID;DDB2;SFN;FAS;TP53;CCND3;GADD45B;CDK2;RRM2;TNFRSF10B;THBS1;APAF1;CDKN2A;CYCS;SESN1;PTEN;TSC2;GADD45A;CDK6;CCND1;TP53I3;ZMAT3;CASP8;RCHY1;ATM;CHEK2;CASP9;CDK1;CCND2;IGFBP3;BCL2;BCL2L1;CASP3;SIAH1;BAX
2,prerank,Colorectal cancer,0.4504023202570314,2.2186330468905116,0.0,0.00033812590044397404,0.001,53/79,31.48%,PMAIP1;MSH6;BAD;DDB2;RPS6KB1;FOS;TP53;NRAS;GADD45B;JUN;PIK3CA;TCF7L2;BRAF;AKT1;KRAS;MLH1;CYCS;TCF7L1;AXIN2;LEF1;EGFR;MAPK9;GADD45A;MAP2K1;PIK3R1;AXIN1;CCND1;RHOA;RAC1;MTOR;CTNNB1;RAC3;RALA;CASP9;MAPK1;SMAD3;MYC;GSK3B;BCL2;BAK1;RPS6KB2;CASP3;BAX;AREG;SMAD2;TGFBR1;PIK3CD;TGFBR2;CDKN1A;SOS1;PIK3R2;BIRC5;MAP2K2
3,prerank,Endometrial cancer,0.4567642974267371,2.1130435729243238,0.0,0.001521566551997883,0.006,37/53,31.48%,BAD;DDB2;TP53;NRAS;GADD45B;PIK3CA;ERBB2;TCF7L2;BRAF;AKT1;KRAS;MLH1;TCF7L1;AXIN2;ILK;PTEN;LEF1;EGFR;GADD45A;MAP2K1;PIK3R1;AXIN1;CCND1;CDH1;CTNNB1;CASP9;MAPK1;MYC;GSK3B;FOXO3;BAK1;BAX;PIK3CD;CDKN1A;SOS1;PIK3R2;MAP2K2
4,prerank,Epithelial cell signaling in Helicobacter pylori infection,0.44765180654703307,2.0931918065513457,0.0,0.0016230043221310752,0.008,37/52,36.15%,NFKBIA;IKBKG;ATP6V0B;LYN;CSK;JUN;MAPK13;ATP6V1D;CXCL1;ADAM10;MAP2K4;MAP3K14;EGFR;MAPK9;ATP6V1F;MAPK12;RAC1;JAM2;IKBKB;CHUK;ATP6V0A1;TJP1;PLCG2;NFKB1;MET;PLCG1;IGSF5;ATP6V1A;CASP3;HBEGF;NOD1;PAK1;MAPK14;SRC;MAPK11;CCL5;ATP6V0C
5,prerank,ErbB signaling pathway,0.41833770978090973,2.0897865514480136,0.0,0.001521566551997883,0.009,54/79,38.14%,BAD;RPS6KB1;CRKL;CAMK2D;NRAS;PAK4;JUN;ERBB3;PIK3CA;ERBB2;CDKN1B;BRAF;AKT1;KRAS;ABL1;ERBB4;NRG1;EIF4EBP1;MAP2K4;EGFR;MAPK9;MAP2K1;PIK3R1;MTOR;CAMK2G;PLCG2;PRKCA;MAPK1;SHC1;CBLB;MYC;PLCG1;STAT5A;GSK3B;PTK2;RPS6KB2;HBEGF;CBL;AREG;PIK3CD;PAK1;NCK1;CDKN1A;PRKCB;SOS1;GAB1;PIK3R2;MAP2K2;SRC;MAPK3;NRG4;PAK3;ARAF;PAK2
6,prerank,Kaposi sarcoma-associated herpesvirus infection,0.3876556805241498,2.087116268000657,0.0,0.001304199901712471,0.009,104/158,37.16%,NFKBIA;BID;IKBKG;LYN;FADD;C3;FAS;FOS;TP53;NRAS;TBK1;IKBKE;JUN;ICAM1;MAPK13;CCR4;STAT1;HIF1A;PIK3CA;IFNA14;AKT1;KRAS;CXCL1;BECN1;CYCS;RB1;EP300;VEGFA;MAP2K4;IFNB1;CALM3;MAPK9;SYK;PIK3C3;MAPK12;MAP2K1;PIK3R1;CDK6;IRF7;CCND1;TRAF3;JAK2;CASP8;TYK2;RAC1;IKBKB;CHUK;MTOR;PIK3R5;GNG7;STAT3;ITPR1;CTNNB1;TICAM1;PLCG2;GNB2;CALML6;CASP9;MAPK1;NFKB1;IL6;IFNGR1;PPP3R2;MYC;HCK;PLCG1;GSK3B;STAT2;NFATC4;MAP2K6;BAK1;IFNAR2;CASP3;BAX;TRAF2;GNB4;TLR3;PIK3CD;PPP3CC;IFNAR1;TRADD;MAPKAPK2;CDKN1A;GNG5;ATG3;MAPK14;PIK3R2;MAP2K2;RCAN1;CREBBP;NFATC1;GNGT2;SRC;MAPK11;NFATC3;IFNA21;IRF3;MAPK3;CXCL3;IFNA1;HLA-A;PIK3CG;GNG11;GNB5
7,prerank,Type II diabetes mellitus,0.46365762586950665,2.0681451138416462,0.0,0.0016483637646643732,0.013,33/41,40.67%,PRKCD;CACNA1C;INSR;PIK3CA;HK1;PRKCE;SOCS2;INS;CACNA1D;MAPK9;PIK3R1;ABCC8;IRS1;IKBKB;MTOR;GCK;MAPK1;PDX1;PKLR;PRKCZ;CACNA1G;HK3;SOCS1;PIK3CD;SLC2A2;CACNA1A;TNF;PIK3R2;MAPK3;IRS2;HKDC1;SOCS3;SOCS4
8,prerank,Pancreatic cancer,0.42101845258672804,2.066933901909362,0.0,0.0014652122352572206,0.013,42/71,26.42%,BAD;DDB2;IKBKG;RPS6KB1;TP53;GADD45B;STAT1;PIK3CA;ERBB2;BRAF;AKT1;KRAS;CDKN2A;RB1;VEGFA;EGFR;MAPK9;GADD45A;MAP2K1;PIK3R1;CDK6;CCND1;ARHGEF6;RAC1;IKBKB;CHUK;MTOR;STAT3;RAC3;RALA;CASP9;MAPK1;NFKB1;SMAD3;BAK1;RPS6KB2;BCL2L1;BAX;SMAD2;TGFBR1;PIK3CD;TGFBR2
9,prerank,MicroRNAs in cancer,0.383007967407323,2.02903289153395,0.0,0.002637382023462997,0.025,92/129,42.82%,SOX4;CRKL;TP53;NRAS;NOTCH1;PAK4;RPTOR;BRCA1;ERBB3;PIK3CA;ERBB2;STMN1;CDKN1B;KRAS;ABL1;PRKCE;SPRY2;EZH2;THBS1;CDKN2A;EP300;BCL2L2;VEGFA;HDAC1;DDIT4;PTEN;EGFR;ROCK1;MAP2K1;MCL1;CDK6;PDGFRA;CCND1;CDC25B;CDC25A;RHOA;CDC25C;IRS1;ATM;IKBKB;MTOR;STAT3;PLCG2;PRKCA;VIM;GLS;MAPK1;NFKB1;MET;HMOX1;SHC1;CCND2;HMGA2;MYC;PLCG1;PIM1;CYP1B1;CYP24A1;MAPK7;BCL2;SLC45A3;BAK1;ABCC1;CASP3;SLC7A1;SOCS1;BMPR2;FGFR3;CDKN1A;BMI1;DICER1;PRKCB;SOS1;PIK3R2;PLAU;MAP2K2;CREBBP;DNMT3A;CD44;TIMP3;IRS2;ZEB1;APC;E2F1;TPM1;SOS2;FSCN1;CCNE1;TNC;ITGB3;WNT3;MDM4
