,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.46193395537620485,2.977344577408219,0.0,0.0,0.0,58/79,32.99%,TCF7;CTNNB1;PIK3CD;TGFBR2;ARAF;GADD45A;GADD45B;BIRC5;SMAD3;BRAF;BAD;RAF1;CDKN1A;EGFR;RALA;TP53;AKT2;SMAD2;GRB2;MAPK9;RHOA;MYC;TCF7L2;TGFBR1;MTOR;DDB2;HRAS;TGFA;MAPK8;KRAS;CASP9;RPS6KB1;AKT1;JUN;RPS6KB2;PIK3R3;AXIN2;CCND1;SOS2;MAP2K2;GSK3B;RAC1;LEF1;AXIN1;FOS;PIK3CA;NRAS;TGFB1;PIK3CB;MSH2;BBC3;RALGDS;BCL2;TGFB3;BAX;MAPK3;MAP2K1;EGF
1,prerank,Pancreatic cancer,0.47281501134621867,2.961958333425855,0.0,0.0,0.0,59/71,40.30%,PIK3CD;TGFBR2;ARAF;GADD45A;GADD45B;SMAD3;CDK6;BRAF;BAD;STAT3;RAF1;CDKN1A;EGFR;RALA;TP53;AKT2;E2F3;SMAD2;MAPK9;TGFBR1;RAD51;PLD1;MTOR;BRCA2;DDB2;RALBP1;TGFA;MAPK8;KRAS;CASP9;RPS6KB1;AKT1;RPS6KB2;PIK3R3;IKBKB;CCND1;RELA;ARHGEF6;RAC1;PIK3CA;TGFB1;PIK3CB;RB1;CHUK;RALGDS;CDK4;CDKN2A;TGFB3;BAX;MAPK3;MAP2K1;EGF;NFKB1;IKBKG;PIK3R1;BAK1;ERBB2;SMAD4;CDC42
2,prerank,Chronic myeloid leukemia,0.45653885108885983,2.8861771774552314,0.0,0.0,0.0,56/71,38.03%,RUNX1;SHC4;STAT5A;PIK3CD;TGFBR2;ARAF;GADD45A;MECOM;GADD45B;SMAD3;CDK6;HDAC2;BRAF;BAD;RAF1;CDKN1A;TP53;AKT2;E2F3;GRB2;MYC;TGFBR1;DDB2;HRAS;KRAS;NFKBIA;AKT1;PIK3R3;IKBKB;CCND1;CRKL;SHC1;SOS2;MAP2K2;RELA;ABL1;CTBP2;CRK;PIK3CA;NRAS;TGFB1;PIK3CB;RB1;CHUK;CDK4;CDKN2A;TGFB3;BAX;MAPK3;MAP2K1;NFKB1;HDAC1;IKBKG;PIK3R1;CTBP1;BAK1
3,prerank,Endometrial cancer,0.490866180146776,2.880688788717736,0.0,0.0,0.0,44/53,38.09%,FOXO3;TCF7;CTNNB1;PIK3CD;ARAF;GADD45A;GADD45B;BRAF;BAD;RAF1;CDKN1A;EGFR;TP53;AKT2;GRB2;MYC;TCF7L2;DDB2;HRAS;KRAS;CASP9;AKT1;PIK3R3;ILK;AXIN2;CCND1;SOS2;MAP2K2;GSK3B;ELK1;CDH1;LEF1;AXIN1;PIK3CA;NRAS;PIK3CB;PTEN;BAX;MAPK3;MAP2K1;EGF;PIK3R1;BAK1;ERBB2
4,prerank,Non-small cell lung cancer,0.45600538642006255,2.7774131076316873,0.0,0.0,0.0,51/63,39.55%,FOXO3;STAT5A;PIK3CD;ARAF;GADD45A;GADD45B;CDK6;PLCG1;BRAF;BAD;STAT3;RAF1;CDKN1A;EGFR;TP53;AKT2;E2F3;GRB2;PRKCG;RXRA;DDB2;HRAS;TGFA;KRAS;CASP9;STK4;JAK3;AKT1;RASSF5;PIK3R3;CCND1;SOS2;MAP2K2;ALK;PIK3CA;NRAS;PIK3CB;RXRB;RB1;CDK4;CDKN2A;BAX;MAPK3;MAP2K1;EGF;PIK3R1;PRKCB;BAK1;ERBB2;EML4;RASSF1
5,prerank,Autophagy,0.3938477957578471,2.662199392058048,0.0,0.0,0.0,76/100,42.91%,PRKCD;PIK3CD;BECN1;TRAF6;BAD;RAF1;AKT2;MAPK9;MAP3K7;ULK2;PIK3R4;MTOR;CFLAR;RHEB;ATG12;HRAS;MAPK8;KRAS;RPS6KB1;PRKAA1;IRS1;INS;ERN1;VMP1;TSC2;PRKACG;AKT1;RRAS2;DAPK2;RPS6KB2;PIK3R3;HIF1A;CTSD;IGF1R;RRAGC;ATG16L1;MAP2K2;ATG4A;IGBP1;CTSB;BNIP3;PPP2CA;TP53INP2;RRAGB;PIK3CA;NRAS;STK11;DAPK1;PIK3CB;ATG4B;ATG3;HMGB1;PRKACA;PTEN;NRBF2;BCL2;CTSL;ULK1;PRKACB;MAPK3;MAP2K1;EIF2S1;ATG5;EIF2AK3;ITPR1;PIK3R1;PRKAA2;EIF2AK4;UVRAG;GABARAPL1;TSC1;PRKCQ;CAMKK2;LAMP2;ATG16L2;PDPK1
6,prerank,Melanoma,0.4544335912795977,2.65156136867261,0.0,0.0,0.0,38/52,32.99%,PIK3CD;ARAF;GADD45A;GADD45B;PDGFC;CDK6;BRAF;BAD;MET;MITF;RAF1;CDKN1A;EGFR;TP53;AKT2;E2F3;DDB2;HRAS;KRAS;AKT1;PIK3R3;CCND1;IGF1R;MAP2K2;CDH1;PIK3CA;NRAS;PDGFD;PIK3CB;RB1;PTEN;CDK4;FGF2;CDKN2A;BAX;MAPK3;MAP2K1;EGF
7,prerank,Relaxin signaling pathway,0.39263897970255984,2.642556194590122,0.0,0.0,0.0,70/103,35.35%,SHC4;PIK3CD;TGFBR2;RXFP1;MAPK12;ATF4;SMAD3;COL4A5;GNG8;ARRB1;ACTA2;GNB5;PLCB4;EDNRB;GNAI3;RAF1;EGFR;MAP2K4;AKT2;SMAD2;GRB2;MAPK9;VEGFB;TGFBR1;ATF2;GNAI1;RXFP4;HRAS;MAPK8;KRAS;NFKBIA;GNGT2;COL4A2;PRKACG;ADCY3;AKT1;JUN;PIK3R3;SHC1;SOS2;MAP2K2;MMP13;GNG12;RELA;VEGFC;MMP9;GNG5;ADCY5;FOS;GNG7;PRKCZ;PIK3CA;NRAS;TGFB1;COL1A2;GNAS;CREB3L1;PIK3CB;MMP2;PRKACA;MAP2K7;PLCB1;MAPK13;PRKACB;MAPK3;MAP2K1;ADCY9;NFKB1;CREB3L4;MMP1
8,prerank,ErbB signaling pathway,0.41113558696645736,2.6382981134011527,0.0,0.0,0.0,57/79,38.09%,SHC4;STAT5A;PIK3CD;ARAF;PLCG1;BRAF;BAD;RAF1;CDKN1A;EGFR;MAP2K4;AKT2;GRB2;PRKCG;MAPK9;MYC;MTOR;PAK2;ABL2;HRAS;TGFA;MAPK8;KRAS;RPS6KB1;AKT1;JUN;RPS6KB2;PIK3R3;CRKL;SHC1;ERBB3;SOS2;MAP2K2;GSK3B;ELK1;PAK5;ABL1;NRG1;PTK2;HBEGF;CAMK2D;CRK;CAMK2G;PIK3CA;NRAS;PAK3;PIK3CB;MAP2K7;PAK1;MAPK3;MAP2K1;EGF;PAK4;ERBB4;PIK3R1;PRKCB;ERBB2
9,prerank,Thyroid cancer,0.5122514758416374,2.6360138212312227,0.0,0.0,0.0,27/34,33.31%,TCF7;CTNNB1;GADD45A;GADD45B;BRAF;NCOA4;TPR;CDKN1A;TP53;RXRA;MYC;TCF7L2;DDB2;HRAS;KRAS;CCND1;MAP2K2;CDH1;LEF1;NRAS;PPARG;TFG;RXRB;BAX;MAPK3;MAP2K1;RET
