,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Colorectal cancer,0.5099257853901253,2.904477494134759,0.0,0.0,0.0,46/79,17.11%,PIK3R3;MTOR;GSK3B;PIK3CA;PIK3R1;PIK3R2;BRAF;MYC;SMAD4;ARAF;RAF1;PMAIP1;RHOA;MSH6;TGFBR2;TGFB1;CCND1;MAPK1;EGFR;AKT1;CTNNB1;KRAS;BCL2;BAK1;SMAD3;APC;TGFB3;CASP3;BIRC5;RAC1;MAP2K1;TP53;MAPK3;MAPK8;MAPK9;RALGDS;CYCS;DDB2;BCL2L11;BAD;RPS6KB2;TCF7;MAP2K2;TCF7L2;GRB2;JUN
1,prerank,Chronic myeloid leukemia,0.4884897290384016,2.766749852805208,0.0,0.0,0.0,46/71,26.12%,PIK3R3;PIK3CA;PIK3R1;PIK3R2;NFKBIA;BRAF;MYC;SMAD4;ARAF;RAF1;CDK4;TGFBR2;TGFB1;CDKN1B;CCND1;MAPK1;AKT1;KRAS;BAK1;SMAD3;TGFB3;MAP2K1;HDAC2;TP53;MAPK3;CDK6;RB1;DDB2;BAD;NFKB1;ABL1;CRK;MAP2K2;CRKL;GRB2;SHC1;CHUK;IKBKG;CDKN1A;E2F1;BCR;NRAS;BCL2L1;STAT5A;IKBKB;TGFB2
2,prerank,Renal cell carcinoma,0.49968206012719507,2.7159737363370757,0.0,0.0,0.0,37/62,22.01%,PIK3R3;PIK3CA;PIK3R1;PIK3R2;BRAF;SLC2A1;ARAF;RAF1;CDC42;TGFB1;MAPK1;TFE3;AKT1;VHL;KRAS;TGFB3;MET;RAC1;MAP2K1;PAK2;MAPK3;PAK4;EGLN1;EP300;BAD;ETS1;PAK1;CRK;MAP2K2;CRKL;GRB2;JUN;CREBBP;VEGFA;HIF1A;CDKN1A;NRAS
3,prerank,Endometrial cancer,0.5164798928084938,2.7100063469640188,0.0,0.0,0.0,34/53,22.01%,PIK3R3;GSK3B;PIK3CA;PIK3R1;PIK3R2;PTEN;PDPK1;FOXO3;BRAF;MYC;ARAF;RAF1;CCND1;MAPK1;EGFR;AKT1;CTNNB1;KRAS;BAK1;APC;MAP2K1;TP53;MAPK3;DDB2;BAD;ILK;TCF7;MAP2K2;TCF7L2;GRB2;ERBB2;AXIN2;CDKN1A;NRAS
4,prerank,Central carbon metabolism in cancer,0.4889640018785992,2.6472918173864213,0.0,0.0,0.0,37/60,22.01%,PIK3R3;MTOR;PIK3CA;PIK3R1;PIK3R2;PTEN;SLC2A1;MYC;RAF1;KIT;FGFR3;MAPK1;EGFR;AKT1;KRAS;PFKL;MET;HK1;PKM;MAP2K1;FGFR2;SLC1A5;TP53;MAPK3;NTRK1;SLC7A5;MAP2K2;NTRK3;PGAM1;ERBB2;PDK1;PDGFRB;GCK;HIF1A;G6PD;PDHA1;NRAS
5,prerank,Pancreatic cancer,0.4706825278135068,2.622146520399786,0.0,0.0,0.0,42/71,22.58%,PIK3R3;MTOR;PIK3CA;PIK3R1;PIK3R2;BRAF;SMAD4;ARAF;RAF1;CDK4;TGFBR2;CDC42;TGFB1;CCND1;MAPK1;EGFR;AKT1;KRAS;BAK1;RAD51;SMAD3;TGFB3;RAC1;MAP2K1;TP53;MAPK3;MAPK8;CDK6;RB1;MAPK9;RALGDS;DDB2;BAD;NFKB1;RPS6KB2;ERBB2;VEGFA;CHUK;IKBKG;CDKN1A;E2F1;BCL2L1
6,prerank,Prostate cancer,0.44373809903958056,2.5849602717539693,0.0,0.0,0.0,50/89,22.01%,PIK3R3;MTOR;GSK3B;PIK3CA;PIK3R1;PIK3R2;PTEN;PDPK1;NFKBIA;BRAF;HSP90B1;ARAF;HSP90AB1;RAF1;GSTP1;FOXO1;CDKN1B;CCND1;MAPK1;CREB3L4;EGFR;AKT1;CTNNB1;KRAS;BCL2;MAP2K1;FGFR2;TP53;MAPK3;PLAU;RB1;AR;ATF4;EP300;BAD;NFKB1;TCF7;MAP2K2;TCF7L2;GRB2;IL1R2;ERG;ERBB2;CREBBP;CHUK;PDGFRB;IKBKG;CDKN1A;E2F1;NRAS
7,prerank,ErbB signaling pathway,0.44720573212588544,2.559037283894945,0.0,0.0,0.0,52/79,32.74%,PIK3R3;MTOR;GSK3B;PIK3CA;PIK3R1;PIK3R2;BRAF;MYC;ARAF;RAF1;CDKN1B;MAPK1;EGFR;AKT1;PLCG1;KRAS;NRG1;PLCG2;PTK2;MAP2K1;PAK2;MAPK3;MAPK8;HBEGF;MAPK9;PAK4;BAD;CAMK2G;PAK1;ABL1;NCK1;PRKCA;CRK;RPS6KB2;MAP2K2;CRKL;GRB2;SHC1;JUN;ERBB2;CDKN1A;ERBB3;NRAS;STAT5A;EREG;MAP2K4;CBLB;PAK3;RPS6KB1;PIK3CD;ABL2;AREG
8,prerank,Spliceosome,-0.29602783205571576,-2.543081419275797,0.0,0.0,0.0,50/53,61.80%,RBM8A;USP39;ZMAT2;DDX5;DDX42;SNRPD1;SRSF3;RBM22;SNRPA1;SNU13;NCBP2;PUF60;HNRNPM;TCERG1;HSPA8;RBMX;PRPF6;SF3A3;SMNDC1;NCBP1;CHERP;PPIH;SRSF2;SNRPA;LSM7;PRPF19;DHX8;SYF2;PPIL1;HSPA1B;LSM5;SART1;DHX16;HSPA2;HSPA1A;DDX39B;PPIE;PHF5A;SRSF8;LSM2;RP9;SRSF4;PRPF4;SNW1;BUD31;PQBP1;U2AF1;LSM6;PRPF38B;SF3A2
9,prerank,Bladder cancer,0.5074802434275795,2.5154742327645008,0.0,0.0,0.0,25/39,24.09%,BRAF;MYC;ARAF;RAF1;FGFR3;CDK4;CCND1;MAPK1;EGFR;KRAS;DAPK2;MAP2K1;TP53;MAPK3;DAPK1;RB1;HBEGF;MAP2K2;TYMP;ERBB2;VEGFA;CDKN1A;E2F1;NRAS;MMP1
10,prerank,Non-small cell lung cancer,0.4589354915902547,2.497217818029629,0.0,0.0,0.0,35/63,22.01%,PIK3R3;PIK3CA;PIK3R1;PIK3R2;PDPK1;FOXO3;BRAF;ARAF;RAF1;ALK;CDK4;CCND1;MAPK1;EGFR;AKT1;PLCG1;KRAS;BAK1;PLCG2;MAP2K1;RXRA;TP53;MAPK3;CDK6;RB1;DDB2;BAD;EML4;PRKCA;MAP2K2;GRB2;ERBB2;CDKN1A;E2F1;NRAS
11,prerank,B cell receptor signaling pathway,0.4463374480238726,2.4765998554186726,0.0,0.0,0.0,39/68,22.14%,PIK3R3;GSK3B;PIK3CA;PIK3R1;PIK3R2;NFKBIA;CD79B;RAF1;VAV3;MAPK1;AKT1;KRAS;MALT1;FCGR2B;PLCG2;RAC1;MAP2K1;LYN;PPP3CA;MAPK3;NFKBIB;CARD11;NFATC3;SYK;NFKB1;BCL10;PPP3CC;MAP2K2;PPP3R2;GRB2;JUN;CHUK;CD81;IKBKG;DAPP1;CD22;BLNK;NRAS;VAV1
