,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Thyroid cancer,0.5885236058780567,2.118334980116811,0.0,0.0010065865773868138,0.001,24/34,20.73%,NRAS;GADD45B;RXRA;BAX;PPARG;CDKN1A;BRAF;LEF1;CCND1;PAX8;RET;NTRK1;RXRG;TCF7L2;BAK1;MAP2K1;MAPK1;TCF7L1;DDB2;HRAS;TP53;MYC;TFG;CTNNB1
1,prerank,Melanoma,0.5476158819260672,2.1077470638415865,0.0,0.0005032932886934069,0.001,39/52,31.50%,BAD;NRAS;RB1;GADD45B;AKT1;BAX;IGF1R;PIK3CA;PIK3R1;CDK6;PIK3CB;IGF1;CDKN1A;MET;BRAF;CCND1;AKT3;MITF;AKT2;PDGFRB;EGFR;FGFR1;BAK1;MAP2K1;FGF9;MAPK1;DDB2;HRAS;TP53;CDK4;PIK3CD;PTEN;EGF;FGF2;PIK3R2;GADD45A;E2F1;CDKN2A;KRAS
2,prerank,Non-small cell lung cancer,0.5343471851265018,2.1030481433306663,0.0,0.0003355288591289379,0.001,46/63,31.50%,ERBB2;RARB;BAD;NRAS;RB1;GADD45B;RXRA;AKT1;BAX;PIK3CA;PIK3R1;CDK6;PIK3CB;CDKN1A;BRAF;CCND1;AKT3;JAK3;EML4;PRKCA;AKT2;PDPK1;RXRG;EGFR;BAK1;STAT5A;MAP2K1;MAPK1;DDB2;HRAS;TP53;SOS1;STAT3;CDK4;PIK3CD;EGF;PLCG2;SOS2;RXRB;FOXO3;PIK3R2;GADD45A;E2F1;FHIT;CDKN2A;KRAS
3,prerank,Endometrial cancer,0.5445966233765709,2.0998388283107206,0.0,0.00025164664434670344,0.001,46/53,38.23%,ERBB2;BAD;NRAS;GADD45B;AKT1;BAX;PIK3CA;PIK3R1;PIK3CB;CDKN1A;BRAF;LEF1;CCND1;AKT3;MLH1;AKT2;PDPK1;EGFR;TCF7L2;BAK1;AXIN2;MAP2K1;MAPK1;TCF7L1;DDB2;HRAS;TP53;SOS1;MYC;CTNNB1;PIK3CD;PTEN;EGF;GSK3B;TCF7;SOS2;FOXO3;PIK3R2;GADD45A;KRAS;ILK;RAF1;AXIN1;ELK1;ARAF;CASP9
4,prerank,Longevity regulating pathway,0.5057511777473193,2.0647840667682527,0.0,0.0008052692619094509,0.004,59/85,32.04%,RPS6KB1;NRAS;CREB3L1;HDAC1;AKT1;FOXO1;BAX;INSR;PRKAA1;IGF1R;ADCY3;PIK3CA;HSPA1B;PIK3R1;RHEB;EIF4E;PRKACA;PPARG;PIK3CB;IGF1;CREB3L2;PPARGC1A;AKT3;INS;CREB3;TSC1;IRS1;CREB3L4;PRKAB1;AKT2;CAT;TSC2;ADCY6;ADCY9;ATF4;STK11;HRAS;TP53;CREB1;SOD1;RPTOR;SESN1;PIK3CD;HSPA8;PRKAG1;CAMKK2;HSPA2;EIF4EBP1;HDAC2;PRKAG2;HSPA1A;FOXO3;PIK3R2;PRKAG3;ATF2;PRKAB2;KRAS;PRKACB;MTOR
5,prerank,Small cell lung cancer,0.5113453883202528,2.0617953514132146,0.0,0.0006710577182578758,0.004,55/79,31.20%,RARB;RB1;CDK2;MAX;GADD45B;TRAF5;RXRA;AKT1;BAX;CCNE1;TRAF3;CDKN2B;CASP3;PIK3CA;SKP2;APAF1;PIK3R1;CDK6;PIK3CB;CDKN1A;LAMB1;NFKBIA;CCND1;AKT3;AKT2;IKBKB;RXRG;BAK1;DDB2;CKS1B;TP53;ITGA2B;MYC;PTK2;CDK4;LAMA3;PIK3CD;TRAF4;PTEN;BCL2;PTGS2;IKBKG;COL4A5;TRAF6;BIRC2;NOS2;COL4A2;RXRB;PIK3R2;CDKN1B;XIAP;GADD45A;E2F1;FHIT;LAMB3
6,prerank,Prostate cancer,0.5036228205489638,2.0588611557991183,0.0,0.0005751923299353221,0.004,63/89,32.38%,ERBB2;BAD;NRAS;CREB3L1;RB1;CDK2;AKT1;FOXO1;IL1R2;CCNE1;IGF1R;PIK3CA;PIK3R1;HSP90AB1;PIK3CB;IGF1;CREB3L2;CDKN1A;NFKBIA;BRAF;LEF1;CCND1;AKT3;INS;CREB3;CREB3L4;AKT2;PDPK1;IKBKB;PDGFRB;EGFR;PLAU;TCF7L2;FGFR1;MAP2K1;ATF4;MAPK1;TCF7L1;HRAS;TP53;SOS1;ERG;EP300;CTNNB1;CREB1;PIK3CD;HSP90AA1;HSP90B1;PTEN;EGF;BCL2;GSK3B;TCF7;IKBKG;GSTP1;SOS2;PIK3R2;CDKN1B;E2F1;KRAS;PLAT;MTOR;FGFR2
7,prerank,Breast cancer,0.4924064469843166,2.0505574554078483,0.0,0.0005032932886934069,0.004,93/112,43.75%,RPS6KB1;ERBB2;NRAS;NOTCH1;RB1;HES5;GADD45B;AKT1;BAX;ESR1;IGF1R;PIK3CA;FZD7;DVL1;WNT9A;PIK3R1;CDK6;PIK3CB;IGF1;CDKN1A;JAG1;BRAF;HEY1;LEF1;SHC1;CCND1;AKT3;JUN;NCOA3;AKT2;FZD5;DVL3;BRCA1;EGFR;TCF7L2;FGFR1;BAK1;AXIN2;MAP2K1;FGF9;MAPK1;TCF7L1;DDB2;WNT3;HRAS;TP53;WNT9B;FOS;SOS1;MYC;CDK4;FZD4;CTNNB1;FZD2;PIK3CD;WNT11;PTEN;EGF;GSK3B;CSNK1A1;TCF7;NFKB2;FGF2;FZD6;SOS2;CSNK1A1L;PIK3R2;NOTCH2;HES1;GADD45A;E2F1;KRAS;DVL2;DLL1;MTOR;FLT4;RAF1;WNT1;AXIN1;WNT7B;WNT5A;BRCA2;ARAF;LRP6;FRAT2;FZD8;NCOA1;FZD9;FGF1;FZD1;KIT;APC;FRAT1
8,prerank,Glioma,0.516507899793967,2.0504511915575154,0.0,0.00044737181217191724,0.004,48/65,34.65%,NRAS;CAMK2D;RB1;GADD45B;AKT1;BAX;IGF1R;PIK3CA;CAMK2G;PIK3R1;CALML6;CDK6;PIK3CB;IGF1;CDKN1A;CAMK1D;BRAF;SHC1;CCND1;AKT3;PRKCA;AKT2;CALM3;PDGFRB;EGFR;CALM1;BAK1;MAP2K1;MAPK1;DDB2;HRAS;TP53;SOS1;CDK4;PIK3CD;PTEN;EGF;PLCG2;SOS2;PIK3R2;GADD45A;E2F1;CDKN2A;KRAS;MTOR;CALM2;RAF1;CAMK1
9,prerank,Colorectal cancer,0.5034255535782554,2.034789226057392,0.0,0.00040263463095472545,0.004,58/79,34.31%,RALA;RPS6KB1;BAD;NRAS;RAC3;PMAIP1;GADD45B;AKT1;BAX;CASP3;BCL2L11;PIK3CA;PIK3R1;MAPK9;PIK3CB;CDKN1A;BRAF;LEF1;CCND1;AKT3;MLH1;SMAD3;RHOA;JUN;TGFB1;AKT2;EGFR;TCF7L2;BAK1;AXIN2;MAP2K1;MAPK1;TCF7L1;DDB2;HRAS;TP53;FOS;SOS1;MYC;TGFBR1;CTNNB1;PIK3CD;EGF;BCL2;GSK3B;TCF7;RAC1;MAPK8;SMAD4;MSH6;SOS2;PIK3R2;GADD45A;KRAS;MTOR;RAF1;TGFBR2;AXIN1
