,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MicroRNAs in cancer,0.43596525742998227,3.0038411265546685,0.0,0.0,0.0,77/129,24.39%,CASP3;APC;IRS2;RPTOR;TP53;MDM2;CRKL;PLAU;ZEB1;VIM;DNMT3A;CDKN1B;SHC4;CDKN1A;CRK;RPS6KA5;SIRT1;MET;ATM;NFKB1;ERBB3;EGFR;RAF1;NOTCH1;CCNE1;TIMP3;GLS;PIM1;PDGFRA;EZH2;RHOA;CCNG1;BCL2;ERBB2;E2F1;ITGB3;DNMT1;ROCK1;MCL1;CDC25A;FOXP1;STAT3;HRAS;PIK3CA;FSCN1;DDIT4;PAK4;MAP2K1;VEGFA;SOS1;DICER1;ST14;GRB2;PLCG2;CCND1;MYC;CYP24A1;KRAS;PRKCG;HDAC1;CREBBP;CDC25B;SHC1;FGFR3;MAPK7;PRKCE;CD44;NOTCH2;ABCB1;PTGS2;MAP2K2;MAPK1;DNMT3B;WNT3;SOCS1;NRAS;TGFB2
1,prerank,Ribosome,0.5036057426449609,2.7929241909526916,0.0,0.0,0.0,28/44,21.45%,RPL19;MRPS2;RPL37A;RPL15;RPS16;RPL23A;RPL8;RPS17;RPS27A;RPS3A;RPL37;RPL23;RPS6;RPS13;RPS2;RPL3;RPS19;RPS15A;RPS7;RPL7;UBA52;RPS5;RPS10;RPS9;RPS14;RPS3;RPL11;MRPL18
2,prerank,Pancreatic cancer,0.44973951836446147,2.7701417196010016,0.0,0.0,0.0,56/71,40.52%,SMAD3;TP53;SMAD4;BRCA2;SMAD2;CDKN1A;RELA;AKT1;CASP9;NFKB1;PIK3CB;EGFR;RAF1;GADD45B;RALBP1;CDK4;PLD1;ERBB2;STAT1;E2F1;STAT3;PIK3CA;RPS6KB2;MAP2K1;VEGFA;RB1;RAC1;TGFBR1;BCL2L1;RAC3;BAD;CCND1;TGFBR2;KRAS;RAD51;CDC42;BRAF;RPS6KB1;MAPK1;GADD45A;TGFB2;MAPK8;ARAF;CDK6;MTOR;CHUK;PIK3R2;IKBKG;MAPK9;MAPK3;PIK3R3;RALGDS;PIK3R1;RALA;TGFB3;AKT3
3,prerank,Prostate cancer,0.424791509982232,2.7651703893145236,0.0,0.0,0.0,70/89,42.01%,ATF4;CREB3L2;TP53;MDM2;PLAU;ZEB1;CDKN1B;CREB1;ETV5;FGFR2;CDKN1A;RELA;CDK2;AKT1;CASP9;NFKB1;PIK3CB;EGFR;RAF1;CCNE1;CTNNB1;PDGFRA;PLAT;GSK3B;BCL2;ERBB2;FGFR1;E2F1;NFKBIA;HRAS;PIK3CA;MAP2K1;SOS1;RB1;BAD;GRB2;PDPK1;CCND1;AR;KRAS;LEF1;HSP90B1;CREBBP;BRAF;MAP2K2;MAPK1;NRAS;PTEN;EP300;ARAF;HSP90AB1;FOXO1;ERG;MTOR;TCF7L2;SOS2;CHUK;GSTP1;PIK3R2;HSP90AA1;IKBKG;MAPK3;PIK3R3;PIK3R1;NKX3-1;CCNE2;AKT3;CREB3L4;IKBKB;PDGFRB
4,prerank,Chronic myeloid leukemia,0.43467065319653403,2.697531513099259,0.0,0.0,0.0,56/71,40.52%,SMAD3;TP53;MDM2;CRKL;SMAD4;CDKN1B;SHC4;CDKN1A;CRK;RELA;AKT1;HDAC2;NFKB1;PIK3CB;RAF1;GADD45B;CDK4;E2F1;NFKBIA;HRAS;PIK3CA;MAP2K1;SOS1;RB1;TGFBR1;BCL2L1;BAD;GRB2;CCND1;MYC;TGFBR2;KRAS;HDAC1;BRAF;PTPN11;SHC1;MAP2K2;MAPK1;NRAS;GADD45A;TGFB2;ARAF;CDK6;BCR;STAT5A;SOS2;ABL1;CHUK;PIK3R2;IKBKG;MAPK3;CBL;PIK3R3;PIK3R1;TGFB3;AKT3
5,prerank,Colorectal cancer,0.4226176468788557,2.6785425621210543,0.0,0.0,0.0,60/79,40.52%,CASP3;APC;SMAD3;TP53;SMAD4;SMAD2;CDKN1A;BIRC5;JUN;AKT1;CASP9;PIK3CB;EGFR;RAF1;GADD45B;CTNNB1;RHOA;GSK3B;BCL2;HRAS;PIK3CA;RPS6KB2;MAP2K1;SOS1;CYCS;RAC1;TGFBR1;RAC3;BAD;GRB2;CCND1;MYC;TGFBR2;KRAS;LEF1;BRAF;RPS6KB1;AXIN1;MAP2K2;MAPK1;NRAS;FOS;GADD45A;TGFB2;MAPK8;ARAF;BCL2L11;MTOR;TCF7L2;SOS2;AXIN2;PIK3R2;MAPK9;MAPK3;PIK3R3;RALGDS;PIK3R1;RALA;TGFB3;AKT3
6,prerank,Cell cycle,0.4020804184067993,2.674865842349384,0.0,0.0,0.0,56/94,28.95%,SMAD3;TP53;CDKN2C;MDM2;YWHAQ;SMAD4;CCNA2;BUB1;SMAD2;CDKN1B;ORC4;TFDP1;TTK;CDKN1A;CCNB2;SKP1;CDK2;HDAC2;ATM;RBX1;MCM3;CDK7;CCNE1;GADD45B;CCND3;SMC1A;CDK4;GSK3B;ATR;YWHAH;PRKDC;E2F1;WEE1;CDC25A;PKMYT1;RB1;CCND1;E2F5;MYC;HDAC1;CREBBP;CHEK1;CDC25B;PLK1;ESPL1;MCM2;CCNH;CDKN2B;PCNA;GADD45A;TGFB2;BUB1B;EP300;STAG2;CDK1;CDK6
7,prerank,Insulin signaling pathway,0.39917549085832127,2.6702852538968562,0.0,0.0,0.0,84/111,41.88%,IRS2;RPTOR;CRKL;TSC2;PRKAA1;EIF4EBP1;SHC4;PRKAG2;CRK;PYGL;AKT1;PRKAG1;PIK3CB;PRKAG3;RAF1;RPS6;PRKAR1A;SOCS2;PTPN1;GSK3B;HRAS;PIK3CA;RPS6KB2;PRKAR2B;MAP2K1;SOS1;CALM1;INPPL1;PRKACB;PRKAR2A;BAD;GRB2;PDPK1;SOCS4;KRAS;PRKCZ;BRAF;PCK1;RPS6KB1;SHC1;PYGM;GCK;MAP2K2;MAPK1;G6PC;SOCS1;NRAS;RHEB;PRKAB1;ELK1;MAPK8;ACACB;HK2;ARAF;TRIP10;PRKACA;PYGB;FOXO1;CALM2;EIF4E;MTOR;FBP1;SOS2;CALM3;PPP1CC;TSC1;PIK3R2;PRKAB2;PHKB;PPP1CA;PHKG2;MAPK9;MAPK3;CBL;CALML6;PIK3R3;PIK3R1;MKNK1;HK1;INSR;G6PC2;AKT3;CBLB;IKBKB
8,prerank,Hepatitis B,0.37347955994629234,2.6625638444850837,0.0,0.0,0.0,108/153,40.52%,ATF4;CASP3;CREB3L2;SMAD3;TP53;YWHAQ;JAK3;SMAD4;CCNA2;SMAD2;STAT6;CREB1;SLC10A1;CDKN1A;BIRC5;RELA;CDK2;JUN;AKT1;CASP9;CASP8;NFKB1;PIK3CB;RAF1;CCNE1;SRC;IFIH1;BCL2;STAT1;IRF3;E2F1;CASP10;NFKBIA;IKBKE;STAT3;HRAS;PIK3CA;MAP2K1;IFNA16;SOS1;FAS;CYCS;RB1;IFNA5;TGFBR1;STAT2;BAD;GRB2;MYC;EGR3;MAPK14;TGFBR2;KRAS;IFNA2;PRKCG;CREBBP;MAP2K3;IFNB1;BRAF;TLR3;NFATC1;JAK2;APAF1;NFATC3;TLR2;TIRAP;PCNA;MAP2K2;MAPK1;FADD;TLR4;NRAS;FOS;TGFB2;ELK1;TYK2;MAPK8;HSPG2;MAP2K6;IFNAR1;EP300;ARAF;TRAF6;MYD88;MAP2K4;TICAM2;STAT5A;IFNA21;SOS2;CHUK;MAP3K7;PIK3R2;TNF;IRAK4;IKBKG;TAB2;ATF2;MAPK9;TBK1;MAPK3;TICAM1;PIK3R3;DDB1;PIK3R1;MAPK13;TGFB3;CCNE2;AKT3
9,prerank,Thyroid hormone signaling pathway,0.3950441949503541,2.6269812286188228,0.0,0.0,0.0,69/95,39.39%,TP53;MDM2;TSC2;HIF1A;RXRG;AKT1;CASP9;HDAC2;PIK3CB;RAF1;NOTCH1;SRC;CTNNB1;FXYD2;GSK3B;STAT1;ITGB3;HRAS;PIK3CA;MAP2K1;MED1;NCOA1;PRKACB;PFKFB2;BAD;PDPK1;PLCG2;CCND1;RXRA;MYC;KRAS;PRKCG;HDAC1;CREBBP;HDAC3;ATP1A1;NOTCH2;MAP2K2;SLCO1C1;MAPK1;NCOA3;NRAS;RHEB;EP300;SLC2A1;PRKACA;PLCB3;ATP1B1;ATP1A3;SLC9A1;TBC1D4;ACTB;FOXO1;MTOR;ATP2A2;ITGAV;ESR1;RXRB;BMP4;KAT2B;MED13;PIK3R2;MED12L;MAPK3;PLCG1;PIK3R3;PIK3R1;KAT2A;PLCD1
10,prerank,Renal cell carcinoma,0.43055749009949845,2.580720473186886,0.0,9.200557684739962e-05,0.001,40/62,29.12%,CRKL;TFE3;CUL2;HIF1A;CDKN1A;CRK;JUN;AKT1;MET;RBX1;PIK3CB;RAF1;ETS1;EGLN1;HRAS;PIK3CA;PAK4;MAP2K1;VEGFA;SOS1;PRCC;RAC1;BAD;GRB2;KRAS;CDC42;CREBBP;BRAF;PTPN11;MAP2K2;MAPK1;NRAS;TGFB2;ARNT;PAK2;EP300;ARAF;SLC2A1;VHL;EPAS1
