,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Arginine biosynthesis,0.565607761145063,1.9839515857658636,0.001081081081081081,0.03305654728051282,0.032,14/16,35.40%,ARG1;OTC;GLUL;GLUD1;ASL;CPS1;ASS1;GLUD2;ACY1;NOS2;GPT;ARG2;GOT1;GLS
1,prerank,Colorectal cancer,0.3935436234716433,1.891241145803519,0.0,0.050085677697746696,0.093,51/79,34.49%,TP53;JUN;AREG;CASP3;BAK1;MAPK8;AXIN2;HRAS;CTNNB1;MAP2K2;MAPK3;RPS6KB1;BBC3;MSH6;MAPK1;BAD;GSK3B;PMAIP1;GADD45B;MAPK9;SMAD4;KRAS;AKT1;NRAS;BAX;MLH1;EGFR;MAP2K1;BRAF;RAC1;RALA;LEF1;PIK3CA;TCF7L2;AXIN1;BIRC5;MTOR;MYC;SMAD3;MSH2;TGFA;RALB;CCND1;BCL2L11;TGFBR1;PIK3R1;FOS;TGFB1;CASP9;EREG;GRB2
2,prerank,Nitrogen metabolism,0.5354641473903661,1.8684769993090897,0.0010940919037199124,0.046078823481926955,0.124,10/16,21.08%,CA12;GLUL;GLUD1;CA14;CPS1;CA1;GLUD2;CA7;CA6;CA5A
3,prerank,Sphingolipid signaling pathway,0.367639481893794,1.8270843921460105,0.0,0.05709767257543123,0.193,82/101,52.92%,FCER1A;ASAH1;TP53;SGPP2;OPRD1;PPP2R3A;MAPK12;CERS6;S1PR3;PLD2;MAPK8;PPP2R2C;HRAS;MAP2K2;SPTLC2;MAPK3;TNFRSF1A;ADORA3;ADORA1;MAPK1;MAP3K5;SMPD1;S1PR1;RELA;S1PR2;BDKRB2;MAPK9;KRAS;PLCB3;AKT1;GNAI3;NRAS;BAX;PLCB1;MAP2K1;RAC1;MS4A2;PRKCZ;PRKCB;SPHK1;KNG1;PRKCE;PIK3CA;MAPK11;PPP2R5C;PTEN;FYN;PRKCA;PPP2R5B;ROCK1;CERS2;SGPL1;PPP2R5E;PPP2R2A;PIK3R1;CTSD;GNAI1;BID;PPP2R5A;TNF;S1PR5;SPTLC1;RAF1;PPP2R1A;TRADD;FCER1G;RAC3;CERS3;ABCC1;SPHK2;MAPK14;PIK3CD;PDPK1;PPP2R2D;GNAI2;RHOA;TRAF2;BCL2;PRKCG;AKT3;ROCK2;PPP2CB
4,prerank,Thyroid cancer,0.4249267825646658,1.780322469324746,0.0010224948875255625,0.07472783112503806,0.294,27/34,43.11%,TP53;BAK1;HRAS;CTNNB1;MAP2K2;MAPK3;TPM3;MAPK1;GADD45B;TPR;KRAS;RXRG;NRAS;BAX;MAP2K1;BRAF;LEF1;TCF7L2;PPARG;MYC;CCND1;CDKN1A;TFG;RXRA;RET;CDH1;TCF7
5,prerank,Central carbon metabolism in cancer,0.38255019833987075,1.767084532843137,0.001002004008016032,0.06928518748188292,0.323,50/60,52.55%,SLC2A2;TP53;HRAS;SIRT3;FLT3;MAP2K2;MAPK3;SLC2A1;FGFR1;HIF1A;MAPK1;HK1;SIRT6;FGFR3;KRAS;AKT1;ERBB2;NRAS;SLC7A5;EGFR;MAP2K1;TIGAR;HKDC1;PIK3CA;G6PD;PKM;PFKP;MTOR;MYC;PTEN;MET;IDH1;NTRK3;PIK3R1;PFKM;GLS;RAF1;RET;PDHA1;LDHA;SLC1A5;GCK;PIK3CD;PDHB;PDGFRB;HK3;PFKL;PDGFRA;NTRK1;AKT3
6,prerank,Human T-cell leukemia virus 1 infection,0.3333424163819686,1.7643267498950475,0.0,0.06067522098241314,0.326,117/189,40.39%,CDKN2C;CREBBP;NFKBIA;POLB;NFATC1;RB1;BCL2L1;TP53;CCND2;JUN;CREB3L4;ATR;CDK4;LCK;PRKACG;MAPK8;SLC25A4;HRAS;MAP2K2;MAPK3;TNFRSF13C;TNFRSF1A;IKBKG;SLC2A1;SPI1;ELK4;CANX;MAPK1;CHEK2;IL2;CDK2;ADCY9;IL6;ICAM1;NRP1;RELA;IKBKB;ADCY7;MAPK9;IL1R1;FOSL1;SMAD4;MSX1;MAP3K1;EP300;PPP3CA;B2M;KRAS;CHEK1;AKT1;RELB;NRAS;BAX;HLA-DOB;MAP3K14;HLA-DRB1;ADCY1;ATF2;MAP2K1;TBPL1;CCNA2;IL2RG;PPP3R1;NFATC3;CD3G;ETS2;CD40;CSF2;HLA-DPB1;HLA-DRA;CREB3;FDPS;PIK3CA;HLA-DMB;TSPO;MAP2K4;IL1R2;LTA;KAT2B;ADCY2;MYC;VDAC2;IL2RB;SMAD3;PTEN;ELK1;IL15RA;EGR1;HLA-DRB3;VDAC1;CCNA1;ADCY3;CCND1;EGR2;TGFBR1;PIK3R1;FOS;IL2RA;ETS1;CDKN2A;TGFB1;IL15;CCND3;CREB1;HLA-DMA;TNF;NFYB;JAK1;CREB3L1;CDKN1A;NFATC2;KAT5;HLA-DRB5;LTBR;JAK3;MSX2;HLA-DQB1
7,prerank,Glyoxylate and dicarboxylate metabolism,0.44387947145354745,1.7573741891238248,0.005230125523012552,0.05634638740996503,0.342,18/25,38.62%,ACAT2;CAT;HAO1;ACAT1;CS;PCCB;GLUL;ACSS2;SHMT2;DLD;GRHPR;GCSH;ACSS1;GLDC;PCCA;GLYCTK;HAO2;ACO1
8,prerank,ErbB signaling pathway,0.3626025048520787,1.7414544622202992,0.001,0.058989798177346106,0.396,48/79,36.14%,SHC1;PTK2;ABL1;CAMK2A;JUN;PAK3;AREG;MAPK8;HRAS;MAP2K2;MAPK3;RPS6KB1;ERBB3;CDKN1B;MAPK1;BAD;GSK3B;ABL2;MAPK9;KRAS;CBLB;AKT1;ERBB2;NRAS;EGFR;MAP2K1;BRAF;PRKCB;CBL;PIK3CA;MAP2K4;MTOR;MYC;SHC4;NRG4;ELK1;NCK1;PLCG1;PRKCA;TGFA;PAK2;SRC;PIK3R1;ERBB4;EREG;GRB2;MAP2K7;CAMK2G
9,prerank,Progesterone-mediated oocyte maturation,0.36609146942682824,1.7295571664896388,0.001002004008016032,0.05970212781571405,0.428,49/65,50.01%,INS;RPS6KA1;MAPK12;PRKACG;MAPK8;STK10;CDC25C;CCNB1;MAPK3;RPS6KA3;MAPK1;CDK2;ADCY9;ADCY7;MAPK9;KRAS;AKT1;GNAI3;ADCY1;MAP2K1;CCNA2;BRAF;CPEB4;CDK1;RPS6KA6;PIK3CA;AURKA;ADCY2;MAPK11;CDC25B;PDE3B;HSP90AB1;CCNA1;ADCY3;PIK3R1;CDC25A;GNAI1;MOS;HSP90AA1;RAF1;PKMYT1;ARAF;IGF1R;MAPK14;PIK3CD;PRKACB;IGF1;PGR;GNAI2
