,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,"Parathyroid hormone synthesis, secretion and action",0.39642028052012496,2.3196880961651023,0.0,0.003077852889824059,0.003,59/85,39.52%,ADCY9;PLD2;ITPR1;PLCB1;VDR;ITPR3;RHOA;MEF2A;EGFR;PRKACB;GATA3;CREB3L4;AKAP13;CREB1;RAF1;CREB5;BCL2;ATF2;GNAI1;GNA13;ADCY2;NR4A2;GNAI2;ADCY3;MMP15;ADCY7;PDE4C;PLCB3;ATF4;MAPK1;PRKACG;EGR1;ADCY5;BRAF;CDKN1A;RXRG;MMP14;PRKACA;RUNX2;ARAF;MAP2K1;PDE4A;PLD1;ADCY6;FGFR1;TRPV5;RXRA;PDE4D;GNA11;PRKCG;GNAI3;CASR;MEF2D;HBEGF;TNFSF11;MAPK3;MMP13;FOS;PTHLH
1,prerank,Apoptosis,0.3582213883121068,2.232089158478879,0.0,0.003590828371461402,0.007,98/123,50.40%,PMAIP1;CASP7;ITPR1;AKT1;PARP2;PDPK1;ITPR3;TNFRSF10A;DDIT3;BCL2L1;PARP1;DFFA;AIFM1;BECN1;CFLAR;HRAS;CASP2;IKBKG;RAF1;BCL2;MAPK9;MCL1;CTSK;CYCS;FADD;CTSD;ERN1;BIRC5;TP53;CTSH;KRAS;ATF4;AKT3;PARP4;RELA;MAPK1;ACTB;TUBA8;FAS;NRAS;NGF;BID;CHUK;GZMB;DAXX;NTRK1;CASP8;CASP3;APAF1;BAK1;CTSW;CASP6;DFFB;CAPN1;ATM;BIRC3;HRK;TUBA3C;DIABLO;MAP2K1;RIPK1;BIRC7;CASP9;IKBKB;TRADD;BIRC2;CASP10;TUBA1A;NFKB1;EIF2AK3;ENDOG;PIK3CD;MAPK3;NGFR;FOS;PIK3R1;ACTG1;CTSB;PIK3CA;CTSL;TNFRSF1A;MAPK8;BAD;SPTAN1;SPTA1;MAP3K5;JUN;PIK3CB;CTSF;BCL2L11;TUBA4A;BAX;TNFRSF10B;AKT2;FASLG;LMNA;MAP3K14;HTRA2
2,prerank,Folate biosynthesis,0.5457551552488344,2.2040568704468693,0.0011098779134295228,0.0037618201986738494,0.011,15/19,32.43%,FPGS;AKR1B1;SPR;ALPL;MOCOS;DHFR;CBR1;PCBD1;QDPR;AKR1B10;PAH;TH;AKR1C3;GCH1;TPH1
3,prerank,Pancreatic cancer,0.38437454701259643,2.16963708460277,0.0,0.004360291593917417,0.017,57/71,48.88%,BRCA2;AKT1;E2F1;SMAD4;RAC3;SMAD3;EGFR;BCL2L1;TGFBR2;RAC1;CDK4;IKBKG;RAF1;CDC42;MAPK9;TGFBR1;RPS6KB1;TP53;KRAS;DDB2;AKT3;STAT3;RELA;RALBP1;SMAD2;MAPK1;CHUK;CDK6;BRAF;CDKN1A;BAK1;STAT1;ARAF;MAP2K1;PLD1;ERBB2;CASP9;TGFA;IKBKB;NFKB1;RPS6KB2;VEGFA;PIK3CD;MAPK3;RAD51;PIK3R1;PIK3CA;MAPK8;TGFB1;BAD;JAK1;PIK3CB;RALB;RB1;BAX;CCND1;AKT2
4,prerank,Estrogen signaling pathway,0.34641994794872194,2.0744939266796316,0.0,0.010875080210711674,0.05,66/98,40.94%,ADCY9;ITPR1;AKT1;GABBR1;HSPA1B;PLCB1;ITPR3;EGFR;HSP90AB1;PRKACB;CREB3L4;HSP90AA1;HRAS;GABBR2;CREB1;RAF1;CREB5;BCL2;ATF2;GNAI1;ADCY2;SOS1;GNAI2;ADCY3;CTSD;ADCY7;KRAS;PLCB3;KRT19;ATF4;AKT3;SHC4;CALM3;MAPK1;NRAS;PGR;MMP2;OPRM1;PRKACG;FKBP4;KRT12;NCOA3;ADCY5;HSP90B1;GPER1;ESR2;KCNJ5;PRKACA;HSPA2;SHC1;RARA;ESR1;MAP2K1;ADCY6;PRKCD;TGFA;GNAI3;HBEGF;NCOA1;PIK3CD;MAPK3;POMC;FOS;PIK3R1;CALM1;PIK3CA
5,prerank,Central carbon metabolism in cancer,0.3779134095953404,2.0741676001352625,0.0,0.009062566842259728,0.05,45/60,44.00%,PDK1;SIRT3;AKT1;HIF1A;PTEN;RET;EGFR;SLC2A1;PDGFRB;HRAS;RAF1;PDHB;TP53;G6PD;KRAS;AKT3;PFKM;MET;MAPK1;SLC2A2;NRAS;PDHA1;HK1;TIGAR;NTRK1;NTRK3;PDGFRA;PFKL;MAP2K1;ERBB2;FGFR3;FGFR1;FGFR2;SLC1A5;IDH1;PIK3CD;MAPK3;LDHA;SLC7A5;PIK3R1;PIK3CA;HK3;SIRT6;FLT3;PIK3CB
6,prerank,Prostate cancer,0.34966414291964104,2.04510455607009,0.0,0.010406074056071817,0.066,69/89,48.88%,AKT1;E2F1;PDPK1;PTEN;EP300;EGFR;ERG;HSP90AB1;PLAU;PDGFRB;CREB3L4;HSP90AA1;GSTP1;HRAS;IKBKG;CREB1;RAF1;CREB5;BCL2;SOS1;IL1R2;IGF1R;TP53;KRAS;ATF4;AKT3;RELA;MAPK1;NRAS;ZEB1;CHUK;BRAF;CDKN1A;HSP90B1;GSK3B;PDGFRA;ARAF;MAP2K1;CDKN1B;ERBB2;FGFR1;FGFR2;LEF1;CASP9;AR;TGFA;CTNNB1;IKBKB;MDM2;CREBBP;NFKB1;PIK3CD;MAPK3;PIK3R1;INSRR;CCNE1;PIK3CA;BAD;PLAT;NKX3-1;PIK3CB;PDGFC;ETV5;RB1;CREB3L2;PDGFD;CREB3;CCND1;AKT2
7,prerank,Citrate cycle (TCA cycle),0.4455082299533378,2.0443559636089046,0.0,0.00910531479906284,0.066,23/27,43.79%,CS;MDH2;PCK2;IDH3A;PDHB;IDH2;SUCLA2;PDHA1;IDH3B;OGDH;DLAT;ACO1;SDHB;IDH1;SDHC;IDH3G;DLD;SUCLG1;SDHD;SUCLG2;PC;FH;ACLY
8,prerank,Kaposi sarcoma-associated herpesvirus infection,0.31545868245974107,2.015408335674767,0.0,0.010943476941596652,0.087,116/158,48.88%,TICAM1;ITPR1;AKT1;E2F1;HIF1A;SYK;ITPR3;NFATC1;EP300;STAT2;PLCG2;MAPK13;CXCL2;GNG12;IRF7;RAC1;BECN1;HLA-A;HRAS;CDK4;IKBKG;IFNB1;CREB1;RAF1;MAPKAPK2;GNG8;MAPK9;IFNA10;CCR5;CYCS;FADD;JAK2;TP53;KRAS;AKT3;MAPK12;GNG4;IRF9;STAT3;NFATC4;RELA;GNG11;CALM3;PPP3CA;MAPK1;FAS;NRAS;ATG3;IFNGR1;HCK;IFNA2;BID;PPP3R2;CHUK;CXCL3;CDK6;CASP8;CASP3;CDKN1A;BAK1;GSK3B;PIK3R6;IFNA8;STAT1;CXCL1;IFNA17;PLCG1;MAP2K1;IFNA4;FGF2;CASP9;GNB4;MAP2K4;IFNA16;CTNNB1;IKBKB;CD86;IFNA21;TRADD;CREBBP;NFKB1;VEGFA;IKBKE;GABARAPL1;PIK3CD;MAPK3;FOS;TBK1;CCR4;PIK3R1;CALM1;PIK3CA;EIF2AK2;CCR3;TLR3;TNFRSF1A;MAPK8;CD200R1;PIK3C3;JAK1;IFNAR2;GNG5;ICAM1;LYN;JUN;PIK3CB;IL6;GNG7;NFATC3;RCAN1;RB1;BAX;GNGT2;TYK2;CCND1;AKT2
9,prerank,Longevity regulating pathway,0.3416847260384134,2.01354212659268,0.0,0.00984912924743699,0.087,46/85,28.90%,ADCY9;AKT1;SOD1;HSPA1B;IRS1;EIF4EBP1;PPARG;PRKACB;PRKAA1;CREB3L4;PRKAG1;HRAS;CREB1;RPTOR;STK11;CREB5;PRKAG2;CAT;ATF2;ADCY2;RPS6KB1;FOXA2;ADCY3;ATG5;IGF1R;ADCY7;RHEB;TP53;KRAS;ATF4;PRKAA2;AKT3;RELA;HDAC1;NRAS;PRKACG;ADCY5;PRKAB2;EHMT1;EHMT2;PRKAG3;PRKACA;HSPA2;TSC2;EIF4E;ADCY6
