,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Toxoplasmosis,0.3863784997082415,2.215844471330524,0.0,0.007054935119793095,0.007,74/99,43.14%,HLA-DOB;JAK1;HLA-DQA2;IL10;PIK3R5;CASP3;IRAK4;TLR4;HLA-DMA;CHUK;BCL2;MAPK3;PIK3CG;HLA-DMB;TGFB1;MAPK9;CASP8;HLA-DRB5;BIRC3;MAP3K7;IFNG;STAT3;AKT1;HLA-DPB1;AKT3;HLA-DPA1;MAPK8;MAP2K3;HLA-DOA;BCL2L1;TYK2;HSPA1A;GNAI3;AKT2;TLR2;LAMB1;TRAF6;CD40;NOS2;HSPA1B;HLA-DRA;IFNGR1;CASP9;NFKBIA;HSPA8;CD40LG;ITGA6;HLA-DRB1;NFKB1;PIK3R6;JAK2;IL10RA;IRGM;MAPK1;SOCS1;IRAK1;LAMB3;ALOX5;BAD;LAMA3;NFKBIB;IL10RB;TNFRSF1A;CCR5;RELA;MYD88;LDLR;PDPK1;CIITA;BIRC7;IL12B;MAPK11;XIAP;GNAI2
1,prerank,Alcoholism,0.3819027697381635,2.194366353810772,0.0,0.004535315434152704,0.009,77/103,46.99%,GNG7;HDAC4;CAMKK2;HDAC1;DDC;SOS2;GRIN2C;HDAC5;NRAS;HIST1H4E;SLC6A3;HIST1H4I;MAPK3;HAT1;TH;HDAC7;GNAS;HIST1H2AC;FOSB;HDAC10;GNG12;MAOB;HRAS;GRB2;GNG4;GNAI3;GNGT2;GRIN2D;MAP2K1;HDAC11;GRIN2A;CREB1;CAMKK1;SHC1;SLC29A1;GRIN3A;GRIN1;ATF4;GNB5;NTRK2;ATF2;PKIA;HIST1H3G;MAPK1;HDAC6;MAOA;DRD2;BRAF;KRAS;PRKACA;HDAC9;HDAC3;ADORA2B;HIST1H2AL;GNG5;RAF1;PPP1CA;GNB4;HIST2H2BE;SLC18A2;CALM3;HDAC2;HIST1H2BD;SOS1;CREB3;GNAI2;PPP1CC;ADORA2A;CALM1;GNAI1;ARAF;DRD1;CREB3L4;HIST1H2AH;HIST1H2AG;CALM2;ADCY5
2,prerank,Staphylococcus aureus infection,0.41913469349406063,2.1317493890675485,0.0,0.006383036536955656,0.019,35/52,33.49%,HLA-DOB;HLA-DQA2;IL10;ITGB2;CFI;HLA-DMA;SELPLG;HLA-DMB;HLA-DRB5;FCAR;FCGR2A;FCGR1A;ICAM1;HLA-DPB1;C1QB;FPR2;PLG;C3;HLA-DPA1;DEFB4A;FPR3;HLA-DOA;DSG1;C4A;CFB;CAMP;MASP2;C1S;HLA-DRA;ITGAM;HLA-DRB1;C5;CFD;C4B;C1QA
3,prerank,Hematopoietic cell lineage,0.37210380155612416,2.0825278895001507,0.0,0.008062782994049252,0.031,71/90,48.41%,ITGA2B;IL9R;HLA-DOB;CD37;HLA-DQA2;CR1;FLT3;HLA-DMA;CD2;HLA-DMB;GP9;IL5;HLA-DRB5;IL11RA;IL6;FCGR1A;CD5;HLA-DPB1;CD3G;IL5RA;GP5;CD1E;HLA-DPA1;CD9;ANPEP;IL7R;HLA-DOA;MS4A1;CD14;CD22;CD8A;CD55;CSF1R;CD33;CD1C;GP1BA;CSF3R;IL3RA;HLA-DRA;ITGAM;IL1R2;CD36;CD34;ITGA6;HLA-DRB1;IL1B;GYPA;KITLG;CD44;IL6R;TFRC;GP1BB;CSF3;CD4;CD1D;IL4R;EPO;ITGA1;CD19;CD3D;CD1B;CR2;CD3E;ITGA3;IL11;FCER2;IL1R1;CD59;IL2RA;CD24;CSF1
4,prerank,Prolactin signaling pathway,0.39498323368229327,2.073224714406083,0.0010070493454179255,0.0068533655449418635,0.032,47/64,43.13%,CYP17A1;SOS2;PIK3R3;NRAS;FOS;SOCS4;INS;MAPK3;TH;GCK;MAPK9;PIK3CD;CISH;PRL;STAT3;AKT1;PIK3CA;AKT3;IRF1;MAPK8;HRAS;GRB2;PIK3R1;AKT2;MAP2K1;FOXO3;STAT5A;SOCS2;SHC1;CGA;TNFRSF11A;NFKB1;JAK2;ESR1;MAPK1;SOCS1;KRAS;PRLR;CCND2;RELA;RAF1;CCND1;SOS1;SLC2A2;MAPK11;PIK3CB;ESR2
5,prerank,Chagas disease (American trypanosomiasis),0.3605302382375728,2.0314161616035404,0.0,0.010078478742561563,0.056,69/97,44.26%,IL2;IL10;CXCL8;FADD;IRAK4;PIK3R3;TLR4;FOS;CHUK;MAPK3;TGFB1;MAPK9;KNG1;GNAS;CASP8;PIK3CD;PPP2R2D;PPP2CA;TLR9;IL6;SMAD2;BDKRB2;JUN;TGFBR1;MAP2K4;IFNG;CCL3;AKT1;C1QB;CD3G;PIK3CA;AKT3;C3;MAPK8;SMAD3;PIK3R1;GNAI3;AKT2;TLR2;ACE;TRAF6;NOS2;IFNGR1;TGFBR2;NFKBIA;NFKB1;IL1B;CFLAR;MAPK1;PPP2R2A;IRAK1;PLCB3;C1QA;TNFRSF1A;GNA15;RELA;MYD88;IL12B;FAS;CALR;MAPK11;PIK3CB;CD3D;GNAI2;SERPINE1;CD3E;GNAI1;PPP2CB;GNA11
6,prerank,Prion diseases,0.4593238159348426,2.0132179421516385,0.0,0.010366435278063323,0.068,21/29,34.06%,PRKACB;EGR1;SOD1;MAPK3;NOTCH1;IL6;BAX;C8B;C1QB;FYN;C7;HSPA1A;PRKACG;MAP2K1;NCAM1;C9;IL1B;C5;MAPK1;C1QA;PRKACA
7,prerank,Acute myeloid leukemia,0.37900562438007684,2.0117928263974063,0.0,0.009070630868305408,0.068,47/65,44.31%,SOS2;PPARD;PIK3R3;NRAS;CCNA1;FLT3;CHUK;RARA;MAPK3;PIK3CD;RUNX1T1;FCGR1A;RPS6KB1;STAT3;AKT1;DUSP6;PIK3CA;AKT3;HRAS;GRB2;PIK3R1;PML;AKT2;CD14;MAP2K1;STAT5A;CSF1R;ZBTB16;ITGAM;NFKB1;MAPK1;BAD;BRAF;LEF1;RUNX1;KRAS;RPS6KB2;RELA;RAF1;PIM2;PIM1;CCND1;SOS1;PIK3CB;SPI1;TCF7L2;ARAF
8,prerank,Relaxin signaling pathway,0.34876286607357004,2.0019730372635953,0.0,0.00918261396544498,0.076,73/103,44.87%,GNG7;SOS2;RXFP4;PRKACB;MAP2K7;PIK3R3;NRAS;EDN1;PRKCA;FOS;COL4A4;COL4A5;RXFP1;MAPK3;ACTA2;TGFB1;EGFR;MAPK9;GNAS;PIK3CD;SMAD2;JUN;TGFBR1;MAP2K4;ADCY2;AKT1;GNG12;PIK3CA;PRKCZ;AKT3;MAPK8;SMAD3;HRAS;GRB2;MMP13;GNG4;ARRB1;PIK3R1;GNAI3;AKT2;GNGT2;PRKACG;MAP2K1;CREB1;NOS2;SHC1;TGFBR2;NFKBIA;NFKB1;ATF4;GNB5;ATF2;MAPK1;PLCB3;ADCY6;KRAS;PRKACA;VEGFA;GNA15;RELA;GNG5;RAF1;GNB4;VEGFC;VEGFB;SOS1;CREB3;MAPK11;PIK3CB;GNAI2;ADCY3;GNAI1;CREB3L4
9,prerank,Measles,0.33666163808892624,1.9804677443549308,0.0,0.010078478742561563,0.088,85/125,42.97%,IFNA4;RCHY1;OAS1;JAK1;CSNK2B;IFNA10;IL2;TP53;IFNA8;FADD;CASP3;IFNAR1;IRAK4;PIK3R3;TLR4;FOS;CCND3;CHUK;BCL2;CDK2;EIF2AK4;MAPK9;SLAMF1;CASP8;PIK3CD;JAK3;IRF3;TLR9;MAP3K7;IL6;CBLB;JUN;STAT3;AKT1;BAX;CD3G;DDX58;PIK3CA;AKT3;TBK1;MAPK8;TNFAIP3;BCL2L1;TYK2;PIK3R1;HSPA1A;AKT2;TRAF3;TLR2;STAT5A;CDK4;EIF2AK1;APAF1;BAK1;TRAF6;STAT2;HSPA1B;OAS3;CASP9;NFKBIA;HSPA8;CSNK2A2;NFKB1;IL1B;OAS2;IFNA21;IRAK1;BAD;TRADD;ADAR;NFKBIB;CCND2;FCGR2B;RELA;MYD88;CD46;CCND1;CCNE1;IFNA2;IL12B;EIF2AK2;FAS;PIK3CB;CD3D;BID
