,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,B cell receptor signaling pathway,0.47090757497409697,2.3436493302564734,0.0,0.0,0.0,54/68,40.59%,PTPN6;AKT1;KRAS;PIK3CD;VAV3;GRB2;MAP2K1;CD79B;RAF1;RAC1;NRAS;GSK3B;CD19;MAPK1;DAPP1;CD81;CHUK;RELA;JUN;NFATC1;CARD11;CR2;PIK3CA;NFATC3;AKT2;PLCG2;PIK3R3;NFKBIA;LILRB3;NFATC2;INPP5D;BLNK;IKBKB;IKBKG;PPP3R1;BTK;LYN;PPP3CA;FOS;HRAS;CD72;NFKBIE;IFITM1;CD79A;MAP2K2;CD22;PRKCB;BCL10;NFKBIB;INPPL1;PIK3R1;PIK3CB;NFKB1;MAPK3
1,prerank,Th17 cell differentiation,0.4359298483234281,2.282466427642228,0.0,0.0010162414530779965,0.002,82/107,40.81%,IL4R;STAT5B;IL2RB;IL1RAP;FOXP3;CD3D;HLA-DRB5;RXRA;SMAD4;JAK2;SMAD3;GATA3;HIF1A;MAPK1;ZAP70;RORC;RARA;LCK;STAT3;CHUK;RELA;JUN;HLA-DOA;HLA-DMA;TGFBR1;NFATC1;MAPK12;HSP90AA1;RXRG;TGFB1;HLA-DRA;HLA-DRB4;NFATC3;RORA;IL23R;MAPK9;HLA-DPA1;LAT;HLA-DRB3;HLA-DQB1;IL21R;IL6;NFKBIA;MAPK14;IL22;NFATC2;HSP90AB1;JAK3;IL17D;IL6ST;STAT1;STAT6;IKBKB;IKBKG;PPP3R1;PLCG1;HLA-DPB1;STAT5A;MAPK8;HLA-DQA2;PPP3CA;FOS;IL17A;IRF4;NFKBIE;IL27RA;HLA-DRB1;RXRB;RUNX1;IL17F;CD3E;TGFBR2;AHR;HLA-DMB;TBX21;NFKBIB;IL2RA;NFKB1;PRKCQ;JAK1;MAPK3;IL1R1
2,prerank,Prolactin signaling pathway,0.4549563998670471,2.232127392723544,0.0,0.0013549886041039955,0.004,49/64,40.59%,AKT1;KRAS;STAT5B;SHC4;CCND1;PIK3CD;GRB2;MAP2K1;JAK2;RAF1;NRAS;GSK3B;ESR2;MAPK1;SOCS5;ESR1;STAT3;RELA;SOCS3;INS;MAPK12;PIK3CA;AKT2;MAPK9;CISH;PIK3R3;SRC;TNFRSF11A;GCK;MAPK14;SHC1;STAT1;STAT5A;MAPK8;FOS;HRAS;SOCS4;LHCGR;PRL;IRF1;CYP17A1;MAP2K2;FOXO3;PIK3R1;SOCS1;PIK3CB;NFKB1;SOCS2;MAPK3
3,prerank,Steroid biosynthesis,0.6193739840635923,2.2283203111495733,0.0,0.0010162414530779965,0.004,16/17,34.67%,MSMO1;EBP;FDFT1;CYP24A1;LSS;HSD17B7;CYP51A1;DHCR7;SOAT1;LIPA;SQLE;NSDHL;CYP27B1;SOAT2;DHCR24;TM7SF2
4,prerank,Viral carcinogenesis,0.40087681578127127,2.1789513379309327,0.0,0.0010162414530779965,0.005,95/141,38.39%,BAD;HIST1H2BK;CDC42;KRAS;CCND3;TRAF5;CCNA1;POLB;STAT5B;CCND1;CCNA2;PIK3CD;GRB2;DNAJA3;EP300;IRF9;HDAC4;RAC1;NRAS;HDAC11;CDK1;PRKACG;UBE3A;PXN;GTF2B;REL;ATF4;MAPK1;CDKN2A;CREBBP;PRKACB;TRAF2;HIST1H2BJ;RHOA;YWHAZ;TP53;CDK4;STAT3;SKP2;TRAF3;HDAC2;RELA;CDKN1A;JUN;EGR3;TRAF1;HLA-B;PKM;PRKACA;PIK3CA;USP7;GTF2E2;CDK2;CREB3L4;PIK3R3;SRC;CASP8;HDAC5;NFKBIA;HIST1H4I;CCNE1;JAK3;IL6ST;LTBR;IKBKG;BAK1;YWHAH;STAT5A;HDAC7;KAT2A;LYN;MAPKAPK2;CDK6;CHEK1;GTF2H2;HRAS;BAX;RBL2;CDC20;CHD4;HDAC9;EGR2;SRF;CREB3;IRF3;CREB3L2;CDKN1B;GTF2H3;GTF2H1;DLG1;PIK3R1;HLA-A;CREB5;HDAC3;PIK3CB
5,prerank,Endometrial cancer,0.46159619410571356,2.1711767006161735,0.0,0.0008468678775649972,0.005,42/53,40.59%,BAD;AKT1;KRAS;EGFR;CCND1;CTNNB1;PIK3CD;GRB2;MAP2K1;RAF1;NRAS;GSK3B;MAPK1;TCF7L2;TP53;CDH1;CDKN1A;PIK3CA;AKT2;ELK1;ERBB2;PIK3R3;BRAF;TCF7L1;ILK;BAK1;MLH1;CASP9;HRAS;GADD45B;DDB2;BAX;APC;MAP2K2;ARAF;FOXO3;AXIN1;PIK3R1;PIK3CB;GADD45A;MYC;MAPK3
6,prerank,Chronic myeloid leukemia,0.4314640362675628,2.158091583261063,0.0,0.0008710641026382827,0.006,54/71,40.59%,BAD;AKT1;KRAS;STAT5B;SHC4;CCND1;PIK3CD;GRB2;SMAD4;MAP2K1;RAF1;SMAD3;NRAS;MAPK1;CDKN2A;TP53;CDK4;CHUK;HDAC2;RELA;CDKN1A;TGFBR1;TGFB1;ABL1;MECOM;PIK3CA;AKT2;CTBP2;PIK3R3;NFKBIA;BRAF;SHC1;IKBKB;IKBKG;BAK1;STAT5A;CDK6;HRAS;GADD45B;DDB2;BAX;CTBP1;RUNX1;MAP2K2;CDKN1B;ARAF;TGFBR2;CRKL;PIK3R1;PIK3CB;GADD45A;NFKB1;MYC;MAPK3
7,prerank,Hepatitis B,0.3926430344217081,2.152869928776555,0.0,0.0007621810898084973,0.006,107/153,40.59%,BAD;BCL2;AKT1;KRAS;FADD;BID;CCNA1;STAT5B;CCNA2;PIK3CD;GRB2;EP300;SMAD4;MAP2K1;JAK2;RAF1;SMAD3;NRAS;IFNA21;MYD88;MAP2K6;ATF4;MAPK1;CREBBP;YWHAZ;TP53;STAT3;CHUK;TRAF3;TICAM1;RELA;CDKN1A;JUN;EGR3;TNF;TGFBR1;NFATC1;TAB2;MAPK12;TGFB1;FAS;CASP10;PIK3CA;IFNB1;NFATC3;AKT2;PCNA;ELK1;CDK2;MAPK9;IFNA2;STAT2;CREB3L4;PIK3R3;SRC;CASP8;IL6;NFKBIA;BRAF;CCNE1;MAPK14;NFATC2;JAK3;STAT1;STAT6;IKBKB;IKBKG;MAP2K3;STAT5A;MAPK8;IFIH1;MAP2K4;TRAF6;FOS;HSPG2;CASP9;HRAS;MAP3K1;DDB2;FASLG;BAX;TIRAP;TLR3;IRAK4;EGR2;BIRC5;CREB3;IRF3;IFNA10;CREB3L2;MAP2K2;IFNA4;PRKCB;ARAF;PRKCG;TGFBR2;PIK3R1;IFNA8;CREB5;IFNA5;PIK3CB;MAP2K7;NFKB1;MYC;JAK1;APAF1;MAPK3
8,prerank,Small cell lung cancer,0.43010897674795756,2.149083342408623,0.0,0.0006774943020519977,0.006,59/79,40.52%,BCL2;AKT1;TRAF5;LAMB1;CCND1;PIK3CD;NOS2;RXRA;TRAF4;ITGAV;TRAF2;TP53;CDK4;SKP2;CHUK;TRAF3;RELA;CDKN1A;MAX;TRAF1;PTK2;RXRG;CKS1B;PIK3CA;LAMB2;AKT2;CDK2;PIK3R3;NFKBIA;ITGA3;BIRC2;CCNE1;COL4A4;IKBKB;IKBKG;BAK1;FN1;CKS2;RARB;ITGA2B;TRAF6;CDK6;ITGA2;COL4A2;CASP9;GADD45B;DDB2;BAX;RXRB;CDKN1B;COL4A5;XIAP;PIK3R1;BIRC3;PIK3CB;GADD45A;NFKB1;MYC;APAF1
9,prerank,Non-small cell lung cancer,0.4399490805695228,2.1316508907990053,0.0,0.0006097448718467979,0.006,47/63,39.13%,BAD;AKT1;KRAS;ALK;STAT5B;EGFR;CCND1;PIK3CD;GRB2;RXRA;MAP2K1;RAF1;NRAS;MAPK1;CDKN2A;TP53;CDK4;STAT3;CDKN1A;STK4;RXRG;PIK3CA;AKT2;PLCG2;ERBB2;PIK3R3;BRAF;JAK3;BAK1;PLCG1;STAT5A;RARB;CDK6;CASP9;HRAS;GADD45B;DDB2;BAX;RXRB;MAP2K2;PRKCB;ARAF;PRKCG;FOXO3;PIK3R1;PIK3CB;GADD45A
