,PC1,PC2,PC3,kmeans_cluster
"1,2-Benzodiazepine",-3.2829153469801424,-3.1331438921994446,-3.2009567087851067,0
"1,2-Distearoyllecithin",-9.629303225243374,-0.9345761495609446,-1.119160736944591,3
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",3.42450832528217,-1.722591471904225,6.161802357975403,0
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),-8.816640854384133,-0.6299322414118059,0.5725653227741162,3
"2,2'-Dibenzothiazyl disulfide",-1.1935227819980032,-6.414176377467506,-2.504897010178509,0
2-mercaptobenzothiazole,24.03115792044795,-8.927819800783448,-2.9504268520139463,1
4-(Isopropylamino)diphenylamine,6.689840253439428,9.461653516132596,6.363833527250847,2
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,-12.264054106358989,-3.93370994504207,-0.6847779346582719,3
Abacavir,3.606152329030748,-3.972455401846508,-3.4990483126573464,0
Abametapir,-2.809932021224884,6.993827251428752,0.47135000970028335,2
Abarelix,-13.033096782732292,-7.575754806782067,-5.1389407736192565,3
Abemaciclib,3.939259471414558,-1.1972716133430918,-4.268396934233929,0
Abiraterone,-1.1853800899921358,-7.610801452930545,-5.468504175170793,0
Abrocitinib,1.429390845183456,4.19016921654557,4.084796185511957,2
Acalabrutinib,12.236636777515404,3.6076427080638407,-1.301401951419661,1
Acamprosate,-4.132988348831993,-2.5336453807798036,0.8870402994342247,0
Acarbose,-2.633398949880461,-3.9152898257486037,3.9545545801840647,0
Acebutolol,2.663133882706497,-3.0152463639677896,6.756091804228118,0
Aceclidine,2.8305628907182054,1.0360841729587227,2.3823636508489616,0
Aceclofenac,11.690319727080984,-2.0155825048356903,5.342468215354553,1
Acemetacin,1.797063553717017,14.74969865968614,-0.5674021761226682,2
Acenocoumarol,-9.742720446570939,14.727563797847436,-4.454082391150456,2
Acetaminophen,-10.785726756294201,2.817387220289147,3.306108337724365,3
Acetarsol,-11.490815866575108,-4.483446851439896,-0.49574600194503626,3
Acetazolamide,-0.7786003126624436,3.558155758714084,4.606440157226544,0
Acetic acid,12.346551764680925,0.9544496562740449,6.013121656893558,1
Acetohexamide,-12.048976276341707,-1.2334604206434092,-0.2577179808224741,3
Acetohydroxamic acid,12.210937297417919,-0.27605971800862816,0.5960205883882392,1
Acetomenaphthone,8.401495262924655,-0.628561598423976,3.285566293207453,1
Acetophenazine,-1.7918401558725405,2.3068714217501873,3.1936684701769176,0
Acetyl sulfisoxazole,1.8894190475656572,-1.8669099995215563,6.746773809211284,0
Acetylcarnitine,-2.215239629887392,-5.798309604160897,-2.1003696182881155,0
Acetylcholine,-9.670782662287781,-3.8021756790885277,-0.38357011394237145,3
Acetylcysteine,18.270725893179524,3.2111165174781933,-2.7056808512812918,1
Acetyldigitoxin,-19.031182500653834,-2.829710796614474,-2.304599632928241,3
Acetylene,6.750860848342352,-5.029674846519135,-1.7371559064948137,1
Acetylsalicylic acid,-0.26288988614463704,9.149418421955868,2.5934097202072692,2
Acipimox,-11.879042985595978,-5.302534943426572,-0.569313796147435,3
Acitretin,11.7297409061339,-11.062248389229785,-4.046179847521137,1
Aclidinium,-12.723023169509629,-1.0830087397341686,-0.8933461716641804,3
Acrivastine,2.2691812113492484,-3.2777921525207354,-0.8554869075574109,0
Activated charcoal,5.337550597028869,-7.064731717628487,4.207085145323389,0
Acyclovir,18.237882895970596,3.7426008614320225,0.017614343643677994,1
Adagrasib,-5.8627319009056515,1.3252442731304803,-6.5033295801908535,3
Adapalene,1.5283550155265477,-5.883779547677686,-3.4685643817241827,0
Adefovir dipivoxil,-4.051362738702933,-0.6970653066189579,-0.6039023735754017,0
Ademetionine,-7.503640218003956,-5.416414752856797,1.9067515917023603,3
Adenine,16.64534007545779,-2.273469680692804,-1.843918133469906,1
Adenosine,-14.076698245551222,3.2719085446290634,-2.985721945635897,3
Adenosine phosphate,-11.603385519943773,-3.047810839438369,-0.7266434297234432,3
Adiphenine,5.533580897996878,0.0989105764224788,8.750819196117838,0
Afamelanotide,-14.028520278612154,-1.9626726792912406,2.1917803794735797,3
Afatinib,-9.809316169516903,-5.911147874336942,-3.9869776257722527,3
Agomelatine,16.012010300498734,10.489389198763948,-1.8850668687810634,1
Ajmaline,8.796376038086867,1.8988203282379978,2.3781503855458945,1
Alatrofloxacin,-9.398682451139537,7.372979662048516,1.0651959186047342,3
Albendazole,-3.873100054227525,-1.6400977875206015,-3.8263014050081834,0
Albuterol,-4.703340554019937,-0.6295724413620922,2.590930526443227,0
Alcaftadine,9.705671958465492,1.7527466968522674,0.5915866632218822,1
Alclofenac,4.372407117529264,-1.7956880169124523,6.450947788437011,0
Alclometasone,0.16336287344878092,-2.535200821865235,3.063158470945928,0
Alcloxa,4.3408259337233215,3.375647023597558,4.758435378954383,0
Alectinib,-7.902430111016426,10.51021334872562,-4.033772516246113,2
Alendronic acid,-7.827020677414738,-5.682604441360557,-0.315028204833777,3
Alfacalcidol,20.38287674435134,-2.6288708843749733,-8.563699169969587,1
Alfentanil,5.0855311629580005,-2.3168215080222083,3.748078876059829,0
Alfuzosin,-4.535929774111024,-2.76117531759344,0.9810802990698566,0
Alimemazine,-14.54550710663703,-5.136867643660192,-3.7827787554649723,3
Aliskiren,-4.3633096751532054,5.685603635281023,6.1542309942952516,0
Alitretinoin,12.056476980157072,-9.055648352962331,-2.967423854268341,1
Allantoin,1.4474751649456574,-3.110302026999855,5.478419426271963,0
Alloin,1.7132607109625855,-8.289564372568778,-5.368656577308434,0
Allopurinol,6.507846608904473,10.081895221100396,-0.20058345798528399,2
Almasilate,14.103102431081444,3.4132281966847953,-5.437832282678287,1
Almitrine,-16.91597327513006,8.10074904630306,-3.34321489303146,3
Almotriptan,5.876310387404428,1.0451100524897716,5.476488404774199,0
Alogliptin,-1.2144369392331311,0.613102434846983,1.8373110174785434,0
Alosetron,-0.3742695583066191,0.6151656346877563,-3.4561489629777737,0
Alpelisib,-6.82645799086179,14.892160000244466,-5.898306330101868,2
Alprazolam,-9.426074465870139,-6.2000291774317375,-4.75635976639689,3
Alprostadil,-9.188863715316083,-3.0148772264023855,-0.6039315951945962,3
Altretamine,-3.6343551332240125,-2.875513534315569,3.9971249277544385,0
Aluminium,2.807256562288055,-1.5589719292540898,5.651391962155807,0
Aluminium phosphate,11.236568974787026,0.981478668830252,-0.011127510965619895,1
Aluminum acetate,11.007409778688249,2.0234681431195765,-3.6766610005223073,1
Aluminum chloride,13.490340217711722,-3.564188738423843,-0.19047916418970157,1
Aluminum chlorohydrate,7.758578642791783,-1.787445126122832,-4.5396037845674435,1
Aluminum hydroxide,8.433461790427831,-4.224522286306202,-5.88153834567774,1
Aluminum oxide,13.318266830985875,-5.07144272130136,-2.8445210424519174,1
Aluminum subacetate,1.6999506472637373,-0.009415603727875347,6.129113242363093,0
Aluminum sulfate,14.868240716676116,1.9898601780080063,-0.9511412649104838,1
Aluminum zirconium octachlorohydrex gly,3.305245813841574,-0.5147782602709513,5.019470870828999,0
Alverine,6.177563945656404,5.147106091814296,4.601538842760282,2
Alvimopan,11.395885747478172,3.119211367123552,6.841378483177332,1
Amantadine,1.8870562024724682,12.443769508416771,-2.1346530964436106,2
Ambenonium,-0.8249465149590473,-2.579737754091305,1.8556306360090704,0
Ambrisentan,-12.727823385080827,1.7656850296535684,-4.256294180451153,3
Ambroxol,2.4165068742303824,10.70851687196067,4.419109940919574,2
Amcinonide,-5.098397992640951,1.0393459007575552,2.2227224869194124,0
