,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TNF signaling pathway,0.42776171760199766,2.0768349399204364,0.0,0.012136891827019975,0.012,78/104,41.86%,CXCL2;ATF2;TRAF5;CFLAR;CCL5;AKT1;CSF1;FAS;CEBPB;CREB1;PTGS2;TNFAIP3;RPS6KA5;NFKB1;MAPK9;BIRC2;PIK3CB;ATF4;MAP2K1;MAP3K5;PIK3CA;MAP3K14;AKT3;EDN1;JUNB;MAPK1;MAPK13;FADD;MAP3K7;ICAM1;CXCL5;FOS;CXCL1;MAPK14;CASP7;IRF1;MAPK8;BIRC3;MAP2K4;NOD2;IFNB1;TNFRSF1B;CCL2;CX3CL1;BCL3;CREB3L4;AKT2;RIPK1;LIF;IL1B;CREB3;IL18R1;TRADD;MAP2K7;MMP14;MAPK3;IL15;MAP2K3;TNFRSF1A;CASP3;VEGFC;LTA;PIK3CD;CCL20;PIK3R3;RPS6KA4;JAG1;RELA;IKBKG;CREB3L2;IL6;CASP10;TNF;MAPK12;PIK3R1;CXCL10;JUN;CASP8
1,prerank,Mitophagy,0.4742440122304954,2.06597395093472,0.0,0.00657414973963582,0.013,34/43,42.46%,USP15;TP53;TBK1;TFE3;MITF;BCL2L13;MAPK9;ATF4;E2F1;HIF1A;ATG5;CALCOCO2;CSNK2A1;CSNK2B;SQSTM1;BNIP3L;UBB;OPTN;CSNK2A2;KRAS;MAPK8;TBC1D15;HRAS;PINK1;GABARAPL1;PRKN;NRAS;BCL2L1;RAB7A;RELA;BECN1;JUN;FIS1;ULK1
2,prerank,Sphingolipid signaling pathway,0.41597227637938183,2.0372820423497204,0.0,0.005057038261258323,0.015,77/101,45.05%,SPTLC2;RHOA;KNG1;RAC1;GNAI3;PDPK1;GNAI2;TP53;PLCB1;AKT1;PRKCG;ASAH1;PPP2R1A;PLD2;NFKB1;MAPK9;PIK3CB;ABCC1;PLD1;CERS3;MAP2K1;SGPL1;CERS2;PRKCZ;MAP3K5;PIK3CA;ROCK2;PTEN;BCL2;AKT3;GNA13;MAPK1;FYN;ROCK1;RAF1;MAPK13;PPP2R3C;MAPK14;BID;KRAS;CERS4;MAPK8;PRKCE;PPP2R5C;PRKCA;BDKRB2;SPTLC3;PPP2CB;AKT2;HRAS;S1PR2;TRADD;FCER1A;MAPK3;FCER1G;SPTLC1;PPP2R2A;PLCB3;TNFRSF1A;PPP2R5E;NRAS;PIK3CD;PIK3R3;PPP2R5A;RELA;BAX;TNF;S1PR3;MAPK12;PIK3R1;GNAI1;GNA12;PPP2R5B;SGPP2;MAPK11;CERS6;CTSD
3,prerank,Chagas disease (American trypanosomiasis),0.41448555853833285,2.0071398419134017,0.0,0.0058155940004470715,0.022,71/97,41.86%,TLR2;KNG1;IL2;IFNG;GNAI3;CFLAR;CCL5;GNAI2;PLCB1;AKT1;CALR;FAS;MYD88;SMAD2;TGFBR2;PPP2R1A;TGFBR1;C3;NFKB1;MAPK9;PIK3CB;CD247;TLR4;GNA11;SMAD3;IRAK4;PIK3CA;TGFB1;TLR6;IL12B;IL12A;AKT3;IL10;MAPK1;MAPK13;FADD;FOS;MAPK14;CD3D;MAPK8;MAP2K4;IRAK1;IFNGR1;IFNB1;CCL2;BDKRB2;PPP2CB;AKT2;IL1B;NOS2;MAPK3;GNA15;PPP2R2A;PLCB3;TNFRSF1A;IFNGR2;FASLG;PIK3CD;PIK3R3;C1QB;CCL3;RELA;IKBKG;IL6;TNF;SERPINE1;MAPK12;PIK3R1;GNAI1;JUN;CASP8
4,prerank,Prolactin signaling pathway,0.43699424454764924,1.997163935822076,0.0,0.005663882852609322,0.027,54/64,48.39%,JAK2;GALT;STAT1;SOCS4;AKT1;SHC1;SHC4;CCND1;STAT3;NFKB1;MAPK9;PIK3CB;TH;MAP2K1;SOS2;PIK3CA;AKT3;CCND2;MAPK1;RAF1;MAPK13;FOS;TNFRSF11A;SOCS2;MAPK14;KRAS;SOCS5;IRF1;MAPK8;GRB2;AKT2;HRAS;PRLR;MAPK3;ESR1;INS;NRAS;GSK3B;PIK3CD;PIK3R3;RELA;SOCS1;SLC2A2;MAPK12;CGA;PIK3R1;STAT5A;PRL;MAPK11;CYP17A1;SRC;ESR2;FOXO3;CISH
5,prerank,p53 signaling pathway,0.4474077338148003,1.9914132480887605,0.0,0.004888470319216379,0.028,45/56,43.41%,CCNB2;SESN1;PMAIP1;CDK4;TP53;FAS;CCND1;CCNE1;CHEK2;SIAH1;PTEN;BCL2;CCND2;THBS1;MDM4;CDK2;CDKN1A;CCNG1;CCNB1;PPM1D;BID;RCHY1;CYCS;CASP9;CCND3;DDB2;TSC2;TP53I3;GADD45B;SERPINB5;CDK6;ATM;CASP3;IGF1;BCL2L1;CD82;GADD45A;BAX;SERPINE1;MDM2;ZMAT3;CASP8;CHEK1;SHISA5;CDK1
6,prerank,HIF-1 signaling pathway,0.41423854438406416,1.9758343119756379,0.0,0.004623577838864752,0.031,67/89,42.97%,PDK1;RPS6;ENO1;PDHA1;HMOX1;IFNG;EIF4EBP1;AKT1;PRKCG;STAT3;EPO;NFKB1;PIK3CB;TLR4;PFKFB3;ALDOA;HIF1A;MAP2K1;PFKL;PIK3CA;BCL2;AKT3;EDN1;HK3;MAPK1;LDHA;CDKN1A;IGF1R;PGK1;EP300;IFNGR1;HK1;RPS6KB1;EGLN3;PRKCA;SLC2A1;AKT2;EGFR;NOS2;MAPK3;EGLN1;GAPDH;PDHB;TFRC;CAMK2A;LTBR;EIF4E;IGF1;INS;IFNGR2;CAMK2D;PIK3CD;PIK3R3;MKNK2;RPS6KB2;VHL;TEK;CAMK2G;RELA;IL6;SERPINE1;PIK3R1;PLCG2;INSR;ERBB2;CUL2;IL6R
7,prerank,Pertussis,0.42832106754103216,1.9740485863077875,0.0,0.004172056565538117,0.031,53/66,45.86%,NOD1;RHOA;TICAM2;GNAI3;IRF8;GNAI2;ITGB1;C2;MYD88;C3;CFL1;NFKB1;MAPK9;CALM3;ITGB2;C1S;TLR4;IRAK4;IL12B;IL12A;IL10;C4BPB;MAPK1;MAPK13;CXCL5;C5;FOS;MAPK14;CASP7;CALM1;IRF1;MAPK8;IRAK1;IL1B;NLRP3;NOS2;MAPK3;IRF3;CASP3;C1QB;RELA;ITGAM;IL6;TNF;MAPK12;GNAI1;C4B;TIRAP;JUN;CD14;MAPK11;C1QC;TICAM1
8,prerank,Influenza A,0.392132438115951,1.9707898747433783,0.0,0.003820873352950733,0.032,101/145,41.07%,NFKBIB;JAK2;OAS1;IFNAR2;STAT1;IFNG;ATF2;IKBKE;CCL5;AKT1;TBK1;CPSF4;FAS;MYD88;HLA-DOB;ADAR;HLA-DQB1;NFKB1;HSPA1A;MAPK9;NXF1;PIK3CB;TLR4;OAS3;HSPA1B;MAP2K1;IRAK4;IFNA2;HLA-DPA1;STAT2;HLA-DMB;IFNA10;SLC25A6;EIF2AK4;PIK3CA;IL12B;IL12A;FDPS;ACTB;AKT3;MAPK1;HLA-DRB3;IFNA21;RAF1;MAPK13;ICAM1;DDX58;FURIN;VDAC1;IFNA16;PRSS2;MAPK14;EP300;RSAD2;EIF2AK2;CYCS;MAPK8;MAP2K4;CASP9;IFNA14;IFNGR1;HLA-DPB1;PRSS3;IFNB1;IRF7;PRKCA;CCL2;IFNA4;AKT2;TNFSF10;IL18;IL1B;IL33;NLRP3;MAP2K7;MAPK3;IRF3;IFIH1;MAP2K3;TNFRSF1A;IFNGR2;GSK3B;FASLG;PIK3CD;PIK3R3;HLA-DRA;HLA-DQA1;IFNA17;RAE1;IRF9;RELA;IL6;CIITA;TNF;TNFRSF10A;MAPK12;PIK3R1;PML;CXCL10;HLA-DRB4;JUN
9,prerank,Autophagy,0.40633806787926746,1.9689257470609451,0.0,0.0034387860176556596,0.032,78/100,46.00%,DDIT4;PDPK1;CFLAR;AKT1;MTMR3;RRAGA;RHEB;STK11;MLST8;MAPK9;PIK3CB;IRS1;PRKACB;HIF1A;MAP2K1;RPTOR;TP53INP2;EIF2AK4;ATG16L1;ATG5;PIK3CA;PTEN;BCL2;AKT3;ATG4A;DAPK3;MAPK1;RAF1;MAP3K7;PRKAA1;IGF1R;SUPT20H;KRAS;ATG10;PIK3R4;PRKAA2;MAPK8;HMGB1;PRKCD;RPS6KB1;ITPR1;DAPK1;CTSL;TSC2;RRAGD;PPP2CB;AKT2;HRAS;ERN1;IRS2;ULK2;MAPK3;PRKACG;GABARAPL1;ATG7;VMP1;INS;NRAS;BCL2L1;PIK3CD;PIK3R3;RPS6KB2;RAB7A;RRAGC;BECN1;RRAGB;ATG12;PIK3R1;ULK1;LAMP2;BAD;LAMP1;PIK3C3;CTSD;TSC1;NRBF2;CAMKK2;PRKACA
10,prerank,Apoptosis,0.3952848326300283,1.9677714035106173,0.0,0.003126169106959691,0.032,87/123,41.07%,PMAIP1;NGF;PDPK1;CFLAR;TP53;AKT1;BIRC5;FAS;AIFM1;NFKB1;DIABLO;MAPK9;BIRC2;PIK3CB;BIRC7;ATF4;MAP2K1;TUBA3C;MAP3K5;PIK3CA;PARP2;MAP3K14;BCL2;ACTB;AKT3;DDIT3;MAPK1;RAF1;FADD;ENDOG;FOS;CASP7;BID;KRAS;CYCS;NGFR;MAPK8;BIRC3;CASP9;DAXX;ITPR1;MCL1;CTSL;CASP2;DFFA;XIAP;CTSH;AKT2;HRK;HRAS;RIPK1;TNFSF10;ERN1;NTRK1;DFFB;GADD45B;CAPN1;ITPR3;TRADD;MAPK3;LMNA;ATM;TNFRSF1A;SPTAN1;TUBA1A;CASP3;BCL2L11;NRAS;BCL2L1;CASP6;FASLG;PIK3CD;PIK3R3;PARP4;GADD45A;RELA;CTSK;IKBKG;BAX;BECN1;CASP10;TNF;TNFRSF10A;PIK3R1;PARP1;GZMB;JUN
11,prerank,Glioma,0.42262955990987183,1.9590821159922356,0.0,0.0031185069277759664,0.035,48/65,40.23%,CDK4;TP53;AKT1;SHC1;PRKCG;SHC4;CCND1;CALM3;PIK3CB;E2F1;MAP2K1;PDGFRA;SOS2;PDGFRB;PIK3CA;PTEN;RB1;AKT3;MAPK1;RAF1;CDKN1A;IGF1R;CAMK1;KRAS;CALM1;GRB2;DDB2;PRKCA;AKT2;HRAS;TGFA;GADD45B;CDK6;EGFR;MAPK3;CAMK2A;IGF1;NRAS;CAMK2D;PIK3CD;PIK3R3;BRAF;GADD45A;CAMK2G;BAX;CAMK1D;PIK3R1;MDM2
12,prerank,Relaxin signaling pathway,0.40247893702502363,1.952179531481184,0.0,0.0033454253112939676,0.041,74/103,41.07%,GNAI3;ATF2;GNAI2;PLCB1;AKT1;SHC1;SHC4;SMAD2;TGFBR2;CREB1;TGFBR1;NFKB1;MAPK9;PIK3CB;ATF4;GNG8;MMP2;SMAD3;PRKACB;MAP2K1;ADCY6;PRKCZ;SOS2;MMP1;PIK3CA;TGFB1;AKT3;EDN1;MAPK1;RAF1;MAPK13;GNG4;EDNRB;FOS;GNB5;MAPK14;ADCY9;KRAS;ADCY3;MAPK8;MAP2K4;GRB2;VEGFB;ACTA2;PRKCA;GNB4;CREB3L4;AKT2;HRAS;GNG12;CREB3;EGFR;MAP2K7;NOS2;MAPK3;GNA15;PRKACG;PLCB3;VEGFC;GNGT2;GNG5;NRAS;PIK3CD;PIK3R3;GNB2;ADCY2;RELA;CREB3L2;MAPK12;PIK3R1;GNAI1;RXFP4;COL4A3;JUN
13,prerank,Pancreatic cancer,0.42007114916537786,1.9509635319373306,0.0,0.0031064663604872555,0.041,50/71,38.07%,RAC1;CDK4;STAT1;TP53;AKT1;RALBP1;SMAD2;CCND1;TGFBR2;STAT3;TGFBR1;NFKB1;MAPK9;PIK3CB;PLD1;E2F1;SMAD3;MAP2K1;ARHGEF6;CDC42;PIK3CA;TGFB1;RB1;AKT3;MAPK1;RALB;RAF1;CDKN1A;KRAS;MAPK8;CASP9;RPS6KB1;DDB2;AKT2;SMAD4;TGFA;GADD45B;CDK6;EGFR;MAPK3;BCL2L1;PIK3CD;PIK3R3;RPS6KB2;BRAF;BRCA2;GADD45A;RELA;IKBKG;BAX
14,prerank,Longevity regulating pathway,0.4090071699423848,1.9393440871183611,0.0,0.003371358840838882,0.047,67/85,47.00%,SESN1;ATF2;EIF4EBP1;TP53;AKT1;RHEB;STK11;CREB1;CAT;HDAC1;SOD1;NFKB1;HSPA1A;PIK3CB;PPARG;IRS1;ATF4;HSPA1B;PRKACB;PRKAG1;ADCY6;RPTOR;ATG5;PIK3CA;AKT3;PRKAA1;PPARGC1A;IGF1R;PRKAB2;ADCY9;KRAS;PRKAG2;PRKAA2;ADCY3;RPS6KB1;TSC2;CREB3L4;AKT2;HRAS;CREB3;IRS2;PRKACG;EIF4E;IGF1;INS;NRAS;PIK3CD;PIK3R3;RPS6KB2;SIRT1;EIF4EBP2;FOXA2;ADCY2;RELA;CREB3L2;BAX;PIK3R1;INSR;ADCY7;EHMT2;ULK1;ADCY5;EHMT1;TSC1;CAMKK2;PRKACA;PRKAB1
15,prerank,Gastric cancer,0.3947327813727094,1.936641123252162,0.0,0.003160648913286452,0.047,72/114,36.43%,CSNK1A1;DVL3;DVL2;TP53;AKT1;SHC1;FZD4;CSNK1A1L;SHC4;SMAD2;CCND1;TGFBR2;RXRG;CTNNB1;TGFBR1;CTNNA1;ABCB1;CCNE1;PIK3CB;E2F1;SMAD3;MAP2K1;MLH1;SOS2;PIK3CA;TGFB1;RB1;BCL2;AKT3;CDH1;LEF1;CDKN2B;WNT1;MAPK1;RAF1;WNT9B;CDK2;CDKN1A;WNT5A;RARB;LRP6;CDX2;FZD5;DVL1;KRAS;RXRA;GRB2;RPS6KB1;DDB2;FZD9;WNT11;TCF7L2;AKT2;SMAD4;HRAS;GADD45B;SHH;WNT7B;FZD7;EGFR;AXIN2;FZD10;MAPK3;NRAS;GSK3B;PIK3CD;PIK3R3;RPS6KB2;BRAF;MET;WNT7A;GADD45A
16,prerank,mTOR signaling pathway,0.38857242776854545,1.9166136283800461,0.0,0.003986136041227149,0.062,78/112,42.46%,RPS6;DDIT4;RHOA;PDPK1;EIF4EBP1;DVL3;DVL2;AKT1;FZD4;RRAGA;GRB10;RHEB;PRKCG;STK11;MLST8;EIF4B;PIK3CB;IRS1;ATP6V1A;TTI1;MAP2K1;SOS2;RPTOR;PIK3CA;NPRL2;PTEN;AKT3;WNT1;MAPK1;RAF1;WNT9B;PRKAA1;WNT5A;IGF1R;LRP6;FZD5;DVL1;KRAS;PRKAA2;GRB2;STRADB;RPS6KB1;TSC2;RRAGD;FZD9;PRKCA;WNT11;AKT2;HRAS;ULK2;WNT7B;FZD7;FZD10;MAPK3;SLC7A5;SKP2;TNFRSF1A;EIF4E;IGF1;INS;NRAS;GSK3B;PIK3CD;PIK3R3;RPS6KB2;BRAF;WNT7A;RRAGC;RRAGB;RPS6KA1;RPS6KA3;SLC3A2;TNF;PIK3R1;FZD1;RPS6KA6;INSR;ULK1
17,prerank,Measles,0.38316745855236145,1.9028496459253152,0.0,0.004663713063160454,0.077,105/126,52.09%,NFKBIB;TLR2;OAS1;IFNAR2;IL2;CDK4;STAT1;IKBKE;TP53;AKT1;TBK1;FAS;MYD88;CCND1;STAT3;ADAR;TNFAIP3;NFKB1;HSPA1A;MAPK9;CCNE1;PIK3CB;TLR4;OAS3;HSPA1B;IRAK4;IFNA2;SLAMF1;STAT2;IFNA10;EIF2AK4;PIK3CA;IL12B;IL12A;BCL2;AKT3;CCND2;CSNK2A1;CD28;IFNA21;FADD;CSNK2B;MAP3K7;DDX58;CDK2;FOS;IFNA16;CSNK2A2;BID;RCHY1;CD3D;EIF2AK2;CYCS;MAPK8;CASP9;CD46;IRAK1;IFNA14;CCND3;IFNB1;IRF7;IFNA4;AKT2;IL1B;CDK6;CBLB;TRADD;IRF3;IFIH1;CASP3;JAK3;BCL2L1;GSK3B;FASLG;PIK3CD;PIK3R3;IFNA17;IL2RG;IRF9;RELA;IKBKG;BAX;IL6;IL2RB;PIK3R1;FCGR2B;EIF3H;JUN;CASP8;STAT5A;BAD;IFNA8;TLR9;TAB2;TRAF6;TRAF3;EIF2AK1;NFKBIA;CLEC4M;IKBKB;EIF2S1;CDKN1B;IL2RA;APAF1;CHUK
18,prerank,Human T-cell leukemia virus 1 infection,0.370856857619138,1.9017194388963037,0.0,0.004631182407678675,0.081,125/189,42.17%,SLC25A4;CDC20;CCNB2;IL2;CDK4;ATF2;IL15RA;TP53;AKT1;CALR;BUB1B;SMAD2;CCND1;TGFBR2;CREB1;HLA-DOB;TGFBR1;HLA-A;NFATC4;HLA-DQB1;POLB;NFKB1;MAPK9;CCNE1;EGR1;B2M;LCK;PIK3CB;ITGB2;CHEK2;ATF4;E2F1;SMAD3;PRKACB;MAP2K1;HLA-DPA1;RAN;HLA-DMB;ADCY6;SLC25A6;PIK3CA;TGFB1;MAP3K14;PTEN;RB1;FDPS;AKT3;CCND2;CRTC3;CDKN2B;ETS2;KAT5;MAPK1;HLA-DRB3;NFATC3;CANX;MMP7;ICAM1;SRF;CDK2;CDKN1A;VDAC1;FOS;ADCY9;KRAS;FOSL1;PPP3CA;EP300;CD3D;ADCY3;NFYB;MAPK8;TRRAP;MAP2K4;ANAPC5;DLG1;NRP1;HLA-DPB1;CCND3;XIAP;SLC2A1;MSX2;CREB3L4;AKT2;SMAD4;HRAS;IL1R2;CREB3;MAPK3;TBPL1;ATM;IL15;PRKACG;IL1R1;LTBR;NFKB2;TNFRSF1A;KAT2B;LTA;JAK3;NRAS;BCL2L1;PIK3CD;PIK3R3;HLA-DRA;HLA-DQA1;BUB3;IL2RG;ADCY2;RELA;IKBKG;PPP3CC;CREB3L2;BAX;IL6;IL2RB;TNF;MYC;PIK3R1;ETS1;HLA-DRB4;JUN;PPP3CB;CHEK1;ADCY7
